basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,02,2012040100, 03,EE06,  0,9.7,108.0, 48,1001,XX
WP,02,2012040100, 03,ECMF,  0,9.8,108.1, 36,1003,XX
WP,02,2012040100, 03,EE00,  0,9.9,108.1, 35,1003,XX
WP,02,2012040100, 03,EE05,  0,10.0,108.2, 40,1005,XX
WP,02,2012040100, 03,EE20, 12,9.2,107.4, 39,1005,XX
WP,02,2012040100, 03,EE09, 12,9.3,107.5, 32,1008,XX
WP,02,2012040100, 03,EE49, 12,9.4,107.5, 26,1008,XX
WP,02,2012040100, 03,EE07, 12,9.6,106.6, 23,1007,XX
WP,02,2012040100, 03,EE29, 12,9.7,107.5, 30,1008,XX
WP,02,2012040100, 03,EE17, 12,9.8,107.0, 24,1007,XX
WP,02,2012040100, 03,EE03, 12,9.9,107.1, 24,1007,XX
WP,02,2012040100, 03,EE19, 24,8.9,104.0, 20,1010,XX
WP,02,2012040100, 03,EE33, 24,9.5,104.5, 24,1010,XX
WP,02,2012040100, 03,EE09, 24,9.6,106.6, 21,1010,XX
WP,02,2012040100, 03,EE13, 24,9.7,105.3, 26,1010,XX
WP,02,2012040100, 03,EE12, 24,9.8,104.5, 26,1011,XX
WP,02,2012040100, 03,EE49, 24,9.9,105.9, 24,1009,XX
WP,02,2012040100, 03,EE19, 36,5.3,104.1, 11,1011,XX
WP,02,2012040100, 03,EE21, 36,7.2,101.2, 10,1011,XX
WP,02,2012040100, 03,EE45, 36,8.0,104.5, 14,1010,XX
WP,02,2012040100, 03,EE05, 36,8.2,101.5, 13,1010,XX
WP,02,2012040100, 03,EE03, 36,8.6,103.4, 14,1010,XX
WP,02,2012040100, 03,EE01, 36,9.4,104.6, 10,1010,XX
WP,02,2012040100, 03,EE09, 36,9.9,104.6, 12,1010,XX
WP,02,2012040100, 03,EE19, 48,5.1,103.7, 11,1012,XX
WP,02,2012040100, 03,EE21, 48,5.6,96.4, 11,1012,XX
WP,02,2012040100, 03,EE01, 48,7.0,101.9,  9,1013,XX
WP,02,2012040100, 03,EE05, 48,8.1,102.6, 16,1012,XX
WP,02,2012040100, 03,EE09, 48,8.5,100.6, 10,1012,XX
WP,02,2012040100, 03,EE33, 48,9.9,103.6, 16,1012,XX
WP,02,2012040100, 03,EE01, 60,2.8,101.0, 12,1012,XX
WP,02,2012040100, 03,EE19, 60,3.8,100.8,  6,1011,XX
WP,02,2012040100, 03,EE21, 60,5.0,94.8, 14,1011,XX
WP,02,2012040100, 03,EE09, 60,5.8,100.2, 12,1011,XX
WP,02,2012040100, 03,ECMF,  6,10.0,107.4, 37,1003,XX
WP,02,2012040100, 03,EE19, 72,3.5,96.4, 12,1011,XX
WP,02,2012040100, 03,EE01, 72,3.8,100.8, 12,1013,XX
WP,02,2012040100, 03,EE21, 72,5.2,98.0,  9,1012,XX
WP,02,2012040100, 03,EE09, 72,5.7,96.6,  8,1012,XX
WP,02,2012040100, 03,EE33, 72,9.6,99.5, 15,1012,XX
WP,02,2012040100, 03,EE05, 72,9.9,99.6, 16,1011,XX
WP,02,2012040100, 03,EE09, 84,4.6,98.2, 11,1008,XX
WP,02,2012040100, 03,EE01, 84,5.2,97.7,  9,1009,XX
WP,02,2012040100, 03,EE19, 84,6.6,95.5, 10,1010,XX
WP,02,2012040100, 03,EE21, 84,7.5,98.2, 10,1010,XX
WP,02,2012040100, 03,EE33, 84,8.1,97.2, 10,1010,XX
