basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,16,2012101200, 03,EE12,  0,23.5,-73.9, 24,1012,XX
AL,16,2012101200, 03,EE37,  0,23.6,-73.9, 24,1012,XX
AL,16,2012101200, 03,EE17,  0,23.7,-73.9, 25,1012,XX
AL,16,2012101200, 03,EE35,  0,24.4,-73.5, 24,1012,XX
AL,16,2012101200, 03,EE15,  0,24.5,-73.5, 24,1012,XX
AL,16,2012101200, 03,EE02,  0,24.8,-73.4, 25,1012,XX
AL,16,2012101200, 03,EE00,  0,24.9,-73.2, 25,1012,XX
AL,16,2012101200, 03,ECMF,  0,25.0,-73.2, 25,1011,XX
AL,16,2012101200, 03,ECMF,108,30.6,-69.0, 47, 999,XX
AL,16,2012101200, 03,ECMF,114,33.5,-67.5, 50, 998,XX
AL,16,2012101200, 03,EE35, 48,9.7,-71.6, 14,1008,XX
AL,16,2012101200, 03,ECMF,  6,24.4,-73.5, 35,1011,XX
AL,16,2012101200, 03,EE35, 72,9.7,-71.6, 11,1008,XX
AL,16,2012101200, 03,EE04, 12,20.1,-72.0, 24,1012,XX
AL,16,2012101200, 03,EE37, 12,20.2,-72.1, 21,1012,XX
AL,16,2012101200, 03,EE12, 12,20.5,-72.5, 26,1012,XX
AL,16,2012101200, 03,EE47, 12,20.7,-72.5, 28,1012,XX
AL,16,2012101200, 03,EE35, 12,23.3,-73.3, 31,1012,XX
AL,16,2012101200, 03,EE15, 12,23.4,-73.1, 32,1011,XX
AL,16,2012101200, 03,EE30, 12,23.5,-73.3, 33,1012,XX
AL,16,2012101200, 03,EE20, 12,23.6,-73.4, 39,1011,XX
AL,16,2012101200, 03,EE07, 12,23.7,-73.7, 34,1011,XX
AL,16,2012101200, 03,EE27, 12,23.8,-73.5, 31,1011,XX
AL,16,2012101200, 03,EE01, 12,23.9,-73.0, 34,1011,XX
AL,16,2012101200, 03,EE06, 12,24.0,-73.7, 30,1011,XX
AL,16,2012101200, 03,EE39, 12,24.1,-73.0, 32,1012,XX
AL,16,2012101200, 03,EE13, 12,24.2,-72.6, 33,1011,XX
AL,16,2012101200, 03,EE11, 12,24.3,-73.5, 36,1010,XX
AL,16,2012101200, 03,ECMF, 12,24.4,-73.5, 34,1011,XX
AL,16,2012101200, 03,EE25, 12,24.5,-73.2, 34,1011,XX
AL,16,2012101200, 03,EE22, 12,24.6,-73.5, 34,1010,XX
AL,16,2012101200, 03,EE43, 12,24.7,-73.1, 37,1011,XX
AL,16,2012101200, 03,EE18, 12,24.8,-73.0, 33,1010,XX
AL,16,2012101200, 03,EE49, 12,24.9,-73.0, 37,1010,XX
AL,16,2012101200, 03,EE03, 12,25.0,-73.4, 33,1010,XX
AL,16,2012101200, 03,EE08, 12,25.1,-72.9, 37,1010,XX
AL,16,2012101200, 03,EE36, 12,25.7,-72.6, 39,1010,XX
AL,16,2012101200, 03,EE05, 12,26.0,-73.0, 36,1011,XX
AL,16,2012101200, 03,EE34, 12,26.6,-72.5, 39,1012,XX
AL,16,2012101200, 03,EE33, 12,27.1,-70.6, 30,1013,XX
AL,16,2012101200, 03,EE10, 12,27.4,-71.9, 32,1010,XX
AL,16,2012101200, 03,EE14, 12,27.5,-71.9, 34,1014,XX
AL,16,2012101200, 03,ECMF, 18,23.9,-73.5, 31,1011,XX
