basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,16,2012101412, 03,EE01,  0,14.4,-114.5, 34,1001,XX
EP,16,2012101412, 03,EE03,  0,14.5,-114.3, 31,1002,XX
EP,16,2012101412, 03,ECMF,  0,14.6,-114.2, 30,1002,XX
EP,16,2012101412, 03,EE04,  0,14.7,-114.2, 30,1002,XX
EP,16,2012101412, 03,ECMF,  6,15.1,-114.5, 46,1003,XX
EP,16,2012101412, 03,EE42, 12,15.1,-115.4, 42,1001,XX
EP,16,2012101412, 03,EE22, 12,15.2,-115.0, 40,1001,XX
EP,16,2012101412, 03,EE02, 12,15.3,-115.3, 44,1001,XX
EP,16,2012101412, 03,EE23, 12,15.4,-114.7, 44,1000,XX
EP,16,2012101412, 03,EE34, 12,15.4,-114.9, 45, 996,XX
EP,16,2012101412, 03,EE18, 12,15.4,-115.2, 46, 998,XX
EP,16,2012101412, 03,EE03, 12,15.5,-114.2, 45,1000,XX
EP,16,2012101412, 03,EE12, 12,15.5,-114.8, 47, 997,XX
EP,16,2012101412, 03,EE08, 12,15.5,-115.6, 43, 998,XX
EP,16,2012101412, 03,EE13, 12,15.6,-115.6, 40,1000,XX
EP,16,2012101412, 03,EE30, 12,15.6,-114.5, 45, 996,XX
EP,16,2012101412, 03,EE09, 12,15.6,-115.1, 41, 998,XX
EP,16,2012101412, 03,EE05, 12,15.6,-115.3, 44, 999,XX
EP,16,2012101412, 03,EE36, 12,15.7,-115.1, 38,1002,XX
EP,16,2012101412, 03,EE40, 12,15.7,-115.0, 47, 996,XX
EP,16,2012101412, 03,EE10, 12,15.7,-114.5, 45, 997,XX
EP,16,2012101412, 03,EE49, 12,15.7,-115.2, 42, 998,XX
EP,16,2012101412, 03,EE29, 12,15.8,-115.0, 38,1000,XX
EP,16,2012101412, 03,EE41, 12,15.8,-114.7, 44, 996,XX
EP,16,2012101412, 03,EE20, 12,15.8,-115.3, 45, 997,XX
EP,16,2012101412, 03,EE50, 12,15.8,-114.5, 44, 998,XX
EP,16,2012101412, 03,ECMF, 12,15.8,-114.8, 42, 999,XX
EP,16,2012101412, 03,EE28, 12,15.9,-115.5, 38,1000,XX
EP,16,2012101412, 03,EE06, 12,15.9,-114.0, 44, 997,XX
EP,16,2012101412, 03,EE00, 12,15.9,-114.7, 38, 999,XX
EP,16,2012101412, 03,EE19, 12,16.0,-114.8, 37,1001,XX
EP,16,2012101412, 03,EE01, 12,16.0,-114.9, 45, 996,XX
EP,16,2012101412, 03,EE07, 12,16.0,-114.0, 44, 997,XX
EP,16,2012101412, 03,EE44, 12,16.0,-114.8, 43, 998,XX
EP,16,2012101412, 03,EE26, 12,16.0,-114.2, 45, 999,XX
