basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,25,2012100800, 03,EE09,  0,17.9,135.0, 28, 998,XX
WP,25,2012100800, 03,EE18,  0,17.9,134.9, 23, 999,XX
WP,25,2012100800, 03,EE31,  0,18.0,135.0, 29, 996,XX
WP,25,2012100800, 03,EE06,  0,18.0,135.0, 27, 997,XX
WP,25,2012100800, 03,ECMF,  0,18.0,135.0, 24, 998,XX
WP,25,2012100800, 03,EE05,  0,18.0,135.0, 26, 999,XX
WP,25,2012100800, 03,EE17,  0,18.1,135.1, 29, 997,XX
WP,25,2012100800, 03,EE10,  0,18.1,135.0, 23, 998,XX
WP,25,2012100800, 03,EE17,108,20.6,133.8, 44, 998,XX
WP,25,2012100800, 03,EE42,108,19.2,132.3, 48, 993,XX
WP,25,2012100800, 03,EE17,120,20.5,135.1, 49, 996,XX
WP,25,2012100800, 03,EE02,108,19.2,131.7, 50, 995,XX
WP,25,2012100800, 03,EE25,120,19.5,132.9, 52, 994,XX
WP,25,2012100800, 03,EE02,120,19.2,131.9, 53, 994,XX
WP,25,2012100800, 03,EE07,120,19.6,131.7, 54, 984,XX
WP,25,2012100800, 03,EE01,108,18.9,128.9, 55, 984,XX
WP,25,2012100800, 03,EE07,108,19.9,130.8, 56, 986,XX
WP,25,2012100800, 03,EE10,108,19.8,135.0, 58, 980,XX
WP,25,2012100800, 03,EE01,120,19.0,129.1, 59, 983,XX
WP,25,2012100800, 03,EE22,108,20.5,133.6, 60, 982,XX
WP,25,2012100800, 03,EE22,120,20.6,134.3, 61, 977,XX
WP,25,2012100800, 03,EE12,120,18.6,129.7, 62, 981,XX
WP,25,2012100800, 03,EE00,108,19.6,129.6, 63, 978,XX
WP,25,2012100800, 03,EE08,108,19.3,125.8, 64, 976,XX
WP,25,2012100800, 03,EE15,108,20.3,132.7, 65, 974,XX
WP,25,2012100800, 03,EE00,120,19.9,130.0, 66, 974,XX
WP,25,2012100800, 03,EE08,120,19.7,125.4, 67, 974,XX
WP,25,2012100800, 03,EE15,120,20.4,133.7, 68, 968,XX
WP,25,2012100800, 03,EE34,120,20.0,129.0, 69, 970,XX
WP,25,2012100800, 03,ECMF,114,19.7,129.4, 70, 958,XX
WP,25,2012100800, 03,EE05,108,19.3,131.4, 71, 967,XX
WP,25,2012100800, 03,EE27,120,21.1,128.0, 72, 973,XX
WP,25,2012100800, 03,EE19,120,18.5,128.9, 73, 969,XX
WP,25,2012100800, 03,ECMF,108,19.5,129.1, 74, 964,XX
WP,25,2012100800, 03,EE03,108,19.5,130.6, 75, 964,XX
WP,25,2012100800, 03,ECMF,102,19.6,128.9, 76, 966,XX
WP,25,2012100800, 03,EE35,120,20.2,133.1, 77, 968,XX
WP,25,2012100800, 03,EE04,108,19.6,129.8, 78, 962,XX
WP,25,2012100800, 03,EE03,120,20.0,131.4, 79, 955,XX
WP,25,2012100800, 03,EE06,120,22.1,127.1, 80, 947,XX
WP,25,2012100800, 03,ECMF,120,19.9,129.5, 86, 955,XX
