basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,17,2012101500, 03,EE12,  0,21.1,-64.2, 55, 988,XX
AL,17,2012101500, 03,EE04,  0,21.1,-64.2, 55, 989,XX
AL,17,2012101500, 03,ECMF,  0,21.1,-64.2, 50, 990,XX
AL,17,2012101500, 03,EE03,  0,21.1,-64.1, 47, 991,XX
AL,17,2012101500, 03,EE11,  0,21.1,-64.2, 49, 992,XX
AL,17,2012101500, 03,EE19,  0,21.2,-64.1, 50, 990,XX
AL,17,2012101500, 03,EE35,120,41.0,-27.3, 39, 993,XX
AL,17,2012101500, 03,ECMF,114,43.9,-27.9, 44, 985,XX
AL,17,2012101500, 03,EE03,120,44.5,-22.5, 45, 974,XX
AL,17,2012101500, 03,EE03,108,44.8,-28.1, 46, 979,XX
AL,17,2012101500, 03,ECMF,108,44.0,-31.8, 47, 986,XX
AL,17,2012101500, 03,EE19,108,45.5,-30.4, 48, 986,XX
AL,17,2012101500, 03,EE35,108,41.4,-36.0, 50, 996,XX
AL,17,2012101500, 03,ECMF,120,43.9,-24.6, 51, 983,XX
AL,17,2012101500, 03,ECMF,102,44.2,-36.5, 52, 984,XX
AL,17,2012101500, 03,EE00,120,43.5,-27.1, 53, 978,XX
AL,17,2012101500, 03,EE02,120,41.0,-27.7, 54, 982,XX
AL,17,2012101500, 03,EE09,120,43.3,-36.0, 55, 975,XX
AL,17,2012101500, 03,EE30,108,45.0,-31.5, 56, 976,XX
AL,17,2012101500, 03,EE34,120,41.7,-27.8, 57, 983,XX
AL,17,2012101500, 03,EE02,108,41.6,-35.5, 58, 985,XX
AL,17,2012101500, 03,EE00,108,42.9,-37.6, 59, 982,XX
AL,17,2012101500, 03,EE12,108,46.9,-39.9, 60, 969,XX
AL,17,2012101500, 03,EE15,108,40.4,-43.4, 61, 982,XX
AL,17,2012101500, 03,EE25,108,42.5,-40.7, 62, 982,XX
AL,17,2012101500, 03,EE01,120,43.9,-33.4, 63, 968,XX
AL,17,2012101500, 03,EE07,108,46.1,-38.1, 64, 971,XX
AL,17,2012101500, 03,EE21,120,46.4,-35.9, 65, 977,XX
AL,17,2012101500, 03,EE11,108,47.8,-25.3, 66, 981,XX
AL,17,2012101500, 03,EE01,108,42.1,-43.8, 67, 975,XX
AL,17,2012101500, 03,EE12,120,49.7,-33.1, 68, 957,XX
AL,17,2012101500, 03,EE13,108,41.3,-45.2, 69, 983,XX
AL,17,2012101500, 03,EE44,120,43.8,-31.8, 72, 976,XX
AL,17,2012101500, 03,EE17,120,41.7,-32.9, 73, 970,XX
AL,17,2012101500, 03,EE17,108,40.9,-42.1, 74, 975,XX
AL,17,2012101500, 03,EE21,108,45.1,-45.1, 76, 982,XX
AL,17,2012101500, 03,EE31,120,41.1,-42.2, 77, 980,XX
AL,17,2012101500, 03,EE04,108,42.6,-42.5, 78, 982,XX
AL,17,2012101500, 03,EE49,108,41.5,-46.9, 80, 982,XX
AL,17,2012101500, 03,EE39,120,41.1,-38.0, 85, 972,XX
AL,17,2012101500, 03,EE39,108,41.9,-46.4, 86, 968,XX
AL,17,2012101500, 03,ECMF,  6,21.7,-65.8, 67, 984,XX
AL,17,2012101500, 03,EE41, 12,21.4,-65.9, 42, 994,XX
AL,17,2012101500, 03,EE12, 12,21.5,-65.9, 51, 990,XX
AL,17,2012101500, 03,EE23, 12,21.5,-66.7, 58, 991,XX
AL,17,2012101500, 03,EE31, 12,21.5,-66.2, 48, 993,XX
AL,17,2012101500, 03,EE21, 12,21.7,-65.9, 51, 990,XX
AL,17,2012101500, 03,EE28, 12,21.8,-66.1, 61, 986,XX
AL,17,2012101500, 03,EE37, 12,21.8,-66.3, 55, 990,XX
AL,17,2012101500, 03,EE04, 12,21.8,-66.4, 52, 991,XX
AL,17,2012101500, 03,EE06, 12,21.8,-67.4, 54, 994,XX
AL,17,2012101500, 03,EE14, 12,21.9,-65.7, 55, 987,XX
AL,17,2012101500, 03,EE07, 12,21.9,-65.4, 57, 989,XX
AL,17,2012101500, 03,EE19, 12,21.9,-66.5, 59, 990,XX
AL,17,2012101500, 03,EE48, 12,21.9,-66.2, 52, 992,XX
AL,17,2012101500, 03,EE49, 12,21.9,-66.8, 47, 993,XX
AL,17,2012101500, 03,EE47, 12,22.0,-65.2, 61, 983,XX
AL,17,2012101500, 03,EE10, 12,22.0,-66.1, 58, 987,XX
AL,17,2012101500, 03,EE01, 12,22.0,-66.2, 58, 988,XX
AL,17,2012101500, 03,EE00, 12,22.0,-66.2, 55, 990,XX
AL,17,2012101500, 03,EE11, 12,22.0,-66.0, 53, 992,XX
AL,17,2012101500, 03,EE43, 12,22.1,-66.0, 60, 988,XX
AL,17,2012101500, 03,EE38, 12,22.1,-65.7, 53, 989,XX
AL,17,2012101500, 03,EE16, 12,22.1,-66.2, 50, 990,XX
AL,17,2012101500, 03,EE29, 12,22.1,-66.5, 52, 991,XX
AL,17,2012101500, 03,EE27, 12,22.2,-66.5, 55, 987,XX
AL,17,2012101500, 03,EE18, 12,22.2,-66.6, 54, 989,XX
AL,17,2012101500, 03,EE03, 12,22.2,-65.9, 55, 991,XX
AL,17,2012101500, 03,EE45, 12,22.3,-65.9, 68, 980,XX
AL,17,2012101500, 03,ECMF, 12,22.3,-66.2, 63, 984,XX
AL,17,2012101500, 03,EE15, 12,22.3,-66.4, 65, 987,XX
AL,17,2012101500, 03,EE13, 12,22.3,-66.6, 53, 989,XX
AL,17,2012101500, 03,EE20, 12,22.3,-66.2, 54, 991,XX
AL,17,2012101500, 03,EE33, 12,22.4,-66.1, 57, 985,XX
AL,17,2012101500, 03,EE40, 12,22.4,-65.9, 62, 986,XX
AL,17,2012101500, 03,EE24, 12,22.4,-66.3, 57, 987,XX
AL,17,2012101500, 03,EE22, 12,22.4,-66.2, 59, 990,XX
AL,17,2012101500, 03,EE05, 12,22.6,-65.5, 59, 985,XX
AL,17,2012101500, 03,EE42, 12,22.6,-66.5, 57, 990,XX
AL,17,2012101500, 03,ECMF, 18,23.0,-66.2, 60, 982,XX
AL,17,2012101500, 03,EE23, 24,22.3,-66.9, 51, 992,XX
AL,17,2012101500, 03,EE31, 24,22.6,-66.8, 48, 993,XX
AL,17,2012101500, 03,EE39, 24,22.7,-66.3, 58, 986,XX
AL,17,2012101500, 03,EE41, 24,22.7,-65.7, 50, 994,XX
AL,17,2012101500, 03,EE21, 24,22.8,-66.0, 54, 987,XX
AL,17,2012101500, 03,EE06, 24,22.8,-67.6, 45, 995,XX
AL,17,2012101500, 03,EE04, 24,22.9,-66.6, 60, 984,XX
AL,17,2012101500, 03,EE12, 24,22.9,-65.7, 54, 987,XX
AL,17,2012101500, 03,EE37, 24,23.0,-66.2, 58, 985,XX
AL,17,2012101500, 03,EE25, 24,23.0,-66.0, 54, 988,XX
AL,17,2012101500, 03,EE34, 24,23.0,-65.9, 49, 990,XX
AL,17,2012101500, 03,EE36, 24,23.2,-65.1, 57, 987,XX
AL,17,2012101500, 03,EE01, 24,23.3,-67.1, 54, 986,XX
AL,17,2012101500, 03,EE46, 24,23.3,-67.7, 51, 992,XX
AL,17,2012101500, 03,EE19, 24,23.4,-66.7, 72, 980,XX
AL,17,2012101500, 03,EE07, 24,23.4,-65.1, 65, 983,XX
AL,17,2012101500, 03,EE17, 24,23.4,-66.9, 61, 986,XX
AL,17,2012101500, 03,EE08, 24,23.4,-66.5, 54, 992,XX
AL,17,2012101500, 03,EE10, 24,23.5,-66.0, 67, 980,XX
AL,17,2012101500, 03,EE44, 24,23.5,-66.5, 66, 981,XX
AL,17,2012101500, 03,EE15, 24,23.5,-66.6, 64, 985,XX
AL,17,2012101500, 03,EE00, 24,23.5,-66.4, 56, 988,XX
AL,17,2012101500, 03,EE48, 24,23.5,-67.3, 50, 991,XX
AL,17,2012101500, 03,EE29, 24,23.5,-66.8, 46, 993,XX
AL,17,2012101500, 03,EE14, 24,23.6,-65.6, 62, 984,XX
AL,17,2012101500, 03,EE18, 24,23.6,-66.9, 63, 985,XX
AL,17,2012101500, 03,EE02, 24,23.7,-66.4, 65, 983,XX
AL,17,2012101500, 03,EE50, 24,23.8,-65.6, 72, 980,XX
AL,17,2012101500, 03,EE16, 24,23.8,-66.2, 61, 987,XX
AL,17,2012101500, 03,EE47, 24,23.9,-64.8, 71, 975,XX
AL,17,2012101500, 03,EE38, 24,23.9,-65.4, 75, 979,XX
AL,17,2012101500, 03,EE28, 24,23.9,-66.5, 61, 985,XX
AL,17,2012101500, 03,EE26, 24,23.9,-66.4, 54, 987,XX
AL,17,2012101500, 03,EE11, 24,23.9,-66.6, 58, 990,XX
AL,17,2012101500, 03,EE20, 24,23.9,-67.0, 45, 991,XX
AL,17,2012101500, 03,ECMF, 24,24.0,-66.0, 76, 969,XX
AL,17,2012101500, 03,EE22, 24,24.0,-66.1, 71, 986,XX
AL,17,2012101500, 03,EE30, 24,24.1,-66.4, 76, 975,XX
AL,17,2012101500, 03,EE43, 24,24.2,-65.9, 57, 987,XX
AL,17,2012101500, 03,EE27, 24,24.3,-66.6, 68, 982,XX
AL,17,2012101500, 03,EE03, 24,24.3,-65.8, 58, 990,XX
AL,17,2012101500, 03,EE24, 24,24.4,-66.7, 70, 976,XX
AL,17,2012101500, 03,EE40, 24,24.4,-65.8, 70, 982,XX
AL,17,2012101500, 03,EE45, 24,24.5,-65.5, 84, 968,XX
AL,17,2012101500, 03,EE33, 24,24.5,-65.8, 68, 979,XX
AL,17,2012101500, 03,EE05, 24,24.5,-65.5, 70, 981,XX
AL,17,2012101500, 03,EE42, 24,24.9,-66.9, 70, 979,XX
AL,17,2012101500, 03,ECMF, 30,25.0,-66.0, 67, 976,XX
AL,17,2012101500, 03,EE31, 36,23.9,-66.0, 51, 993,XX
AL,17,2012101500, 03,EE04, 36,24.2,-65.6, 54, 989,XX
AL,17,2012101500, 03,EE23, 36,24.4,-65.8, 53, 989,XX
AL,17,2012101500, 03,EE21, 36,24.5,-64.9, 72, 979,XX
AL,17,2012101500, 03,EE12, 36,24.6,-64.4, 63, 983,XX
AL,17,2012101500, 03,EE46, 36,24.8,-67.2, 50, 992,XX
AL,17,2012101500, 03,EE37, 36,24.9,-65.9, 60, 984,XX
AL,17,2012101500, 03,EE01, 36,24.9,-66.7, 53, 988,XX
AL,17,2012101500, 03,EE39, 36,25.0,-64.8, 60, 978,XX
AL,17,2012101500, 03,EE49, 36,25.0,-67.3, 51, 985,XX
AL,17,2012101500, 03,EE25, 36,25.0,-65.3, 52, 990,XX
AL,17,2012101500, 03,EE06, 36,25.1,-68.2, 47, 996,XX
AL,17,2012101500, 03,EE17, 36,25.4,-66.0, 64, 986,XX
AL,17,2012101500, 03,EE09, 36,25.4,-66.2, 49, 990,XX
AL,17,2012101500, 03,EE34, 36,25.4,-65.5, 51, 992,XX
AL,17,2012101500, 03,EE07, 36,25.5,-64.5, 66, 980,XX
AL,17,2012101500, 03,EE35, 36,25.5,-66.7, 57, 986,XX
AL,17,2012101500, 03,EE08, 36,25.5,-66.6, 51, 991,XX
AL,17,2012101500, 03,EE00, 36,25.7,-65.7, 58, 988,XX
AL,17,2012101500, 03,EE19, 36,25.9,-65.4, 70, 974,XX
AL,17,2012101500, 03,EE28, 36,25.9,-65.8, 65, 982,XX
AL,17,2012101500, 03,EE20, 36,25.9,-66.9, 51, 990,XX
AL,17,2012101500, 03,EE44, 36,26.0,-65.9, 71, 975,XX
AL,17,2012101500, 03,EE14, 36,26.0,-65.4, 75, 979,XX
AL,17,2012101500, 03,EE26, 36,26.0,-65.8, 62, 984,XX
AL,17,2012101500, 03,EE13, 36,26.0,-67.1, 59, 986,XX
AL,17,2012101500, 03,EE02, 36,26.1,-65.6, 67, 988,XX
AL,17,2012101500, 03,EE29, 36,26.2,-66.7, 59, 988,XX
