basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,17,2012103112, 03,ECMF,  0,14.4,-117.4, 32,1001,XX
EP,17,2012103112, 03,EE13,  0,14.5,-117.5, 31,1002,XX
EP,17,2012103112, 03,EE24,108,14.8,-117.6, 47, 997,XX
EP,17,2012103112, 03,EE40,108,20.5,-109.3, 48, 993,XX
EP,17,2012103112, 03,EE24,120,15.6,-116.7, 49, 998,XX
EP,17,2012103112, 03,EE01,120,18.9,-118.1, 54, 994,XX
EP,17,2012103112, 03,EE01,108,17.7,-117.9, 56, 992,XX
EP,17,2012103112, 03,ECMF,  6,14.5,-117.6, 40,1005,XX
EP,17,2012103112, 03,EE20, 12,13.9,-117.9, 37,1001,XX
EP,17,2012103112, 03,EE38, 12,14.1,-117.8, 38,1001,XX
EP,17,2012103112, 03,EE48, 12,14.2,-117.5, 40,1000,XX
EP,17,2012103112, 03,EE01, 12,14.3,-118.4, 38,1000,XX
EP,17,2012103112, 03,EE18, 12,14.3,-117.5, 46, 998,XX
EP,17,2012103112, 03,EE06, 12,14.4,-117.8, 46,1002,XX
EP,17,2012103112, 03,EE03, 12,14.5,-117.9, 42,1002,XX
EP,17,2012103112, 03,ECMF, 12,14.6,-118.0, 42,1002,XX
EP,17,2012103112, 03,EE13, 12,14.7,-118.0, 36,1002,XX
EP,17,2012103112, 03,EE02, 12,14.8,-117.6, 42,1003,XX
EP,17,2012103112, 03,EE10, 12,14.9,-119.0, 40,1002,XX
EP,17,2012103112, 03,EE27, 12,15.0,-118.6, 39,1003,XX
EP,17,2012103112, 03,ECMF, 18,14.6,-118.3, 39,1006,XX
EP,17,2012103112, 03,EE20, 24,13.4,-118.8, 37,1005,XX
EP,17,2012103112, 03,EE42, 24,13.6,-117.1, 45,1003,XX
EP,17,2012103112, 03,EE40, 24,13.6,-116.5, 47, 999,XX
EP,17,2012103112, 03,EE38, 24,13.7,-118.0, 42,1001,XX
EP,17,2012103112, 03,EE02, 24,13.8,-118.4, 38,1002,XX
