basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,27,2012102600, 03,EE04,  0,14.1,115.5, 29,1001,XX
WP,27,2012102600, 03,EE06,  0,14.1,115.5, 38, 999,XX
WP,27,2012102600, 03,EE07,  0,14.2,115.4, 35,1000,XX
WP,27,2012102600, 03,EE17,  0,14.2,115.4, 32, 999,XX
WP,27,2012102600, 03,EE10,  0,14.3,115.5, 41,1000,XX
WP,27,2012102600, 03,EE03,  0,14.3,115.4, 42, 997,XX
WP,27,2012102600, 03,ECMF,  0,14.3,115.4, 31, 999,XX
WP,27,2012102600, 03,EE08,  0,14.4,115.5, 31, 998,XX
WP,27,2012102600, 03,EE05,  0,14.4,115.3, 34, 999,XX
WP,27,2012102600, 03,ECMF,  6,14.9,114.5, 38, 995,XX
WP,27,2012102600, 03,EE03, 12,15.0,113.3, 46, 994,XX
WP,27,2012102600, 03,EE05, 12,15.0,113.4, 41, 996,XX
WP,27,2012102600, 03,EE42, 12,15.0,113.2, 41, 998,XX
WP,27,2012102600, 03,EE16, 12,15.1,113.2, 47, 994,XX
WP,27,2012102600, 03,EE25, 12,15.1,113.4, 44, 995,XX
WP,27,2012102600, 03,EE01, 12,15.1,113.5, 42, 996,XX
WP,27,2012102600, 03,EE22, 12,15.1,113.5, 42, 997,XX
WP,27,2012102600, 03,EE18, 12,15.1,113.5, 36, 999,XX
WP,27,2012102600, 03,EE40, 12,15.2,112.8, 51, 993,XX
WP,27,2012102600, 03,EE09, 12,15.2,113.0, 41, 995,XX
WP,27,2012102600, 03,EE14, 12,15.2,113.1, 41, 996,XX
WP,27,2012102600, 03,EE12, 12,15.2,113.0, 43, 997,XX
WP,27,2012102600, 03,EE11, 12,15.3,113.8, 40, 996,XX
WP,27,2012102600, 03,EE34, 12,15.3,113.0, 37, 997,XX
WP,27,2012102600, 03,EE02, 12,15.3,113.4, 41, 998,XX
WP,27,2012102600, 03,EE10, 12,15.3,114.0, 42, 999,XX
WP,27,2012102600, 03,EE19, 12,15.4,113.6, 36,1000,XX
WP,27,2012102600, 03,EE49, 12,15.4,112.7, 49, 995,XX
WP,27,2012102600, 03,ECMF, 12,15.4,113.4, 39, 996,XX
WP,27,2012102600, 03,EE00, 12,15.4,113.4, 38, 998,XX
WP,27,2012102600, 03,EE35, 12,15.4,113.5, 39, 999,XX
WP,27,2012102600, 03,EE28, 12,15.5,113.3, 44, 995,XX
WP,27,2012102600, 03,EE46, 12,15.5,113.1, 38, 996,XX
WP,27,2012102600, 03,EE20, 12,15.5,113.1, 45, 997,XX
WP,27,2012102600, 03,EE08, 12,15.5,113.4, 38, 998,XX
WP,27,2012102600, 03,EE13, 12,15.5,113.6, 40, 999,XX
WP,27,2012102600, 03,EE15, 12,15.6,113.5, 39,1000,XX
WP,27,2012102600, 03,EE17, 12,15.6,113.1, 43, 996,XX
WP,27,2012102600, 03,EE24, 12,15.7,113.1, 38, 999,XX
WP,27,2012102600, 03,EE44, 12,15.8,113.4, 38, 999,XX
WP,27,2012102600, 03,EE04, 12,15.9,113.6, 40, 999,XX
WP,27,2012102600, 03,ECMF, 18,15.9,112.0, 41, 994,XX
