basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,19,2012091600, 03,ECMF,  0,27.0,128.1, 75, 946,XX
WP,19,2012091600, 03,EE17,  0,27.0,128.2, 68, 948,XX
WP,19,2012091600, 03,EE10,  0,27.0,128.1, 70, 949,XX
WP,19,2012091600, 03,EE05,  0,27.0,128.1, 66, 951,XX
WP,19,2012091600, 03,EE01,  0,27.0,128.1, 66, 952,XX
WP,19,2012091600, 03,EE26,  0,27.1,128.1, 69, 945,XX
WP,19,2012091600, 03,EE02,  0,27.1,128.1, 68, 946,XX
WP,19,2012091600, 03,EE12,  0,27.1,128.1, 66, 947,XX
WP,19,2012091600, 03,EE09,  0,27.1,128.1, 66, 948,XX
WP,19,2012091600, 03,EE00,  0,27.1,128.1, 67, 949,XX
WP,19,2012091600, 03,EE11,  0,27.1,128.1, 69, 950,XX
WP,19,2012091600, 03,EE04,  0,27.1,128.1, 67, 951,XX
WP,19,2012091600, 03,EE08,  0,27.1,128.1, 68, 952,XX
WP,19,2012091600, 03,ECMF,  6,29.0,128.0, 86, 934,XX
WP,19,2012091600, 03,EE06, 12,30.0,127.6, 75, 953,XX
WP,19,2012091600, 03,EE11, 12,30.0,127.2, 73, 955,XX
WP,19,2012091600, 03,EE36, 12,30.0,127.5, 72, 956,XX
WP,19,2012091600, 03,EE01, 12,30.0,127.3, 67, 960,XX
WP,19,2012091600, 03,EE23, 12,30.1,127.0, 80, 952,XX
WP,19,2012091600, 03,EE31, 12,30.1,127.5, 73, 953,XX
WP,19,2012091600, 03,EE13, 12,30.1,127.4, 71, 958,XX
WP,19,2012091600, 03,EE21, 12,30.1,127.7, 71, 959,XX
WP,19,2012091600, 03,EE45, 12,30.1,127.3, 73, 963,XX
WP,19,2012091600, 03,EE07, 12,30.2,127.9, 84, 948,XX
WP,19,2012091600, 03,EE33, 12,30.2,127.6, 77, 957,XX
WP,19,2012091600, 03,EE10, 12,30.2,127.5, 70, 958,XX
WP,19,2012091600, 03,EE16, 12,30.2,127.2, 75, 959,XX
WP,19,2012091600, 03,EE25, 12,30.2,127.5, 69, 960,XX
WP,19,2012091600, 03,EE27, 12,30.3,127.8, 77, 953,XX
WP,19,2012091600, 03,EE03, 12,30.3,127.9, 81, 954,XX
WP,19,2012091600, 03,EE38, 12,30.3,127.4, 74, 955,XX
WP,19,2012091600, 03,EE18, 12,30.3,127.4, 73, 956,XX
WP,19,2012091600, 03,EE30, 12,30.3,127.4, 77, 957,XX
WP,19,2012091600, 03,EE05, 12,30.3,127.6, 70, 958,XX
WP,19,2012091600, 03,EE41, 12,30.3,127.6, 71, 960,XX
WP,19,2012091600, 03,EE37, 12,30.4,127.7, 78, 952,XX
WP,19,2012091600, 03,EE00, 12,30.4,127.5, 72, 954,XX
WP,19,2012091600, 03,EE04, 12,30.4,127.2, 72, 957,XX
WP,19,2012091600, 03,EE20, 12,30.4,127.7, 75, 958,XX
WP,19,2012091600, 03,EE19, 12,30.4,127.5, 78, 959,XX
WP,19,2012091600, 03,EE08, 12,30.4,127.5, 73, 961,XX
WP,19,2012091600, 03,ECMF, 12,30.5,127.5, 77, 936,XX
WP,19,2012091600, 03,EE02, 12,30.5,127.6, 77, 951,XX
WP,19,2012091600, 03,EE24, 12,30.5,128.0, 72, 954,XX
WP,19,2012091600, 03,EE15, 12,30.5,127.6, 75, 955,XX
WP,19,2012091600, 03,EE14, 12,30.5,127.2, 77, 957,XX
WP,19,2012091600, 03,EE44, 12,30.5,127.5, 71, 958,XX
WP,19,2012091600, 03,EE48, 12,30.5,127.5, 74, 959,XX
WP,19,2012091600, 03,EE35, 12,30.5,127.9, 73, 960,XX
WP,19,2012091600, 03,EE22, 12,30.6,127.9, 86, 946,XX
WP,19,2012091600, 03,EE26, 12,30.6,127.9, 77, 955,XX
WP,19,2012091600, 03,EE49, 12,30.6,127.1, 71, 958,XX
WP,19,2012091600, 03,EE46, 12,30.8,127.8, 75, 955,XX
WP,19,2012091600, 03,EE12, 12,30.8,127.9, 71, 957,XX
WP,19,2012091600, 03,ECMF, 18,31.9,127.5, 74, 948,XX
WP,19,2012091600, 03,EE23, 24,32.0,126.6, 74, 955,XX
