basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,18,2012102300, 03,EE37,  0,13.1,-79.3, 22,1003,XX
AL,18,2012102300, 03,EE16,  0,13.2,-79.3, 19,1004,XX
AL,18,2012102300, 03,EE00,  0,13.3,-79.3, 20,1003,XX
AL,18,2012102300, 03,ECMF,  0,13.4,-79.3, 19,1003,XX
AL,18,2012102300, 03,EE14,  0,13.5,-79.4, 22,1004,XX
AL,18,2012102300, 03,EE18,120,25.6,-74.0, 42, 990,XX
AL,18,2012102300, 03,EE34,108,24.8,-76.0, 43, 993,XX
AL,18,2012102300, 03,EE38,108,25.6,-71.9, 44, 990,XX
AL,18,2012102300, 03,EE43,108,27.1,-78.1, 45, 983,XX
AL,18,2012102300, 03,EE11,108,24.9,-73.0, 46, 990,XX
AL,18,2012102300, 03,EE42,108,24.9,-77.9, 47, 990,XX
AL,18,2012102300, 03,EE18,108,24.3,-76.3, 49, 992,XX
AL,18,2012102300, 03,EE15,120,23.6,-76.8, 50, 986,XX
AL,18,2012102300, 03,EE08,108,26.9,-74.4, 52, 986,XX
AL,18,2012102300, 03,EE13,120,32.1,-74.3, 53, 973,XX
AL,18,2012102300, 03,EE04,120,27.4,-75.4, 54, 985,XX
AL,18,2012102300, 03,EE04,108,25.0,-76.9, 55, 987,XX
AL,18,2012102300, 03,EE06,108,26.6,-76.6, 56, 981,XX
AL,18,2012102300, 03,EE08,120,29.4,-73.1, 57, 983,XX
AL,18,2012102300, 03,EE31,108,26.0,-73.6, 58, 984,XX
AL,18,2012102300, 03,EE01,120,30.5,-74.9, 59, 964,XX
AL,18,2012102300, 03,EE00,108,27.0,-76.0, 60, 983,XX
AL,18,2012102300, 03,EE01,108,28.3,-76.9, 61, 967,XX
AL,18,2012102300, 03,EE14,108,25.2,-76.0, 62, 984,XX
AL,18,2012102300, 03,EE07,108,28.0,-77.0, 63, 975,XX
AL,18,2012102300, 03,EE02,120,28.4,-76.7, 64, 978,XX
AL,18,2012102300, 03,ECMF,102,27.5,-76.3, 65, 978,XX
AL,18,2012102300, 03,ECMF,114,29.4,-75.5, 66, 974,XX
AL,18,2012102300, 03,ECMF,120,30.1,-75.7, 67, 971,XX
AL,18,2012102300, 03,EE33,120,28.1,-74.8, 68, 971,XX
AL,18,2012102300, 03,EE05,108,27.3,-76.7, 69, 968,XX
AL,18,2012102300, 03,EE07,120,30.5,-75.3, 70, 967,XX
AL,18,2012102300, 03,EE03,120,30.2,-74.1, 71, 972,XX
AL,18,2012102300, 03,ECMF,  6,13.0,-79.0, 31,1000,XX
AL,18,2012102300, 03,EE02, 12,12.6,-78.9, 37,1001,XX
AL,18,2012102300, 03,EE11, 12,12.7,-78.7, 35,1002,XX
AL,18,2012102300, 03,EE22, 12,12.7,-78.5, 39, 999,XX
AL,18,2012102300, 03,EE03, 12,13.0,-78.6, 35,1000,XX
AL,18,2012102300, 03,EE16, 12,13.1,-79.0, 36,1000,XX
AL,18,2012102300, 03,EE17, 12,13.1,-78.4, 36, 999,XX
AL,18,2012102300, 03,EE36, 12,13.2,-79.0, 38,1000,XX
AL,18,2012102300, 03,EE19, 12,13.3,-78.2, 34,1001,XX
AL,18,2012102300, 03,EE13, 12,13.3,-78.5, 41, 998,XX
AL,18,2012102300, 03,EE10, 12,13.3,-78.4, 44, 999,XX
AL,18,2012102300, 03,EE06, 12,13.4,-78.7, 36,1000,XX
AL,18,2012102300, 03,EE33, 12,13.4,-79.0, 40, 999,XX
AL,18,2012102300, 03,EE29, 12,13.5,-78.8, 35,1000,XX
AL,18,2012102300, 03,EE30, 12,13.5,-78.2, 38, 999,XX
AL,18,2012102300, 03,EE00, 12,13.6,-78.5, 38,1000,XX
AL,18,2012102300, 03,ECMF, 12,13.6,-78.5, 38, 999,XX
AL,18,2012102300, 03,EE14, 12,13.7,-78.7, 34,1001,XX
AL,18,2012102300, 03,EE08, 12,13.8,-78.0, 37,1000,XX
AL,18,2012102300, 03,EE32, 12,13.8,-78.5, 44, 997,XX
AL,18,2012102300, 03,EE20, 12,13.8,-79.0, 41, 998,XX
AL,18,2012102300, 03,EE25, 12,13.8,-78.0, 41, 999,XX
AL,18,2012102300, 03,EE05, 12,13.9,-78.0, 42, 998,XX
AL,18,2012102300, 03,EE04, 12,13.9,-78.5, 38, 999,XX
AL,18,2012102300, 03,EE34, 12,14.0,-78.3, 34,1000,XX
AL,18,2012102300, 03,EE41, 12,14.0,-78.5, 37, 997,XX
AL,18,2012102300, 03,EE15, 12,14.0,-78.0, 38, 998,XX
AL,18,2012102300, 03,EE28, 12,14.0,-78.1, 39, 999,XX
AL,18,2012102300, 03,EE01, 12,14.1,-78.5, 37, 998,XX
AL,18,2012102300, 03,EE21, 12,14.1,-78.7, 39, 999,XX
AL,18,2012102300, 03,ECMF, 18,14.5,-78.1, 40, 996,XX
AL,18,2012102300, 03,EE47, 24,14.0,-77.7, 41, 996,XX
AL,18,2012102300, 03,EE16, 24,14.2,-78.7, 34, 999,XX
AL,18,2012102300, 03,EE22, 24,14.3,-77.7, 42, 996,XX
AL,18,2012102300, 03,EE11, 24,14.4,-78.1, 32,1000,XX
AL,18,2012102300, 03,EE36, 24,14.4,-78.5, 35, 997,XX
AL,18,2012102300, 03,EE03, 24,14.4,-78.0, 41, 998,XX
AL,18,2012102300, 03,EE07, 24,14.5,-78.0, 40, 997,XX
AL,18,2012102300, 03,EE27, 24,14.5,-79.1, 36, 999,XX
AL,18,2012102300, 03,EE42, 24,14.6,-77.6, 33,1000,XX
AL,18,2012102300, 03,EE33, 24,14.6,-79.1, 41, 997,XX
AL,18,2012102300, 03,EE49, 24,14.6,-78.7, 37, 998,XX
AL,18,2012102300, 03,EE18, 24,14.7,-78.2, 33, 999,XX
AL,18,2012102300, 03,EE38, 24,14.8,-78.5, 32,1000,XX
AL,18,2012102300, 03,EE20, 24,14.8,-78.6, 47, 995,XX
AL,18,2012102300, 03,EE13, 24,14.8,-77.8, 40, 996,XX
AL,18,2012102300, 03,EE26, 24,14.8,-78.5, 37, 998,XX
AL,18,2012102300, 03,EE06, 24,14.8,-78.1, 38, 999,XX
AL,18,2012102300, 03,EE02, 24,14.9,-77.6, 37,1000,XX
AL,18,2012102300, 03,EE46, 24,14.9,-77.3, 40, 997,XX
AL,18,2012102300, 03,ECMF, 24,15.0,-78.1, 39, 996,XX
AL,18,2012102300, 03,EE50, 24,15.0,-78.3, 39, 997,XX
AL,18,2012102300, 03,EE09, 24,15.0,-77.7, 35, 998,XX
AL,18,2012102300, 03,EE10, 24,15.1,-78.3, 47, 996,XX
AL,18,2012102300, 03,EE34, 24,15.2,-76.8, 46, 998,XX
AL,18,2012102300, 03,EE05, 24,15.3,-78.0, 43, 996,XX
AL,18,2012102300, 03,EE00, 24,15.3,-78.1, 39, 998,XX
AL,18,2012102300, 03,EE14, 24,15.4,-78.1, 36,1001,XX
AL,18,2012102300, 03,EE28, 24,15.5,-77.1, 45, 995,XX
AL,18,2012102300, 03,EE01, 24,15.5,-78.1, 45, 996,XX
AL,18,2012102300, 03,EE41, 24,15.6,-77.6, 48, 994,XX
AL,18,2012102300, 03,EE35, 24,15.6,-78.1, 44, 996,XX
AL,18,2012102300, 03,EE15, 24,15.8,-77.4, 44, 997,XX
AL,18,2012102300, 03,EE08, 24,15.8,-77.5, 36, 999,XX
AL,18,2012102300, 03,EE32, 24,15.9,-78.0, 44, 994,XX
AL,18,2012102300, 03,EE25, 24,15.9,-77.6, 45, 997,XX
AL,18,2012102300, 03,ECMF, 30,15.9,-77.9, 46, 996,XX
AL,18,2012102300, 03,EE36, 36,15.5,-77.9, 45, 995,XX
AL,18,2012102300, 03,EE16, 36,15.8,-77.7, 45, 998,XX
AL,18,2012102300, 03,EE11, 36,15.8,-76.7, 44, 999,XX
AL,18,2012102300, 03,EE47, 36,15.9,-76.9, 55, 993,XX
AL,18,2012102300, 03,EE33, 36,15.9,-78.9, 43, 996,XX
AL,18,2012102300, 03,EE26, 36,15.9,-78.1, 46, 998,XX
AL,18,2012102300, 03,EE27, 36,15.9,-78.6, 41, 999,XX
AL,18,2012102300, 03,EE24, 36,16.0,-77.0, 45, 995,XX
AL,18,2012102300, 03,EE02, 36,16.1,-77.6, 43,1000,XX
AL,18,2012102300, 03,EE22, 36,16.1,-76.9, 49, 994,XX
AL,18,2012102300, 03,EE06, 36,16.2,-78.1, 45, 997,XX
AL,18,2012102300, 03,EE42, 36,16.2,-77.7, 46, 999,XX
AL,18,2012102300, 03,EE20, 36,16.4,-78.3, 49, 992,XX
AL,18,2012102300, 03,EE49, 36,16.4,-77.5, 45, 997,XX
AL,18,2012102300, 03,EE39, 36,16.4,-77.0, 42, 998,XX
AL,18,2012102300, 03,EE31, 36,16.4,-77.6, 39, 999,XX
AL,18,2012102300, 03,EE07, 36,16.5,-77.6, 48, 994,XX
