basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,04,2012052400, 03,EE03,  0,18.9,139.0, 41, 992,XX
WP,04,2012052400, 03,ECMF,  0,18.9,139.0, 40, 993,XX
WP,04,2012052400, 03,EE04,  0,18.9,139.0, 37, 994,XX
WP,04,2012052400, 03,EE06,  0,18.9,139.1, 42, 995,XX
WP,04,2012052400, 03,EE05,  0,19.0,138.9, 42, 991,XX
WP,04,2012052400, 03,EE11,  0,19.0,139.0, 40, 992,XX
WP,04,2012052400, 03,EE20,  0,19.0,139.0, 40, 993,XX
WP,04,2012052400, 03,EE07,  0,19.0,139.0, 37, 994,XX
WP,04,2012052400, 03,EE06,108,32.9,150.5, 47, 998,XX
WP,04,2012052400, 03,EE18,108,32.7,151.9, 48, 998,XX
WP,04,2012052400, 03,EE07,108,33.0,152.4, 49, 999,XX
WP,04,2012052400, 03,EE16,108,33.2,152.4, 50, 996,XX
WP,04,2012052400, 03,EE29,108,32.6,152.8, 52, 995,XX
WP,04,2012052400, 03,EE00,108,32.5,152.5, 53, 996,XX
WP,04,2012052400, 03,EE05,108,32.8,154.9, 54, 995,XX
WP,04,2012052400, 03,EE10,108,31.9,149.5, 55, 997,XX
WP,04,2012052400, 03,EE01,120,32.4,152.1, 56, 995,XX
WP,04,2012052400, 03,ECMF,108,32.9,154.7, 57, 994,XX
WP,04,2012052400, 03,EE08,120,34.4,151.8, 58, 994,XX
WP,04,2012052400, 03,EE21,120,39.4,161.2, 59, 990,XX
WP,04,2012052400, 03,EE08,108,30.0,148.3, 60, 991,XX
WP,04,2012052400, 03,EE21,108,35.0,154.2, 64, 985,XX
WP,04,2012052400, 03,EE34,108,30.4,151.7, 65, 992,XX
WP,04,2012052400, 03,EE01,108,29.1,148.9, 66, 991,XX
WP,04,2012052400, 03,EE45,108,30.7,150.3, 67, 987,XX
WP,04,2012052400, 03,ECMF,102,31.5,152.4, 68, 985,XX
WP,04,2012052400, 03,EE23,108,31.0,150.0, 69, 985,XX
WP,04,2012052400, 03,ECMF,  6,19.8,138.6, 51, 991,XX
WP,04,2012052400, 03,EE05, 12,20.0,137.7, 47, 992,XX
WP,04,2012052400, 03,EE19, 12,20.0,138.5, 47, 994,XX
WP,04,2012052400, 03,EE03, 12,20.1,138.9, 52, 992,XX
WP,04,2012052400, 03,EE23, 12,20.1,138.6, 54, 993,XX
WP,04,2012052400, 03,EE01, 12,20.1,138.5, 50, 994,XX
WP,04,2012052400, 03,EE45, 12,20.2,138.0, 52, 990,XX
WP,04,2012052400, 03,EE21, 12,20.2,138.5, 54, 994,XX
WP,04,2012052400, 03,EE31, 12,20.3,138.3, 49, 993,XX
WP,04,2012052400, 03,EE07, 12,20.3,138.2, 46, 995,XX
