basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,12,2012080200, 03,EE03,  0,22.7,122.5, 46, 981,XX
WP,12,2012080200, 03,EE30,  0,23.1,121.6, 48, 976,XX
WP,12,2012080200, 03,EE15,  0,23.1,121.6, 44, 978,XX
WP,12,2012080200, 03,EE02,  0,23.1,121.6, 43, 980,XX
WP,12,2012080200, 03,EE18,  0,23.1,122.5, 44, 981,XX
WP,12,2012080200, 03,EE10,  0,23.2,121.6, 48, 976,XX
WP,12,2012080200, 03,EE04,  0,23.2,121.6, 46, 978,XX
WP,12,2012080200, 03,EE01,  0,23.2,121.7, 45, 979,XX
WP,12,2012080200, 03,EE00,  0,23.2,121.6, 44, 980,XX
WP,12,2012080200, 03,EE14,  0,23.2,121.7, 43, 981,XX
WP,12,2012080200, 03,ECMF,  0,23.4,121.7, 45, 979,XX
WP,12,2012080200, 03,EE36,  0,23.9,122.9, 45, 980,XX
WP,12,2012080200, 03,EE16,  0,23.9,122.9, 45, 981,XX
WP,12,2012080200, 03,EE09,  0,24.0,123.0, 43, 982,XX
WP,12,2012080200, 03,ECMF,  6,25.5,122.5, 49, 981,XX
WP,12,2012080200, 03,EE07, 12,23.2,121.7, 49, 988,XX
WP,12,2012080200, 03,EE37, 12,23.5,121.7, 48, 987,XX
WP,12,2012080200, 03,EE45, 12,23.5,121.7, 48, 988,XX
WP,12,2012080200, 03,EE33, 12,23.6,122.1, 51, 988,XX
WP,12,2012080200, 03,EE25, 12,23.7,122.1, 49, 986,XX
WP,12,2012080200, 03,EE27, 12,23.9,122.2, 46, 988,XX
WP,12,2012080200, 03,EE42, 12,24.0,122.1, 49, 986,XX
WP,12,2012080200, 03,EE19, 12,24.0,122.1, 49, 988,XX
WP,12,2012080200, 03,EE44, 12,24.1,122.1, 56, 987,XX
WP,12,2012080200, 03,EE47, 12,24.1,122.5, 51, 989,XX
WP,12,2012080200, 03,EE50, 12,24.2,122.1, 45, 988,XX
WP,12,2012080200, 03,EE30, 12,24.2,122.1, 48, 989,XX
WP,12,2012080200, 03,EE24, 12,24.5,122.1, 60, 986,XX
WP,12,2012080200, 03,EE38, 12,24.5,122.2, 50, 990,XX
WP,12,2012080200, 03,EE17, 12,24.6,122.2, 53, 987,XX
WP,12,2012080200, 03,EE04, 12,24.8,122.1, 58, 987,XX
WP,12,2012080200, 03,EE48, 12,25.6,121.1, 45, 983,XX
WP,12,2012080200, 03,EE31, 12,25.6,121.3, 48, 984,XX
WP,12,2012080200, 03,EE28, 12,25.6,121.4, 49, 985,XX
WP,12,2012080200, 03,EE08, 12,25.7,120.9, 50, 979,XX
WP,12,2012080200, 03,EE09, 12,25.7,121.5, 49, 985,XX
WP,12,2012080200, 03,EE16, 12,25.8,121.4, 45, 982,XX
WP,12,2012080200, 03,EE20, 12,25.9,121.4, 51, 982,XX
WP,12,2012080200, 03,EE00, 12,25.9,121.4, 50, 983,XX
WP,12,2012080200, 03,EE12, 12,25.9,121.6, 51, 984,XX
WP,12,2012080200, 03,ECMF, 12,26.0,121.0, 53, 980,XX
WP,12,2012080200, 03,EE32, 12,26.0,121.3, 48, 981,XX
WP,12,2012080200, 03,EE15, 12,26.0,121.9, 53, 982,XX
WP,12,2012080200, 03,EE22, 12,26.0,122.1, 52, 984,XX
WP,12,2012080200, 03,EE06, 12,26.0,121.6, 53, 985,XX
WP,12,2012080200, 03,EE41, 12,26.1,121.1, 48, 981,XX
WP,12,2012080200, 03,EE29, 12,26.1,121.2, 50, 984,XX
