basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,07,2012081712, 03,EE16,  0,19.2,-94.9, 19,1012,XX
AL,07,2012081712, 03,EE01,  0,19.3,-95.0, 20,1011,XX
AL,07,2012081712, 03,EE21,  0,19.4,-94.9, 20,1011,XX
AL,07,2012081712, 03,EE03,  0,19.5,-95.0, 21,1011,XX
AL,07,2012081712, 03,ECMF,  0,19.6,-94.9, 19,1011,XX
AL,07,2012081712, 03,EE10,  0,19.7,-95.0, 20,1011,XX
AL,07,2012081712, 03,EE15,  0,19.8,-95.0, 21,1011,XX
AL,07,2012081712, 03,EE02,  0,19.9,-94.6, 19,1011,XX
AL,07,2012081712, 03,EE04,  0,20.0,-94.5, 20,1011,XX
AL,07,2012081712, 03,EE35,108,29.5,-91.0, 43, 999,XX
AL,07,2012081712, 03,ECMF,  6,19.8,-95.4, 19,1012,XX
AL,07,2012081712, 03,EE44, 12,17.5,-95.1, 18,1009,XX
AL,07,2012081712, 03,EE09, 12,17.6,-94.8, 17,1009,XX
AL,07,2012081712, 03,EE30, 12,18.1,-95.9, 16,1008,XX
AL,07,2012081712, 03,EE04, 12,19.5,-95.9, 19,1009,XX
AL,07,2012081712, 03,EE01, 12,19.6,-95.9, 16,1009,XX
AL,07,2012081712, 03,EE22, 12,19.7,-95.0, 17,1009,XX
AL,07,2012081712, 03,EE12, 12,19.8,-95.2, 16,1009,XX
AL,07,2012081712, 03,EE00, 12,20.0,-95.1, 13,1009,XX
AL,07,2012081712, 03,EE33, 12,20.2,-95.8, 16,1009,XX
AL,07,2012081712, 03,EE10, 12,20.4,-95.6, 13,1009,XX
AL,07,2012081712, 03,EE05, 12,20.5,-95.6, 20,1009,XX
AL,07,2012081712, 03,EE02, 12,20.6,-96.4, 15,1009,XX
AL,07,2012081712, 03,EE18, 12,21.0,-96.4, 17,1009,XX
AL,07,2012081712, 03,ECMF, 12,21.2,-96.6, 15,1010,XX
AL,07,2012081712, 03,EE19, 12,21.3,-97.0, 16,1009,XX
AL,07,2012081712, 03,EE41, 12,21.5,-97.0, 14,1009,XX
AL,07,2012081712, 03,EE31, 12,21.6,-97.0, 15,1009,XX
AL,07,2012081712, 03,EE28, 12,21.7,-97.3, 14,1009,XX
AL,07,2012081712, 03,EE14, 12,21.8,-97.0, 17,1009,XX
AL,07,2012081712, 03,EE35, 12,22.1,-97.4, 16,1009,XX
AL,07,2012081712, 03,EE40, 12,22.5,-98.4, 16,1009,XX
AL,07,2012081712, 03,EE23, 12,22.6,-98.8, 17,1009,XX
AL,07,2012081712, 03,EE03, 12,23.0,-98.9, 16,1009,XX
AL,07,2012081712, 03,EE39, 12,24.0,-98.9, 17,1009,XX
AL,07,2012081712, 03,ECMF, 18,21.1,-96.1, 19,1012,XX
AL,07,2012081712, 03,EE09, 24,14.9,-93.1, 10,1012,XX
AL,07,2012081712, 03,EE30, 24,18.6,-95.9, 26,1011,XX
AL,07,2012081712, 03,EE15, 24,18.7,-94.0, 24,1011,XX
AL,07,2012081712, 03,EE01, 24,18.9,-94.5, 18,1011,XX
AL,07,2012081712, 03,EE12, 24,21.4,-96.2, 22,1012,XX
AL,07,2012081712, 03,EE48, 24,21.5,-96.9, 20,1011,XX
AL,07,2012081712, 03,EE04, 24,21.6,-96.9, 21,1011,XX
AL,07,2012081712, 03,EE25, 24,21.7,-97.3, 24,1010,XX
AL,07,2012081712, 03,EE02, 24,21.8,-97.0, 23,1011,XX
AL,07,2012081712, 03,EE27, 24,21.9,-96.8, 19,1012,XX
AL,07,2012081712, 03,EE10, 24,22.0,-97.4, 20,1010,XX
AL,07,2012081712, 03,EE00, 24,22.1,-97.4, 21,1011,XX
AL,07,2012081712, 03,EE49, 24,22.2,-97.1, 23,1010,XX
AL,07,2012081712, 03,ECMF, 24,22.3,-97.3, 22,1011,XX
AL,07,2012081712, 03,EE14, 24,22.5,-97.5, 26,1011,XX
AL,07,2012081712, 03,EE32, 24,22.6,-97.5, 27,1011,XX
AL,07,2012081712, 03,EE33, 24,22.7,-97.3, 24,1011,XX
AL,07,2012081712, 03,EE20, 24,23.0,-97.4, 25,1011,XX
AL,07,2012081712, 03,EE31, 24,23.1,-96.7, 25,1011,XX
AL,07,2012081712, 03,EE23, 24,24.0,-98.8, 23,1011,XX
AL,07,2012081712, 03,EE40, 24,25.4,-99.4, 23,1011,XX
AL,07,2012081712, 03,ECMF, 30,25.5,-99.8, 18,1010,XX
AL,07,2012081712, 03,EE14, 36,20.6,-97.3, 19,1007,XX
AL,07,2012081712, 03,EE01, 36,20.7,-97.3, 16,1008,XX
AL,07,2012081712, 03,EE44, 36,21.6,-98.4, 22,1006,XX
AL,07,2012081712, 03,EE05, 36,21.7,-98.4, 23,1008,XX
AL,07,2012081712, 03,EE02, 36,22.1,-97.6, 19,1008,XX
AL,07,2012081712, 03,EE38, 36,22.2,-98.4, 22,1006,XX
AL,07,2012081712, 03,EE18, 36,22.3,-98.4, 20,1006,XX
AL,07,2012081712, 03,EE04, 36,22.4,-97.7, 18,1008,XX
AL,07,2012081712, 03,EE45, 36,22.6,-97.6, 19,1007,XX
AL,07,2012081712, 03,EE22, 36,23.1,-98.9, 17,1007,XX
AL,07,2012081712, 03,EE12, 36,23.3,-97.4, 21,1008,XX
AL,07,2012081712, 03,EE00, 36,24.0,-98.9, 18,1006,XX
AL,07,2012081712, 03,EE33, 36,25.5,-99.5, 18,1005,XX
AL,07,2012081712, 03,EE10, 36,25.6,-99.4, 17,1006,XX
AL,07,2012081712, 03,EE32, 36,27.5,-100.4, 18,1005,XX
AL,07,2012081712, 03,EE02, 48,20.5,-96.4, 26,1009,XX
AL,07,2012081712, 03,EE04, 48,20.6,-96.7, 22,1010,XX
AL,07,2012081712, 03,EE01, 48,20.7,-96.9, 20,1010,XX
AL,07,2012081712, 03,EE18, 48,21.0,-96.9, 24,1008,XX
AL,07,2012081712, 03,EE44, 48,21.4,-97.2, 29,1007,XX
AL,07,2012081712, 03,EE35, 48,24.1,-98.0, 29,1009,XX
