basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,07,2012062000, 03,EE18,  0,22.5,117.5, 42, 991,XX
WP,07,2012062000, 03,EE38,  0,22.5,117.5, 42, 992,XX
WP,07,2012062000, 03,EE06,  0,22.7,117.7, 41, 989,XX
WP,07,2012062000, 03,EE01,  0,22.7,117.6, 41, 990,XX
WP,07,2012062000, 03,EE08,  0,22.8,117.6, 42, 989,XX
WP,07,2012062000, 03,ECMF,  0,22.8,117.6, 42, 990,XX
WP,07,2012062000, 03,EE17,  0,22.9,117.7, 42, 988,XX
WP,07,2012062000, 03,EE02,  0,22.9,117.7, 42, 989,XX
WP,07,2012062000, 03,EE04,  0,22.9,117.7, 41, 990,XX
WP,07,2012062000, 03,EE25,  0,23.0,117.6, 41, 990,XX
WP,07,2012062000, 03,EE05,  0,23.0,117.6, 41, 991,XX
WP,07,2012062000, 03,ECMF,  6,24.0,118.8, 54, 991,XX
WP,07,2012062000, 03,EE19, 12,24.1,120.0, 48, 992,XX
WP,07,2012062000, 03,EE35, 12,24.4,119.4, 54, 991,XX
WP,07,2012062000, 03,EE14, 12,24.4,119.4, 48, 993,XX
WP,07,2012062000, 03,EE04, 12,24.5,120.0, 45, 991,XX
WP,07,2012062000, 03,EE26, 12,24.5,120.2, 48, 992,XX
WP,07,2012062000, 03,EE34, 12,24.5,119.7, 49, 994,XX
WP,07,2012062000, 03,EE17, 12,24.6,120.2, 52, 990,XX
WP,07,2012062000, 03,EE32, 12,24.6,120.3, 47, 992,XX
WP,07,2012062000, 03,EE50, 12,24.6,120.3, 53, 993,XX
WP,07,2012062000, 03,EE43, 12,24.7,119.5, 54, 990,XX
WP,07,2012062000, 03,EE10, 12,24.8,119.9, 48, 989,XX
WP,07,2012062000, 03,EE33, 12,24.8,120.0, 52, 991,XX
WP,07,2012062000, 03,ECMF, 12,24.8,119.9, 49, 994,XX
WP,07,2012062000, 03,EE24, 12,24.9,120.1, 57, 988,XX
WP,07,2012062000, 03,EE16, 12,24.9,120.1, 53, 989,XX
WP,07,2012062000, 03,EE22, 12,24.9,120.0, 59, 991,XX
WP,07,2012062000, 03,EE06, 12,24.9,120.1, 50, 992,XX
WP,07,2012062000, 03,EE29, 12,24.9,119.8, 46, 993,XX
WP,07,2012062000, 03,EE11, 12,24.9,119.7, 51, 994,XX
WP,07,2012062000, 03,EE28, 12,24.9,120.0, 49, 995,XX
WP,07,2012062000, 03,EE01, 12,24.9,120.0, 44, 996,XX
WP,07,2012062000, 03,EE49, 12,25.0,120.0, 55, 990,XX
WP,07,2012062000, 03,EE37, 12,25.0,120.7, 55, 991,XX
WP,07,2012062000, 03,EE00, 12,25.0,120.0, 51, 992,XX
WP,07,2012062000, 03,EE03, 12,25.0,119.7, 45, 994,XX
WP,07,2012062000, 03,EE36, 12,25.1,120.7, 51, 993,XX
WP,07,2012062000, 03,EE18, 12,25.1,120.0, 47, 995,XX
WP,07,2012062000, 03,EE02, 12,25.2,120.7, 51, 992,XX
WP,07,2012062000, 03,EE42, 12,25.2,120.6, 54, 993,XX
WP,07,2012062000, 03,EE05, 12,25.2,120.5, 46, 994,XX
WP,07,2012062000, 03,EE25, 12,25.3,119.7, 50, 993,XX
WP,07,2012062000, 03,EE40, 12,25.3,120.0, 52, 994,XX
WP,07,2012062000, 03,EE47, 12,25.4,120.4, 52, 992,XX
WP,07,2012062000, 03,EE13, 12,25.4,120.4, 51, 994,XX
WP,07,2012062000, 03,EE38, 12,25.4,120.0, 50, 995,XX
WP,07,2012062000, 03,EE44, 12,26.1,121.5, 53, 993,XX
WP,07,2012062000, 03,ECMF, 18,25.2,121.1, 49, 996,XX
WP,07,2012062000, 03,EE19, 24,26.0,124.4, 55,1001,XX
WP,07,2012062000, 03,EE43, 24,26.1,122.1, 48, 998,XX
WP,07,2012062000, 03,EE01, 24,26.1,123.6, 45, 999,XX
