basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,17,2012082312, 03,ECMF,  0,22.9,122.5, 59, 969,XX
WP,17,2012082312, 03,EE04,  0,22.9,122.5, 65, 970,XX
WP,17,2012082312, 03,EE02,  0,22.9,122.5, 55, 971,XX
WP,17,2012082312, 03,EE00,  0,22.9,122.5, 57, 972,XX
WP,17,2012082312, 03,EE03,  0,22.9,122.5, 53, 973,XX
WP,17,2012082312, 03,EE38,  0,22.9,122.5, 54, 974,XX
WP,17,2012082312, 03,EE18,  0,22.9,122.5, 55, 975,XX
WP,17,2012082312, 03,EE25,108,19.7,115.5, 27, 999,XX
WP,17,2012082312, 03,EE13,120,26.4,125.5, 33, 999,XX
WP,17,2012082312, 03,EE08,108,22.7,121.6, 36, 997,XX
WP,17,2012082312, 03,EE02,108,23.3,124.1, 37, 999,XX
WP,17,2012082312, 03,EE13,108,24.3,124.4, 39, 997,XX
WP,17,2012082312, 03,EE32,108,24.5,122.5, 41, 996,XX
WP,17,2012082312, 03,EE19,120,23.6,124.9, 42, 997,XX
WP,17,2012082312, 03,EE10,108,23.5,123.0, 44, 999,XX
WP,17,2012082312, 03,EE05,108,27.3,128.4, 45, 998,XX
WP,17,2012082312, 03,EE19,108,22.0,123.0, 46, 994,XX
WP,17,2012082312, 03,EE18,120,23.5,119.6, 47, 991,XX
WP,17,2012082312, 03,EE21,108,22.4,121.2, 48, 990,XX
WP,17,2012082312, 03,EE07,120,36.5,128.4, 49, 997,XX
WP,17,2012082312, 03,EE09,120,27.3,125.9, 50, 997,XX
WP,17,2012082312, 03,EE03,120,28.1,125.9, 51, 995,XX
WP,17,2012082312, 03,EE01,120,28.2,130.4, 52, 996,XX
WP,17,2012082312, 03,EE18,108,22.2,117.5, 53, 991,XX
WP,17,2012082312, 03,EE38,108,31.1,126.8, 54, 999,XX
WP,17,2012082312, 03,EE01,108,24.6,126.8, 56, 993,XX
WP,17,2012082312, 03,EE23,120,22.2,121.6, 57, 987,XX
WP,17,2012082312, 03,EE03,108,25.5,124.8, 58, 993,XX
WP,17,2012082312, 03,EE33,120,25.4,126.3, 59, 990,XX
WP,17,2012082312, 03,EE09,108,24.9,123.9, 61, 994,XX
WP,17,2012082312, 03,EE14,108,20.1,115.9, 62, 977,XX
WP,17,2012082312, 03,EE36,108,24.5,127.0, 63, 988,XX
WP,17,2012082312, 03,EE36,120,26.9,128.9, 64, 988,XX
WP,17,2012082312, 03,EE33,108,23.5,124.4, 65, 986,XX
WP,17,2012082312, 03,EE27,120,22.1,121.5, 66, 978,XX
WP,17,2012082312, 03,EE00,108,24.0,124.6, 67, 984,XX
WP,17,2012082312, 03,EE47,108,25.1,124.0, 68, 977,XX
WP,17,2012082312, 03,EE00,120,26.1,126.1, 69, 983,XX
WP,17,2012082312, 03,ECMF,120,26.0,124.5, 70, 982,XX
WP,17,2012082312, 03,EE31,120,23.8,126.4, 72, 984,XX
WP,17,2012082312, 03,EE31,108,22.1,122.5, 75, 975,XX
WP,17,2012082312, 03,EE07,108,30.5,127.8, 76, 990,XX
WP,17,2012082312, 03,ECMF,108,23.6,123.0, 78, 978,XX
WP,17,2012082312, 03,EE27,108,20.4,118.9, 81, 972,XX
WP,17,2012082312, 03,EE34,108,23.5,123.8, 82, 978,XX
WP,17,2012082312, 03,ECMF,102,22.6,122.1, 96, 971,XX
WP,17,2012082312, 03,ECMF,  6,23.0,121.5, 55, 972,XX
WP,17,2012082312, 03,EE36, 12,22.1,120.4, 61, 986,XX
WP,17,2012082312, 03,EE04, 12,22.1,120.5, 52, 988,XX
WP,17,2012082312, 03,EE27, 12,22.1,121.0, 53, 989,XX
WP,17,2012082312, 03,EE24, 12,22.2,120.5, 54, 986,XX
WP,17,2012082312, 03,EE37, 12,22.3,120.5, 51, 988,XX
WP,17,2012082312, 03,EE17, 12,22.4,120.7, 57, 988,XX
WP,17,2012082312, 03,EE41, 12,22.4,120.9, 50, 990,XX
WP,17,2012082312, 03,EE39, 12,22.5,120.6, 57, 984,XX
WP,17,2012082312, 03,EE12, 12,22.5,120.1, 59, 988,XX
WP,17,2012082312, 03,EE14, 12,22.5,120.9, 50, 989,XX
WP,17,2012082312, 03,EE19, 12,22.5,120.4, 55, 990,XX
WP,17,2012082312, 03,EE30, 12,22.5,120.4, 52, 991,XX
WP,17,2012082312, 03,EE16, 12,22.5,120.4, 50, 992,XX
WP,17,2012082312, 03,EE50, 12,22.5,120.6, 48, 993,XX
WP,17,2012082312, 03,EE47, 12,22.6,120.4, 59, 984,XX
WP,17,2012082312, 03,EE34, 12,22.6,120.5, 55, 988,XX
WP,17,2012082312, 03,EE02, 12,22.6,120.0, 56, 990,XX
WP,17,2012082312, 03,EE21, 12,22.6,120.5, 50, 992,XX
WP,17,2012082312, 03,EE11, 12,22.6,120.4, 49, 998,XX
WP,17,2012082312, 03,EE07, 12,22.7,120.5, 58, 988,XX
WP,17,2012082312, 03,EE45, 12,22.7,120.5, 52, 990,XX
WP,17,2012082312, 03,EE00, 12,22.8,120.4, 52, 991,XX
WP,17,2012082312, 03,EE31, 12,22.9,120.4, 54, 988,XX
WP,17,2012082312, 03,EE26, 12,22.9,120.4, 60, 990,XX
WP,17,2012082312, 03,EE22, 12,22.9,120.4, 52, 992,XX
WP,17,2012082312, 03,EE10, 12,22.9,120.4, 50, 993,XX
WP,17,2012082312, 03,EE05, 12,23.0,120.2, 63, 988,XX
WP,17,2012082312, 03,EE23, 12,23.0,120.4, 52, 989,XX
WP,17,2012082312, 03,ECMF, 12,23.0,120.4, 51, 990,XX
WP,17,2012082312, 03,EE40, 12,23.0,120.4, 55, 991,XX
WP,17,2012082312, 03,EE08, 12,23.0,120.4, 51, 992,XX
WP,17,2012082312, 03,EE06, 12,23.0,120.4, 50, 993,XX
WP,17,2012082312, 03,EE01, 12,23.0,120.4, 47, 994,XX
WP,17,2012082312, 03,EE49, 12,23.1,120.1, 56, 989,XX
WP,17,2012082312, 03,EE46, 12,23.1,120.4, 49, 990,XX
WP,17,2012082312, 03,EE28, 12,23.1,120.4, 52, 992,XX
WP,17,2012082312, 03,EE15, 12,23.1,120.3, 45, 994,XX
WP,17,2012082312, 03,EE03, 12,23.2,120.4, 56, 992,XX
WP,17,2012082312, 03,EE35, 12,23.5,120.4, 54, 991,XX
WP,17,2012082312, 03,EE25, 12,23.5,120.3, 52, 992,XX
WP,17,2012082312, 03,EE13, 12,23.5,120.3, 49, 993,XX
WP,17,2012082312, 03,EE43, 12,23.5,120.4, 51, 994,XX
WP,17,2012082312, 03,EE18, 12,23.9,120.3, 52, 993,XX
WP,17,2012082312, 03,ECMF, 18,22.4,119.5, 55, 990,XX
WP,17,2012082312, 03,EE19, 24,21.5,118.5, 52, 990,XX
WP,17,2012082312, 03,EE04, 24,21.6,119.8, 48, 986,XX
WP,17,2012082312, 03,EE27, 24,21.6,119.5, 55, 987,XX
WP,17,2012082312, 03,EE32, 24,21.6,119.5, 47, 988,XX
WP,17,2012082312, 03,EE23, 24,21.7,119.1, 58, 988,XX
WP,17,2012082312, 03,EE30, 24,21.7,119.1, 51, 990,XX
WP,17,2012082312, 03,EE36, 24,21.8,119.6, 51, 989,XX
WP,17,2012082312, 03,EE16, 24,21.8,119.1, 41, 991,XX
WP,17,2012082312, 03,EE09, 24,21.8,119.4, 46, 992,XX
WP,17,2012082312, 03,EE14, 24,21.9,119.1, 50, 989,XX
WP,17,2012082312, 03,EE21, 24,21.9,118.0, 52, 994,XX
WP,17,2012082312, 03,EE07, 24,22.0,120.0, 55, 979,XX
WP,17,2012082312, 03,EE41, 24,22.0,119.7, 53, 986,XX
WP,17,2012082312, 03,EE24, 24,22.0,119.4, 48, 988,XX
WP,17,2012082312, 03,EE00, 24,22.0,119.5, 43, 990,XX
WP,17,2012082312, 03,EE02, 24,22.0,119.9, 45, 991,XX
WP,17,2012082312, 03,EE20, 24,22.0,119.3, 45, 993,XX
WP,17,2012082312, 03,EE26, 24,22.0,120.0, 46, 994,XX
WP,17,2012082312, 03,EE33, 24,22.1,119.9, 55, 985,XX
WP,17,2012082312, 03,EE37, 24,22.1,120.0, 51, 986,XX
WP,17,2012082312, 03,EE12, 24,22.1,119.6, 47, 988,XX
WP,17,2012082312, 03,ECMF, 24,22.1,119.4, 43, 990,XX
WP,17,2012082312, 03,EE44, 24,22.1,119.5, 45, 993,XX
WP,17,2012082312, 03,EE10, 24,22.1,118.7, 46, 995,XX
WP,17,2012082312, 03,EE50, 24,22.1,119.6, 45, 996,XX
