basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,10,2012082212, 03,ECMF,  0,12.0,-36.0, 25,1011,XX
AL,10,2012082212, 03,EE00,  0,12.1,-36.0, 25,1011,XX
AL,10,2012082212, 03,ECMF,  6,12.9,-36.7, 31,1009,XX
AL,10,2012082212, 03,EE03, 12,12.4,-37.5, 33,1008,XX
AL,10,2012082212, 03,EE18, 12,12.5,-38.1, 28,1009,XX
AL,10,2012082212, 03,EE38, 12,12.6,-38.0, 28,1010,XX
AL,10,2012082212, 03,EE43, 12,12.8,-38.1, 30,1009,XX
AL,10,2012082212, 03,EE11, 12,12.9,-38.4, 27,1008,XX
AL,10,2012082212, 03,EE02, 12,13.0,-38.0, 29,1008,XX
AL,10,2012082212, 03,EE13, 12,13.1,-38.0, 26,1009,XX
AL,10,2012082212, 03,EE05, 12,13.2,-37.9, 30,1009,XX
AL,10,2012082212, 03,EE34, 12,13.3,-38.0, 32,1010,XX
AL,10,2012082212, 03,EE36, 12,13.4,-38.0, 31,1009,XX
AL,10,2012082212, 03,EE00, 12,13.5,-38.0, 28,1009,XX
AL,10,2012082212, 03,EE14, 12,13.6,-38.1, 26,1010,XX
AL,10,2012082212, 03,ECMF, 12,13.8,-38.0, 31,1010,XX
AL,10,2012082212, 03,EE04, 12,13.9,-38.4, 32,1009,XX
AL,10,2012082212, 03,EE44, 12,14.0,-38.1, 31,1009,XX
AL,10,2012082212, 03,EE10, 12,14.1,-37.9, 30,1009,XX
AL,10,2012082212, 03,EE19, 12,14.2,-37.6, 28,1009,XX
AL,10,2012082212, 03,EE26, 12,14.3,-38.3, 24,1010,XX
AL,10,2012082212, 03,EE12, 12,14.4,-37.2, 29,1010,XX
AL,10,2012082212, 03,EE01, 12,14.5,-38.0, 31,1010,XX
AL,10,2012082212, 03,ECMF, 18,14.4,-39.5, 27,1008,XX
AL,10,2012082212, 03,EE31, 24,13.0,-40.7, 24,1011,XX
AL,10,2012082212, 03,EE13, 24,13.8,-40.4, 27,1010,XX
AL,10,2012082212, 03,EE18, 24,13.9,-40.2, 29,1010,XX
AL,10,2012082212, 03,EE07, 24,14.0,-40.0, 25,1011,XX
AL,10,2012082212, 03,EE21, 24,14.1,-40.9, 27,1011,XX
AL,10,2012082212, 03,EE28, 24,14.3,-41.6, 30,1010,XX
AL,10,2012082212, 03,EE11, 24,14.4,-40.5, 26,1010,XX
AL,10,2012082212, 03,EE09, 24,14.5,-40.7, 30,1010,XX
AL,10,2012082212, 03,EE06, 24,14.6,-41.8, 23,1011,XX
AL,10,2012082212, 03,EE19, 24,14.7,-40.5, 37,1009,XX
AL,10,2012082212, 03,ECMF, 24,14.8,-41.0, 26,1010,XX
AL,10,2012082212, 03,EE05, 24,14.9,-40.6, 27,1010,XX
AL,10,2012082212, 03,EE16, 24,15.0,-40.6, 25,1010,XX
AL,10,2012082212, 03,EE02, 24,15.1,-39.5, 32,1010,XX
AL,10,2012082212, 03,EE01, 24,15.2,-41.7, 29,1011,XX
AL,10,2012082212, 03,EE04, 24,15.3,-41.8, 27,1011,XX
AL,10,2012082212, 03,EE03, 24,15.4,-39.5, 37,1007,XX
AL,10,2012082212, 03,EE30, 24,15.5,-40.9, 30,1010,XX
AL,10,2012082212, 03,EE12, 24,15.6,-40.5, 30,1010,XX
AL,10,2012082212, 03,ECMF, 30,15.0,-42.3, 22,1008,XX
AL,10,2012082212, 03,EE31, 36,13.5,-43.2, 21,1010,XX
AL,10,2012082212, 03,EE39, 36,14.1,-42.7, 22,1010,XX
AL,10,2012082212, 03,EE47, 36,14.3,-43.3, 22,1011,XX
AL,10,2012082212, 03,EE11, 36,14.5,-43.3, 25,1010,XX
AL,10,2012082212, 03,EE15, 36,14.6,-43.2, 20,1011,XX
AL,10,2012082212, 03,EE07, 36,14.8,-42.4, 23,1011,XX
AL,10,2012082212, 03,EE18, 36,14.9,-43.0, 27,1010,XX
AL,10,2012082212, 03,EE20, 36,15.0,-44.2, 24,1010,XX
AL,10,2012082212, 03,EE00, 36,15.1,-43.3, 26,1011,XX
AL,10,2012082212, 03,EE06, 36,15.2,-42.9, 23,1011,XX
AL,10,2012082212, 03,ECMF, 36,15.3,-43.1, 24,1011,XX
AL,10,2012082212, 03,EE01, 36,15.4,-44.2, 24,1010,XX
AL,10,2012082212, 03,EE02, 36,15.5,-42.2, 33,1010,XX
AL,10,2012082212, 03,EE04, 36,15.6,-43.9, 25,1011,XX
AL,10,2012082212, 03,EE05, 36,15.7,-43.6, 25,1011,XX
AL,10,2012082212, 03,EE30, 36,15.8,-43.6, 33,1010,XX
AL,10,2012082212, 03,EE09, 36,15.9,-42.8, 26,1010,XX
AL,10,2012082212, 03,EE08, 36,16.0,-43.7, 27,1010,XX
AL,10,2012082212, 03,EE25, 36,16.1,-41.9, 37,1007,XX
AL,10,2012082212, 03,EE19, 36,16.4,-42.4, 30,1009,XX
AL,10,2012082212, 03,EE03, 36,16.8,-42.4, 33,1008,XX
AL,10,2012082212, 03,EE12, 36,16.9,-42.7, 31,1009,XX
AL,10,2012082212, 03,ECMF, 42,15.8,-44.1, 21,1008,XX
AL,10,2012082212, 03,EE31, 48,14.0,-45.9, 21,1010,XX
AL,10,2012082212, 03,EE47, 48,14.5,-45.6, 19,1011,XX
AL,10,2012082212, 03,EE11, 48,14.9,-45.2, 22,1010,XX
AL,10,2012082212, 03,EE39, 48,15.0,-44.4, 23,1011,XX
AL,10,2012082212, 03,EE07, 48,15.1,-44.4, 18,1011,XX
AL,10,2012082212, 03,EE27, 48,15.2,-45.1, 21,1012,XX
AL,10,2012082212, 03,EE20, 48,15.3,-47.3, 24,1010,XX
AL,10,2012082212, 03,EE10, 48,15.4,-46.5, 22,1011,XX
AL,10,2012082212, 03,EE21, 48,15.5,-45.5, 25,1012,XX
AL,10,2012082212, 03,EE02, 48,15.8,-44.3, 22,1010,XX
AL,10,2012082212, 03,EE00, 48,15.9,-45.2, 22,1011,XX
AL,10,2012082212, 03,ECMF, 48,16.0,-45.4, 23,1011,XX
AL,10,2012082212, 03,EE05, 48,16.1,-46.4, 20,1011,XX
AL,10,2012082212, 03,EE01, 48,16.2,-47.1, 31,1011,XX
AL,10,2012082212, 03,EE04, 48,16.3,-46.4, 24,1011,XX
AL,10,2012082212, 03,EE17, 48,16.4,-45.2, 26,1011,XX
AL,10,2012082212, 03,EE14, 48,16.8,-46.8, 24,1012,XX
AL,10,2012082212, 03,EE09, 48,16.9,-44.9, 29,1008,XX
AL,10,2012082212, 03,EE24, 48,17.0,-46.5, 28,1010,XX
AL,10,2012082212, 03,EE03, 48,17.6,-44.7, 27,1009,XX
AL,10,2012082212, 03,EE08, 48,17.8,-46.0, 24,1010,XX
AL,10,2012082212, 03,EE40, 48,17.9,-45.3, 27,1010,XX
AL,10,2012082212, 03,EE12, 48,18.7,-45.3, 33,1009,XX
AL,10,2012082212, 03,ECMF, 54,16.4,-46.7, 21,1009,XX
AL,10,2012082212, 03,EE31, 60,15.0,-48.5, 20,1011,XX
AL,10,2012082212, 03,EE38, 60,15.4,-47.9, 17,1012,XX
AL,10,2012082212, 03,EE35, 60,15.5,-50.1, 19,1012,XX
AL,10,2012082212, 03,EE20, 60,15.6,-50.0, 16,1011,XX
AL,10,2012082212, 03,EE26, 60,15.7,-50.5, 19,1012,XX
AL,10,2012082212, 03,EE15, 60,15.8,-47.3, 16,1012,XX
AL,10,2012082212, 03,EE07, 60,15.9,-46.8, 17,1013,XX
AL,10,2012082212, 03,EE11, 60,16.0,-48.1, 20,1012,XX
AL,10,2012082212, 03,EE34, 60,16.2,-49.9, 17,1011,XX
AL,10,2012082212, 03,EE37, 60,16.3,-47.1, 20,1012,XX
AL,10,2012082212, 03,EE00, 60,16.4,-48.4, 18,1012,XX
AL,10,2012082212, 03,EE05, 60,16.6,-50.0, 19,1012,XX
AL,10,2012082212, 03,EE22, 60,16.7,-49.1, 22,1012,XX
AL,10,2012082212, 03,EE01, 60,16.8,-50.4, 22,1011,XX
AL,10,2012082212, 03,EE02, 60,16.9,-46.3, 17,1011,XX
AL,10,2012082212, 03,ECMF, 60,17.0,-47.7, 20,1011,XX
AL,10,2012082212, 03,EE36, 60,17.1,-46.6, 18,1012,XX
AL,10,2012082212, 03,EE06, 60,17.2,-46.7, 16,1012,XX
AL,10,2012082212, 03,EE13, 60,17.3,-46.1, 20,1012,XX
AL,10,2012082212, 03,EE04, 60,17.4,-48.7, 20,1012,XX
AL,10,2012082212, 03,EE23, 60,17.5,-49.3, 22,1011,XX
AL,10,2012082212, 03,EE14, 60,17.7,-49.9, 20,1013,XX
AL,10,2012082212, 03,EE16, 60,17.9,-48.3, 21,1011,XX
AL,10,2012082212, 03,EE09, 60,18.1,-47.2, 29,1008,XX
AL,10,2012082212, 03,EE33, 60,18.4,-47.9, 26,1011,XX
AL,10,2012082212, 03,EE03, 60,18.5,-47.6, 27,1010,XX
AL,10,2012082212, 03,EE19, 60,18.9,-49.0, 32,1010,XX
AL,10,2012082212, 03,EE08, 60,19.8,-49.5, 22,1011,XX
AL,10,2012082212, 03,EE12, 60,20.1,-47.4, 29,1010,XX
AL,10,2012082212, 03,ECMF, 66,18.0,-48.7, 19,1010,XX
AL,10,2012082212, 03,EE15, 72,15.5,-50.8, 11,1012,XX
AL,10,2012082212, 03,EE38, 72,15.7,-50.1, 17,1013,XX
AL,10,2012082212, 03,EE31, 72,15.8,-51.0, 19,1012,XX
AL,10,2012082212, 03,EE20, 72,16.1,-51.7, 20,1012,XX
AL,10,2012082212, 03,EE27, 72,16.5,-49.7, 14,1013,XX
AL,10,2012082212, 03,EE07, 72,16.6,-51.1, 16,1013,XX
AL,10,2012082212, 03,EE47, 72,16.8,-51.1, 15,1013,XX
AL,10,2012082212, 03,EE34, 72,16.9,-52.4, 17,1013,XX
AL,10,2012082212, 03,EE45, 72,17.0,-48.2, 21,1012,XX
AL,10,2012082212, 03,EE17, 72,17.3,-50.5, 19,1012,XX
AL,10,2012082212, 03,EE11, 72,17.4,-51.6, 18,1013,XX
