basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,13,2012090400, 03,EE02,  0,25.4,-42.7, 19,1016,XX
AL,13,2012090400, 03,ECMF,  0,25.5,-42.6, 17,1016,XX
AL,13,2012090400, 03,EE01,  0,25.6,-42.6, 16,1017,XX
AL,13,2012090400, 03,EE44,108,30.0,-44.7, 59, 996,XX
AL,13,2012090400, 03,EE44,120,30.7,-44.2, 64, 998,XX
AL,13,2012090400, 03,ECMF,  6,25.9,-43.1, 24,1014,XX
AL,13,2012090400, 03,EE33, 12,25.9,-43.9, 22,1016,XX
AL,13,2012090400, 03,EE07, 12,26.1,-43.4, 26,1016,XX
AL,13,2012090400, 03,EE02, 12,26.2,-44.1, 24,1015,XX
AL,13,2012090400, 03,EE17, 12,26.3,-43.2, 29,1016,XX
AL,13,2012090400, 03,EE00, 12,26.4,-43.5, 27,1016,XX
AL,13,2012090400, 03,ECMF, 12,26.5,-43.5, 26,1015,XX
AL,13,2012090400, 03,EE10, 12,26.6,-43.1, 29,1015,XX
AL,13,2012090400, 03,EE01, 12,26.7,-43.0, 27,1016,XX
AL,13,2012090400, 03,EE03, 12,26.8,-42.9, 27,1015,XX
AL,13,2012090400, 03,EE34, 12,27.0,-43.1, 31,1015,XX
AL,13,2012090400, 03,EE14, 12,27.3,-43.2, 31,1015,XX
AL,13,2012090400, 03,ECMF, 18,27.0,-43.6, 26,1014,XX
AL,13,2012090400, 03,EE33, 24,26.4,-44.2, 19,1016,XX
AL,13,2012090400, 03,EE46, 24,26.7,-44.1, 18,1016,XX
AL,13,2012090400, 03,EE06, 24,26.8,-43.8, 19,1017,XX
AL,13,2012090400, 03,EE02, 24,26.9,-44.8, 27,1015,XX
AL,13,2012090400, 03,EE26, 24,27.0,-43.6, 21,1016,XX
AL,13,2012090400, 03,EE04, 24,27.1,-44.7, 21,1015,XX
AL,13,2012090400, 03,EE12, 24,27.2,-43.6, 23,1016,XX
AL,13,2012090400, 03,EE19, 24,27.3,-43.2, 25,1016,XX
AL,13,2012090400, 03,ECMF, 24,27.4,-43.7, 28,1015,XX
AL,13,2012090400, 03,EE17, 24,27.5,-44.1, 22,1016,XX
AL,13,2012090400, 03,EE03, 24,27.6,-43.0, 25,1015,XX
AL,13,2012090400, 03,EE05, 24,27.7,-44.0, 26,1015,XX
AL,13,2012090400, 03,EE01, 24,27.8,-42.0, 31,1014,XX
AL,13,2012090400, 03,EE15, 24,27.9,-43.1, 25,1015,XX
AL,13,2012090400, 03,EE23, 24,28.0,-43.1, 25,1016,XX
AL,13,2012090400, 03,EE25, 24,28.2,-43.8, 28,1015,XX
AL,13,2012090400, 03,EE14, 24,28.4,-43.8, 29,1015,XX
AL,13,2012090400, 03,ECMF, 30,27.9,-44.0, 28,1013,XX
AL,13,2012090400, 03,EE33, 36,27.0,-44.7, 21,1016,XX
AL,13,2012090400, 03,EE22, 36,27.6,-43.6, 29,1016,XX
AL,13,2012090400, 03,EE02, 36,27.7,-44.5, 33,1014,XX
AL,13,2012090400, 03,EE40, 36,27.9,-44.2, 24,1016,XX
AL,13,2012090400, 03,EE09, 36,28.0,-44.5, 26,1014,XX
AL,13,2012090400, 03,EE03, 36,28.1,-42.5, 30,1013,XX
AL,13,2012090400, 03,EE13, 36,28.2,-43.6, 24,1015,XX
AL,13,2012090400, 03,EE45, 36,28.3,-43.0, 32,1012,XX
AL,13,2012090400, 03,ECMF, 36,28.4,-43.8, 29,1014,XX
AL,13,2012090400, 03,EE05, 36,28.5,-43.6, 29,1014,XX
AL,13,2012090400, 03,EE50, 36,28.6,-42.4, 32,1013,XX
AL,13,2012090400, 03,EE30, 36,28.7,-42.4, 32,1013,XX
AL,13,2012090400, 03,EE24, 36,28.8,-45.2, 25,1015,XX
AL,13,2012090400, 03,EE21, 36,28.9,-44.1, 30,1014,XX
AL,13,2012090400, 03,EE10, 36,29.0,-43.7, 32,1015,XX
AL,13,2012090400, 03,EE01, 36,29.1,-41.1, 36,1012,XX
AL,13,2012090400, 03,EE07, 36,29.3,-44.0, 27,1015,XX
AL,13,2012090400, 03,EE14, 36,29.4,-43.9, 34,1013,XX
AL,13,2012090400, 03,EE25, 36,29.6,-43.6, 33,1014,XX
AL,13,2012090400, 03,ECMF, 42,28.9,-43.6, 30,1013,XX
AL,13,2012090400, 03,EE26, 48,27.5,-44.3, 22,1014,XX
AL,13,2012090400, 03,EE22, 48,27.8,-43.1, 24,1015,XX
AL,13,2012090400, 03,EE40, 48,28.1,-43.6, 23,1015,XX
AL,13,2012090400, 03,EE06, 48,28.3,-43.6, 24,1016,XX
AL,13,2012090400, 03,EE49, 48,28.4,-46.2, 19,1016,XX
AL,13,2012090400, 03,EE02, 48,28.5,-44.1, 33,1011,XX
AL,13,2012090400, 03,EE41, 48,28.6,-43.4, 29,1013,XX
AL,13,2012090400, 03,EE09, 48,28.7,-44.2, 33,1014,XX
AL,13,2012090400, 03,EE03, 48,29.0,-42.2, 32,1012,XX
AL,13,2012090400, 03,EE00, 48,29.1,-43.5, 26,1014,XX
AL,13,2012090400, 03,ECMF, 48,29.2,-43.2, 30,1014,XX
AL,13,2012090400, 03,EE20, 48,29.3,-44.0, 27,1015,XX
AL,13,2012090400, 03,EE47, 48,29.5,-43.1, 27,1014,XX
AL,13,2012090400, 03,EE05, 48,29.6,-43.5, 28,1013,XX
AL,13,2012090400, 03,EE15, 48,29.8,-42.5, 31,1012,XX
AL,13,2012090400, 03,EE01, 48,29.9,-40.2, 34,1010,XX
AL,13,2012090400, 03,EE34, 48,30.0,-44.0, 33,1012,XX
AL,13,2012090400, 03,EE07, 48,30.1,-43.6, 27,1015,XX
AL,13,2012090400, 03,EE14, 48,30.4,-43.6, 35,1012,XX
AL,13,2012090400, 03,EE25, 48,31.0,-42.8, 34,1013,XX
