basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,03,2012061400, 03,EE05,  0,8.9,-92.0, 33,1004,XX
EP,03,2012061400, 03,ECMF,  0,9.0,-92.9, 26,1005,XX
EP,03,2012061400, 03,EE01,  0,9.1,-92.0, 30,1005,XX
EP,03,2012061400, 03,EE13,  0,9.2,-92.0, 29,1004,XX
EP,03,2012061400, 03,EE05,120,15.0,-96.5, 28, 999,XX
EP,03,2012061400, 03,EE07,120,14.2,-99.7, 32, 999,XX
EP,03,2012061400, 03,EE42,120,15.5,-98.6, 36, 996,XX
EP,03,2012061400, 03,EE05,108,14.7,-96.9, 38, 999,XX
EP,03,2012061400, 03,EE30,108,15.5,-102.0, 40, 997,XX
EP,03,2012061400, 03,EE01,108,16.7,-103.4, 42, 998,XX
EP,03,2012061400, 03,EE34,120,14.3,-99.2, 43, 996,XX
EP,03,2012061400, 03,EE03,108,16.3,-102.1, 44, 997,XX
EP,03,2012061400, 03,EE44,120,14.5,-100.9, 45, 992,XX
EP,03,2012061400, 03,EE02,120,15.5,-99.4, 47, 997,XX
EP,03,2012061400, 03,EE12,108,13.7,-99.6, 48, 999,XX
EP,03,2012061400, 03,EE03,120,16.5,-102.3, 49, 994,XX
EP,03,2012061400, 03,EE38,120,16.1,-102.6, 51, 997,XX
EP,03,2012061400, 03,EE38,108,16.3,-102.9, 53, 994,XX
EP,03,2012061400, 03,EE44,108,14.9,-100.3, 54, 993,XX
EP,03,2012061400, 03,EE47,108,14.9,-100.9, 56, 988,XX
EP,03,2012061400, 03,EE32,108,14.8,-102.1, 59, 988,XX
EP,03,2012061400, 03,EE47,120,14.6,-100.5, 64, 984,XX
EP,03,2012061400, 03,EE32,120,14.1,-100.6, 65, 982,XX
EP,03,2012061400, 03,ECMF,  6,9.0,-92.2, 37,1004,XX
EP,03,2012061400, 03,EE18, 12,9.4,-92.7, 39,1001,XX
EP,03,2012061400, 03,EE04, 12,9.5,-92.6, 48,1000,XX
EP,03,2012061400, 03,EE06, 12,9.6,-92.4, 44,1001,XX
EP,03,2012061400, 03,EE22, 12,9.7,-92.4, 40,1001,XX
EP,03,2012061400, 03,EE07, 12,9.8,-92.5, 43,1004,XX
EP,03,2012061400, 03,EE01, 12,9.9,-92.6, 46,1002,XX
EP,03,2012061400, 03,ECMF, 12,10.0,-92.6, 42,1002,XX
EP,03,2012061400, 03,EE00, 12,10.1,-92.5, 38,1003,XX
EP,03,2012061400, 03,EE17, 12,10.2,-92.5, 45,1002,XX
EP,03,2012061400, 03,EE03, 12,10.3,-92.5, 37,1003,XX
EP,03,2012061400, 03,EE23, 12,10.4,-92.4, 38,1004,XX
EP,03,2012061400, 03,EE43, 12,10.5,-92.3, 38,1004,XX
EP,03,2012061400, 03,EE14, 12,10.8,-92.3, 39,1004,XX
EP,03,2012061400, 03,EE34, 12,10.9,-92.5, 40,1003,XX
EP,03,2012061400, 03,ECMF, 18,10.9,-93.2, 42,1002,XX
EP,03,2012061400, 03,EE11, 24,10.7,-94.1, 46,1001,XX
EP,03,2012061400, 03,EE09, 24,11.0,-94.3, 41,1000,XX
EP,03,2012061400, 03,EE48, 24,11.0,-93.8, 45, 998,XX
EP,03,2012061400, 03,EE15, 24,11.1,-94.3, 47,1000,XX
