basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,19,2012102500, 03,EE01,  0,29.8,-41.9, 26,1008,XX
AL,19,2012102500, 03,ECMF,  0,29.9,-42.1, 25,1007,XX
AL,19,2012102500, 03,EE17,  0,30.0,-41.7, 26,1007,XX
AL,19,2012102500, 03,EE03,  0,30.1,-42.5, 28,1006,XX
AL,19,2012102500, 03,EE10,  0,30.3,-41.7, 26,1007,XX
AL,19,2012102500, 03,EE02,  0,30.4,-42.1, 35,1006,XX
AL,19,2012102500, 03,EE04,  0,30.5,-41.5, 26,1007,XX
AL,19,2012102500, 03,EE19,  0,30.8,-41.6, 28,1007,XX
AL,19,2012102500, 03,ECMF,  6,30.5,-41.0, 39,1005,XX
AL,19,2012102500, 03,EE18, 12,30.2,-39.4, 36,1007,XX
AL,19,2012102500, 03,EE25, 12,30.6,-38.8, 34,1008,XX
AL,19,2012102500, 03,EE19, 12,30.7,-38.8, 34,1008,XX
AL,19,2012102500, 03,EE05, 12,30.8,-38.9, 37,1008,XX
AL,19,2012102500, 03,EE02, 12,30.9,-38.5, 36,1005,XX
AL,19,2012102500, 03,EE01, 12,31.0,-39.3, 34,1008,XX
AL,19,2012102500, 03,EE31, 12,31.2,-38.4, 41,1003,XX
AL,19,2012102500, 03,EE14, 12,31.3,-38.3, 36,1006,XX
AL,19,2012102500, 03,EE00, 12,31.4,-38.4, 36,1007,XX
AL,19,2012102500, 03,EE04, 12,31.5,-38.2, 39,1005,XX
AL,19,2012102500, 03,EE07, 12,31.6,-37.2, 31,1009,XX
AL,19,2012102500, 03,EE50, 12,31.7,-37.7, 38,1007,XX
AL,19,2012102500, 03,EE15, 12,31.8,-39.2, 34,1006,XX
AL,19,2012102500, 03,ECMF, 12,31.9,-37.9, 35,1007,XX
AL,19,2012102500, 03,ECMF, 18,31.6,-36.6, 32,1006,XX
AL,19,2012102500, 03,EE19, 24,30.5,-34.5, 33,1007,XX
AL,19,2012102500, 03,EE09, 24,31.0,-34.8, 28,1007,XX
AL,19,2012102500, 03,EE45, 24,31.1,-35.7, 30,1008,XX
AL,19,2012102500, 03,EE47, 24,31.2,-34.7, 31,1006,XX
AL,19,2012102500, 03,EE11, 24,31.3,-35.5, 30,1006,XX
AL,19,2012102500, 03,ECMF, 24,31.4,-35.1, 28,1007,XX
AL,19,2012102500, 03,EE02, 24,31.5,-35.2, 31,1007,XX
AL,19,2012102500, 03,EE00, 24,31.6,-35.6, 27,1007,XX
AL,19,2012102500, 03,EE48, 24,31.7,-35.0, 31,1008,XX
AL,19,2012102500, 03,EE21, 24,31.8,-34.7, 30,1006,XX
AL,19,2012102500, 03,EE08, 24,31.9,-34.4, 30,1006,XX
AL,19,2012102500, 03,EE10, 24,32.0,-35.1, 29,1006,XX
AL,19,2012102500, 03,EE06, 24,32.2,-34.0, 35,1004,XX
AL,19,2012102500, 03,EE24, 24,32.3,-33.2, 35,1004,XX
AL,19,2012102500, 03,EE07, 24,32.5,-34.1, 30,1008,XX
AL,19,2012102500, 03,EE24, 36,32.0,-29.1, 32,1005,XX
AL,19,2012102500, 03,EE42, 36,32.1,-30.1, 29,1006,XX
AL,19,2012102500, 03,EE37, 36,32.3,-32.0, 24,1006,XX
AL,19,2012102500, 03,EE14, 36,32.4,-28.7, 29,1006,XX
AL,19,2012102500, 03,EE06, 36,32.7,-29.7, 32,1005,XX
AL,19,2012102500, 03,EE15, 36,32.8,-32.0, 25,1007,XX
AL,19,2012102500, 03,EE24, 48,31.8,-24.9, 23,1006,XX
