basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,12,2012083012, 03,EE03,  0,13.5,-42.0, 26,1009,XX
AL,12,2012083012, 03,ECMF,  0,13.6,-42.0, 25,1009,XX
AL,12,2012083012, 03,EE01,  0,13.9,-42.1, 38,1006,XX
AL,12,2012083012, 03,EE02,  0,14.6,-43.5, 37,1010,XX
AL,12,2012083012, 03,EE18,  0,14.7,-40.0, 26,1011,XX
AL,12,2012083012, 03,EE31,120,26.5,-60.2, 48, 998,XX
AL,12,2012083012, 03,EE21,120,32.1,-57.4, 51, 998,XX
AL,12,2012083012, 03,EE17,120,30.6,-55.4, 52, 996,XX
AL,12,2012083012, 03,EE07,120,28.1,-57.5, 53, 998,XX
AL,12,2012083012, 03,EE17,108,29.3,-57.4, 54, 997,XX
AL,12,2012083012, 03,EE00,120,29.5,-56.9, 55, 997,XX
AL,12,2012083012, 03,EE23,120,31.5,-56.3, 56, 994,XX
AL,12,2012083012, 03,EE37,108,27.4,-58.1, 57, 990,XX
AL,12,2012083012, 03,EE11,120,29.3,-54.8, 58, 997,XX
AL,12,2012083012, 03,EE14,108,26.3,-61.2, 59, 993,XX
AL,12,2012083012, 03,EE34,120,31.7,-58.0, 60, 989,XX
AL,12,2012083012, 03,EE49,108,26.9,-58.6, 61, 990,XX
AL,12,2012083012, 03,EE42,108,29.4,-58.4, 62, 998,XX
AL,12,2012083012, 03,EE23,108,29.4,-58.0, 63, 998,XX
AL,12,2012083012, 03,EE45,108,27.8,-56.2, 64, 998,XX
AL,12,2012083012, 03,EE32,120,31.3,-58.5, 65, 985,XX
AL,12,2012083012, 03,EE22,108,25.8,-60.7, 66, 987,XX
AL,12,2012083012, 03,EE04,108,26.0,-61.4, 67, 987,XX
AL,12,2012083012, 03,EE36,108,27.9,-58.5, 68, 989,XX
AL,12,2012083012, 03,EE04,120,28.4,-62.6, 70, 976,XX
AL,12,2012083012, 03,EE22,120,26.3,-60.7, 72, 978,XX
AL,12,2012083012, 03,EE26,120,28.9,-56.2, 79, 976,XX
AL,12,2012083012, 03,ECMF,  6,15.0,-43.0, 32,1007,XX
AL,12,2012083012, 03,EE14, 12,13.6,-46.0, 33,1006,XX
AL,12,2012083012, 03,EE18, 12,14.1,-46.0, 27,1008,XX
AL,12,2012083012, 03,EE00, 12,14.2,-45.5, 34,1008,XX
AL,12,2012083012, 03,EE05, 12,14.3,-46.1, 25,1009,XX
AL,12,2012083012, 03,EE15, 12,14.4,-46.0, 36,1008,XX
AL,12,2012083012, 03,EE02, 12,14.5,-45.2, 37,1005,XX
AL,12,2012083012, 03,EE12, 12,14.6,-46.0, 33,1008,XX
AL,12,2012083012, 03,ECMF, 12,14.7,-45.7, 33,1008,XX
AL,12,2012083012, 03,EE10, 12,14.8,-45.1, 41,1007,XX
AL,12,2012083012, 03,EE07, 12,14.9,-45.8, 36,1007,XX
AL,12,2012083012, 03,EE27, 12,15.0,-45.6, 33,1008,XX
AL,12,2012083012, 03,EE01, 12,15.1,-45.2, 40,1004,XX
AL,12,2012083012, 03,EE06, 12,15.4,-45.8, 47,1005,XX
AL,12,2012083012, 03,EE17, 12,15.5,-45.5, 48,1003,XX
AL,12,2012083012, 03,EE40, 12,15.7,-45.1, 39,1008,XX
AL,12,2012083012, 03,EE37, 12,15.9,-45.4, 41,1007,XX
AL,12,2012083012, 03,EE24, 12,16.3,-44.2, 34,1009,XX
AL,12,2012083012, 03,ECMF, 18,15.9,-46.6, 36,1005,XX
AL,12,2012083012, 03,EE34, 24,15.3,-48.1, 42,1007,XX
AL,12,2012083012, 03,EE05, 24,15.4,-46.6, 34,1011,XX
AL,12,2012083012, 03,EE08, 24,15.5,-48.5, 35,1006,XX
AL,12,2012083012, 03,EE21, 24,15.6,-47.6, 40,1005,XX
AL,12,2012083012, 03,EE09, 24,15.8,-48.0, 34,1008,XX
AL,12,2012083012, 03,EE12, 24,16.0,-48.3, 36,1008,XX
AL,12,2012083012, 03,ECMF, 24,16.1,-48.6, 44,1007,XX
AL,12,2012083012, 03,EE00, 24,16.2,-48.4, 36,1008,XX
AL,12,2012083012, 03,EE02, 24,16.3,-47.9, 38,1005,XX
AL,12,2012083012, 03,EE26, 24,16.4,-49.1, 44,1008,XX
AL,12,2012083012, 03,EE03, 24,16.5,-48.3, 45,1006,XX
AL,12,2012083012, 03,EE10, 24,16.6,-47.7, 44,1008,XX
AL,12,2012083012, 03,EE43, 24,16.7,-48.0, 38,1007,XX
AL,12,2012083012, 03,EE06, 24,16.9,-48.4, 44,1006,XX
AL,12,2012083012, 03,EE24, 24,17.0,-48.0, 29,1008,XX
AL,12,2012083012, 03,EE13, 24,17.3,-48.0, 39,1009,XX
AL,12,2012083012, 03,ECMF, 30,16.9,-49.6, 44,1005,XX
AL,12,2012083012, 03,EE14, 36,16.1,-51.4, 41,1002,XX
AL,12,2012083012, 03,EE09, 36,16.9,-51.4, 33,1008,XX
AL,12,2012083012, 03,EE19, 36,17.1,-50.5, 44,1005,XX
AL,12,2012083012, 03,EE47, 36,17.2,-51.3, 45,1004,XX
AL,12,2012083012, 03,EE08, 36,17.3,-51.1, 35,1006,XX
AL,12,2012083012, 03,EE23, 36,17.4,-51.5, 36,1008,XX
