basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,02,2012052200, 03,EE39,  0,9.5,-101.2, 43,1003,XX
EP,02,2012052200, 03,ECMF,  0,9.6,-101.2, 27,1003,XX
EP,02,2012052200, 03,EE00,  0,9.7,-101.2, 27,1004,XX
EP,02,2012052200, 03,EE04,  0,9.8,-101.2, 27,1004,XX
EP,02,2012052200, 03,EE14,  0,9.9,-101.1, 28,1004,XX
EP,02,2012052200, 03,EE11,  0,9.9,-101.3, 47, 998,XX
EP,02,2012052200, 03,EE06,  0,10.0,-100.5, 29,1006,XX
EP,02,2012052200, 03,EE18,108,15.7,-103.3, 39, 999,XX
EP,02,2012052200, 03,EE35,120,15.7,-104.0, 43, 996,XX
EP,02,2012052200, 03,EE25,108,19.2,-105.0, 44, 998,XX
EP,02,2012052200, 03,EE20,108,16.6,-102.6, 45, 998,XX
EP,02,2012052200, 03,ECMF,114,17.6,-103.1, 50, 999,XX
EP,02,2012052200, 03,ECMF,102,17.0,-103.5, 61, 978,XX
EP,02,2012052200, 03,ECMF,108,17.5,-103.2, 63, 991,XX
EP,02,2012052200, 03,ECMF,  6,10.4,-102.1, 34,1004,XX
EP,02,2012052200, 03,EE19, 12,10.3,-102.9, 38,1003,XX
EP,02,2012052200, 03,EE14, 12,10.4,-103.0, 31,1004,XX
EP,02,2012052200, 03,EE02, 12,10.5,-102.9, 28,1007,XX
EP,02,2012052200, 03,EE00, 12,10.6,-103.0, 33,1003,XX
EP,02,2012052200, 03,EE07, 12,10.7,-102.8, 46,1000,XX
EP,02,2012052200, 03,EE25, 12,10.7,-103.0, 49, 997,XX
EP,02,2012052200, 03,EE45, 12,10.7,-102.5, 58, 998,XX
EP,02,2012052200, 03,EE35, 12,10.7,-103.0, 40, 999,XX
EP,02,2012052200, 03,EE16, 12,10.8,-102.9, 35,1006,XX
EP,02,2012052200, 03,EE05, 12,10.8,-102.9, 47, 998,XX
EP,02,2012052200, 03,ECMF, 12,10.9,-103.0, 39,1000,XX
EP,02,2012052200, 03,EE31, 12,10.9,-103.4, 47, 996,XX
EP,02,2012052200, 03,EE15, 12,10.9,-103.0, 41, 998,XX
EP,02,2012052200, 03,EE12, 12,11.0,-100.7, 32,1008,XX
EP,02,2012052200, 03,EE11, 12,11.0,-102.9, 52, 995,XX
EP,02,2012052200, 03,EE41, 12,11.0,-103.1, 37, 997,XX
EP,02,2012052200, 03,EE21, 12,11.0,-102.7, 44, 998,XX
EP,02,2012052200, 03,EE10, 12,11.1,-103.9, 32,1002,XX
EP,02,2012052200, 03,EE04, 12,11.2,-103.5, 32,1003,XX
EP,02,2012052200, 03,EE01, 12,11.2,-102.9, 48, 999,XX
EP,02,2012052200, 03,ECMF, 18,11.4,-104.0, 48,1000,XX
EP,02,2012052200, 03,EE42, 24,11.1,-104.1, 26,1005,XX
EP,02,2012052200, 03,EE36, 24,11.2,-105.5, 32,1002,XX
EP,02,2012052200, 03,EE35, 24,11.3,-105.0, 46, 998,XX
EP,02,2012052200, 03,EE16, 24,11.4,-104.0, 38,1004,XX
EP,02,2012052200, 03,EE22, 24,11.5,-103.5, 29,1005,XX
EP,02,2012052200, 03,EE37, 24,11.5,-104.9, 45, 999,XX
EP,02,2012052200, 03,EE06, 24,11.6,-103.7, 28,1006,XX
EP,02,2012052200, 03,EE25, 24,11.6,-105.5, 49, 992,XX
EP,02,2012052200, 03,EE03, 24,11.7,-104.9, 46,1000,XX
EP,02,2012052200, 03,EE02, 24,11.8,-103.9, 30,1006,XX
EP,02,2012052200, 03,EE15, 24,11.8,-105.0, 56, 994,XX
EP,02,2012052200, 03,EE41, 24,11.8,-104.6, 54, 995,XX
EP,02,2012052200, 03,EE00, 24,11.9,-105.0, 34,1002,XX
EP,02,2012052200, 03,EE39, 24,11.9,-105.4, 49, 997,XX
EP,02,2012052200, 03,EE09, 24,12.0,-104.2, 38,1002,XX
EP,02,2012052200, 03,EE05, 24,12.0,-105.4, 46, 996,XX
EP,02,2012052200, 03,ECMF, 24,12.0,-104.6, 49, 997,XX
EP,02,2012052200, 03,EE17, 24,12.1,-105.4, 46,1000,XX
EP,02,2012052200, 03,EE44, 24,12.1,-105.5, 38, 999,XX
EP,02,2012052200, 03,EE13, 24,12.2,-105.2, 37,1002,XX
EP,02,2012052200, 03,EE10, 24,12.2,-105.4, 51, 999,XX
EP,02,2012052200, 03,EE04, 24,12.3,-105.5, 30,1002,XX
EP,02,2012052200, 03,EE12, 24,12.4,-103.0, 22,1006,XX
EP,02,2012052200, 03,EE01, 24,12.4,-104.8, 52, 996,XX
EP,02,2012052200, 03,EE47, 24,12.4,-104.4, 48, 997,XX
EP,02,2012052200, 03,EE11, 24,12.5,-104.5, 55, 994,XX
EP,02,2012052200, 03,EE50, 24,12.6,-104.7, 43,1002,XX
EP,02,2012052200, 03,EE45, 24,12.6,-104.5, 54, 996,XX
EP,02,2012052200, 03,ECMF, 30,12.4,-105.7, 49, 999,XX
EP,02,2012052200, 03,EE22, 36,11.6,-105.5, 36,1003,XX
EP,02,2012052200, 03,EE36, 36,12.0,-106.8, 41,1000,XX
EP,02,2012052200, 03,EE35, 36,12.0,-105.4, 49, 996,XX
EP,02,2012052200, 03,EE49, 36,12.0,-106.0, 39, 999,XX
EP,02,2012052200, 03,EE16, 36,12.1,-105.3, 31,1003,XX
EP,02,2012052200, 03,EE25, 36,12.1,-106.8, 54, 992,XX
EP,02,2012052200, 03,EE03, 36,12.2,-106.0, 44, 998,XX
EP,02,2012052200, 03,EE26, 36,12.3,-106.4, 29,1005,XX
EP,02,2012052200, 03,EE18, 36,12.4,-106.6, 41,1000,XX
EP,02,2012052200, 03,EE41, 36,12.4,-106.1, 55, 988,XX
EP,02,2012052200, 03,EE00, 36,12.5,-106.5, 39,1000,XX
