basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,10,2012072200, 03,EE15,120,21.0,106.1, 17, 998,XX
WP,10,2012072200, 03,EE20,120,20.5,106.6, 18, 996,XX
WP,10,2012072200, 03,EE10,108,20.8,107.5, 19, 998,XX
WP,10,2012072200, 03,EE17,  0,19.0,116.8, 47, 990,XX
WP,10,2012072200, 03,EE09,  0,19.3,115.9, 55, 991,XX
WP,10,2012072200, 03,EE14,  0,19.4,116.0, 54, 990,XX
WP,10,2012072200, 03,EE16,  0,19.4,115.5, 45, 991,XX
WP,10,2012072200, 03,EE36,  0,19.4,115.5, 45, 992,XX
WP,10,2012072200, 03,EE01,  0,19.5,115.8, 58, 989,XX
WP,10,2012072200, 03,EE21,  0,19.5,115.8, 58, 990,XX
WP,10,2012072200, 03,EE04,  0,19.5,115.9, 56, 991,XX
WP,10,2012072200, 03,ECMF,  0,19.5,115.8, 38, 992,XX
WP,10,2012072200, 03,EE26,  0,19.5,115.7, 36, 993,XX
WP,10,2012072200, 03,EE35,  0,19.6,116.2, 46, 990,XX
WP,10,2012072200, 03,EE05,  0,19.6,115.8, 45, 992,XX
WP,10,2012072200, 03,EE03,  0,19.6,115.6, 32, 993,XX
WP,10,2012072200, 03,EE02,  0,19.6,115.8, 30, 994,XX
WP,10,2012072200, 03,EE42,  0,19.6,115.7, 30, 995,XX
WP,10,2012072200, 03,EE38,  0,19.7,115.6, 45, 993,XX
WP,10,2012072200, 03,EE33,  0,19.7,115.6, 37, 994,XX
WP,10,2012072200, 03,EE10,  0,19.8,115.8, 40, 992,XX
WP,10,2012072200, 03,EE30,  0,19.8,115.8, 40, 993,XX
WP,10,2012072200, 03,EE42,108,22.8,108.0, 21, 998,XX
WP,10,2012072200, 03,EE00,108,21.2,105.7, 22, 999,XX
WP,10,2012072200, 03,EE10,120,21.0,108.8, 23, 998,XX
WP,10,2012072200, 03,EE13,108,20.0,105.7, 24, 999,XX
WP,10,2012072200, 03,EE44,108,21.4,105.6, 25, 996,XX
WP,10,2012072200, 03,EE48,108,22.5,108.1, 26, 997,XX
WP,10,2012072200, 03,EE11,120,21.6,105.1, 28, 996,XX
WP,10,2012072200, 03,EE16,108,21.8,105.2, 30, 996,XX
WP,10,2012072200, 03,EE07,120,21.5,105.3, 31, 991,XX
WP,10,2012072200, 03,EE11,108,22.1,104.7, 32, 991,XX
WP,10,2012072200, 03,EE04,108,20.4,106.2, 33, 996,XX
WP,10,2012072200, 03,EE07,108,21.0,106.6, 46, 987,XX
WP,10,2012072200, 03,ECMF,  6,19.0,115.0, 67, 988,XX
WP,10,2012072200, 03,EE40, 12,18.6,114.3, 57, 979,XX
WP,10,2012072200, 03,EE29, 12,18.7,115.2, 57, 981,XX
WP,10,2012072200, 03,EE24, 12,18.7,114.6, 54, 983,XX
WP,10,2012072200, 03,EE08, 12,18.9,115.1, 45, 985,XX
WP,10,2012072200, 03,EE42, 12,18.9,115.1, 40, 989,XX
WP,10,2012072200, 03,EE01, 12,19.0,114.7, 49, 982,XX
