basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,30,2012122600, 03,EE02,  0,10.4,123.0, 33,1003,XX
WP,30,2012122600, 03,EE03,  0,10.5,123.0, 36,1001,XX
WP,30,2012122600, 03,ECMF,  0,10.6,123.0, 34,1000,XX
WP,30,2012122600, 03,EE39,  0,10.6,123.0, 39, 999,XX
WP,30,2012122600, 03,EE01,  0,10.7,123.0, 46, 999,XX
WP,30,2012122600, 03,EE40, 12,9.4,119.8, 30,1004,XX
WP,30,2012122600, 03,EE08, 12,9.5,119.6, 38,1001,XX
WP,30,2012122600, 03,EE35, 12,9.6,120.2, 37,1002,XX
WP,30,2012122600, 03,EE02, 12,9.7,119.8, 30,1005,XX
WP,30,2012122600, 03,EE20, 12,9.8,119.5, 30,1003,XX
WP,30,2012122600, 03,EE05, 12,9.9,119.5, 35,1004,XX
WP,30,2012122600, 03,EE40, 24,8.6,116.4, 25,1005,XX
WP,30,2012122600, 03,EE25, 24,8.9,116.0, 33,1004,XX
WP,30,2012122600, 03,EE33, 24,9.0,115.1, 30,1004,XX
WP,30,2012122600, 03,EE05, 24,9.2,116.5, 31,1005,XX
WP,30,2012122600, 03,EE13, 24,9.3,115.9, 23,1004,XX
WP,30,2012122600, 03,EE02, 24,9.4,116.4, 21,1004,XX
WP,30,2012122600, 03,EE34, 24,9.5,118.6, 44,1002,XX
WP,30,2012122600, 03,EE41, 24,9.6,116.8, 32,1004,XX
WP,30,2012122600, 03,EE10, 24,9.7,115.9, 36,1003,XX
WP,30,2012122600, 03,EE22, 24,9.8,117.0, 21,1004,XX
WP,30,2012122600, 03,EE03, 24,9.9,117.5, 32,1002,XX
WP,30,2012122600, 03,EE40, 36,8.1,113.0, 25,1004,XX
WP,30,2012122600, 03,EE33, 36,8.3,112.4, 32,1003,XX
WP,30,2012122600, 03,EE13, 36,8.8,113.0, 27,1004,XX
WP,30,2012122600, 03,EE05, 36,9.0,115.0, 24,1004,XX
WP,30,2012122600, 03,EE35, 36,9.1,114.9, 26,1004,XX
WP,30,2012122600, 03,EE10, 36,9.2,113.2, 33,1003,XX
WP,30,2012122600, 03,EE41, 36,9.3,114.2, 26,1003,XX
WP,30,2012122600, 03,EE08, 36,9.4,114.9, 32,1001,XX
WP,30,2012122600, 03,EE02, 36,9.5,114.5, 29,1004,XX
WP,30,2012122600, 03,EE12, 36,9.6,114.0, 32,1002,XX
WP,30,2012122600, 03,EE34, 36,9.7,117.0, 24,1002,XX
WP,30,2012122600, 03,EE29, 36,9.8,114.5, 22,1004,XX
