basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,01,2020051812, 03,EE26,  0,33.8,-76.1, 38,1002,XX
AL,01,2020051812, 03,EE31,  0,33.8,-76.0, 46, 998,XX
AL,01,2020051812, 03,EE25,  0,33.8,-75.8, 40, 999,XX
AL,01,2020051812, 03,EE04,  0,33.9,-76.3, 38,1001,XX
AL,01,2020051812, 03,EE41,  0,33.9,-76.0, 41, 999,XX
AL,01,2020051812, 03,EE03,  0,34.2,-76.3, 44, 999,XX
AL,01,2020051812, 03,EE18,  0,34.3,-75.7, 40,1001,XX
AL,01,2020051812, 03,EE43,  0,34.3,-76.0, 42, 996,XX
AL,01,2020051812, 03,EE05,  0,34.3,-75.8, 42, 998,XX
AL,01,2020051812, 03,EE01,  0,34.3,-75.8, 42, 999,XX
AL,01,2020051812, 03,ECMF,  0,34.4,-75.8, 40,1000,XX
AL,01,2020051812, 03,EE00,  0,34.5,-75.8, 37,1000,XX
AL,01,2020051812, 03,EE47,  0,34.5,-76.0, 54, 995,XX
AL,01,2020051812, 03,EE15,  0,34.5,-75.7, 50, 996,XX
AL,01,2020051812, 03,EE13,  0,34.5,-76.0, 40, 998,XX
AL,01,2020051812, 03,EE30,  0,34.5,-75.8, 48, 999,XX
AL,01,2020051812, 03,EE02,  0,34.6,-75.3, 42,1000,XX
AL,01,2020051812, 03,EE08,  0,34.6,-75.4, 50, 998,XX
AL,01,2020051812, 03,EE12,  0,34.6,-75.6, 42, 999,XX
AL,01,2020051812, 03,EE25,  6,35.2,-74.6, 38, 997,XX
AL,01,2020051812, 03,EE14,  6,35.2,-75.0, 39, 998,XX
AL,01,2020051812, 03,ECMF,  6,35.3,-74.5, 46, 996,XX
AL,01,2020051812, 03,EE23,  6,35.3,-74.9, 38, 997,XX
AL,01,2020051812, 03,EE07,  6,35.3,-74.7, 40, 998,XX
AL,01,2020051812, 03,EE50,  6,35.3,-74.9, 38, 999,XX
AL,01,2020051812, 03,EE47,  6,35.4,-74.6, 44, 993,XX
AL,01,2020051812, 03,EE30,  6,35.4,-74.4, 47, 995,XX
AL,01,2020051812, 03,EE16,  6,35.4,-74.9, 39, 996,XX
