basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,02,2020052712, 03,EE12,  0,31.5,-79.8, 40,1011,XX
AL,02,2020052712, 03,EE01,  0,31.6,-79.8, 39,1010,XX
AL,02,2020052712, 03,EE08,  0,31.8,-80.9, 37,1009,XX
AL,02,2020052712, 03,EE06,  0,31.9,-80.6, 44,1009,XX
AL,02,2020052712, 03,EE09,  0,32.1,-79.9, 43,1005,XX
AL,02,2020052712, 03,EE13,  0,32.2,-80.3, 42,1008,XX
AL,02,2020052712, 03,EE02,  0,32.4,-79.4, 38,1009,XX
AL,02,2020052712, 03,ECMF,  0,32.5,-79.5, 35,1009,XX
AL,02,2020052712, 03,EE07,  0,32.6,-79.6, 48,1006,XX
AL,02,2020052712, 03,EE14,  0,32.8,-79.2, 43,1008,XX
AL,02,2020052712, 03,EE28,  0,32.9,-78.7, 46,1009,XX
AL,02,2020052712, 03,EE12,  6,32.6,-79.5, 33,1011,XX
AL,02,2020052712, 03,EE08,  6,32.8,-79.8, 29,1011,XX
AL,02,2020052712, 03,EE01,  6,32.9,-79.8, 32,1008,XX
AL,02,2020052712, 03,EE05,  6,33.1,-80.6, 30,1007,XX
AL,02,2020052712, 03,EE03,  6,33.2,-79.9, 32,1009,XX
AL,02,2020052712, 03,EE00,  6,33.3,-80.1, 30,1010,XX
AL,02,2020052712, 03,ECMF,  6,33.4,-80.1, 28,1009,XX
AL,02,2020052712, 03,EE04,  6,33.5,-80.1, 29,1009,XX
AL,02,2020052712, 03,EE02,  6,33.6,-80.5, 27,1008,XX
AL,02,2020052712, 03,EE11,  6,33.8,-79.9, 31,1010,XX
AL,02,2020052712, 03,EE10, 12,33.9,-80.5, 22,1011,XX
AL,02,2020052712, 03,EE17, 12,34.1,-81.0, 22,1012,XX
AL,02,2020052712, 03,EE05, 12,34.2,-80.9, 23,1009,XX
AL,02,2020052712, 03,EE08, 12,34.3,-81.0, 23,1009,XX
AL,02,2020052712, 03,EE01, 12,34.5,-79.6, 24,1010,XX
AL,02,2020052712, 03,EE13, 12,34.6,-80.8, 22,1008,XX
AL,02,2020052712, 03,EE03, 12,34.7,-80.5, 23,1010,XX
AL,02,2020052712, 03,ECMF, 12,34.9,-80.7, 22,1009,XX
AL,02,2020052712, 03,EE07, 12,35.0,-80.5, 24,1007,XX
AL,02,2020052712, 03,EE25, 12,35.2,-80.6, 22,1011,XX
AL,02,2020052712, 03,EE17, 18,35.6,-81.0, 19,1013,XX
AL,02,2020052712, 03,EE05, 18,35.7,-81.3, 20,1011,XX
AL,02,2020052712, 03,EE33, 18,35.9,-81.0, 19,1013,XX
AL,02,2020052712, 03,EE16, 18,36.0,-81.2, 20,1013,XX
AL,02,2020052712, 03,ECMF, 18,36.1,-81.2, 19,1013,XX
AL,02,2020052712, 03,EE09, 18,36.3,-80.8, 18,1012,XX
AL,02,2020052712, 03,EE04, 18,36.4,-80.9, 19,1013,XX
AL,02,2020052712, 03,EE03, 18,36.6,-80.9, 19,1012,XX
AL,02,2020052712, 03,EE01, 18,36.7,-79.9, 21,1012,XX
AL,02,2020052712, 03,EE00, 18,36.8,-81.0, 18,1013,XX
AL,02,2020052712, 03,EE07, 18,37.0,-80.6, 18,1012,XX
AL,02,2020052712, 03,EE22, 18,37.3,-80.8, 18,1013,XX
AL,02,2020052712, 03,EE02, 18,37.4,-81.6, 20,1011,XX
AL,02,2020052712, 03,EE20, 18,38.0,-80.9, 19,1010,XX
AL,02,2020052712, 03,EE23, 18,38.1,-81.0, 20,1013,XX
AL,02,2020052712, 03,EE25, 18,38.3,-80.9, 18,1012,XX
AL,02,2020052712, 03,EE05, 24,38.4,-81.3, 19,1011,XX
AL,02,2020052712, 03,EE33, 24,39.0,-80.2, 14,1012,XX
AL,02,2020052712, 03,EE04, 24,39.1,-80.2, 15,1012,XX
AL,02,2020052712, 03,EE19, 24,39.2,-80.9, 17,1013,XX
AL,02,2020052712, 03,ECMF, 24,39.4,-81.3, 16,1013,XX
AL,02,2020052712, 03,EE03, 24,39.5,-80.9, 15,1012,XX
AL,02,2020052712, 03,EE02, 24,39.7,-81.6, 14,1011,XX
AL,02,2020052712, 03,EE20, 24,39.8,-80.8, 17,1010,XX
AL,02,2020052712, 03,EE48, 24,39.9,-80.5, 16,1013,XX
AL,02,2020052712, 03,EE24, 24,40.4,-81.2, 16,1013,XX
AL,02,2020052712, 03,EE05, 30,41.1,-80.6, 22,1010,XX
AL,02,2020052712, 03,EE19, 30,41.3,-82.0, 20,1011,XX
