basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,22,2020091900, 03,EE39,  0,23.6,-93.1, 33,1002,XX
AL,22,2020091900, 03,EE24,  0,24.1,-92.9, 33,1004,XX
AL,22,2020091900, 03,EE07,  0,24.3,-91.9, 33,1004,XX
AL,22,2020091900, 03,EE33,  0,24.4,-92.4, 39,1004,XX
AL,22,2020091900, 03,EE00,  0,24.5,-92.2, 32,1004,XX
AL,22,2020091900, 03,EE21,  0,24.6,-92.0, 35,1004,XX
AL,22,2020091900, 03,EE11,  0,24.8,-93.1, 32,1003,XX
AL,22,2020091900, 03,EE12,  0,25.0,-92.2, 37,1003,XX
AL,22,2020091900, 03,EE04,  0,25.1,-92.9, 33,1003,XX
AL,22,2020091900, 03,ECMF,  0,25.2,-93.6, 35,1004,XX
AL,22,2020091900, 03,EE29,  0,25.3,-93.7, 38,1003,XX
AL,22,2020091900, 03,EE19,  0,25.6,-93.0, 35,1004,XX
AL,22,2020091900, 03,EE48,  0,25.9,-92.2, 40,1003,XX
AL,22,2020091900, 03,EE06,  0,26.2,-93.4, 40,1003,XX
AL,22,2020091900, 03,EE13,108,27.0,-95.8, 34, 998,XX
AL,22,2020091900, 03,EE13,120,27.0,-95.4, 38, 997,XX
AL,22,2020091900, 03,EE13,132,27.0,-96.4, 44, 999,XX
AL,22,2020091900, 03,EE39,  6,24.5,-92.6, 30,1004,XX
AL,22,2020091900, 03,EE40,  6,24.9,-93.4, 32,1006,XX
AL,22,2020091900, 03,EE06,  6,25.2,-93.1, 33,1003,XX
AL,22,2020091900, 03,EE32,  6,25.3,-93.1, 35,1002,XX
AL,22,2020091900, 03,EE18,  6,25.4,-93.4, 32,1005,XX
AL,22,2020091900, 03,EE47,  6,25.5,-93.0, 38,1001,XX
AL,22,2020091900, 03,EE17,  6,25.6,-93.3, 34,1002,XX
AL,22,2020091900, 03,EE02,  6,25.7,-93.0, 36,1002,XX
AL,22,2020091900, 03,EE38,  6,25.8,-93.2, 31,1005,XX
AL,22,2020091900, 03,EE01,  6,25.9,-93.2, 31,1005,XX
AL,22,2020091900, 03,EE00,  6,26.0,-93.1, 33,1004,XX
AL,22,2020091900, 03,EE07,  6,26.1,-93.0, 41,1001,XX
AL,22,2020091900, 03,EE08,  6,26.2,-93.0, 40,1001,XX
AL,22,2020091900, 03,EE33,  6,26.3,-93.0, 38,1001,XX
AL,22,2020091900, 03,EE43,  6,26.4,-93.7, 41,1004,XX
AL,22,2020091900, 03,EE42,  6,26.4,-93.0, 44, 998,XX
AL,22,2020091900, 03,EE45,  6,26.6,-93.0, 35,1004,XX
AL,22,2020091900, 03,EE20,  6,26.6,-93.0, 44, 999,XX
AL,22,2020091900, 03,EE21,  6,26.7,-93.0, 39,1004,XX
AL,22,2020091900, 03,EE36,  6,26.9,-92.2, 34,1006,XX
AL,22,2020091900, 03,EE05,  6,27.0,-92.9, 40,1004,XX
AL,22,2020091900, 03,ECMF,  6,27.1,-92.6, 44,1003,XX
AL,22,2020091900, 03,EE41, 12,24.9,-93.4, 39,1005,XX
AL,22,2020091900, 03,EE43, 12,25.2,-94.1, 38,1002,XX
AL,22,2020091900, 03,EE16, 12,25.5,-93.2, 39,1002,XX
AL,22,2020091900, 03,EE14, 12,25.6,-93.7, 34,1003,XX
AL,22,2020091900, 03,EE00, 12,25.7,-93.1, 40,1001,XX
AL,22,2020091900, 03,EE49, 12,25.7,-93.4, 40, 999,XX
AL,22,2020091900, 03,EE12, 12,25.9,-93.6, 36,1001,XX
AL,22,2020091900, 03,EE06, 12,26.0,-93.3, 38,1002,XX
AL,22,2020091900, 03,EE22, 12,26.0,-93.1, 35, 999,XX
AL,22,2020091900, 03,EE34, 12,26.1,-93.0, 37,1002,XX
AL,22,2020091900, 03,EE27, 12,26.2,-94.0, 37,1000,XX
AL,22,2020091900, 03,EE33, 12,26.2,-93.1, 38, 998,XX
AL,22,2020091900, 03,EE47, 12,26.2,-93.1, 36, 999,XX
AL,22,2020091900, 03,EE23, 12,26.3,-93.3, 39,1000,XX
AL,22,2020091900, 03,ECMF, 12,26.3,-93.4, 39, 996,XX
AL,22,2020091900, 03,EE07, 12,26.3,-93.1, 37, 997,XX
AL,22,2020091900, 03,EE21, 12,26.3,-93.6, 41, 998,XX
AL,22,2020091900, 03,EE05, 12,26.4,-93.6, 39,1000,XX
AL,22,2020091900, 03,EE08, 12,26.4,-93.0, 41, 994,XX
AL,22,2020091900, 03,EE25, 12,26.4,-94.0, 39, 998,XX
AL,22,2020091900, 03,EE02, 12,26.4,-93.2, 38, 999,XX
AL,22,2020091900, 03,EE04, 12,26.6,-93.4, 44, 998,XX
AL,22,2020091900, 03,EE32, 12,26.6,-93.8, 44, 999,XX
AL,22,2020091900, 03,EE39, 12,26.7,-94.0, 38,1000,XX
AL,22,2020091900, 03,EE18, 12,26.9,-93.4, 36,1000,XX
AL,22,2020091900, 03,EE28, 12,26.9,-93.4, 43, 999,XX
AL,22,2020091900, 03,EE36, 12,27.0,-93.0, 37,1000,XX
AL,22,2020091900, 03,EE37, 12,27.0,-92.9, 42, 997,XX
AL,22,2020091900, 03,EE11, 12,27.0,-93.1, 47, 998,XX
AL,22,2020091900, 03,EE15, 12,27.2,-93.3, 43, 997,XX
AL,22,2020091900, 03,EE01, 18,25.6,-93.0, 37,1003,XX
AL,22,2020091900, 03,EE06, 18,25.7,-94.0, 38,1002,XX
AL,22,2020091900, 03,EE21, 18,25.9,-93.3, 33,1000,XX
AL,22,2020091900, 03,EE19, 18,26.0,-93.6, 35,1002,XX
AL,22,2020091900, 03,EE44, 18,26.1,-93.9, 35,1003,XX
AL,22,2020091900, 03,EE04, 18,26.2,-93.4, 36,1000,XX
AL,22,2020091900, 03,EE47, 18,26.2,-93.7, 35, 999,XX
AL,22,2020091900, 03,EE05, 18,26.3,-93.4, 33,1002,XX
AL,22,2020091900, 03,ECMF, 18,26.3,-93.4, 36, 999,XX
AL,22,2020091900, 03,EE00, 18,26.4,-93.6, 34,1002,XX
AL,22,2020091900, 03,EE20, 18,26.4,-93.4, 37, 999,XX
AL,22,2020091900, 03,EE32, 18,26.5,-93.9, 40,1000,XX
AL,22,2020091900, 03,EE26, 18,26.6,-93.4, 35,1001,XX
AL,22,2020091900, 03,EE11, 18,26.6,-94.0, 41, 996,XX
AL,22,2020091900, 03,EE07, 18,26.6,-93.6, 40, 998,XX
AL,22,2020091900, 03,EE42, 18,26.6,-93.3, 37, 999,XX
AL,22,2020091900, 03,EE12, 18,26.7,-93.4, 37,1000,XX
AL,22,2020091900, 03,EE02, 18,26.7,-93.4, 38, 999,XX
AL,22,2020091900, 03,EE13, 18,26.9,-93.4, 41, 999,XX
AL,22,2020091900, 03,EE36, 18,27.0,-93.4, 40,1002,XX
AL,22,2020091900, 03,EE08, 18,27.0,-93.4, 41, 996,XX
AL,22,2020091900, 03,EE37, 18,27.2,-93.1, 41, 998,XX
AL,22,2020091900, 03,EE14, 24,25.6,-94.3, 33,1002,XX
AL,22,2020091900, 03,EE06, 24,25.7,-94.1, 36,1001,XX
AL,22,2020091900, 03,EE44, 24,25.9,-94.7, 36,1002,XX
AL,22,2020091900, 03,EE16, 24,26.0,-93.9, 35,1001,XX
AL,22,2020091900, 03,EE19, 24,26.2,-94.3, 35,1001,XX
AL,22,2020091900, 03,EE31, 24,26.2,-94.5, 39, 998,XX
AL,22,2020091900, 03,EE04, 24,26.2,-93.4, 36, 999,XX
AL,22,2020091900, 03,EE00, 24,26.3,-94.1, 33,1001,XX
AL,22,2020091900, 03,EE47, 24,26.3,-94.1, 38, 998,XX
AL,22,2020091900, 03,EE05, 24,26.4,-94.0, 38,1001,XX
AL,22,2020091900, 03,EE23, 24,26.4,-93.8, 37, 998,XX
AL,22,2020091900, 03,EE01, 24,26.6,-93.4, 34,1001,XX
AL,22,2020091900, 03,EE07, 24,26.6,-94.0, 36, 997,XX
AL,22,2020091900, 03,EE42, 24,26.6,-93.4, 35, 998,XX
AL,22,2020091900, 03,EE12, 24,26.6,-93.4, 39, 999,XX
AL,22,2020091900, 03,EE22, 24,26.7,-93.4, 34,1000,XX
AL,22,2020091900, 03,EE02, 24,26.7,-93.4, 36, 998,XX
