basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,03,2020060800, 03,EE06,  0,29.1,-89.8, 46, 994,XX
AL,03,2020060800, 03,EE03,  0,29.3,-90.2, 39, 992,XX
AL,03,2020060800, 03,EE33,  0,29.4,-89.8, 44, 992,XX
AL,03,2020060800, 03,EE32,  0,29.4,-89.8, 42, 993,XX
AL,03,2020060800, 03,EE04,  0,29.5,-90.3, 48, 992,XX
AL,03,2020060800, 03,EE15,  0,29.5,-89.5, 44, 993,XX
AL,03,2020060800, 03,EE29,  0,29.7,-89.2, 48, 991,XX
AL,03,2020060800, 03,EE07,  0,29.7,-89.3, 44, 992,XX
AL,03,2020060800, 03,ECMF,  0,29.7,-89.4, 44, 993,XX
AL,03,2020060800, 03,EE13,  0,29.7,-89.5, 39, 994,XX
AL,03,2020060800, 03,EE17,  0,29.8,-89.5, 61, 991,XX
AL,03,2020060800, 03,EE01,  0,29.8,-89.6, 47, 992,XX
AL,03,2020060800, 03,EE36,  0,29.8,-89.5, 43, 993,XX
AL,03,2020060800, 03,EE01,  6,30.0,-90.9, 39, 992,XX
AL,03,2020060800, 03,EE47,  6,30.1,-90.6, 36, 994,XX
AL,03,2020060800, 03,EE30,  6,30.1,-90.5, 35, 995,XX
AL,03,2020060800, 03,EE49,  6,30.2,-90.5, 42, 992,XX
AL,03,2020060800, 03,EE08,  6,30.2,-91.0, 35, 994,XX
AL,03,2020060800, 03,EE03,  6,30.2,-91.5, 36, 995,XX
AL,03,2020060800, 03,EE17,  6,30.4,-91.2, 39, 992,XX
AL,03,2020060800, 03,EE26,  6,30.4,-91.3, 40, 993,XX
AL,03,2020060800, 03,EE04,  6,30.4,-90.9, 41, 994,XX
AL,03,2020060800, 03,EE15,  6,30.4,-90.5, 37, 995,XX
AL,03,2020060800, 03,EE06,  6,30.4,-90.5, 37, 996,XX
AL,03,2020060800, 03,EE29,  6,30.5,-90.5, 46, 991,XX
AL,03,2020060800, 03,EE46,  6,30.5,-90.5, 36, 993,XX
AL,03,2020060800, 03,EE02,  6,30.5,-90.8, 36, 994,XX
AL,03,2020060800, 03,ECMF,  6,30.5,-90.9, 37, 995,XX
AL,03,2020060800, 03,EE21,  6,30.7,-90.5, 38, 991,XX
AL,03,2020060800, 03,EE19,  6,30.7,-90.6, 34, 992,XX
AL,03,2020060800, 03,EE07,  6,30.7,-90.5, 38, 994,XX
AL,03,2020060800, 03,EE38,  6,30.7,-90.5, 39, 995,XX
AL,03,2020060800, 03,EE31,  6,30.7,-90.5, 41, 996,XX
AL,03,2020060800, 03,EE09,  6,30.8,-90.8, 35, 994,XX
AL,03,2020060800, 03,EE14,  6,30.8,-90.5, 38, 995,XX
AL,03,2020060800, 03,EE05,  6,30.8,-90.8, 38, 996,XX
AL,03,2020060800, 03,EE43,  6,30.9,-91.0, 35, 996,XX
AL,03,2020060800, 03,EE40,  6,31.1,-90.9, 35, 996,XX
AL,03,2020060800, 03,EE35, 12,31.2,-91.3, 30, 996,XX
AL,03,2020060800, 03,EE40, 12,31.2,-91.7, 32, 997,XX
AL,03,2020060800, 03,EE37, 12,31.4,-90.8, 32, 994,XX
AL,03,2020060800, 03,EE05, 12,31.4,-91.3, 31, 995,XX
AL,03,2020060800, 03,EE25, 12,31.4,-91.7, 30, 996,XX
AL,03,2020060800, 03,EE13, 12,31.4,-91.6, 31, 997,XX
AL,03,2020060800, 03,EE09, 12,31.5,-91.7, 31, 994,XX
AL,03,2020060800, 03,EE20, 12,31.5,-91.7, 27, 995,XX
AL,03,2020060800, 03,EE42, 12,31.5,-91.7, 27, 997,XX
AL,03,2020060800, 03,EE21, 12,31.6,-91.2, 33, 993,XX
AL,03,2020060800, 03,EE30, 12,31.6,-91.5, 35, 996,XX
AL,03,2020060800, 03,EE03, 12,31.6,-92.0, 31, 997,XX
AL,03,2020060800, 03,EE32, 12,31.7,-91.1, 27, 997,XX
AL,03,2020060800, 03,EE23, 12,31.8,-91.6, 31, 994,XX
AL,03,2020060800, 03,EE01, 12,31.8,-90.8, 34, 995,XX
AL,03,2020060800, 03,EE45, 12,31.8,-91.5, 31, 996,XX
AL,03,2020060800, 03,EE11, 12,31.9,-91.6, 31, 995,XX
AL,03,2020060800, 03,EE00, 12,31.9,-91.6, 30, 996,XX
AL,03,2020060800, 03,ECMF, 12,32.0,-91.6, 30, 994,XX
AL,03,2020060800, 03,EE33, 12,32.0,-91.1, 33, 995,XX
AL,03,2020060800, 03,EE28, 12,32.0,-90.9, 29, 996,XX
AL,03,2020060800, 03,EE07, 12,32.1,-91.0, 33, 994,XX
AL,03,2020060800, 03,EE04, 12,32.1,-91.3, 29, 995,XX
AL,03,2020060800, 03,EE08, 12,32.1,-91.9, 32, 996,XX
AL,03,2020060800, 03,EE18, 12,32.2,-91.6, 33, 994,XX
AL,03,2020060800, 03,EE02, 12,32.2,-91.1, 31, 995,XX
AL,03,2020060800, 03,EE19, 12,32.2,-91.0, 30, 996,XX
AL,03,2020060800, 03,EE12, 12,32.2,-90.9, 32, 997,XX
AL,03,2020060800, 03,EE36, 12,32.4,-91.2, 32, 995,XX
AL,03,2020060800, 03,EE27, 12,32.5,-91.5, 30, 995,XX
AL,03,2020060800, 03,EE03, 18,32.4,-91.7, 31, 999,XX
AL,03,2020060800, 03,EE34, 18,32.5,-91.6, 29, 997,XX
AL,03,2020060800, 03,EE01, 18,32.6,-91.3, 30, 996,XX
AL,03,2020060800, 03,EE14, 18,32.6,-91.6, 32, 997,XX
AL,03,2020060800, 03,EE15, 18,32.6,-91.6, 28, 998,XX
AL,03,2020060800, 03,EE40, 18,32.6,-91.6, 30, 999,XX
AL,03,2020060800, 03,ECMF, 18,32.7,-91.8, 29, 996,XX
AL,03,2020060800, 03,EE05, 18,32.8,-92.0, 30, 996,XX
AL,03,2020060800, 03,EE00, 18,32.8,-92.0, 29, 997,XX
AL,03,2020060800, 03,EE42, 18,32.8,-92.0, 25, 998,XX
AL,03,2020060800, 03,EE37, 18,32.9,-91.3, 33, 994,XX
AL,03,2020060800, 03,EE19, 18,32.9,-92.0, 28, 996,XX
AL,03,2020060800, 03,EE32, 18,33.0,-91.7, 26, 998,XX
AL,03,2020060800, 03,EE29, 18,33.1,-91.3, 31, 994,XX
AL,03,2020060800, 03,EE43, 18,33.1,-92.2, 31, 995,XX
AL,03,2020060800, 03,EE02, 18,33.1,-91.6, 30, 996,XX
AL,03,2020060800, 03,EE06, 18,33.1,-92.3, 31, 997,XX
AL,03,2020060800, 03,EE13, 18,33.1,-92.0, 26, 998,XX
AL,03,2020060800, 03,EE11, 18,33.2,-92.0, 28, 995,XX
