basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,26,2020101100, 03,EE48,  0,33.2,-89.5, 20,1002,XX
AL,26,2020101100, 03,EE08,  0,33.3,-89.3, 20,1001,XX
AL,26,2020101100, 03,ECMF,  0,33.4,-89.5, 20,1002,XX
AL,26,2020101100, 03,EE00,  0,33.5,-89.5, 19,1002,XX
AL,26,2020101100, 03,EE10,  0,33.6,-89.3, 20,1000,XX
AL,26,2020101100, 03,EE02,  0,33.8,-89.6, 20,1002,XX
AL,26,2020101100, 03,EE29,  6,33.3,-88.5, 17,1004,XX
AL,26,2020101100, 03,EE22,  6,33.5,-88.4, 18,1004,XX
AL,26,2020101100, 03,EE00,  6,33.6,-88.5, 17,1004,XX
AL,26,2020101100, 03,ECMF,  6,33.7,-88.5, 17,1004,XX
AL,26,2020101100, 03,EE02,  6,33.8,-88.8, 18,1005,XX
AL,26,2020101100, 03,EE10,  6,33.9,-88.4, 18,1003,XX
AL,26,2020101100, 03,EE42,  6,34.2,-88.8, 16,1004,XX
AL,26,2020101100, 03,EE45, 12,33.3,-87.8, 21,1006,XX
AL,26,2020101100, 03,EE32, 12,33.5,-87.7, 21,1006,XX
AL,26,2020101100, 03,EE31, 12,33.6,-87.4, 20,1006,XX
AL,26,2020101100, 03,EE22, 12,33.8,-87.4, 17,1006,XX
AL,26,2020101100, 03,EE16, 12,33.9,-87.7, 17,1006,XX
AL,26,2020101100, 03,EE47, 12,34.2,-87.8, 17,1006,XX
AL,26,2020101100, 03,ECMF, 12,34.5,-87.5, 19,1006,XX
AL,26,2020101100, 03,EE42, 12,34.6,-87.5, 15,1006,XX
AL,26,2020101100, 03,EE34, 18,32.2,-87.7, 16,1010,XX
