basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,05,2020070612, 03,EE00,  0,39.5,-51.9, 40,1007,XX
AL,05,2020070612, 03,ECMF,  0,39.6,-51.9, 44,1006,XX
AL,05,2020070612, 03,EE04,  0,39.7,-51.8, 42,1007,XX
AL,05,2020070612, 03,EE43,  6,40.6,-48.7, 46,1001,XX
AL,05,2020070612, 03,EE33,  6,40.9,-48.7, 40,1005,XX
AL,05,2020070612, 03,EE15,  6,41.1,-48.3, 38,1007,XX
AL,05,2020070612, 03,EE18,  6,41.2,-48.0, 40,1005,XX
AL,05,2020070612, 03,ECMF,  6,41.3,-48.3, 40,1005,XX
AL,05,2020070612, 03,EE10,  6,41.5,-48.8, 37,1005,XX
AL,05,2020070612, 03,EE07,  6,41.6,-48.4, 40,1006,XX
AL,05,2020070612, 03,EE43, 12,41.9,-45.3, 37,1005,XX
AL,05,2020070612, 03,EE32, 12,42.2,-45.6, 33,1007,XX
AL,05,2020070612, 03,EE44, 12,42.3,-45.6, 38,1005,XX
AL,05,2020070612, 03,EE23, 12,42.5,-45.3, 33,1007,XX
AL,05,2020070612, 03,EE25, 12,42.6,-45.6, 39,1003,XX
AL,05,2020070612, 03,EE04, 12,42.8,-45.3, 40,1004,XX
AL,05,2020070612, 03,EE39, 12,42.8,-45.3, 50, 998,XX
AL,05,2020070612, 03,EE27, 12,42.8,-45.3, 44, 999,XX
AL,05,2020070612, 03,EE16, 12,42.9,-45.5, 45,1000,XX
AL,05,2020070612, 03,EE13, 12,43.0,-45.0, 44,1002,XX
AL,05,2020070612, 03,ECMF, 12,43.1,-45.0, 45,1001,XX
AL,05,2020070612, 03,EE00, 12,43.2,-44.9, 43,1003,XX
AL,05,2020070612, 03,EE26, 12,43.2,-45.2, 42, 999,XX
AL,05,2020070612, 03,EE07, 12,43.3,-45.6, 34,1004,XX
AL,05,2020070612, 03,EE17, 12,43.5,-45.8, 35,1005,XX
AL,05,2020070612, 03,EE47, 12,43.7,-44.9, 31,1006,XX
AL,05,2020070612, 03,EE33, 18,43.5,-42.5, 36,1004,XX
AL,05,2020070612, 03,EE44, 18,43.6,-42.4, 35,1005,XX
AL,05,2020070612, 03,EE45, 18,43.9,-42.9, 34,1004,XX
AL,05,2020070612, 03,EE04, 18,44.0,-42.5, 36,1003,XX
AL,05,2020070612, 03,EE25, 18,44.2,-42.4, 38,1003,XX
AL,05,2020070612, 03,EE19, 18,44.3,-42.1, 37,1004,XX
AL,05,2020070612, 03,EE07, 18,44.4,-42.8, 34,1003,XX
AL,05,2020070612, 03,ECMF, 18,44.5,-42.4, 39,1001,XX
AL,05,2020070612, 03,EE00, 18,44.6,-42.1, 37,1003,XX
AL,05,2020070612, 03,EE08, 18,44.7,-42.1, 39,1002,XX
AL,05,2020070612, 03,EE35, 18,44.9,-42.1, 39,1002,XX
AL,05,2020070612, 03,EE34, 24,45.1,-39.7, 34,1006,XX
AL,05,2020070612, 03,EE33, 24,45.3,-39.1, 35,1006,XX
AL,05,2020070612, 03,EE44, 24,45.4,-38.7, 36,1006,XX
AL,05,2020070612, 03,EE28, 24,45.6,-39.7, 34,1005,XX
AL,05,2020070612, 03,EE27, 24,45.7,-39.0, 37,1003,XX
AL,05,2020070612, 03,ECMF, 24,45.8,-38.9, 35,1005,XX
AL,05,2020070612, 03,EE12, 24,46.0,-39.7, 35,1002,XX
AL,05,2020070612, 03,EE00, 24,46.1,-38.9, 33,1005,XX
AL,05,2020070612, 03,EE26, 24,46.3,-38.6, 38,1002,XX
AL,05,2020070612, 03,EE21, 24,46.4,-37.9, 37,1004,XX
AL,05,2020070612, 03,EE50, 24,46.5,-38.6, 40,1002,XX
AL,05,2020070612, 03,EE35, 24,46.7,-39.3, 37,1001,XX
AL,05,2020070612, 03,EE04, 30,47.0,-35.8, 31,1007,XX
AL,05,2020070612, 03,EE19, 30,47.3,-35.8, 29,1008,XX
AL,05,2020070612, 03,EE28, 30,47.4,-36.2, 30,1006,XX
AL,05,2020070612, 03,EE15, 30,47.5,-35.8, 30,1005,XX
AL,05,2020070612, 03,ECMF, 30,47.6,-35.5, 29,1007,XX
AL,05,2020070612, 03,EE11, 30,47.7,-35.2, 33,1004,XX
AL,05,2020070612, 03,EE42, 30,47.8,-35.6, 33,1004,XX
AL,05,2020070612, 03,EE12, 30,48.0,-36.5, 33,1003,XX
AL,05,2020070612, 03,EE31, 30,48.1,-35.5, 32,1004,XX
AL,05,2020070612, 03,EE16, 30,48.2,-34.8, 35,1003,XX
AL,05,2020070612, 03,EE50, 30,48.5,-34.9, 32,1003,XX
AL,05,2020070612, 03,EE46, 36,48.1,-33.4, 28,1009,XX
AL,05,2020070612, 03,EE04, 36,48.2,-32.0, 28,1009,XX
AL,05,2020070612, 03,EE19, 36,48.4,-32.1, 25,1012,XX
AL,05,2020070612, 03,EE28, 36,48.5,-32.5, 27,1009,XX
AL,05,2020070612, 03,EE42, 36,48.9,-32.4, 28,1008,XX
AL,05,2020070612, 03,EE15, 36,49.1,-31.8, 27,1008,XX
AL,05,2020070612, 03,EE12, 36,49.6,-32.8, 29,1005,XX
AL,05,2020070612, 03,EE25, 36,49.9,-31.0, 29,1007,XX
AL,05,2020070612, 03,EE19, 42,48.9,-28.0, 24,1014,XX
AL,05,2020070612, 03,EE43, 42,49.2,-29.4, 24,1012,XX
AL,05,2020070612, 03,EE28, 42,49.5,-28.5, 26,1011,XX
AL,05,2020070612, 03,EE42, 42,49.7,-29.1, 26,1010,XX
AL,05,2020070612, 03,EE43, 48,49.9,-24.9, 22,1014,XX
AL,05,2020070612, 03,EE18, 48,50.1,-25.6, 23,1014,XX
AL,05,2020070612, 03,EE18, 66,50.1,-15.4, 18,1016,XX
