basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,27,2020102000, 03,EE11,  0,24.9,-55.6, 41, 995,XX
AL,27,2020102000, 03,EE04,  0,24.9,-55.5, 42, 996,XX
AL,27,2020102000, 03,EE26,  0,24.9,-55.6, 40, 997,XX
AL,27,2020102000, 03,EE46,  0,25.0,-55.3, 39, 993,XX
AL,27,2020102000, 03,EE13,  0,25.0,-55.5, 39, 995,XX
AL,27,2020102000, 03,ECMF,  0,25.0,-55.5, 38, 996,XX
AL,27,2020102000, 03,EE23,  0,25.0,-55.5, 41, 997,XX
AL,27,2020102000, 03,EE09,  0,25.2,-55.5, 40, 995,XX
AL,27,2020102000, 03,EE21,102,34.5,-64.5, 37, 985,XX
AL,27,2020102000, 03,EE00,102,33.9,-63.0, 38, 983,XX
AL,27,2020102000, 03,EE00,108,34.6,-62.9, 39, 983,XX
AL,27,2020102000, 03,EE00,114,35.2,-62.6, 40, 980,XX
AL,27,2020102000, 03,ECMF,120,36.8,-61.2, 41, 979,XX
AL,27,2020102000, 03,EE01,114,35.0,-64.7, 42, 985,XX
AL,27,2020102000, 03,ECMF,102,33.9,-62.4, 43, 984,XX
AL,27,2020102000, 03,EE00,132,38.4,-58.3, 44, 977,XX
AL,27,2020102000, 03,EE01,132,38.5,-60.7, 45, 983,XX
AL,27,2020102000, 03,EE00,126,37.3,-60.0, 46, 978,XX
AL,27,2020102000, 03,EE05,126,39.7,-54.8, 47, 979,XX
AL,27,2020102000, 03,ECMF,126,37.8,-59.7, 48, 976,XX
AL,27,2020102000, 03,EE00,138,39.2,-56.0, 49, 976,XX
AL,27,2020102000, 03,EE04,144,41.7,-53.1, 50, 977,XX
AL,27,2020102000, 03,ECMF,144,40.7,-51.4, 51, 974,XX
AL,27,2020102000, 03,EE03,132,37.3,-58.7, 52, 973,XX
AL,27,2020102000, 03,ECMF,132,38.5,-57.8, 53, 976,XX
AL,27,2020102000, 03,ECMF,138,39.3,-54.5, 54, 975,XX
AL,27,2020102000, 03,EE13,120,37.1,-62.2, 55, 974,XX
AL,27,2020102000, 03,EE04,138,40.2,-56.7, 56, 975,XX
AL,27,2020102000, 03,EE46,132,39.8,-57.0, 57, 967,XX
AL,27,2020102000, 03,EE16,144,43.0,-47.7, 58, 969,XX
AL,27,2020102000, 03,EE03,144,38.8,-53.3, 59, 973,XX
AL,27,2020102000, 03,EE30,144,41.2,-48.4, 60, 971,XX
AL,27,2020102000, 03,EE14,144,41.1,-51.9, 61, 968,XX
AL,27,2020102000, 03,EE03,138,37.7,-56.4, 62, 973,XX
AL,27,2020102000, 03,EE12,144,39.4,-55.0, 63, 964,XX
AL,27,2020102000, 03,EE26,144,41.3,-47.9, 64, 967,XX
AL,27,2020102000, 03,EE14,138,39.9,-55.3, 65, 966,XX
AL,27,2020102000, 03,EE28,144,42.9,-46.5, 70, 965,XX
AL,27,2020102000, 03,EE42,144,43.2,-43.4, 74, 961,XX
AL,27,2020102000, 03,EE04,  6,24.9,-55.2, 35, 994,XX
AL,27,2020102000, 03,EE12,  6,25.0,-55.2, 38, 992,XX
AL,27,2020102000, 03,EE16,  6,25.2,-55.0, 37, 993,XX
AL,27,2020102000, 03,EE05,  6,25.2,-54.8, 36, 994,XX
AL,27,2020102000, 03,EE48,  6,25.3,-54.9, 41, 991,XX
AL,27,2020102000, 03,EE40,  6,25.3,-55.0, 38, 992,XX
AL,27,2020102000, 03,EE11,  6,25.3,-55.3, 37, 993,XX
AL,27,2020102000, 03,EE03,  6,25.3,-55.3, 40, 994,XX
AL,27,2020102000, 03,ECMF,  6,25.4,-55.0, 37, 993,XX
AL,27,2020102000, 03,EE31,  6,25.5,-55.0, 40, 990,XX
AL,27,2020102000, 03,EE09,  6,25.5,-55.2, 38, 991,XX
AL,27,2020102000, 03,EE22,  6,25.5,-55.0, 39, 992,XX
AL,27,2020102000, 03,EE00,  6,25.5,-55.0, 36, 993,XX
AL,27,2020102000, 03,EE01,  6,25.5,-55.0, 37, 994,XX
AL,27,2020102000, 03,EE13,  6,25.6,-54.8, 37, 992,XX
AL,27,2020102000, 03,EE37,  6,25.6,-54.6, 40, 993,XX
AL,27,2020102000, 03,EE17,  6,25.6,-54.9, 39, 994,XX
AL,27,2020102000, 03,EE34,  6,25.6,-54.9, 39, 995,XX
