basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,29,2020111012, 03,EE15,  0,22.4,-85.4, 33, 993,XX
AL,29,2020111012, 03,EE10,  0,22.4,-85.4, 34, 994,XX
AL,29,2020111012, 03,ECMF,  0,22.4,-85.3, 33, 995,XX
AL,29,2020111012, 03,EE13,  0,22.4,-85.4, 30, 996,XX
AL,29,2020111012, 03,EE40,  0,22.5,-85.4, 36, 993,XX
AL,29,2020111012, 03,EE05,  0,22.5,-85.4, 34, 994,XX
AL,29,2020111012, 03,EE27,  0,22.5,-85.4, 32, 995,XX
AL,29,2020111012, 03,EE02,  0,22.5,-85.4, 30, 996,XX
AL,29,2020111012, 03,EE14,  0,22.7,-85.4, 32, 994,XX
AL,29,2020111012, 03,EE18,  0,22.7,-86.0, 33, 995,XX
AL,29,2020111012, 03,EE19,  0,22.8,-85.8, 39, 993,XX
AL,29,2020111012, 03,EE40,  6,22.7,-84.8, 42, 987,XX
AL,29,2020111012, 03,EE19,  6,22.7,-85.3, 41, 989,XX
AL,29,2020111012, 03,EE23,  6,22.7,-85.3, 43, 991,XX
AL,29,2020111012, 03,EE11,  6,22.7,-84.8, 35, 993,XX
AL,29,2020111012, 03,EE06,  6,22.7,-85.0, 33, 995,XX
AL,29,2020111012, 03,EE28,  6,22.7,-85.0, 35, 996,XX
AL,29,2020111012, 03,EE31,  6,22.8,-85.0, 37, 991,XX
AL,29,2020111012, 03,EE12,  6,22.8,-85.0, 36, 992,XX
AL,29,2020111012, 03,EE24,  6,22.8,-85.0, 35, 993,XX
AL,29,2020111012, 03,EE07,  6,22.8,-85.0, 34, 994,XX
AL,29,2020111012, 03,EE00,  6,22.8,-85.0, 34, 995,XX
AL,29,2020111012, 03,EE29,  6,22.8,-85.0, 34, 996,XX
AL,29,2020111012, 03,EE16,  6,22.9,-85.0, 41, 992,XX
AL,29,2020111012, 03,EE05,  6,22.9,-85.0, 39, 993,XX
AL,29,2020111012, 03,ECMF,  6,22.9,-84.9, 37, 994,XX
AL,29,2020111012, 03,EE13,  6,22.9,-85.0, 33, 995,XX
AL,29,2020111012, 03,EE26,  6,22.9,-85.3, 35, 996,XX
AL,29,2020111012, 03,EE04,  6,23.1,-85.0, 36, 994,XX
AL,29,2020111012, 03,EE02,  6,23.1,-85.1, 34, 995,XX
AL,29,2020111012, 03,EE49,  6,23.1,-85.0, 33, 996,XX
AL,29,2020111012, 03,EE23, 12,23.1,-85.3, 47, 989,XX
AL,29,2020111012, 03,EE40, 12,23.2,-84.4, 42, 987,XX
AL,29,2020111012, 03,EE24, 12,23.4,-85.0, 41, 992,XX
AL,29,2020111012, 03,EE07, 12,23.4,-84.8, 35, 994,XX
AL,29,2020111012, 03,EE19, 12,23.5,-85.1, 40, 989,XX
AL,29,2020111012, 03,EE15, 12,23.5,-85.0, 38, 991,XX
AL,29,2020111012, 03,EE34, 12,23.5,-85.0, 39, 992,XX
AL,29,2020111012, 03,EE16, 12,23.5,-85.4, 35, 993,XX
AL,29,2020111012, 03,EE09, 12,23.5,-85.1, 32, 995,XX
AL,29,2020111012, 03,EE12, 12,23.6,-84.8, 38, 992,XX
AL,29,2020111012, 03,EE11, 12,23.6,-84.8, 37, 993,XX
AL,29,2020111012, 03,EE03, 12,23.6,-85.1, 35, 994,XX
AL,29,2020111012, 03,EE00, 12,23.6,-85.3, 31, 995,XX
AL,29,2020111012, 03,EE17, 12,23.6,-85.3, 28, 996,XX
AL,29,2020111012, 03,EE42, 12,23.8,-85.0, 40, 991,XX
AL,29,2020111012, 03,EE14, 12,23.8,-85.0, 37, 992,XX
AL,29,2020111012, 03,EE08, 12,23.8,-85.0, 39, 993,XX
AL,29,2020111012, 03,ECMF, 12,23.8,-85.1, 37, 994,XX
AL,29,2020111012, 03,EE04, 12,23.8,-85.4, 31, 995,XX
AL,29,2020111012, 03,EE26, 12,23.8,-85.7, 30, 996,XX
AL,29,2020111012, 03,EE05, 12,23.9,-85.4, 34, 994,XX
AL,29,2020111012, 03,EE32, 12,23.9,-85.3, 30, 995,XX
AL,29,2020111012, 03,EE39, 12,23.9,-85.1, 31, 996,XX
AL,29,2020111012, 03,EE30, 12,24.1,-85.3, 32, 996,XX
AL,29,2020111012, 03,EE23, 18,23.5,-85.7, 38, 991,XX
AL,29,2020111012, 03,EE16, 18,23.6,-85.7, 39, 995,XX
AL,29,2020111012, 03,EE24, 18,23.8,-85.0, 40, 992,XX
AL,29,2020111012, 03,EE22, 18,23.8,-85.7, 34, 993,XX
AL,29,2020111012, 03,EE19, 18,23.9,-85.4, 39, 991,XX
AL,29,2020111012, 03,EE12, 18,23.9,-85.1, 35, 994,XX
AL,29,2020111012, 03,EE11, 18,23.9,-85.1, 35, 995,XX
AL,29,2020111012, 03,EE48, 18,23.9,-86.1, 34, 997,XX
AL,29,2020111012, 03,EE35, 18,24.0,-85.6, 32, 998,XX
AL,29,2020111012, 03,EE40, 18,24.1,-84.1, 45, 987,XX
AL,29,2020111012, 03,EE15, 18,24.1,-85.3, 35, 993,XX
AL,29,2020111012, 03,EE31, 18,24.1,-85.0, 38, 994,XX
AL,29,2020111012, 03,EE07, 18,24.1,-85.0, 35, 995,XX
AL,29,2020111012, 03,EE36, 18,24.1,-85.7, 31, 997,XX
AL,29,2020111012, 03,EE26, 18,24.1,-86.3, 33, 998,XX
AL,29,2020111012, 03,EE38, 18,24.2,-85.1, 38, 994,XX
AL,29,2020111012, 03,EE20, 18,24.2,-85.4, 35, 995,XX
AL,29,2020111012, 03,EE27, 18,24.2,-85.3, 35, 996,XX
AL,29,2020111012, 03,EE00, 18,24.2,-85.5, 32, 997,XX
AL,29,2020111012, 03,EE41, 18,24.2,-85.8, 33, 998,XX
AL,29,2020111012, 03,EE42, 18,24.3,-85.0, 40, 992,XX
AL,29,2020111012, 03,EE14, 18,24.3,-85.4, 36, 993,XX
AL,29,2020111012, 03,EE08, 18,24.3,-85.1, 38, 994,XX
AL,29,2020111012, 03,ECMF, 18,24.3,-85.3, 34, 996,XX
AL,29,2020111012, 03,EE02, 18,24.3,-85.8, 36, 997,XX
AL,29,2020111012, 03,EE29, 18,24.3,-85.1, 31, 998,XX
AL,29,2020111012, 03,EE44, 18,24.5,-85.1, 37, 995,XX
AL,29,2020111012, 03,EE05, 18,24.5,-85.7, 32, 996,XX
AL,29,2020111012, 03,EE18, 18,24.5,-85.8, 32, 997,XX
AL,29,2020111012, 03,EE10, 18,24.8,-85.7, 34, 996,XX
AL,29,2020111012, 03,EE23, 24,24.2,-85.3, 39, 992,XX
AL,29,2020111012, 03,EE48, 24,24.2,-85.7, 32, 998,XX
AL,29,2020111012, 03,EE35, 24,24.2,-85.1, 33, 999,XX
AL,29,2020111012, 03,EE16, 24,24.3,-85.3, 37, 996,XX
AL,29,2020111012, 03,EE22, 24,24.5,-85.5, 38, 994,XX
AL,29,2020111012, 03,EE24, 24,24.5,-84.8, 36, 995,XX
AL,29,2020111012, 03,EE26, 24,24.6,-85.8, 35,1000,XX
AL,29,2020111012, 03,EE45, 24,24.6,-85.5, 36, 998,XX
AL,29,2020111012, 03,EE36, 24,24.6,-85.5, 33, 999,XX
AL,29,2020111012, 03,EE19, 24,24.8,-85.3, 42, 993,XX
AL,29,2020111012, 03,EE12, 24,24.8,-85.1, 35, 995,XX
AL,29,2020111012, 03,EE17, 24,24.8,-85.7, 33, 999,XX
AL,29,2020111012, 03,EE14, 24,24.9,-84.8, 41, 991,XX
