basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,06,2020071112, 03,EE06,  0,43.0,-74.0, 23,1001,XX
AL,06,2020071112, 03,EE03,  0,43.2,-73.7, 24,1000,XX
AL,06,2020071112, 03,EE41,  0,43.3,-73.5, 23,1000,XX
AL,06,2020071112, 03,EE01,  0,44.2,-74.6, 23,1000,XX
AL,06,2020071112, 03,EE19,  0,44.3,-73.3, 22,1001,XX
AL,06,2020071112, 03,EE09,  0,44.4,-73.3, 22,1002,XX
AL,06,2020071112, 03,EE07,  0,44.6,-75.1, 23,1001,XX
AL,06,2020071112, 03,EE00,  0,44.7,-74.9, 22,1001,XX
AL,06,2020071112, 03,ECMF,  0,44.8,-74.6, 22,1001,XX
AL,06,2020071112, 03,EE05,  0,44.9,-74.6, 22,1001,XX
AL,06,2020071112, 03,EE16,  6,45.0,-74.4, 23, 996,XX
AL,06,2020071112, 03,EE14,  6,45.0,-74.4, 23, 997,XX
AL,06,2020071112, 03,EE41,  6,45.1,-74.2, 24, 997,XX
AL,06,2020071112, 03,EE03,  6,45.1,-74.4, 23, 999,XX
AL,06,2020071112, 03,ECMF,  6,45.2,-73.9, 23, 998,XX
AL,06,2020071112, 03,EE05,  6,45.3,-74.2, 25, 995,XX
AL,06,2020071112, 03,EE01,  6,45.3,-74.2, 24, 996,XX
AL,06,2020071112, 03,EE04,  6,45.3,-74.0, 24, 997,XX
AL,06,2020071112, 03,EE00,  6,45.3,-74.0, 23, 998,XX
AL,06,2020071112, 03,EE39,  6,45.3,-74.0, 23, 999,XX
AL,06,2020071112, 03,EE45,  6,45.4,-74.0, 24, 996,XX
AL,06,2020071112, 03,EE07,  6,45.4,-74.0, 23, 997,XX
AL,06,2020071112, 03,EE23,  6,45.4,-74.0, 22, 998,XX
AL,06,2020071112, 03,EE18,  6,45.5,-74.3, 23, 997,XX
AL,06,2020071112, 03,EE34,  6,45.6,-74.1, 23, 997,XX
AL,06,2020071112, 03,EE06,  6,45.6,-73.3, 24, 999,XX
AL,06,2020071112, 03,EE35,  6,45.7,-73.5, 22, 998,XX
AL,06,2020071112, 03,EE20,  6,45.7,-73.6, 23, 999,XX
AL,06,2020071112, 03,EE13,  6,45.8,-73.6, 25, 997,XX
AL,06,2020071112, 03,EE25,  6,45.8,-73.6, 21, 998,XX
AL,06,2020071112, 03,EE33,  6,46.0,-73.6, 24, 996,XX
AL,06,2020071112, 03,EE08,  6,46.0,-73.3, 25, 997,XX
AL,06,2020071112, 03,EE26,  6,46.0,-73.5, 23, 998,XX
AL,06,2020071112, 03,EE21,  6,46.0,-73.0, 23, 999,XX
AL,06,2020071112, 03,EE19,  6,46.1,-73.3, 23, 997,XX
