basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,25,2020100312, 03,EE12,  0,19.6,-87.1, 54, 989,XX
AL,25,2020100312, 03,EE16,  0,19.6,-87.1, 51, 990,XX
AL,25,2020100312, 03,ECMF,  0,19.6,-87.1, 48, 991,XX
AL,25,2020100312, 03,EE00,  0,19.6,-87.1, 42, 992,XX
AL,25,2020100312, 03,EE11,  0,19.6,-87.1, 43, 993,XX
AL,25,2020100312, 03,EE26,  0,19.6,-87.1, 38, 994,XX
AL,25,2020100312, 03,EE11,108,19.6,-92.2, 32, 999,XX
AL,25,2020100312, 03,EE45,114,18.3,-93.1, 33, 999,XX
AL,25,2020100312, 03,EE45,108,18.4,-93.0, 34, 999,XX
AL,25,2020100312, 03,EE33,138,21.8,-95.0, 35, 997,XX
AL,25,2020100312, 03,EE33,114,20.3,-93.8, 37, 991,XX
AL,25,2020100312, 03,ECMF,108,18.8,-92.7, 38, 999,XX
AL,25,2020100312, 03,EE11,144,19.4,-94.8, 40, 999,XX
AL,25,2020100312, 03,EE23,102,20.4,-92.6, 41, 994,XX
AL,25,2020100312, 03,ECMF,114,18.8,-92.9, 42, 997,XX
AL,25,2020100312, 03,EE33,144,22.7,-95.5, 45, 990,XX
AL,25,2020100312, 03,EE23,126,22.1,-93.8, 46, 987,XX
AL,25,2020100312, 03,EE23,144,24.5,-93.8, 49, 980,XX
AL,25,2020100312, 03,EE23,138,23.5,-94.0, 50, 980,XX
AL,25,2020100312, 03,EE33,102,20.1,-93.1, 53, 985,XX
AL,25,2020100312, 03,EE23,132,22.8,-94.0, 55, 978,XX
AL,25,2020100312, 03,EE16,  6,20.1,-87.5, 35, 990,XX
AL,25,2020100312, 03,EE06,  6,20.3,-87.7, 38, 991,XX
AL,25,2020100312, 03,EE37,  6,20.3,-87.5, 40, 992,XX
AL,25,2020100312, 03,EE09,  6,20.3,-87.4, 37, 993,XX
AL,25,2020100312, 03,EE11,  6,20.3,-87.1, 39, 995,XX
AL,25,2020100312, 03,EE31,  6,20.3,-86.8, 36, 997,XX
AL,25,2020100312, 03,EE42,  6,20.4,-87.4, 39, 988,XX
AL,25,2020100312, 03,EE05,  6,20.4,-87.7, 43, 990,XX
AL,25,2020100312, 03,EE40,  6,20.4,-87.4, 42, 991,XX
AL,25,2020100312, 03,EE22,  6,20.4,-87.7, 34, 994,XX
AL,25,2020100312, 03,EE41,  6,20.4,-87.5, 36, 995,XX
AL,25,2020100312, 03,EE44,  6,20.5,-87.7, 37, 988,XX
AL,25,2020100312, 03,EE12,  6,20.5,-87.5, 37, 989,XX
AL,25,2020100312, 03,ECMF,  6,20.5,-87.5, 42, 990,XX
AL,25,2020100312, 03,EE49,  6,20.5,-87.4, 37, 991,XX
AL,25,2020100312, 03,EE00,  6,20.5,-87.5, 35, 993,XX
AL,25,2020100312, 03,EE07,  6,20.5,-87.4, 36, 994,XX
AL,25,2020100312, 03,EE14,  6,20.5,-87.8, 34, 995,XX
AL,25,2020100312, 03,EE26,  6,20.5,-87.1, 37, 997,XX
AL,25,2020100312, 03,EE10,  6,20.7,-87.2, 42, 987,XX
AL,25,2020100312, 03,EE45,  6,20.7,-87.5, 38, 989,XX
AL,25,2020100312, 03,EE36,  6,20.7,-87.7, 40, 991,XX
AL,25,2020100312, 03,EE02,  6,20.7,-87.5, 37, 993,XX
AL,25,2020100312, 03,EE08,  6,20.7,-87.2, 38, 996,XX
AL,25,2020100312, 03,EE38,  6,20.8,-87.1, 40, 992,XX
AL,25,2020100312, 03,EE28,  6,21.0,-87.5, 39, 987,XX
AL,25,2020100312, 03,EE16, 12,20.4,-87.9, 32, 993,XX
AL,25,2020100312, 03,EE47, 12,20.4,-88.2, 34, 997,XX
AL,25,2020100312, 03,EE08, 12,20.4,-88.1, 34, 998,XX
AL,25,2020100312, 03,EE26, 12,20.4,-88.1, 34, 999,XX
AL,25,2020100312, 03,EE35, 12,20.5,-88.6, 33, 994,XX
AL,25,2020100312, 03,EE37, 12,20.5,-88.5, 40, 995,XX
AL,25,2020100312, 03,EE14, 12,20.5,-88.5, 37, 997,XX
AL,25,2020100312, 03,EE22, 12,20.5,-88.1, 33, 998,XX
AL,25,2020100312, 03,EE40, 12,20.7,-88.2, 35, 993,XX
AL,25,2020100312, 03,EE06, 12,20.7,-88.2, 35, 994,XX
AL,25,2020100312, 03,EE11, 12,20.7,-88.1, 36, 996,XX
AL,25,2020100312, 03,EE49, 12,20.8,-88.1, 39, 991,XX
AL,25,2020100312, 03,ECMF, 12,20.8,-88.2, 39, 992,XX
AL,25,2020100312, 03,EE05, 12,20.8,-88.6, 41, 993,XX
AL,25,2020100312, 03,EE09, 12,20.8,-87.8, 43, 995,XX
AL,25,2020100312, 03,EE07, 12,20.8,-88.2, 37, 996,XX
AL,25,2020100312, 03,EE38, 12,21.0,-87.8, 41, 990,XX
AL,25,2020100312, 03,EE10, 12,21.0,-88.1, 43, 991,XX
AL,25,2020100312, 03,EE12, 12,21.0,-88.1, 39, 992,XX
AL,25,2020100312, 03,EE27, 12,21.0,-88.2, 36, 994,XX
AL,25,2020100312, 03,EE00, 12,21.0,-88.1, 35, 995,XX
AL,25,2020100312, 03,EE02, 12,21.0,-88.1, 36, 996,XX
AL,25,2020100312, 03,EE17, 12,21.0,-88.1, 35, 997,XX
AL,25,2020100312, 03,EE31, 12,21.0,-87.8, 33, 998,XX
AL,25,2020100312, 03,EE42, 12,21.1,-88.2, 42, 990,XX
AL,25,2020100312, 03,EE33, 12,21.1,-87.8, 37, 994,XX
AL,25,2020100312, 03,EE23, 12,21.1,-88.6, 42, 995,XX
AL,25,2020100312, 03,EE03, 12,21.2,-87.9, 37, 992,XX
AL,25,2020100312, 03,EE15, 12,21.2,-88.1, 42, 994,XX
AL,25,2020100312, 03,EE36, 12,21.2,-88.2, 37, 996,XX
AL,25,2020100312, 03,EE45, 12,21.5,-88.1, 39, 993,XX
AL,25,2020100312, 03,EE28, 12,21.7,-87.8, 56, 984,XX
AL,25,2020100312, 03,EE21, 18,20.4,-88.6, 29,1001,XX
AL,25,2020100312, 03,EE14, 18,20.5,-88.6, 30,1002,XX
AL,25,2020100312, 03,EE17, 18,20.7,-88.4, 30,1000,XX
AL,25,2020100312, 03,EE16, 18,20.7,-88.2, 30, 995,XX
AL,25,2020100312, 03,EE06, 18,20.7,-88.6, 31, 998,XX
AL,25,2020100312, 03,EE18, 18,20.7,-88.2, 28, 999,XX
AL,25,2020100312, 03,EE07, 18,20.8,-88.8, 32,1000,XX
AL,25,2020100312, 03,EE02, 18,20.8,-88.8, 36, 997,XX
AL,25,2020100312, 03,EE05, 18,20.8,-89.1, 34, 998,XX
AL,25,2020100312, 03,EE34, 18,20.8,-87.8, 33, 999,XX
AL,25,2020100312, 03,EE08, 18,21.0,-88.6, 34,1000,XX
AL,25,2020100312, 03,EE12, 18,21.1,-88.1, 33, 996,XX
AL,25,2020100312, 03,EE00, 18,21.1,-88.6, 33, 997,XX
AL,25,2020100312, 03,ECMF, 18,21.1,-88.4, 33, 998,XX
AL,25,2020100312, 03,EE13, 18,21.2,-88.2, 33, 994,XX
AL,25,2020100312, 03,EE11, 18,21.2,-88.5, 37, 998,XX
AL,25,2020100312, 03,EE36, 18,21.2,-88.8, 31, 999,XX
AL,25,2020100312, 03,EE23, 18,21.4,-88.8, 32,1000,XX
AL,25,2020100312, 03,EE27, 18,21.4,-88.5, 40, 991,XX
AL,25,2020100312, 03,EE38, 18,21.4,-87.9, 42, 993,XX
