basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,12,2020081912, 03,EE08,  0,20.5,-109.7, 73, 953,XX
EP,12,2020081912, 03,EE15,  0,20.5,-109.6, 78, 954,XX
EP,12,2020081912, 03,EE37,  0,20.5,-109.7, 74, 955,XX
EP,12,2020081912, 03,EE11,  0,20.5,-109.7, 67, 958,XX
EP,12,2020081912, 03,EE40,  0,20.5,-109.7, 69, 959,XX
EP,12,2020081912, 03,EE03,  0,20.5,-109.7, 65, 960,XX
EP,12,2020081912, 03,EE02,  0,20.5,-109.7, 74, 961,XX
EP,12,2020081912, 03,EE09,  0,20.5,-109.7, 65, 962,XX
EP,12,2020081912, 03,EE05,  0,20.5,-109.7, 66, 964,XX
EP,12,2020081912, 03,ECMF,  0,20.5,-109.7, 62, 965,XX
EP,12,2020081912, 03,EE00,  0,20.5,-109.7, 57, 966,XX
EP,12,2020081912, 03,EE12,  0,20.5,-109.7, 59, 967,XX
EP,12,2020081912, 03,EE13,  0,20.5,-109.7, 67, 968,XX
EP,12,2020081912, 03,EE24,  0,20.5,-109.7, 58, 969,XX
EP,12,2020081912, 03,EE20,  0,20.5,-109.7, 59, 970,XX
EP,12,2020081912, 03,EE14,  0,20.5,-109.7, 64, 971,XX
EP,12,2020081912, 03,EE41,  0,20.5,-109.7, 56, 972,XX
EP,12,2020081912, 03,EE29,  0,20.5,-109.7, 57, 973,XX
EP,12,2020081912, 03,EE45,  0,20.5,-109.7, 51, 974,XX
EP,12,2020081912, 03,EE16,  0,20.5,-109.7, 52, 975,XX
EP,12,2020081912, 03,EE06,  0,20.5,-109.7, 51, 977,XX
EP,12,2020081912, 03,EE42,  0,20.7,-109.7, 74, 953,XX
EP,12,2020081912, 03,EE44,  0,20.7,-109.6, 72, 964,XX
EP,12,2020081912, 03,EE04,  6,20.8,-110.0, 55, 973,XX
EP,12,2020081912, 03,EE02,  6,21.0,-109.9, 61, 972,XX
EP,12,2020081912, 03,EE17,  6,21.0,-110.0, 52, 975,XX
EP,12,2020081912, 03,EE20,  6,21.0,-110.0, 53, 976,XX
EP,12,2020081912, 03,EE34,  6,21.0,-109.9, 54, 977,XX
EP,12,2020081912, 03,EE14,  6,21.0,-109.9, 53, 978,XX
EP,12,2020081912, 03,EE41,  6,21.0,-110.2, 52, 981,XX
EP,12,2020081912, 03,EE08,  6,21.1,-110.2, 68, 963,XX
EP,12,2020081912, 03,EE23,  6,21.1,-109.7, 61, 967,XX
EP,12,2020081912, 03,EE18,  6,21.1,-109.9, 61, 968,XX
EP,12,2020081912, 03,ECMF,  6,21.1,-110.0, 66, 969,XX
EP,12,2020081912, 03,EE15,  6,21.1,-109.9, 63, 970,XX
EP,12,2020081912, 03,EE09,  6,21.1,-110.0, 56, 971,XX
EP,12,2020081912, 03,EE07,  6,21.1,-110.3, 56, 973,XX
EP,12,2020081912, 03,EE00,  6,21.1,-110.0, 56, 974,XX
EP,12,2020081912, 03,EE28,  6,21.1,-110.0, 57, 977,XX
EP,12,2020081912, 03,EE12,  6,21.1,-110.0, 54, 978,XX
EP,12,2020081912, 03,EE45,  6,21.1,-110.0, 51, 982,XX
EP,12,2020081912, 03,EE06,  6,21.1,-110.3, 49, 983,XX
EP,12,2020081912, 03,EE37,  6,21.2,-110.0, 65, 966,XX
EP,12,2020081912, 03,EE03,  6,21.2,-110.2, 65, 968,XX
EP,12,2020081912, 03,EE42,  6,21.2,-109.9, 56, 972,XX
EP,12,2020081912, 03,EE27,  6,21.2,-110.0, 57, 975,XX
EP,12,2020081912, 03,EE35,  6,21.2,-110.2, 52, 978,XX
EP,12,2020081912, 03,EE29,  6,21.2,-110.0, 51, 982,XX
EP,12,2020081912, 03,EE16,  6,21.2,-110.3, 46, 983,XX
EP,12,2020081912, 03,EE11,  6,21.4,-110.2, 63, 971,XX
EP,12,2020081912, 03,EE26, 12,21.4,-110.3, 60, 969,XX
EP,12,2020081912, 03,EE31, 12,21.4,-110.2, 57, 970,XX
EP,12,2020081912, 03,EE17, 12,21.4,-110.2, 50, 976,XX
EP,12,2020081912, 03,EE34, 12,21.4,-110.2, 50, 977,XX
EP,12,2020081912, 03,EE04, 12,21.5,-110.2, 56, 969,XX
EP,12,2020081912, 03,EE02, 12,21.5,-110.0, 56, 970,XX
EP,12,2020081912, 03,EE41, 12,21.5,-110.6, 50, 979,XX
EP,12,2020081912, 03,ECMF, 12,21.7,-110.3, 65, 963,XX
EP,12,2020081912, 03,EE05, 12,21.7,-110.4, 57, 969,XX
EP,12,2020081912, 03,EE13, 12,21.7,-110.0, 65, 970,XX
EP,12,2020081912, 03,EE15, 12,21.7,-110.2, 62, 971,XX
EP,12,2020081912, 03,EE00, 12,21.7,-110.3, 55, 972,XX
EP,12,2020081912, 03,EE01, 12,21.7,-110.3, 57, 973,XX
