basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,07,2020072300, 03,EE42,  0,9.2,-47.9, 17,1012,XX
AL,07,2020072300, 03,ECMF,  0,9.9,-44.8, 22,1011,XX
AL,07,2020072300, 03,EE12,  0,10.0,-44.6, 21,1011,XX
AL,07,2020072300, 03,EE30,  0,10.1,-45.3, 31,1009,XX
AL,07,2020072300, 03,EE47,  0,10.3,-45.0, 30,1009,XX
AL,07,2020072300, 03,EE10,  0,10.6,-45.2, 22,1010,XX
AL,07,2020072300, 03,EE04,  0,10.7,-46.7, 18,1011,XX
AL,07,2020072300, 03,EE29,  0,11.0,-46.3, 21,1011,XX
AL,07,2020072300, 03,ECMF,  6,9.6,-46.5, 20,1009,XX
AL,07,2020072300, 03,EE48,  6,9.7,-46.3, 31,1007,XX
AL,07,2020072300, 03,EE22,  6,9.9,-45.6, 24,1009,XX
AL,07,2020072300, 03,EE04, 12,9.6,-48.8, 23,1011,XX
AL,07,2020072300, 03,ECMF, 12,9.7,-47.6, 26,1009,XX
AL,07,2020072300, 03,EE10, 12,9.9,-49.1, 26,1010,XX
AL,07,2020072300, 03,EE20, 18,9.7,-48.8, 19,1010,XX
AL,07,2020072300, 03,EE37, 18,9.9,-49.3, 19,1009,XX
AL,07,2020072300, 03,EE27, 24,9.6,-49.7, 21,1011,XX
AL,07,2020072300, 03,EE29, 24,9.7,-50.1, 22,1009,XX
AL,07,2020072300, 03,EE33, 24,9.9,-49.8, 23,1009,XX
AL,07,2020072300, 03,EE27, 30,9.7,-50.5, 21,1010,XX
AL,07,2020072300, 03,EE22, 36,9.4,-52.1, 24,1009,XX
AL,07,2020072300, 03,EE27, 36,9.7,-52.4, 22,1011,XX
AL,07,2020072300, 03,EE27, 42,8.7,-54.2, 21,1009,XX
AL,07,2020072300, 03,EE27, 48,8.9,-54.8, 20,1010,XX
AL,07,2020072300, 03,EE27, 60,9.9,-57.7, 21,1013,XX
AL,07,2020072300, 03,EE04,  6,10.0,-47.4, 24,1009,XX
AL,07,2020072300, 03,EE10,  6,10.1,-47.0, 27,1008,XX
AL,07,2020072300, 03,EE12,  6,10.3,-46.2, 21,1010,XX
AL,07,2020072300, 03,EE20,  6,10.4,-46.2, 25,1009,XX
AL,07,2020072300, 03,EE27, 72,9.7,-61.1, 19,1011,XX
AL,07,2020072300, 03,EE30, 12,10.0,-47.7, 26,1009,XX
AL,07,2020072300, 03,EE42, 12,10.1,-49.1, 24,1010,XX
AL,07,2020072300, 03,EE16, 12,10.3,-48.4, 22,1009,XX
AL,07,2020072300, 03,EE45, 12,10.4,-47.4, 28,1009,XX
AL,07,2020072300, 03,EE34, 18,10.0,-48.8, 25,1008,XX
AL,07,2020072300, 03,EE30, 18,10.1,-48.6, 22,1009,XX
AL,07,2020072300, 03,EE12, 18,10.7,-47.7, 17,1009,XX
AL,07,2020072300, 03,EE45, 18,10.8,-48.3, 32,1007,XX
AL,07,2020072300, 03,EE20, 24,10.1,-49.3, 21,1011,XX
AL,07,2020072300, 03,EE30, 24,10.3,-49.4, 21,1010,XX
AL,07,2020072300, 03,EE18, 24,10.4,-48.8, 20,1011,XX
AL,07,2020072300, 03,EE45, 24,10.8,-49.5, 27,1008,XX
AL,07,2020072300, 03,EE16, 24,11.1,-51.1, 24,1010,XX
AL,07,2020072300, 03,EE29, 30,10.0,-51.1, 24,1009,XX
AL,07,2020072300, 03,EE33, 30,10.1,-51.0, 23,1007,XX
AL,07,2020072300, 03,EE37, 30,10.4,-50.8, 20,1009,XX
AL,07,2020072300, 03,EE10, 30,10.7,-52.6, 23,1009,XX
AL,07,2020072300, 03,EE20, 30,10.8,-50.1, 21,1010,XX
AL,07,2020072300, 03,ECMF, 30,10.9,-51.3, 22,1010,XX
AL,07,2020072300, 03,EE16, 30,11.1,-52.6, 21,1009,XX
AL,07,2020072300, 03,EE29, 36,10.4,-52.4, 23,1010,XX
AL,07,2020072300, 03,ECMF, 36,10.5,-52.4, 23,1011,XX
AL,07,2020072300, 03,EE10, 36,10.6,-54.2, 28,1010,XX
AL,07,2020072300, 03,EE37, 36,10.7,-51.9, 20,1011,XX
AL,07,2020072300, 03,EE30, 36,11.0,-52.2, 23,1011,XX
AL,07,2020072300, 03,EE16, 36,11.5,-53.8, 29,1010,XX
AL,07,2020072300, 03,EE45, 36,11.7,-51.7, 31,1009,XX
AL,07,2020072300, 03,EE22, 42,10.6,-52.6, 22,1009,XX
AL,07,2020072300, 03,EE10, 42,10.7,-55.9, 26,1009,XX
AL,07,2020072300, 03,EE33, 42,11.0,-53.3, 29,1007,XX
AL,07,2020072300, 03,ECMF, 42,11.1,-53.8, 20,1010,XX
AL,07,2020072300, 03,EE16, 42,11.8,-55.6, 27,1010,XX
AL,07,2020072300, 03,EE45, 42,12.2,-53.2, 28,1008,XX
AL,07,2020072300, 03,EE47, 48,10.3,-55.6, 20,1012,XX
AL,07,2020072300, 03,EE29, 48,10.7,-54.9, 21,1011,XX
AL,07,2020072300, 03,EE48, 48,10.8,-54.3, 20,1011,XX
AL,07,2020072300, 03,EE34, 48,11.1,-55.9, 24,1009,XX
AL,07,2020072300, 03,ECMF, 48,11.3,-55.3, 21,1011,XX
AL,07,2020072300, 03,EE33, 48,11.4,-54.9, 28,1008,XX
AL,07,2020072300, 03,EE16, 48,11.5,-57.3, 25,1010,XX
AL,07,2020072300, 03,EE45, 48,12.2,-54.8, 28,1009,XX
AL,07,2020072300, 03,EE47, 54,10.3,-57.1, 20,1011,XX
