basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,08,2020072612, 03,EE22,  0,26.2,-99.5, 44, 990,XX
AL,08,2020072612, 03,EE46,  0,26.2,-99.3, 41, 992,XX
AL,08,2020072612, 03,EE11,  0,26.2,-99.5, 36, 994,XX
AL,08,2020072612, 03,EE42,  0,26.2,-99.5, 38, 995,XX
AL,08,2020072612, 03,EE49,  0,26.2,-99.5, 36, 996,XX
AL,08,2020072612, 03,EE24,  0,26.2,-99.3, 34, 997,XX
AL,08,2020072612, 03,EE39,  0,26.3,-99.5, 31,1000,XX
AL,08,2020072612, 03,EE23,  0,26.3,-99.3, 36, 991,XX
AL,08,2020072612, 03,EE04,  0,26.3,-99.3, 36, 993,XX
AL,08,2020072612, 03,ECMF,  0,26.3,-99.3, 30, 994,XX
AL,08,2020072612, 03,EE00,  0,26.3,-99.3, 28, 995,XX
AL,08,2020072612, 03,EE09,  0,26.3,-99.3, 32, 996,XX
AL,08,2020072612, 03,EE07,  0,26.3,-99.2, 28, 997,XX
AL,08,2020072612, 03,EE12,  0,26.3,-99.3, 26, 998,XX
AL,08,2020072612, 03,EE17,  0,26.3,-99.3, 28, 999,XX
AL,08,2020072612, 03,EE30,  0,26.4,-99.3, 37, 993,XX
AL,08,2020072612, 03,EE42,  6,24.8,-99.5, 23,1005,XX
AL,08,2020072612, 03,EE08,  6,24.9,-99.3, 24,1005,XX
AL,08,2020072612, 03,EE48,  6,25.0,-99.6, 24,1002,XX
AL,08,2020072612, 03,ECMF,  6,25.2,-100.0, 26,1004,XX
AL,08,2020072612, 03,EE00,  6,25.3,-99.9, 25,1004,XX
AL,08,2020072612, 03,EE04,  6,25.5,-99.9, 24,1004,XX
AL,08,2020072612, 03,EE19,  6,25.6,-99.8, 27,1001,XX
AL,08,2020072612, 03,EE24,  6,25.7,-100.0, 22,1003,XX
AL,08,2020072612, 03,EE26,  6,25.9,-99.5, 31,1003,XX
AL,08,2020072612, 03,EE07,  6,26.0,-100.5, 24,1005,XX
AL,08,2020072612, 03,EE36,  6,26.2,-99.5, 25,1005,XX
AL,08,2020072612, 03,EE17,  6,26.3,-99.6, 25,1006,XX
AL,08,2020072612, 03,EE35,  6,26.4,-100.0, 24,1004,XX
AL,08,2020072612, 03,EE18,  6,26.6,-100.0, 27,1005,XX
AL,08,2020072612, 03,EE23, 12,22.5,-98.5, 22,1005,XX
AL,08,2020072612, 03,EE04, 12,22.7,-98.6, 22,1006,XX
AL,08,2020072612, 03,EE46, 12,22.8,-98.9, 25,1004,XX
AL,08,2020072612, 03,EE48, 12,24.2,-99.3, 23,1005,XX
AL,08,2020072612, 03,EE19, 12,24.8,-99.5, 22,1004,XX
AL,08,2020072612, 03,EE09, 12,24.9,-101.9, 21,1007,XX
AL,08,2020072612, 03,EE05, 12,25.3,-99.8, 24,1006,XX
AL,08,2020072612, 03,EE30, 12,25.5,-101.4, 23,1006,XX
AL,08,2020072612, 03,EE16, 12,25.6,-101.7, 25,1006,XX
AL,08,2020072612, 03,EE10, 12,25.7,-102.1, 23,1008,XX
AL,08,2020072612, 03,EE34, 12,26.2,-103.7, 22,1006,XX
AL,08,2020072612, 03,EE48, 18,23.4,-97.8, 25,1010,XX
AL,08,2020072612, 03,EE22, 18,24.9,-102.1, 27,1007,XX
AL,08,2020072612, 03,EE49, 18,25.0,-102.4, 31,1005,XX
AL,08,2020072612, 03,EE47, 18,25.3,-102.8, 18,1010,XX
AL,08,2020072612, 03,EE01, 18,25.5,-101.6, 24,1007,XX
AL,08,2020072612, 03,EE15, 18,25.6,-101.7, 23,1009,XX
AL,08,2020072612, 03,EE06, 18,25.7,-102.1, 18,1010,XX
AL,08,2020072612, 03,EE09, 24,24.6,-102.3, 19,1007,XX
AL,08,2020072612, 03,EE22, 24,24.8,-103.1, 22,1007,XX
AL,08,2020072612, 03,EE00, 24,24.9,-102.1, 16,1009,XX
AL,08,2020072612, 03,EE26, 24,25.0,-102.4, 23,1008,XX
AL,08,2020072612, 03,EE17, 24,25.2,-102.7, 17,1010,XX
AL,08,2020072612, 03,EE15, 24,25.3,-102.8, 18,1008,XX
AL,08,2020072612, 03,EE24, 24,25.5,-102.8, 16,1009,XX
