basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,31,2020111700, 03,EE03,  0,13.5,-83.2,101, 950,XX
AL,31,2020111700, 03,EE50,  0,13.5,-83.2, 93, 941,XX
AL,31,2020111700, 03,EE10,  0,13.5,-83.2, 91, 945,XX
AL,31,2020111700, 03,EE02,  0,13.5,-83.2, 79, 947,XX
AL,31,2020111700, 03,EE16,  0,13.5,-83.2, 77, 948,XX
AL,31,2020111700, 03,EE01,  0,13.5,-83.2, 96, 949,XX
AL,31,2020111700, 03,EE21,  0,13.5,-83.2, 89, 950,XX
AL,31,2020111700, 03,EE31,  0,13.5,-83.0, 83, 951,XX
AL,31,2020111700, 03,EE00,  0,13.5,-83.2, 75, 952,XX
AL,31,2020111700, 03,EE07,  0,13.5,-83.0, 92, 953,XX
AL,31,2020111700, 03,EE26,  0,13.5,-83.2, 83, 954,XX
AL,31,2020111700, 03,EE32,  0,13.5,-83.2, 86, 955,XX
AL,31,2020111700, 03,EE22,  0,13.5,-83.0, 83, 956,XX
AL,31,2020111700, 03,EE09,  0,13.5,-83.2, 79, 959,XX
AL,31,2020111700, 03,EE11,  0,13.5,-83.0, 82, 960,XX
AL,31,2020111700, 03,EE20,  0,13.5,-83.0, 72, 961,XX
AL,31,2020111700, 03,EE46,  0,13.5,-83.2, 69, 964,XX
AL,31,2020111700, 03,ECMF,  0,13.6,-83.1, 84, 950,XX
AL,31,2020111700, 03,EE47,  0,13.7,-83.2, 65, 966,XX
AL,31,2020111700, 03,EE04, 60,8.9,-96.1, 35,1007,XX
AL,31,2020111700, 03,EE15, 60,9.0,-95.0, 36,1009,XX
AL,31,2020111700, 03,EE42, 60,9.9,-96.0, 33,1008,XX
AL,31,2020111700, 03,EE14,  6,13.4,-83.6, 78, 964,XX
AL,31,2020111700, 03,EE29,  6,13.4,-83.9, 63, 969,XX
AL,31,2020111700, 03,EE10,  6,13.5,-83.9, 64, 973,XX
AL,31,2020111700, 03,EE50,  6,13.7,-84.0, 79, 957,XX
AL,31,2020111700, 03,EE16,  6,13.7,-83.9, 86, 960,XX
AL,31,2020111700, 03,EE40,  6,13.7,-83.7, 77, 966,XX
AL,31,2020111700, 03,EE25,  6,13.7,-83.7, 61, 969,XX
AL,31,2020111700, 03,EE27,  6,13.7,-83.9, 64, 970,XX
AL,31,2020111700, 03,EE03,  6,13.7,-83.6, 69, 972,XX
AL,31,2020111700, 03,EE09,  6,13.7,-84.0, 65, 973,XX
AL,31,2020111700, 03,EE12,  6,13.7,-83.9, 62, 974,XX
AL,31,2020111700, 03,EE35,  6,13.7,-83.9, 59, 975,XX
AL,31,2020111700, 03,EE32,  6,13.7,-84.0, 58, 976,XX
AL,31,2020111700, 03,ECMF,  6,13.8,-83.7, 78, 964,XX
AL,31,2020111700, 03,EE42,  6,13.8,-83.6, 66, 965,XX
AL,31,2020111700, 03,EE08,  6,13.8,-83.7, 69, 968,XX
AL,31,2020111700, 03,EE02,  6,13.8,-83.7, 66, 969,XX
AL,31,2020111700, 03,EE21,  6,13.8,-83.7, 69, 970,XX
AL,31,2020111700, 03,EE23,  6,13.8,-83.7, 61, 971,XX
AL,31,2020111700, 03,EE00,  6,13.8,-83.7, 63, 972,XX
AL,31,2020111700, 03,EE04,  6,13.8,-83.9, 61, 973,XX
AL,31,2020111700, 03,EE05,  6,13.8,-83.9, 56, 975,XX
AL,31,2020111700, 03,EE20,  6,13.8,-83.7, 59, 976,XX
AL,31,2020111700, 03,EE43,  6,13.8,-83.9, 58, 977,XX
AL,31,2020111700, 03,EE22,  6,13.9,-83.7, 61, 971,XX
AL,31,2020111700, 03,EE15,  6,13.9,-83.6, 63, 972,XX
AL,31,2020111700, 03,EE31,  6,14.1,-83.6, 66, 974,XX
AL,31,2020111700, 03,EE15, 66,8.2,-95.8, 32,1011,XX
AL,31,2020111700, 03,EE42, 66,8.7,-96.8, 33,1010,XX
AL,31,2020111700, 03,EE07, 66,9.3,-96.7, 33,1010,XX
AL,31,2020111700, 03,EE27, 72,8.0,-97.9, 28,1007,XX
AL,31,2020111700, 03,EE04, 72,8.5,-97.4, 30,1007,XX
AL,31,2020111700, 03,EE33, 72,8.7,-96.5, 33,1007,XX
AL,31,2020111700, 03,EE07, 72,8.8,-98.4, 30,1008,XX
AL,31,2020111700, 03,EE39, 72,8.9,-97.1, 31,1008,XX
AL,31,2020111700, 03,EE15, 78,7.8,-97.4, 28,1012,XX
AL,31,2020111700, 03,EE27, 78,7.9,-101.4, 27,1010,XX
AL,31,2020111700, 03,EE33, 78,8.2,-96.9, 28,1009,XX
AL,31,2020111700, 03,EE04, 78,8.6,-98.6, 26,1010,XX
AL,31,2020111700, 03,EE15, 84,7.5,-98.1, 26,1011,XX
AL,31,2020111700, 03,EE33, 84,7.9,-98.5, 27,1009,XX
AL,31,2020111700, 03,EE04, 84,8.3,-100.5, 25,1009,XX
AL,31,2020111700, 03,EE15, 90,7.1,-99.0, 22,1012,XX
AL,31,2020111700, 03,EE33, 90,7.6,-98.3, 25,1011,XX
AL,31,2020111700, 03,EE40, 90,9.2,-101.3, 32,1012,XX
AL,31,2020111700, 03,EE15, 96,7.2,-99.5, 19,1010,XX
AL,31,2020111700, 03,EE50, 12,13.4,-85.1, 40, 971,XX
AL,31,2020111700, 03,EE29, 12,13.4,-84.7, 37, 988,XX
AL,31,2020111700, 03,EE14, 12,13.5,-84.4, 46, 973,XX
AL,31,2020111700, 03,EE16, 12,13.5,-84.6, 43, 975,XX
AL,31,2020111700, 03,EE07, 12,13.5,-84.8, 38, 980,XX
AL,31,2020111700, 03,EE10, 12,13.5,-84.6, 42, 986,XX
AL,31,2020111700, 03,EE03, 12,13.7,-84.6, 38, 980,XX
AL,31,2020111700, 03,EE09, 12,13.7,-84.8, 36, 981,XX
AL,31,2020111700, 03,EE40, 12,13.7,-84.8, 43, 982,XX
AL,31,2020111700, 03,ECMF, 12,13.7,-84.6, 40, 983,XX
AL,31,2020111700, 03,EE38, 12,13.7,-84.7, 43, 985,XX
AL,31,2020111700, 03,EE02, 12,13.7,-84.4, 39, 986,XX
AL,31,2020111700, 03,EE26, 12,13.7,-84.4, 41, 987,XX
AL,31,2020111700, 03,EE12, 12,13.7,-84.7, 39, 989,XX
AL,31,2020111700, 03,EE05, 12,13.7,-84.8, 37, 990,XX
AL,31,2020111700, 03,EE25, 12,13.8,-84.4, 46, 981,XX
AL,31,2020111700, 03,EE45, 12,13.8,-84.4, 42, 982,XX
AL,31,2020111700, 03,EE28, 12,13.8,-84.7, 42, 983,XX
AL,31,2020111700, 03,EE39, 12,13.8,-84.8, 39, 984,XX
AL,31,2020111700, 03,EE23, 12,13.8,-84.4, 44, 985,XX
AL,31,2020111700, 03,EE00, 12,13.8,-84.7, 38, 986,XX
AL,31,2020111700, 03,EE22, 12,13.8,-84.6, 38, 988,XX
AL,31,2020111700, 03,EE37, 12,13.8,-84.7, 37, 989,XX
AL,31,2020111700, 03,EE35, 12,13.8,-84.6, 37, 991,XX
AL,31,2020111700, 03,EE42, 12,13.9,-84.6, 43, 980,XX
AL,31,2020111700, 03,EE15, 12,13.9,-84.4, 40, 986,XX
AL,31,2020111700, 03,EE20, 12,13.9,-84.4, 40, 987,XX
AL,31,2020111700, 03,EE04, 12,13.9,-84.8, 36, 989,XX
AL,31,2020111700, 03,EE11, 12,13.9,-84.7, 37, 990,XX
AL,31,2020111700, 03,EE08, 12,14.1,-84.7, 38, 985,XX
AL,31,2020111700, 03,EE31, 12,14.1,-84.6, 39, 986,XX
AL,31,2020111700, 03,EE50, 18,13.2,-86.3, 40, 990,XX
AL,31,2020111700, 03,EE14, 18,13.4,-85.3, 35, 989,XX
AL,31,2020111700, 03,EE33, 18,13.4,-85.5, 33, 993,XX
AL,31,2020111700, 03,EE10, 18,13.4,-85.7, 34, 996,XX
