basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,09,2020080500, 03,EE21,  0,43.4,-73.0, 33, 996,XX
AL,09,2020080500, 03,EE47,  0,43.5,-73.0, 37, 996,XX
AL,09,2020080500, 03,EE45,  0,43.6,-72.6, 36,1000,XX
AL,09,2020080500, 03,EE17,  0,43.6,-72.8, 34, 997,XX
AL,09,2020080500, 03,EE46,  0,43.6,-72.6, 33, 998,XX
AL,09,2020080500, 03,EE04,  0,43.7,-72.7, 33,1000,XX
AL,09,2020080500, 03,EE01,  0,43.7,-72.8, 38, 996,XX
AL,09,2020080500, 03,EE22,  0,43.7,-72.6, 40, 997,XX
AL,09,2020080500, 03,EE11,  0,43.7,-72.3, 33, 999,XX
AL,09,2020080500, 03,EE38,  0,43.8,-73.0, 37, 993,XX
AL,09,2020080500, 03,EE35,  0,43.8,-73.0, 37, 995,XX
AL,09,2020080500, 03,EE13,  0,43.8,-72.7, 33, 997,XX
AL,09,2020080500, 03,EE00,  0,43.8,-72.8, 34, 998,XX
AL,09,2020080500, 03,EE44,  0,43.9,-72.8, 38,1000,XX
AL,09,2020080500, 03,EE24,  0,43.9,-72.7, 38, 996,XX
AL,09,2020080500, 03,EE07,  0,43.9,-72.8, 36, 997,XX
AL,09,2020080500, 03,EE28,  0,43.9,-72.6, 35, 998,XX
AL,09,2020080500, 03,EE36,  0,43.9,-72.8, 36, 999,XX
AL,09,2020080500, 03,EE31,  0,44.0,-72.8, 36, 997,XX
AL,09,2020080500, 03,EE16,  0,44.0,-72.8, 31, 998,XX
AL,09,2020080500, 03,EE19,  0,44.0,-72.9, 35, 999,XX
AL,09,2020080500, 03,ECMF,  0,44.1,-72.8, 34, 998,XX
AL,09,2020080500, 03,EE20,  0,44.1,-72.8, 36, 999,XX
AL,09,2020080500, 03,EE29,  0,44.2,-72.6, 34, 998,XX
AL,09,2020080500, 03,EE09,  0,44.3,-72.8, 37, 996,XX
AL,09,2020080500, 03,EE37,  0,44.3,-72.5, 33, 999,XX
AL,09,2020080500, 03,EE47,  6,46.1,-72.0, 29,1002,XX
AL,09,2020080500, 03,EE32,  6,46.3,-72.0, 28,1000,XX
AL,09,2020080500, 03,EE07,  6,46.3,-72.3, 24, 995,XX
AL,09,2020080500, 03,EE23,  6,46.3,-72.3, 29, 996,XX
AL,09,2020080500, 03,EE31,  6,46.3,-71.8, 28, 997,XX
AL,09,2020080500, 03,EE01,  6,46.3,-72.0, 31, 998,XX
AL,09,2020080500, 03,EE13,  6,46.3,-72.0, 26, 999,XX
AL,09,2020080500, 03,EE04,  6,46.4,-71.3, 27,1002,XX
AL,09,2020080500, 03,EE36,  6,46.4,-71.8, 31, 995,XX
AL,09,2020080500, 03,EE20,  6,46.4,-72.5, 25, 996,XX
AL,09,2020080500, 03,EE09,  6,46.4,-71.8, 26, 997,XX
AL,09,2020080500, 03,EE00,  6,46.4,-71.9, 27, 999,XX
AL,09,2020080500, 03,EE26,  6,46.5,-71.6, 25,1001,XX
AL,09,2020080500, 03,ECMF,  6,46.5,-71.7, 26, 999,XX
AL,09,2020080500, 03,EE16,  6,46.6,-72.0, 25, 998,XX
AL,09,2020080500, 03,EE24,  6,46.6,-71.7, 24, 999,XX
AL,09,2020080500, 03,EE37, 12,48.4,-71.2, 33, 997,XX
AL,09,2020080500, 03,EE29, 12,48.5,-69.0, 28,1001,XX
AL,09,2020080500, 03,EE09, 12,48.7,-71.1, 28,1000,XX
AL,09,2020080500, 03,EE31, 12,48.7,-71.1, 28, 999,XX
AL,09,2020080500, 03,EE21, 24,52.5,-72.0, 22, 996,XX
AL,09,2020080500, 03,EE31, 24,52.7,-69.9, 25, 993,XX
AL,09,2020080500, 03,EE37, 24,52.7,-68.7, 23, 998,XX
AL,09,2020080500, 03,EE16, 24,52.9,-69.5, 23, 996,XX
AL,09,2020080500, 03,EE23, 24,52.9,-69.2, 21, 997,XX
AL,09,2020080500, 03,EE07, 24,53.0,-69.5, 23, 997,XX
AL,09,2020080500, 03,EE20, 30,51.9,-74.3, 18, 999,XX
AL,09,2020080500, 03,EE21, 30,53.2,-71.8, 18, 996,XX
AL,09,2020080500, 03,EE46, 30,53.4,-69.9, 20, 996,XX
AL,09,2020080500, 03,EE01, 30,53.6,-68.5, 26, 995,XX
AL,09,2020080500, 03,EE38, 30,53.6,-70.1, 20, 996,XX
AL,09,2020080500, 03,EE47, 30,53.6,-69.8, 21, 997,XX
AL,09,2020080500, 03,EE22, 30,53.7,-69.4, 22, 995,XX
AL,09,2020080500, 03,EE09, 30,53.7,-69.1, 22, 996,XX
AL,09,2020080500, 03,EE28, 30,53.7,-68.4, 21, 997,XX
AL,09,2020080500, 03,EE36, 30,53.9,-67.7, 26, 990,XX
AL,09,2020080500, 03,EE31, 30,53.9,-69.1, 23, 991,XX
AL,09,2020080500, 03,EE16, 30,53.9,-69.4, 26, 994,XX
AL,09,2020080500, 03,EE24, 30,53.9,-68.7, 22, 996,XX
AL,09,2020080500, 03,EE44, 30,54.0,-68.5, 23, 996,XX
AL,09,2020080500, 03,ECMF, 30,54.0,-67.8, 23, 997,XX
AL,09,2020080500, 03,EE07, 30,54.1,-69.9, 21, 995,XX
AL,09,2020080500, 03,EE23, 30,54.1,-69.5, 22, 996,XX
AL,09,2020080500, 03,EE21, 36,53.0,-70.8, 25, 997,XX
AL,09,2020080500, 03,EE35, 36,53.3,-71.3, 19, 996,XX
AL,09,2020080500, 03,EE09, 36,53.3,-68.7, 27, 997,XX
AL,09,2020080500, 03,EE01, 36,53.4,-67.5, 25, 995,XX
AL,09,2020080500, 03,EE22, 36,53.4,-68.8, 26, 996,XX
AL,09,2020080500, 03,EE46, 36,53.5,-69.3, 25, 995,XX
AL,09,2020080500, 03,EE26, 36,53.5,-68.9, 25, 996,XX
AL,09,2020080500, 03,EE28, 36,53.6,-68.4, 26, 996,XX
AL,09,2020080500, 03,EE16, 36,53.7,-68.4, 24, 994,XX
AL,09,2020080500, 03,EE07, 36,53.7,-69.5, 24, 995,XX
AL,09,2020080500, 03,EE47, 36,53.7,-70.1, 21, 996,XX
AL,09,2020080500, 03,EE23, 36,53.9,-69.4, 25, 995,XX
AL,09,2020080500, 03,EE31, 36,54.0,-68.3, 25, 990,XX
AL,09,2020080500, 03,EE37, 36,54.0,-69.0, 27, 994,XX
AL,09,2020080500, 03,ECMF, 36,54.0,-68.3, 26, 996,XX
AL,09,2020080500, 03,EE44, 36,54.1,-68.6, 25, 995,XX
AL,09,2020080500, 03,EE45, 36,54.1,-68.5, 20, 996,XX
AL,09,2020080500, 03,EE36, 36,54.4,-66.3, 32, 990,XX
