basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,13,2020082500, 03,EE46,120,35.0,-86.1, 15, 999,XX
AL,13,2020082500, 03,EE46,114,35.6,-87.9, 16, 999,XX
AL,13,2020082500, 03,EE00,102,35.9,-93.3, 20, 998,XX
AL,13,2020082500, 03,EE11,120,35.0,-93.1, 21, 993,XX
AL,13,2020082500, 03,EE03,144,35.4,-94.3, 22, 991,XX
AL,13,2020082500, 03,EE48,  0,22.1,-83.3, 57, 995,XX
AL,13,2020082500, 03,EE22,  0,22.1,-83.3, 52, 996,XX
AL,13,2020082500, 03,EE05,  0,22.1,-83.2, 57, 998,XX
AL,13,2020082500, 03,EE27,  0,22.1,-82.9, 62, 999,XX
AL,13,2020082500, 03,EE30,  0,22.2,-82.9, 51,1001,XX
AL,13,2020082500, 03,EE12,  0,22.2,-83.2, 58, 998,XX
AL,13,2020082500, 03,EE17,  0,22.2,-83.3, 50, 999,XX
AL,13,2020082500, 03,EE03,  0,22.4,-83.0, 47, 999,XX
AL,13,2020082500, 03,EE09,  0,22.5,-83.3, 52, 997,XX
AL,13,2020082500, 03,EE01,  0,22.7,-83.7, 44,1000,XX
AL,13,2020082500, 03,EE14,  0,22.7,-83.6, 52, 994,XX
AL,13,2020082500, 03,EE39,  0,22.7,-83.3, 45, 997,XX
AL,13,2020082500, 03,EE28,  0,22.7,-83.9, 41, 998,XX
AL,13,2020082500, 03,EE11,  0,22.7,-83.7, 43, 999,XX
AL,13,2020082500, 03,EE02,  0,22.8,-83.7, 37,1001,XX
AL,13,2020082500, 03,EE40,  0,22.8,-83.6, 47, 997,XX
AL,13,2020082500, 03,EE15,  0,22.8,-83.4, 47, 998,XX
AL,13,2020082500, 03,ECMF,  0,22.8,-83.7, 43, 999,XX
AL,13,2020082500, 03,EE44,  0,22.9,-83.7, 39, 999,XX
AL,13,2020082500, 03,EE03,132,34.3,-96.4, 23, 991,XX
AL,13,2020082500, 03,EE00,120,35.6,-87.1, 24, 992,XX
AL,13,2020082500, 03,EE05,132,35.3,-82.3, 25, 993,XX
AL,13,2020082500, 03,EE00,132,35.3,-81.3, 26, 993,XX
AL,13,2020082500, 03,EE00,114,35.6,-89.6, 27, 992,XX
AL,13,2020082500, 03,EE00,108,35.6,-91.6, 28, 993,XX
AL,13,2020082500, 03,EE00,126,35.4,-84.3, 29, 993,XX
AL,13,2020082500, 03,EE02,138,32.5,-95.4, 30, 987,XX
AL,13,2020082500, 03,EE03,102,34.0,-97.4, 31, 987,XX
AL,13,2020082500, 03,EE02,120,32.5,-96.9, 32, 987,XX
AL,13,2020082500, 03,EE02,114,32.6,-97.2, 33, 988,XX
AL,13,2020082500, 03,EE00,138,35.4,-78.9, 34, 990,XX
AL,13,2020082500, 03,EE02,132,32.5,-96.0, 35, 981,XX
AL,13,2020082500, 03,EE03,114,34.0,-97.5, 36, 990,XX
AL,13,2020082500, 03,EE26,138,35.0,-78.9, 37, 992,XX
AL,13,2020082500, 03,EE02,102,32.8,-97.2, 38, 985,XX
AL,13,2020082500, 03,EE12,144,35.6,-77.5, 39, 983,XX
AL,13,2020082500, 03,EE01,120,37.6,-76.4, 40, 986,XX
AL,13,2020082500, 03,EE36,144,37.6,-69.5, 41, 993,XX
AL,13,2020082500, 03,EE36,138,36.8,-73.2, 42, 993,XX
AL,13,2020082500, 03,EE26,144,35.4,-76.7, 43, 992,XX
AL,13,2020082500, 03,EE01,132,39.0,-68.0, 44, 985,XX
AL,13,2020082500, 03,EE00,144,35.3,-76.1, 45, 990,XX
AL,13,2020082500, 03,EE01,138,41.5,-63.5, 46, 983,XX
AL,13,2020082500, 03,EE09,144,38.8,-70.2, 47, 986,XX
AL,13,2020082500, 03,EE04,138,36.7,-73.6, 48, 986,XX
AL,13,2020082500, 03,EE15,144,47.3,-64.3, 49, 970,XX
AL,13,2020082500, 03,EE40,132,38.8,-73.9, 50, 980,XX
AL,13,2020082500, 03,EE01,126,37.7,-72.6, 52, 984,XX
AL,13,2020082500, 03,EE35,144,33.9,-76.0, 54, 981,XX
AL,13,2020082500, 03,EE15,138,43.7,-66.8, 55, 972,XX
AL,13,2020082500, 03,EE15,126,38.0,-74.2, 57, 985,XX
AL,13,2020082500, 03,EE49,138,38.4,-70.4, 58, 981,XX
AL,13,2020082500, 03,EE37,132,39.5,-70.2, 62, 966,XX
AL,13,2020082500, 03,EE49,144,40.4,-66.4, 64, 974,XX
AL,13,2020082500, 03,EE37,126,37.8,-73.7, 66, 972,XX
AL,13,2020082500, 03,EE37,138,42.6,-66.6, 76, 963,XX
AL,13,2020082500, 03,EE14,  6,22.5,-84.8, 43, 989,XX
AL,13,2020082500, 03,EE48,  6,22.5,-85.1, 43, 994,XX
AL,13,2020082500, 03,EE27,  6,22.5,-84.8, 44, 995,XX
AL,13,2020082500, 03,EE22,  6,22.5,-85.1, 51, 997,XX
AL,13,2020082500, 03,EE04,  6,22.5,-84.6, 40, 999,XX
AL,13,2020082500, 03,EE09,  6,22.7,-85.0, 43, 990,XX
AL,13,2020082500, 03,EE10,  6,22.7,-84.7, 42, 995,XX
AL,13,2020082500, 03,EE18,  6,22.7,-84.7, 43, 996,XX
AL,13,2020082500, 03,EE05,  6,22.7,-85.4, 42, 997,XX
AL,13,2020082500, 03,EE17,  6,22.7,-85.0, 44, 998,XX
