basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,14,2020082400, 03,EE25,120,37.4,-84.6, 20, 995,XX
AL,14,2020082400, 03,EE25,108,37.8,-88.5, 21, 996,XX
AL,14,2020082400, 03,EE25,114,37.7,-87.0, 22, 995,XX
AL,14,2020082400, 03,EE15,126,36.0,-79.8, 23, 998,XX
AL,14,2020082400, 03,EE20,126,37.1,-80.8, 24, 995,XX
AL,14,2020082400, 03,EE24,114,37.8,-89.1, 25, 992,XX
AL,14,2020082400, 03,EE49,  0,25.6,-88.5, 26,1006,XX
AL,14,2020082400, 03,EE10,  0,25.7,-87.8, 37,1002,XX
AL,14,2020082400, 03,EE04,  0,25.9,-87.8, 36,1002,XX
AL,14,2020082400, 03,ECMF,  0,26.0,-87.4, 33,1005,XX
AL,14,2020082400, 03,EE13,  0,26.2,-87.7, 41,1003,XX
AL,14,2020082400, 03,EE20,120,37.3,-84.7, 27, 997,XX
AL,14,2020082400, 03,EE24,108,37.4,-90.8, 28, 990,XX
AL,14,2020082400, 03,EE15,108,36.0,-88.6, 29, 998,XX
AL,14,2020082400, 03,EE24,138,37.7,-77.1, 30, 990,XX
AL,14,2020082400, 03,EE20,132,37.3,-76.7, 31, 995,XX
AL,14,2020082400, 03,EE47,144,37.0,-73.0, 32, 999,XX
AL,14,2020082400, 03,EE15,120,36.3,-83.0, 35, 991,XX
AL,14,2020082400, 03,EE25,138,38.0,-75.1, 42, 989,XX
AL,14,2020082400, 03,EE25,144,39.4,-71.5, 44, 985,XX
AL,14,2020082400, 03,EE24,144,39.0,-73.3, 45, 987,XX
AL,14,2020082400, 03,EE15,132,36.3,-75.8, 48, 990,XX
AL,14,2020082400, 03,EE20,138,38.3,-72.5, 49, 989,XX
AL,14,2020082400, 03,EE27,144,36.3,-74.7, 50, 989,XX
AL,14,2020082400, 03,EE15,144,38.8,-68.5, 52, 984,XX
AL,14,2020082400, 03,EE20,144,39.8,-68.3, 58, 983,XX
AL,14,2020082400, 03,EE49,  6,26.4,-89.0, 27,1008,XX
AL,14,2020082400, 03,EE11,  6,26.5,-89.0, 32,1007,XX
AL,14,2020082400, 03,EE15,  6,26.6,-88.5, 29,1007,XX
AL,14,2020082400, 03,EE44,  6,26.7,-89.0, 29,1008,XX
AL,14,2020082400, 03,EE22,  6,26.9,-88.6, 38,1003,XX
AL,14,2020082400, 03,EE04,  6,27.0,-88.4, 34,1004,XX
AL,14,2020082400, 03,EE17,  6,27.1,-88.9, 29,1009,XX
AL,14,2020082400, 03,EE03,  6,27.2,-88.6, 30,1009,XX
AL,14,2020082400, 03,EE13,  6,27.3,-88.4, 38,1004,XX
AL,14,2020082400, 03,EE00,  6,27.4,-88.6, 30,1008,XX
AL,14,2020082400, 03,EE02,  6,27.6,-88.6, 29,1008,XX
AL,14,2020082400, 03,ECMF,  6,27.7,-88.5, 38,1006,XX
AL,14,2020082400, 03,EE01,  6,28.0,-87.9, 33,1008,XX
AL,14,2020082400, 03,EE37, 12,27.4,-89.6, 24,1008,XX
AL,14,2020082400, 03,EE03, 12,27.7,-89.2, 23,1010,XX
AL,14,2020082400, 03,EE08, 12,27.9,-90.0, 25,1009,XX
AL,14,2020082400, 03,EE02, 12,28.0,-89.6, 24,1009,XX
AL,14,2020082400, 03,EE04, 12,28.1,-89.2, 36,1004,XX
AL,14,2020082400, 03,ECMF, 12,28.2,-89.4, 27,1005,XX
AL,14,2020082400, 03,EE00, 12,28.3,-89.2, 24,1008,XX
AL,14,2020082400, 03,EE22, 12,28.4,-88.9, 39,1004,XX
AL,14,2020082400, 03,EE13, 12,28.6,-89.2, 35,1005,XX
AL,14,2020082400, 03,EE12, 12,28.7,-88.9, 34,1004,XX
AL,14,2020082400, 03,EE06, 12,28.8,-88.8, 29,1007,XX
AL,14,2020082400, 03,EE01, 12,29.0,-88.9, 39,1003,XX
AL,14,2020082400, 03,EE08, 18,28.0,-90.6, 20,1010,XX
AL,14,2020082400, 03,EE03, 18,28.1,-89.5, 19,1011,XX
AL,14,2020082400, 03,EE02, 18,28.3,-89.6, 22,1010,XX
AL,14,2020082400, 03,EE07, 18,28.4,-90.0, 23,1009,XX
AL,14,2020082400, 03,ECMF, 18,28.5,-89.8, 26,1007,XX
AL,14,2020082400, 03,EE23, 18,28.6,-89.5, 26,1008,XX
AL,14,2020082400, 03,EE00, 18,28.7,-89.6, 25,1009,XX
AL,14,2020082400, 03,EE14, 18,28.8,-90.0, 27,1007,XX
AL,14,2020082400, 03,EE04, 18,29.0,-90.0, 33,1004,XX
AL,14,2020082400, 03,EE01, 18,29.1,-89.6, 29,1005,XX
AL,14,2020082400, 03,EE13, 18,29.3,-89.3, 31,1007,XX
AL,14,2020082400, 03,EE22, 18,29.4,-89.3, 39,1002,XX
AL,14,2020082400, 03,EE06, 18,29.5,-89.8, 29,1008,XX
AL,14,2020082400, 03,EE08, 24,27.7,-91.5, 20,1008,XX
AL,14,2020082400, 03,EE49, 24,28.1,-90.3, 20,1009,XX
AL,14,2020082400, 03,EE20, 24,28.4,-90.8, 19,1009,XX
AL,14,2020082400, 03,EE10, 24,28.7,-90.8, 23,1007,XX
AL,14,2020082400, 03,EE00, 24,28.8,-90.3, 19,1008,XX
AL,14,2020082400, 03,ECMF, 24,28.9,-90.2, 23,1007,XX
AL,14,2020082400, 03,EE15, 24,29.0,-90.2, 22,1008,XX
AL,14,2020082400, 03,EE27, 24,29.1,-89.8, 24,1007,XX
AL,14,2020082400, 03,EE04, 24,29.3,-90.8, 26,1005,XX
AL,14,2020082400, 03,EE42, 24,29.4,-89.9, 24,1007,XX
AL,14,2020082400, 03,EE01, 24,29.5,-90.5, 24,1005,XX
AL,14,2020082400, 03,EE35, 24,29.6,-90.0, 25,1005,XX
AL,14,2020082400, 03,EE18, 24,29.7,-90.8, 25,1006,XX
AL,14,2020082400, 03,EE13, 24,29.8,-90.0, 31,1006,XX
AL,14,2020082400, 03,EE02, 30,28.3,-91.6, 21,1011,XX
AL,14,2020082400, 03,EE20, 30,28.4,-91.7, 19,1010,XX
AL,14,2020082400, 03,EE38, 30,28.7,-91.6, 23,1009,XX
AL,14,2020082400, 03,EE23, 30,28.8,-91.2, 22,1009,XX
AL,14,2020082400, 03,EE00, 30,29.0,-91.3, 20,1010,XX
AL,14,2020082400, 03,EE11, 30,29.1,-91.9, 21,1009,XX
AL,14,2020082400, 03,EE27, 30,29.3,-90.5, 20,1009,XX
AL,14,2020082400, 03,EE04, 30,29.5,-91.9, 23,1008,XX
AL,14,2020082400, 03,EE21, 30,29.6,-91.2, 20,1009,XX
AL,14,2020082400, 03,EE40, 30,29.7,-91.6, 18,1009,XX
AL,14,2020082400, 03,EE26, 30,29.8,-90.2, 26,1007,XX
AL,14,2020082400, 03,EE13, 30,30.2,-91.2, 19,1009,XX
AL,14,2020082400, 03,EE49, 36,28.4,-92.7, 22,1011,XX
AL,14,2020082400, 03,EE47, 36,29.1,-91.9, 20,1006,XX
AL,14,2020082400, 03,EE27, 36,29.3,-91.2, 19,1010,XX
AL,14,2020082400, 03,EE39, 36,29.4,-91.7, 25,1009,XX
AL,14,2020082400, 03,EE26, 36,30.5,-91.3, 21,1009,XX
AL,14,2020082400, 03,EE15, 42,28.8,-93.1, 21,1011,XX
AL,14,2020082400, 03,EE26, 42,30.8,-91.9, 27,1010,XX
AL,14,2020082400, 03,EE13, 42,30.9,-92.6, 19,1011,XX
AL,14,2020082400, 03,EE28, 48,26.7,-89.6, 38, 999,XX
AL,14,2020082400, 03,EE20, 54,26.6,-91.0, 38,1001,XX
AL,14,2020082400, 03,EE24, 54,26.9,-90.2, 40, 991,XX
AL,14,2020082400, 03,EE27, 54,26.9,-90.0, 36, 999,XX
AL,14,2020082400, 03,EE25, 54,27.3,-90.2, 42, 999,XX
AL,14,2020082400, 03,EE28, 54,28.1,-91.5, 40,1001,XX
AL,14,2020082400, 03,EE49, 60,27.6,-92.4, 33,1004,XX
AL,14,2020082400, 03,EE24, 60,27.9,-91.6, 40, 992,XX
AL,14,2020082400, 03,EE20, 60,28.0,-92.4, 40,1002,XX
AL,14,2020082400, 03,EE25, 60,28.4,-91.5, 35,1000,XX
AL,14,2020082400, 03,EE39, 60,28.7,-90.6, 40,1000,XX
AL,14,2020082400, 03,EE28, 60,29.0,-93.1, 31,1002,XX
AL,14,2020082400, 03,EE47, 60,29.5,-89.5, 40, 997,XX
AL,14,2020082400, 03,EE27, 66,28.4,-92.0, 39, 999,XX
AL,14,2020082400, 03,EE49, 66,28.6,-93.8, 32,1007,XX
AL,14,2020082400, 03,EE24, 66,28.6,-92.9, 42, 991,XX
AL,14,2020082400, 03,EE15, 66,28.7,-92.6, 41, 998,XX
AL,14,2020082400, 03,EE20, 66,28.9,-93.4, 35,1004,XX
AL,14,2020082400, 03,EE25, 66,29.3,-92.6, 31,1002,XX
AL,14,2020082400, 03,EE39, 66,29.4,-91.7, 34, 998,XX
AL,14,2020082400, 03,EE28, 66,29.7,-94.1, 28,1005,XX
AL,14,2020082400, 03,EE47, 66,30.5,-90.2, 31,1000,XX
AL,14,2020082400, 03,EE49, 72,29.1,-95.0, 29,1006,XX
AL,14,2020082400, 03,EE27, 72,29.3,-93.0, 34, 999,XX
AL,14,2020082400, 03,EE24, 72,29.4,-93.8, 40, 991,XX
AL,14,2020082400, 03,EE15, 72,29.5,-93.4, 35, 999,XX
AL,14,2020082400, 03,EE20, 72,30.0,-94.3, 28,1004,XX
AL,14,2020082400, 03,EE25, 72,30.1,-93.4, 27,1002,XX
AL,14,2020082400, 03,EE39, 72,30.4,-92.2, 26, 997,XX
AL,14,2020082400, 03,EE28, 72,30.9,-95.4, 23,1006,XX
AL,14,2020082400, 03,EE47, 72,31.8,-90.5, 23,1001,XX
AL,14,2020082400, 03,EE49, 78,30.1,-96.0, 25,1009,XX
AL,14,2020082400, 03,EE27, 78,30.1,-93.3, 31, 999,XX
AL,14,2020082400, 03,EE15, 78,30.7,-93.7, 24,1003,XX
AL,14,2020082400, 03,EE24, 78,30.7,-94.3, 28, 997,XX
AL,14,2020082400, 03,EE39, 78,31.1,-92.6, 27, 999,XX
AL,14,2020082400, 03,EE25, 78,31.2,-93.7, 22,1005,XX
AL,14,2020082400, 03,EE20, 78,31.8,-94.4, 23,1007,XX
AL,14,2020082400, 03,EE28, 78,32.1,-96.0, 22,1008,XX
AL,14,2020082400, 03,EE47, 78,33.2,-90.5, 19,1003,XX
AL,14,2020082400, 03,EE27, 84,30.9,-93.4, 24, 995,XX
AL,14,2020082400, 03,EE15, 84,31.6,-93.4, 25,1000,XX
AL,14,2020082400, 03,EE39, 84,31.8,-92.4, 23,1002,XX
AL,14,2020082400, 03,EE25, 84,32.4,-92.9, 20,1002,XX
AL,14,2020082400, 03,EE24, 84,32.4,-94.1, 33, 989,XX
AL,14,2020082400, 03,EE28, 84,33.3,-94.8, 16,1008,XX
AL,14,2020082400, 03,EE20, 84,33.9,-93.7, 19,1006,XX
AL,14,2020082400, 03,EE47, 84,34.7,-90.0, 17,1004,XX
AL,14,2020082400, 03,EE27, 90,31.8,-93.0, 25, 997,XX
AL,14,2020082400, 03,EE15, 90,32.6,-93.1, 21,1004,XX
AL,14,2020082400, 03,EE39, 90,32.8,-92.4, 25,1003,XX
AL,14,2020082400, 03,EE25, 90,33.9,-92.0, 26,1000,XX
AL,14,2020082400, 03,EE24, 90,33.9,-93.7, 29, 990,XX
