basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,16,2020090300, 03,EE03,  0,16.7,-86.3, 33,1002,XX
AL,16,2020090300, 03,EE09,  0,17.0,-87.0, 41,1001,XX
AL,16,2020090300, 03,ECMF,  0,17.2,-86.7, 40,1001,XX
AL,16,2020090300, 03,EE20,  0,17.2,-86.8, 47, 999,XX
AL,16,2020090300, 03,EE11,  0,17.3,-86.8, 45,1000,XX
AL,16,2020090300, 03,EE19,  0,17.3,-86.4, 41, 998,XX
AL,16,2020090300, 03,EE12,  0,17.3,-86.7, 42, 999,XX
AL,16,2020090300, 03,EE01,  0,17.5,-86.7, 34,1002,XX
AL,16,2020090300, 03,EE06,  0,17.5,-86.7, 50, 997,XX
AL,16,2020090300, 03,EE02,  6,16.6,-87.9, 34,1002,XX
AL,16,2020090300, 03,EE05,  6,16.6,-88.2, 39, 999,XX
AL,16,2020090300, 03,EE08,  6,16.7,-88.2, 32,1003,XX
AL,16,2020090300, 03,ECMF,  6,16.7,-88.2, 49, 998,XX
AL,16,2020090300, 03,EE42,  6,16.7,-88.4, 40, 999,XX
AL,16,2020090300, 03,EE00,  6,16.9,-88.2, 28,1004,XX
AL,16,2020090300, 03,EE50,  6,16.9,-87.9, 43, 996,XX
AL,16,2020090300, 03,EE38,  6,16.9,-87.9, 38, 999,XX
AL,16,2020090300, 03,EE12,  6,17.0,-88.4, 33,1001,XX
AL,16,2020090300, 03,EE11,  6,17.2,-88.5, 28,1004,XX
AL,16,2020090300, 03,EE06,  6,17.2,-88.5, 36, 998,XX
AL,16,2020090300, 03,EE07,  6,17.3,-88.2, 30,1002,XX
AL,16,2020090300, 03,EE10, 12,15.9,-89.2, 25,1002,XX
AL,16,2020090300, 03,EE02, 12,16.3,-88.8, 25,1004,XX
AL,16,2020090300, 03,EE14, 12,16.5,-89.5, 17,1003,XX
AL,16,2020090300, 03,EE09, 12,16.6,-89.9, 18,1004,XX
AL,16,2020090300, 03,ECMF, 12,16.7,-89.6, 17,1003,XX
AL,16,2020090300, 03,EE06, 12,16.9,-89.6, 18,1003,XX
AL,16,2020090300, 03,EE07, 12,17.0,-89.8, 17,1005,XX
AL,16,2020090300, 03,EE25, 12,17.2,-89.6, 18,1003,XX
AL,16,2020090300, 03,EE45, 18,15.8,-90.6, 26,1006,XX
AL,16,2020090300, 03,EE10, 18,15.9,-89.9, 21,1006,XX
AL,16,2020090300, 03,EE02, 18,16.0,-90.0, 18,1004,XX
AL,16,2020090300, 03,EE11, 18,16.2,-91.0, 20,1007,XX
AL,16,2020090300, 03,EE00, 18,16.3,-90.5, 21,1005,XX
AL,16,2020090300, 03,EE09, 18,16.4,-91.1, 27,1007,XX
AL,16,2020090300, 03,EE01, 18,16.5,-90.8, 23,1007,XX
AL,16,2020090300, 03,EE05, 18,16.6,-90.8, 21,1005,XX
AL,16,2020090300, 03,EE19, 18,16.7,-90.9, 23,1005,XX
AL,16,2020090300, 03,EE17, 18,16.9,-90.9, 19,1007,XX
AL,16,2020090300, 03,EE46, 24,15.5,-93.6, 26,1004,XX
AL,16,2020090300, 03,EE00, 24,15.9,-90.8, 24,1006,XX
AL,16,2020090300, 03,EE07, 24,16.0,-94.4, 24,1005,XX
AL,16,2020090300, 03,ECMF, 24,16.2,-94.3, 23,1004,XX
AL,16,2020090300, 03,EE23, 24,16.4,-90.8, 21,1006,XX
AL,16,2020090300, 03,EE50, 24,16.7,-90.9, 23,1001,XX
AL,16,2020090300, 03,EE43, 24,17.9,-92.4, 22,1006,XX
AL,16,2020090300, 03,EE25, 24,18.2,-92.6, 25,1006,XX
AL,16,2020090300, 03,EE36, 24,18.9,-91.5, 21,1006,XX
AL,16,2020090300, 03,EE45, 30,14.4,-94.0, 25,1006,XX
AL,16,2020090300, 03,EE46, 30,14.6,-93.7, 26,1007,XX
AL,16,2020090300, 03,EE01, 30,14.8,-94.3, 23,1008,XX
AL,16,2020090300, 03,EE03, 30,14.9,-93.7, 27,1007,XX
AL,16,2020090300, 03,EE07, 30,15.0,-93.7, 25,1007,XX
AL,16,2020090300, 03,EE09, 30,15.1,-94.1, 35,1002,XX
AL,16,2020090300, 03,EE41, 30,15.2,-94.3, 23,1008,XX
AL,16,2020090300, 03,ECMF, 30,15.7,-94.3, 24,1007,XX
AL,16,2020090300, 03,EE33, 30,15.8,-94.5, 25,1007,XX
AL,16,2020090300, 03,EE06, 30,15.9,-94.4, 22,1008,XX
AL,16,2020090300, 03,EE14, 30,16.2,-94.4, 23,1006,XX
AL,16,2020090300, 03,EE25, 30,17.6,-92.9, 23,1007,XX
AL,16,2020090300, 03,EE27, 30,17.7,-92.9, 23,1009,XX
AL,16,2020090300, 03,EE01, 36,13.8,-94.5, 23,1007,XX
AL,16,2020090300, 03,EE29, 36,13.9,-94.3, 26,1006,XX
AL,16,2020090300, 03,EE46, 36,14.2,-93.8, 24,1006,XX
AL,16,2020090300, 03,EE10, 36,14.3,-93.6, 24,1004,XX
AL,16,2020090300, 03,EE11, 36,14.4,-94.0, 23,1007,XX
AL,16,2020090300, 03,EE44, 36,14.5,-94.5, 32,1001,XX
AL,16,2020090300, 03,EE19, 36,14.6,-94.3, 25,1006,XX
AL,16,2020090300, 03,EE09, 36,14.6,-94.8, 34, 998,XX
AL,16,2020090300, 03,EE17, 36,14.7,-94.0, 21,1007,XX
AL,16,2020090300, 03,EE12, 36,14.8,-94.4, 22,1006,XX
AL,16,2020090300, 03,EE13, 36,15.1,-93.7, 25,1006,XX
AL,16,2020090300, 03,ECMF, 36,15.2,-94.3, 23,1006,XX
AL,16,2020090300, 03,EE03, 36,15.3,-94.3, 23,1006,XX
AL,16,2020090300, 03,EE07, 36,15.5,-94.0, 26,1005,XX
AL,16,2020090300, 03,EE21, 36,15.8,-94.8, 24,1007,XX
AL,16,2020090300, 03,EE06, 36,16.0,-94.4, 21,1006,XX
AL,16,2020090300, 03,EE25, 36,17.2,-94.1, 26,1005,XX
AL,16,2020090300, 03,EE32, 36,17.5,-93.4, 26,1005,XX
AL,16,2020090300, 03,EE27, 36,17.6,-93.8, 21,1007,XX
AL,16,2020090300, 03,EE48, 42,13.2,-94.8, 21,1009,XX
AL,16,2020090300, 03,EE46, 42,13.9,-94.1, 22,1008,XX
AL,16,2020090300, 03,EE45, 42,14.0,-95.6, 30,1008,XX
AL,16,2020090300, 03,EE01, 42,14.1,-94.8, 24,1008,XX
AL,16,2020090300, 03,EE26, 42,14.2,-94.8, 32,1000,XX
AL,16,2020090300, 03,EE10, 42,14.4,-94.4, 25,1006,XX
AL,16,2020090300, 03,EE19, 42,14.5,-94.7, 23,1008,XX
AL,16,2020090300, 03,EE15, 42,14.6,-96.1, 38,1002,XX
AL,16,2020090300, 03,EE33, 42,14.8,-94.7, 26,1007,XX
AL,16,2020090300, 03,EE07, 42,14.9,-94.7, 26,1007,XX
AL,16,2020090300, 03,ECMF, 42,15.2,-95.0, 30,1004,XX
AL,16,2020090300, 03,EE31, 42,15.3,-94.8, 31,1005,XX
AL,16,2020090300, 03,EE14, 42,15.5,-94.7, 27,1005,XX
AL,16,2020090300, 03,EE06, 42,15.6,-96.0, 17,1008,XX
AL,16,2020090300, 03,EE43, 42,15.8,-95.7, 19,1007,XX
AL,16,2020090300, 03,EE25, 42,16.0,-95.3, 26,1006,XX
AL,16,2020090300, 03,EE27, 42,17.3,-95.0, 24,1004,XX
AL,16,2020090300, 03,EE32, 42,17.6,-94.3, 22,1006,XX
AL,16,2020090300, 03,EE50, 42,17.7,-93.4, 19,1009,XX
AL,16,2020090300, 03,EE11, 48,13.5,-95.1, 19,1007,XX
AL,16,2020090300, 03,EE01, 48,13.9,-96.0, 25,1005,XX
AL,16,2020090300, 03,EE46, 48,14.1,-94.8, 20,1006,XX
AL,16,2020090300, 03,EE26, 48,14.5,-95.3, 32,1000,XX
AL,16,2020090300, 03,EE15, 48,14.5,-97.1, 35, 998,XX
AL,16,2020090300, 03,EE10, 48,14.8,-95.8, 30,1004,XX
AL,16,2020090300, 03,EE07, 48,15.1,-95.8, 29,1006,XX
AL,16,2020090300, 03,EE12, 48,15.3,-96.2, 19,1005,XX
AL,16,2020090300, 03,ECMF, 48,15.5,-96.7, 33,1005,XX
AL,16,2020090300, 03,EE09, 48,15.5,-97.4, 39, 999,XX
AL,16,2020090300, 03,EE20, 48,15.6,-95.8, 20,1006,XX
AL,16,2020090300, 03,EE49, 48,15.8,-97.9, 20,1005,XX
AL,16,2020090300, 03,EE32, 48,17.4,-95.3, 20,1006,XX
AL,16,2020090300, 03,EE27, 48,17.6,-95.5, 20,1006,XX
AL,16,2020090300, 03,EE14, 48,17.9,-94.0, 24,1008,XX
AL,16,2020090300, 03,EE45, 54,14.2,-98.3, 30,1007,XX
