basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,15,2020090212, 03,EE38,  0,35.7,-68.3, 38,1010,XX
AL,15,2020090212, 03,EE11,  0,35.9,-68.1, 32,1011,XX
AL,15,2020090212, 03,EE01,  0,36.0,-68.0, 35,1009,XX
AL,15,2020090212, 03,EE21,  0,36.1,-68.7, 36,1009,XX
AL,15,2020090212, 03,EE40,  0,36.3,-67.0, 45,1009,XX
AL,15,2020090212, 03,EE25,  0,36.4,-67.8, 49,1007,XX
AL,15,2020090212, 03,EE13,  0,36.6,-67.7, 43,1009,XX
AL,15,2020090212, 03,EE38,  6,35.9,-66.7, 26,1010,XX
AL,15,2020090212, 03,EE13,  6,36.1,-67.0, 29,1008,XX
AL,15,2020090212, 03,EE24,  6,36.4,-67.8, 29,1009,XX
AL,15,2020090212, 03,EE38, 12,35.7,-64.9, 23,1010,XX
AL,15,2020090212, 03,EE12, 12,36.3,-66.0, 22,1010,XX
AL,15,2020090212, 03,EE11, 12,36.4,-64.0, 32,1003,XX
AL,15,2020090212, 03,EE23, 12,36.7,-64.9, 24,1008,XX
AL,15,2020090212, 03,EE40, 12,36.8,-65.2, 25,1008,XX
AL,15,2020090212, 03,EE42, 12,37.0,-64.9, 25,1008,XX
AL,15,2020090212, 03,EE38, 18,35.4,-60.0, 28,1007,XX
AL,15,2020090212, 03,EE11, 18,36.0,-62.9, 30,1004,XX
AL,15,2020090212, 03,EE01, 18,36.3,-63.9, 23,1008,XX
AL,15,2020090212, 03,EE11, 24,35.7,-61.4, 27,1005,XX
AL,15,2020090212, 03,EE37, 24,36.3,-62.5, 22,1007,XX
AL,15,2020090212, 03,EE01, 24,36.4,-62.5, 22,1008,XX
AL,15,2020090212, 03,EE21, 24,36.5,-63.3, 22,1008,XX
AL,15,2020090212, 03,EE23, 24,36.6,-62.6, 21,1008,XX
AL,15,2020090212, 03,EE38, 30,35.3,-58.3, 25,1005,XX
AL,15,2020090212, 03,EE11, 30,35.4,-60.5, 25,1006,XX
AL,15,2020090212, 03,EE28, 30,35.7,-61.4, 22,1007,XX
AL,15,2020090212, 03,EE37, 30,35.9,-61.1, 23,1007,XX
AL,15,2020090212, 03,EE01, 30,36.4,-61.4, 23,1008,XX
AL,15,2020090212, 03,EE12, 36,34.8,-60.4, 18,1010,XX
AL,15,2020090212, 03,EE23, 36,35.9,-61.4, 20,1009,XX
AL,15,2020090212, 03,EE01, 36,36.0,-61.1, 20,1009,XX
AL,15,2020090212, 03,EE21, 36,36.3,-61.5, 20,1009,XX
AL,15,2020090212, 03,EE42, 36,36.4,-60.7, 19,1009,XX
AL,15,2020090212, 03,EE11, 42,35.0,-58.1, 22,1008,XX
AL,15,2020090212, 03,EE37, 42,35.3,-59.4, 20,1009,XX
