basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,17,2020090900, 03,EE42,  0,18.9,-44.6, 49, 995,XX
AL,17,2020090900, 03,EE32,  0,19.0,-44.6, 37,1000,XX
AL,17,2020090900, 03,EE13,  0,19.0,-44.6, 47, 994,XX
AL,17,2020090900, 03,EE06,  0,19.0,-44.6, 48, 995,XX
AL,17,2020090900, 03,EE09,  0,19.0,-44.6, 47, 996,XX
AL,17,2020090900, 03,ECMF,  0,19.0,-44.6, 43, 997,XX
AL,17,2020090900, 03,EE05,  0,19.0,-44.6, 38, 998,XX
AL,17,2020090900, 03,EE04,  0,19.0,-44.6, 41, 999,XX
AL,17,2020090900, 03,EE25,  0,19.1,-44.3, 56, 993,XX
AL,17,2020090900, 03,EE19,  0,19.1,-44.5, 49, 994,XX
AL,17,2020090900, 03,EE10,  0,19.1,-44.6, 44, 995,XX
AL,17,2020090900, 03,EE09,114,29.0,-58.8, 30, 996,XX
AL,17,2020090900, 03,EE09,108,28.1,-58.8, 31, 997,XX
AL,17,2020090900, 03,EE16,108,27.7,-60.0, 32, 998,XX
AL,17,2020090900, 03,EE05,120,29.8,-63.8, 33, 997,XX
AL,17,2020090900, 03,EE08,120,29.7,-63.8, 34, 998,XX
AL,17,2020090900, 03,EE05,126,30.0,-65.0, 35, 994,XX
AL,17,2020090900, 03,EE07,138,32.1,-66.3, 36, 998,XX
AL,17,2020090900, 03,EE05,114,29.1,-62.1, 37, 999,XX
AL,17,2020090900, 03,EE08,108,28.6,-61.1, 38, 993,XX
AL,17,2020090900, 03,EE09,132,30.5,-57.4, 39, 994,XX
AL,17,2020090900, 03,EE05,132,30.2,-65.6, 40, 992,XX
AL,17,2020090900, 03,EE08,138,31.6,-65.2, 41, 997,XX
AL,17,2020090900, 03,EE05,144,31.2,-65.3, 42, 987,XX
AL,17,2020090900, 03,EE14,138,31.9,-57.4, 43, 987,XX
AL,17,2020090900, 03,EE11,126,31.8,-66.3, 44, 985,XX
AL,17,2020090900, 03,EE08,144,32.4,-64.9, 45, 996,XX
AL,17,2020090900, 03,EE31,144,33.6,-65.6, 46, 989,XX
AL,17,2020090900, 03,EE05,138,30.7,-65.6, 47, 989,XX
AL,17,2020090900, 03,EE11,138,33.6,-66.0, 48, 984,XX
AL,17,2020090900, 03,EE11,144,34.7,-65.2, 49, 980,XX
AL,17,2020090900, 03,EE19,144,30.8,-69.0, 51, 984,XX
AL,17,2020090900, 03,EE18,  6,19.0,-45.3, 44, 993,XX
AL,17,2020090900, 03,EE20,  6,19.0,-45.5, 40, 995,XX
AL,17,2020090900, 03,EE39,  6,19.0,-45.2, 39, 996,XX
AL,17,2020090900, 03,EE25,  6,19.1,-44.9, 41, 993,XX
AL,17,2020090900, 03,EE15,  6,19.1,-45.0, 44, 994,XX
AL,17,2020090900, 03,EE48,  6,19.1,-44.9, 41, 996,XX
AL,17,2020090900, 03,EE04,  6,19.1,-45.5, 39, 997,XX
AL,17,2020090900, 03,EE31,  6,19.3,-45.0, 46, 992,XX
AL,17,2020090900, 03,EE29,  6,19.3,-45.3, 40, 993,XX
AL,17,2020090900, 03,EE05,  6,19.3,-45.3, 39, 995,XX
AL,17,2020090900, 03,EE34,  6,19.3,-45.5, 34, 997,XX
AL,17,2020090900, 03,EE46,  6,19.3,-45.6, 42, 998,XX
AL,17,2020090900, 03,EE27,  6,19.3,-45.3, 40, 999,XX
AL,17,2020090900, 03,EE38,  6,19.4,-45.0, 42, 992,XX
AL,17,2020090900, 03,EE12,  6,19.4,-45.3, 42, 993,XX
AL,17,2020090900, 03,EE09,  6,19.4,-45.0, 40, 994,XX
AL,17,2020090900, 03,ECMF,  6,19.4,-45.2, 42, 995,XX
AL,17,2020090900, 03,EE00,  6,19.4,-45.3, 39, 996,XX
AL,17,2020090900, 03,EE28,  6,19.4,-45.6, 38, 997,XX
AL,17,2020090900, 03,EE19,  6,19.6,-45.2, 53, 986,XX
AL,17,2020090900, 03,EE06,  6,19.6,-44.8, 42, 993,XX
AL,17,2020090900, 03,EE14,  6,19.6,-45.5, 39, 996,XX
AL,17,2020090900, 03,EE40,  6,19.6,-45.2, 37, 997,XX
AL,17,2020090900, 03,EE11,  6,19.7,-45.2, 50, 990,XX
AL,17,2020090900, 03,EE16,  6,19.7,-45.3, 41, 992,XX
AL,17,2020090900, 03,EE08,  6,19.7,-45.0, 42, 998,XX
AL,17,2020090900, 03,EE32,  6,19.7,-45.2, 42, 999,XX
AL,17,2020090900, 03,EE23,  6,19.8,-45.5, 48, 992,XX
AL,17,2020090900, 03,EE47,  6,19.8,-45.6, 38, 998,XX
AL,17,2020090900, 03,EE10,  6,20.0,-45.0, 47, 992,XX
AL,17,2020090900, 03,EE07,  6,20.0,-45.8, 39, 998,XX
AL,17,2020090900, 03,EE30,  6,20.1,-45.3, 48, 994,XX
AL,17,2020090900, 03,EE18, 12,19.3,-46.0, 39, 997,XX
AL,17,2020090900, 03,EE20, 12,19.3,-46.0, 39, 999,XX
AL,17,2020090900, 03,EE04, 12,19.5,-46.2, 39,1000,XX
AL,17,2020090900, 03,EE32, 12,19.6,-46.3, 38,1001,XX
AL,17,2020090900, 03,EE38, 12,19.6,-45.9, 41, 995,XX
AL,17,2020090900, 03,EE29, 12,19.6,-46.2, 42, 997,XX
AL,17,2020090900, 03,EE05, 12,19.7,-46.2, 39,1000,XX
AL,17,2020090900, 03,EE31, 12,19.7,-46.0, 45, 995,XX
AL,17,2020090900, 03,EE12, 12,19.7,-46.0, 40, 997,XX
AL,17,2020090900, 03,EE22, 12,19.7,-46.3, 46, 998,XX
AL,17,2020090900, 03,EE33, 12,19.7,-46.2, 40, 999,XX
AL,17,2020090900, 03,EE14, 12,19.8,-46.2, 41,1000,XX
AL,17,2020090900, 03,EE19, 12,19.8,-46.5, 51, 990,XX
AL,17,2020090900, 03,EE11, 12,19.8,-46.0, 41, 994,XX
AL,17,2020090900, 03,EE17, 12,19.8,-46.0, 44, 995,XX
AL,17,2020090900, 03,EE42, 12,19.8,-45.9, 40, 996,XX
AL,17,2020090900, 03,EE06, 12,19.8,-45.5, 40, 997,XX
AL,17,2020090900, 03,EE21, 12,19.8,-46.0, 42, 998,XX
AL,17,2020090900, 03,EE00, 12,19.8,-46.0, 38, 999,XX
AL,17,2020090900, 03,EE15, 12,20.0,-45.6, 42, 996,XX
AL,17,2020090900, 03,EE44, 12,20.0,-45.5, 40, 997,XX
AL,17,2020090900, 03,EE36, 12,20.1,-45.9, 47, 993,XX
AL,17,2020090900, 03,EE13, 12,20.1,-46.0, 46, 995,XX
AL,17,2020090900, 03,EE16, 12,20.1,-46.2, 42, 996,XX
AL,17,2020090900, 03,ECMF, 12,20.1,-46.0, 45, 997,XX
AL,17,2020090900, 03,EE30, 12,20.1,-46.5, 43, 998,XX
AL,17,2020090900, 03,EE47, 12,20.3,-46.7, 37,1001,XX
AL,17,2020090900, 03,EE10, 12,20.3,-46.3, 45, 993,XX
AL,17,2020090900, 03,EE09, 12,20.3,-45.6, 45, 994,XX
AL,17,2020090900, 03,EE49, 12,20.3,-45.3, 40, 997,XX
AL,17,2020090900, 03,EE07, 12,20.4,-46.7, 42,1001,XX
AL,17,2020090900, 03,EE08, 12,20.5,-45.9, 43, 999,XX
AL,17,2020090900, 03,EE39, 18,19.4,-47.0, 38,1000,XX
AL,17,2020090900, 03,EE37, 18,19.7,-47.0, 39,1001,XX
AL,17,2020090900, 03,EE18, 18,19.7,-47.0, 39, 997,XX
AL,17,2020090900, 03,EE05, 18,19.8,-47.4, 38,1000,XX
