basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,18,2020090800, 03,EE47,  0,15.6,-23.7, 30,1002,XX
AL,18,2020090800, 03,EE10,  0,15.9,-23.5, 29,1003,XX
AL,18,2020090800, 03,EE05,  0,16.0,-23.8, 29,1003,XX
AL,18,2020090800, 03,ECMF,  0,16.2,-23.0, 27,1003,XX
AL,18,2020090800, 03,EE02,  0,16.3,-23.1, 30,1003,XX
AL,18,2020090800, 03,EE03,  0,16.5,-22.5, 32,1003,XX
AL,18,2020090800, 03,EE04,  0,16.7,-23.3, 35,1002,XX
AL,18,2020090800, 03,EE47,102,19.3,-46.3, 36, 997,XX
AL,18,2020090800, 03,EE02,114,22.5,-45.8, 37, 995,XX
AL,18,2020090800, 03,EE47,108,19.7,-47.7, 38, 998,XX
AL,18,2020090800, 03,EE02,102,21.2,-43.8, 39, 992,XX
AL,18,2020090800, 03,EE47,114,20.3,-49.0, 41, 996,XX
AL,18,2020090800, 03,EE47,126,21.1,-51.8, 42, 998,XX
AL,18,2020090800, 03,EE09,102,26.3,-42.4, 43, 995,XX
AL,18,2020090800, 03,EE46,126,25.2,-46.0, 45, 996,XX
AL,18,2020090800, 03,EE09,108,27.3,-42.4, 47, 994,XX
AL,18,2020090800, 03,EE04,102,19.8,-44.2, 49, 989,XX
AL,18,2020090800, 03,EE27,114,28.0,-44.9, 50, 991,XX
AL,18,2020090800, 03,EE27,102,24.9,-44.1, 52, 987,XX
AL,18,2020090800, 03,EE04,108,20.1,-45.5, 53, 988,XX
AL,18,2020090800, 03,EE04,126,21.5,-48.8, 55, 985,XX
AL,18,2020090800, 03,EE04,120,21.1,-47.6, 56, 986,XX
AL,18,2020090800, 03,EE04,132,21.8,-50.0, 57, 987,XX
AL,18,2020090800, 03,EE27,138,31.5,-43.2, 62, 979,XX
AL,18,2020090800, 03,EE38,  6,15.6,-24.5, 25,1001,XX
AL,18,2020090800, 03,EE03,  6,15.8,-25.1, 29,1001,XX
AL,18,2020090800, 03,EE14,  6,15.9,-24.0, 27,1000,XX
AL,18,2020090800, 03,EE22,  6,16.0,-24.5, 28,1001,XX
AL,18,2020090800, 03,EE02,  6,16.0,-24.5, 31, 999,XX
AL,18,2020090800, 03,EE05,  6,16.2,-24.5, 30,1000,XX
AL,18,2020090800, 03,EE46,  6,16.2,-24.4, 33, 997,XX
AL,18,2020090800, 03,EE04,  6,16.2,-24.4, 29, 998,XX
AL,18,2020090800, 03,EE10,  6,16.3,-24.2, 27,1001,XX
AL,18,2020090800, 03,EE01,  6,16.5,-24.7, 30,1002,XX
AL,18,2020090800, 03,ECMF,  6,16.6,-24.7, 28,1002,XX
AL,18,2020090800, 03,EE06,  6,16.7,-24.2, 28,1002,XX
AL,18,2020090800, 03,EE16,  6,16.9,-24.5, 27,1002,XX
AL,18,2020090800, 03,EE26, 12,15.6,-26.3, 31,1003,XX
AL,18,2020090800, 03,EE25, 12,15.9,-25.6, 24,1003,XX
AL,18,2020090800, 03,EE22, 12,16.2,-26.1, 28,1003,XX
AL,18,2020090800, 03,EE09, 12,16.3,-26.0, 27,1003,XX
AL,18,2020090800, 03,EE02, 12,16.5,-26.1, 31,1001,XX
AL,18,2020090800, 03,EE00, 12,16.6,-26.2, 26,1005,XX
AL,18,2020090800, 03,ECMF, 12,16.7,-25.8, 30,1004,XX
AL,18,2020090800, 03,EE11, 12,16.9,-26.2, 32,1003,XX
AL,18,2020090800, 03,EE06, 12,17.0,-26.2, 27,1005,XX
AL,18,2020090800, 03,EE08, 12,17.1,-26.0, 26,1005,XX
AL,18,2020090800, 03,EE01, 12,17.2,-25.8, 29,1004,XX
AL,18,2020090800, 03,EE43, 12,17.3,-25.6, 31,1003,XX
AL,18,2020090800, 03,EE12, 18,16.2,-27.5, 27,1001,XX
AL,18,2020090800, 03,EE26, 18,16.3,-26.5, 28,1002,XX
AL,18,2020090800, 03,ECMF, 18,16.5,-27.5, 26,1003,XX
AL,18,2020090800, 03,EE00, 18,16.6,-27.2, 26,1004,XX
AL,18,2020090800, 03,EE03, 18,16.7,-27.3, 26,1002,XX
AL,18,2020090800, 03,EE46, 18,16.7,-27.6, 32, 999,XX
AL,18,2020090800, 03,EE09, 18,16.9,-27.0, 25,1002,XX
AL,18,2020090800, 03,EE10, 18,17.0,-27.6, 27,1003,XX
AL,18,2020090800, 03,EE01, 18,17.2,-27.6, 30,1003,XX
AL,18,2020090800, 03,EE45, 18,17.5,-27.2, 27,1003,XX
AL,18,2020090800, 03,EE38, 18,17.9,-26.6, 26,1003,XX
AL,18,2020090800, 03,EE33, 24,15.9,-28.7, 22,1006,XX
AL,18,2020090800, 03,EE05, 24,16.0,-29.6, 28,1005,XX
AL,18,2020090800, 03,EE30, 24,16.1,-28.8, 25,1006,XX
AL,18,2020090800, 03,EE02, 24,16.3,-28.7, 28,1003,XX
AL,18,2020090800, 03,ECMF, 24,16.5,-29.3, 25,1006,XX
AL,18,2020090800, 03,EE21, 24,16.6,-29.0, 22,1008,XX
AL,18,2020090800, 03,EE00, 24,16.7,-28.7, 23,1006,XX
AL,18,2020090800, 03,EE04, 24,16.9,-27.3, 26,1004,XX
AL,18,2020090800, 03,EE03, 24,17.0,-28.9, 26,1005,XX
AL,18,2020090800, 03,EE09, 24,17.2,-28.3, 26,1004,XX
AL,18,2020090800, 03,EE01, 24,17.3,-29.2, 27,1006,XX
AL,18,2020090800, 03,EE06, 24,17.5,-28.7, 20,1007,XX
AL,18,2020090800, 03,EE48, 24,17.6,-27.6, 23,1006,XX
AL,18,2020090800, 03,EE38, 24,17.9,-28.5, 23,1006,XX
AL,18,2020090800, 03,EE33, 30,15.9,-29.4, 22,1005,XX
AL,18,2020090800, 03,EE30, 30,16.2,-29.6, 24,1006,XX
AL,18,2020090800, 03,EE34, 30,16.3,-29.2, 27,1004,XX
AL,18,2020090800, 03,EE21, 30,16.5,-29.9, 21,1006,XX
AL,18,2020090800, 03,ECMF, 30,16.6,-29.3, 23,1005,XX
AL,18,2020090800, 03,EE02, 30,16.7,-29.6, 28,1001,XX
AL,18,2020090800, 03,EE00, 30,16.9,-29.9, 23,1006,XX
AL,18,2020090800, 03,EE04, 30,16.9,-29.2, 34, 998,XX
AL,18,2020090800, 03,EE20, 30,17.0,-29.4, 23,1006,XX
AL,18,2020090800, 03,EE46, 30,17.0,-30.0, 36, 998,XX
AL,18,2020090800, 03,EE01, 30,17.2,-30.1, 28,1005,XX
AL,18,2020090800, 03,EE03, 30,17.3,-29.9, 27,1004,XX
