basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,19,2020091712, 03,EE04,  0,31.6,-86.0, 25,1004,XX
AL,19,2020091712, 03,EE12,  0,31.8,-86.0, 24,1003,XX
AL,19,2020091712, 03,EE11,  0,31.9,-85.7, 27,1003,XX
AL,19,2020091712, 03,EE02,  0,32.1,-85.8, 27,1003,XX
AL,19,2020091712, 03,EE22,  0,32.2,-86.1, 27,1004,XX
AL,19,2020091712, 03,EE19,  0,32.4,-85.7, 24,1004,XX
AL,19,2020091712, 03,EE46,  0,32.5,-84.4, 25,1004,XX
AL,19,2020091712, 03,EE14,  0,32.7,-83.6, 23,1005,XX
AL,19,2020091712, 03,EE11,  6,32.4,-84.0, 27,1005,XX
AL,19,2020091712, 03,EE08,  6,32.5,-84.6, 24,1005,XX
AL,19,2020091712, 03,EE22,  6,32.8,-84.6, 26,1006,XX
AL,19,2020091712, 03,EE02,  6,32.9,-83.0, 25,1005,XX
AL,19,2020091712, 03,EE19,  6,33.2,-83.6, 25,1004,XX
AL,19,2020091712, 03,EE04,  6,33.3,-83.9, 25,1004,XX
AL,19,2020091712, 03,EE14,  6,33.5,-84.0, 25,1004,XX
AL,19,2020091712, 03,EE18, 12,32.9,-82.2, 26,1005,XX
AL,19,2020091712, 03,EE12, 12,34.5,-81.2, 28,1001,XX
AL,19,2020091712, 03,EE42, 12,34.9,-79.1, 28,1002,XX
AL,19,2020091712, 03,EE46, 12,35.1,-80.9, 27,1003,XX
AL,19,2020091712, 03,EE04, 12,35.2,-80.5, 28,1004,XX
AL,19,2020091712, 03,EE02, 12,35.6,-79.5, 28,1003,XX
AL,19,2020091712, 03,EE12, 18,35.0,-77.7, 32,1001,XX
AL,19,2020091712, 03,EE02, 18,36.1,-77.7, 30,1001,XX
AL,19,2020091712, 03,EE18, 24,33.9,-79.6, 32,1006,XX
AL,19,2020091712, 03,EE12, 24,36.0,-76.3, 35,1001,XX
AL,19,2020091712, 03,EE02, 24,36.7,-76.0, 37,1001,XX
AL,19,2020091712, 03,EE42, 24,37.3,-74.6, 41, 999,XX
AL,19,2020091712, 03,EE40, 30,34.0,-78.0, 26,1007,XX
AL,19,2020091712, 03,EE02, 30,36.5,-73.6, 36,1002,XX
AL,19,2020091712, 03,EE42, 30,38.1,-71.5, 39,1000,XX
AL,19,2020091712, 03,EE40, 36,32.8,-76.7, 27,1008,XX
AL,19,2020091712, 03,EE12, 36,36.1,-71.9, 39,1002,XX
AL,19,2020091712, 03,EE02, 36,37.3,-70.4, 38,1004,XX
AL,19,2020091712, 03,EE40, 42,31.6,-76.7, 28,1009,XX
AL,19,2020091712, 03,EE12, 42,35.6,-70.1, 38,1004,XX
AL,19,2020091712, 03,EE40, 48,33.2,-73.5, 32,1010,XX
AL,19,2020091712, 03,EE12, 48,34.9,-69.0, 34,1007,XX
AL,19,2020091712, 03,EE12, 54,34.6,-68.1, 33,1007,XX
AL,19,2020091712, 03,EE12, 60,33.9,-67.5, 35,1009,XX
