basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,20,2020091900, 03,EE05,  0,23.2,-57.1,109, 927,XX
AL,20,2020091900, 03,EE27,  0,23.2,-57.3, 99, 932,XX
AL,20,2020091900, 03,EE39,  0,23.2,-57.3, 88, 933,XX
AL,20,2020091900, 03,EE04,  0,23.2,-57.3, 93, 934,XX
AL,20,2020091900, 03,EE00,  0,23.2,-57.3, 89, 935,XX
AL,20,2020091900, 03,EE06,  0,23.2,-57.3, 91, 936,XX
AL,20,2020091900, 03,EE26,  0,23.2,-57.3, 84, 937,XX
AL,20,2020091900, 03,EE11,  0,23.2,-57.3, 85, 938,XX
AL,20,2020091900, 03,EE16,  0,23.2,-57.3, 85, 939,XX
AL,20,2020091900, 03,EE08,  0,23.2,-57.3, 83, 940,XX
AL,20,2020091900, 03,EE28,  0,23.2,-57.3, 87, 941,XX
AL,20,2020091900, 03,ECMF,  0,23.3,-57.3, 96, 933,XX
AL,20,2020091900, 03,EE01,  0,23.4,-57.3,100, 928,XX
AL,20,2020091900, 03,EE20,  0,23.4,-57.3, 99, 931,XX
AL,20,2020091900, 03,EE10,  0,23.4,-57.3, 97, 933,XX
AL,20,2020091900, 03,EE31,  0,23.4,-57.3, 89, 934,XX
AL,20,2020091900, 03,EE29,  0,23.4,-57.3, 93, 936,XX
AL,20,2020091900, 03,EE12,120,48.1,-60.5, 31, 995,XX
AL,20,2020091900, 03,EE13,120,47.0,-65.0, 32, 988,XX
AL,20,2020091900, 03,EE20,114,53.4,-56.3, 33, 979,XX
AL,20,2020091900, 03,EE02,126,49.1,-58.3, 34, 989,XX
AL,20,2020091900, 03,EE33,126,54.0,-53.6, 35, 980,XX
AL,20,2020091900, 03,EE18,126,46.8,-62.6, 36, 982,XX
AL,20,2020091900, 03,EE11,102,45.4,-62.0, 37, 980,XX
AL,20,2020091900, 03,EE00,108,44.4,-64.5, 38, 987,XX
AL,20,2020091900, 03,EE02,120,47.1,-60.7, 39, 986,XX
AL,20,2020091900, 03,EE01,108,46.8,-63.5, 40, 984,XX
AL,20,2020091900, 03,EE00,102,44.3,-65.4, 41, 979,XX
AL,20,2020091900, 03,EE02,108,44.7,-64.0, 42, 970,XX
AL,20,2020091900, 03,ECMF,108,46.2,-61.6, 43, 980,XX
AL,20,2020091900, 03,EE06,108,44.9,-63.5, 44, 990,XX
AL,20,2020091900, 03,EE05,108,47.0,-59.3, 45, 982,XX
AL,20,2020091900, 03,EE10,114,46.8,-60.8, 46, 983,XX
AL,20,2020091900, 03,ECMF,102,44.3,-63.3, 47, 965,XX
AL,20,2020091900, 03,EE15,102,44.4,-64.0, 48, 980,XX
AL,20,2020091900, 03,EE08,102,43.7,-63.0, 49, 960,XX
AL,20,2020091900, 03,EE02,102,43.2,-64.2, 50, 958,XX
AL,20,2020091900, 03,EE08,108,44.9,-60.9, 51, 967,XX
AL,20,2020091900, 03,EE05,102,44.0,-61.8, 52, 974,XX
AL,20,2020091900, 03,EE27,102,41.6,-65.9, 53, 953,XX
AL,20,2020091900, 03,EE41,108,43.5,-61.8, 54, 955,XX
AL,20,2020091900, 03,EE39,102,43.9,-64.9, 55, 954,XX
AL,20,2020091900, 03,EE22,102,40.8,-63.6, 56, 946,XX
AL,20,2020091900, 03,EE18,102,41.8,-63.6, 57, 949,XX
AL,20,2020091900, 03,EE22,108,42.1,-62.9, 58, 950,XX
AL,20,2020091900, 03,EE01,  6,24.1,-57.7, 75, 950,XX
AL,20,2020091900, 03,EE27,  6,24.1,-57.7, 83, 952,XX
AL,20,2020091900, 03,EE48,  6,24.2,-57.8, 76, 948,XX
AL,20,2020091900, 03,EE24,  6,24.2,-58.0, 77, 949,XX
AL,20,2020091900, 03,EE15,  6,24.2,-57.8, 80, 950,XX
AL,20,2020091900, 03,EE05,  6,24.2,-57.8, 68, 951,XX
AL,20,2020091900, 03,EE34,  6,24.2,-57.6, 77, 954,XX
AL,20,2020091900, 03,EE12,  6,24.2,-57.8, 70, 955,XX
AL,20,2020091900, 03,EE00,  6,24.2,-57.8, 68, 956,XX
AL,20,2020091900, 03,EE18,  6,24.2,-57.8, 65, 957,XX
AL,20,2020091900, 03,EE38,  6,24.2,-57.8, 65, 958,XX
AL,20,2020091900, 03,EE22,  6,24.2,-58.0, 65, 959,XX
AL,20,2020091900, 03,EE45,  6,24.2,-57.8, 61, 960,XX
AL,20,2020091900, 03,ECMF,  6,24.3,-57.9, 80, 944,XX
AL,20,2020091900, 03,EE21,  6,24.3,-57.8, 80, 947,XX
AL,20,2020091900, 03,EE47,  6,24.3,-58.0, 77, 949,XX
AL,20,2020091900, 03,EE07,  6,24.3,-57.7, 75, 952,XX
AL,20,2020091900, 03,EE23,  6,24.3,-57.6, 71, 953,XX
AL,20,2020091900, 03,EE20,  6,24.3,-57.8, 73, 954,XX
AL,20,2020091900, 03,EE02,  6,24.3,-57.7, 68, 955,XX
AL,20,2020091900, 03,EE10,  6,24.3,-58.0, 66, 956,XX
AL,20,2020091900, 03,EE08,  6,24.3,-58.0, 69, 957,XX
AL,20,2020091900, 03,EE37,  6,24.5,-57.8, 78, 951,XX
AL,20,2020091900, 03,EE42,  6,24.5,-57.7, 77, 952,XX
AL,20,2020091900, 03,EE29,  6,24.5,-58.1, 72, 955,XX
AL,20,2020091900, 03,EE31,  6,24.5,-58.3, 69, 956,XX
AL,20,2020091900, 03,EE17,  6,24.5,-58.0, 66, 958,XX
AL,20,2020091900, 03,EE16,  6,24.5,-57.8, 61, 960,XX
AL,20,2020091900, 03,EE32, 12,25.0,-58.5, 68, 956,XX
AL,20,2020091900, 03,EE35, 12,25.0,-58.5, 66, 960,XX
AL,20,2020091900, 03,EE45, 12,25.0,-58.7, 60, 963,XX
AL,20,2020091900, 03,EE22, 12,25.0,-59.0, 61, 964,XX
AL,20,2020091900, 03,EE48, 12,25.2,-58.7, 70, 953,XX
AL,20,2020091900, 03,EE13, 12,25.2,-58.7, 64, 956,XX
AL,20,2020091900, 03,EE15, 12,25.2,-58.8, 66, 958,XX
AL,20,2020091900, 03,EE01, 12,25.2,-58.4, 65, 959,XX
AL,20,2020091900, 03,EE05, 12,25.2,-58.7, 62, 960,XX
AL,20,2020091900, 03,EE14, 12,25.2,-58.8, 65, 961,XX
AL,20,2020091900, 03,EE08, 12,25.2,-59.0, 64, 962,XX
AL,20,2020091900, 03,EE10, 12,25.2,-59.0, 62, 963,XX
AL,20,2020091900, 03,EE18, 12,25.2,-58.7, 60, 964,XX
AL,20,2020091900, 03,EE25, 12,25.2,-58.6, 64, 965,XX
AL,20,2020091900, 03,EE28, 12,25.2,-59.1, 58, 967,XX
AL,20,2020091900, 03,ECMF, 12,25.3,-58.8, 68, 953,XX
AL,20,2020091900, 03,EE37, 12,25.3,-58.8, 70, 955,XX
AL,20,2020091900, 03,EE42, 12,25.3,-58.8, 70, 956,XX
AL,20,2020091900, 03,EE07, 12,25.3,-58.7, 63, 957,XX
AL,20,2020091900, 03,EE02, 12,25.3,-58.7, 64, 960,XX
AL,20,2020091900, 03,EE06, 12,25.3,-59.1, 64, 961,XX
AL,20,2020091900, 03,EE00, 12,25.3,-58.8, 63, 962,XX
AL,20,2020091900, 03,EE19, 12,25.3,-59.1, 62, 963,XX
AL,20,2020091900, 03,EE11, 12,25.3,-59.0, 60, 964,XX
AL,20,2020091900, 03,EE26, 12,25.3,-59.4, 59, 965,XX
AL,20,2020091900, 03,EE21, 12,25.5,-58.7, 66, 959,XX
AL,20,2020091900, 03,EE23, 12,25.5,-58.7, 60, 961,XX
AL,20,2020091900, 03,EE17, 12,25.5,-59.1, 60, 962,XX
AL,20,2020091900, 03,EE49, 12,25.5,-59.0, 59, 963,XX
AL,20,2020091900, 03,EE16, 12,25.5,-59.0, 58, 967,XX
AL,20,2020091900, 03,EE47, 18,26.0,-59.8, 75, 954,XX
AL,20,2020091900, 03,EE22, 18,26.0,-60.1, 71, 959,XX
AL,20,2020091900, 03,EE18, 18,26.0,-59.7, 66, 961,XX
AL,20,2020091900, 03,ECMF, 18,26.2,-59.8, 86, 946,XX
AL,20,2020091900, 03,EE32, 18,26.2,-59.4, 77, 950,XX
AL,20,2020091900, 03,EE13, 18,26.2,-59.5, 69, 951,XX
AL,20,2020091900, 03,EE44, 18,26.2,-59.8, 72, 952,XX
AL,20,2020091900, 03,EE15, 18,26.2,-59.8, 79, 953,XX
AL,20,2020091900, 03,EE14, 18,26.2,-59.8, 69, 954,XX
AL,20,2020091900, 03,EE35, 18,26.2,-59.4, 72, 955,XX
AL,20,2020091900, 03,EE12, 18,26.2,-59.5, 71, 956,XX
AL,20,2020091900, 03,EE00, 18,26.2,-59.8, 68, 957,XX
AL,20,2020091900, 03,EE41, 18,26.2,-59.8, 66, 958,XX
AL,20,2020091900, 03,EE45, 18,26.2,-59.8, 69, 959,XX
AL,20,2020091900, 03,EE19, 18,26.2,-60.1, 65, 961,XX
AL,20,2020091900, 03,EE33, 18,26.2,-59.8, 63, 962,XX
AL,20,2020091900, 03,EE40, 18,26.2,-59.7, 65, 963,XX
AL,20,2020091900, 03,EE26, 18,26.2,-60.4, 62, 964,XX
AL,20,2020091900, 03,EE48, 18,26.3,-59.5, 77, 949,XX
AL,20,2020091900, 03,EE05, 18,26.3,-59.5, 75, 954,XX
AL,20,2020091900, 03,EE43, 18,26.3,-59.7, 78, 955,XX
AL,20,2020091900, 03,EE01, 18,26.3,-59.3, 78, 956,XX
AL,20,2020091900, 03,EE24, 18,26.3,-59.8, 69, 957,XX
AL,20,2020091900, 03,EE10, 18,26.3,-60.0, 73, 958,XX
AL,20,2020091900, 03,EE08, 18,26.3,-59.7, 66, 959,XX
AL,20,2020091900, 03,EE06, 18,26.3,-60.1, 71, 960,XX
AL,20,2020091900, 03,EE36, 18,26.3,-59.4, 66, 962,XX
AL,20,2020091900, 03,EE29, 18,26.3,-59.8, 62, 963,XX
AL,20,2020091900, 03,EE28, 18,26.3,-60.0, 62, 966,XX
AL,20,2020091900, 03,EE04, 18,26.4,-59.7, 74, 954,XX
AL,20,2020091900, 03,EE21, 18,26.4,-59.7, 74, 956,XX
AL,20,2020091900, 03,EE23, 18,26.4,-59.7, 68, 958,XX
