basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,30,2020111012, 03,EE13,  0,28.3,-37.9, 40,1000,XX
AL,30,2020111012, 03,EE44,  0,28.3,-38.0, 39, 998,XX
AL,30,2020111012, 03,EE15,  0,28.3,-37.9, 45, 999,XX
AL,30,2020111012, 03,EE35,  0,28.4,-37.7, 47,1000,XX
AL,30,2020111012, 03,EE08,  0,28.4,-37.7, 46, 998,XX
AL,30,2020111012, 03,EE00,  0,28.4,-37.7, 40, 999,XX
AL,30,2020111012, 03,EE16,  0,28.5,-38.1, 35,1000,XX
AL,30,2020111012, 03,ECMF,  0,28.5,-37.7, 43, 999,XX
AL,30,2020111012, 03,EE34,  0,28.6,-37.8, 42,1000,XX
AL,30,2020111012, 03,EE38,  0,28.6,-38.1, 48, 997,XX
AL,30,2020111012, 03,EE40,  0,28.6,-38.0, 46, 998,XX
AL,30,2020111012, 03,EE20,  0,28.6,-38.0, 42, 999,XX
AL,30,2020111012, 03,EE02,  0,28.7,-37.7, 47, 995,XX
AL,30,2020111012, 03,EE06,  0,28.7,-37.9, 43, 999,XX
AL,30,2020111012, 03,EE05,  0,28.8,-37.7, 35,1000,XX
AL,30,2020111012, 03,EE19,  0,28.8,-38.0, 41, 997,XX
AL,30,2020111012, 03,EE04,  0,28.8,-37.7, 39, 998,XX
AL,30,2020111012, 03,EE09,  0,28.8,-37.6, 40, 999,XX
AL,30,2020111012, 03,EE30,  0,29.0,-37.9, 41, 996,XX
AL,30,2020111012, 03,EE18,  0,29.0,-37.7, 41, 997,XX
AL,30,2020111012, 03,EE26,  0,29.0,-38.0, 45, 999,XX
AL,30,2020111012, 03,EE23,  0,29.1,-37.9, 42, 997,XX
AL,30,2020111012, 03,EE18,114,31.8,-19.0, 32, 999,XX
AL,30,2020111012, 03,EE24,102,33.3,-17.1, 33, 999,XX
AL,30,2020111012, 03,EE11,102,32.4,-20.2, 34, 996,XX
AL,30,2020111012, 03,EE04,102,33.6,-18.5, 35, 996,XX
AL,30,2020111012, 03,EE26,108,32.2,-22.0, 36, 997,XX
AL,30,2020111012, 03,ECMF,102,33.0,-19.9, 37, 997,XX
AL,30,2020111012, 03,EE02,102,33.1,-18.6, 38, 996,XX
AL,30,2020111012, 03,EE14,102,31.2,-20.9, 39, 997,XX
AL,30,2020111012, 03,EE03,126,32.9,-16.1, 40, 995,XX
AL,30,2020111012, 03,EE03,108,33.0,-15.8, 41, 992,XX
AL,30,2020111012, 03,EE03,102,33.3,-16.2, 42, 991,XX
AL,30,2020111012, 03,EE03,144,35.6,-17.2, 44, 999,XX
AL,30,2020111012, 03,EE10,  6,28.7,-36.3, 36, 997,XX
AL,30,2020111012, 03,EE42,  6,28.7,-36.9, 35, 998,XX
AL,30,2020111012, 03,EE21,  6,28.7,-36.8, 37, 999,XX
AL,30,2020111012, 03,EE38,  6,28.8,-37.2, 44, 993,XX
AL,30,2020111012, 03,EE44,  6,28.8,-36.8, 38, 994,XX
AL,30,2020111012, 03,EE24,  6,28.8,-36.8, 42, 995,XX
AL,30,2020111012, 03,EE03,  6,28.8,-36.8, 37, 996,XX
AL,30,2020111012, 03,EE07,  6,28.8,-36.5, 38, 999,XX
AL,30,2020111012, 03,ECMF,  6,28.9,-36.9, 40, 997,XX
AL,30,2020111012, 03,EE02,  6,29.0,-36.9, 45, 991,XX
AL,30,2020111012, 03,EE27,  6,29.0,-37.0, 42, 994,XX
AL,30,2020111012, 03,EE04,  6,29.0,-36.8, 43, 995,XX
AL,30,2020111012, 03,EE06,  6,29.0,-37.0, 39, 996,XX
AL,30,2020111012, 03,EE00,  6,29.0,-36.8, 35, 997,XX
AL,30,2020111012, 03,EE14,  6,29.0,-37.2, 39, 998,XX
AL,30,2020111012, 03,EE30,  6,29.1,-36.8, 39, 993,XX
AL,30,2020111012, 03,EE26,  6,29.1,-36.9, 43, 995,XX
AL,30,2020111012, 03,EE08,  6,29.1,-36.9, 38, 996,XX
AL,30,2020111012, 03,EE05,  6,29.1,-36.8, 35, 997,XX
AL,30,2020111012, 03,EE17,  6,29.1,-36.9, 37, 998,XX
AL,30,2020111012, 03,EE36,  6,29.1,-36.5, 36, 999,XX
AL,30,2020111012, 03,EE43,  6,29.2,-37.0, 43, 997,XX
AL,30,2020111012, 03,EE23,  6,29.3,-37.0, 39, 994,XX
