basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,23,2020092000, 03,EE19,  0,14.1,-40.4, 28,1009,XX
AL,23,2020092000, 03,EE32,  0,14.4,-39.7, 30,1009,XX
AL,23,2020092000, 03,EE18,  0,14.6,-40.7, 29,1009,XX
AL,23,2020092000, 03,EE47,  0,14.8,-40.8, 25,1010,XX
AL,23,2020092000, 03,EE18,  6,15.1,-41.4, 32,1007,XX
AL,23,2020092000, 03,EE19,  6,15.2,-42.2, 37,1001,XX
AL,23,2020092000, 03,EE32,  6,15.3,-41.1, 33,1006,XX
AL,23,2020092000, 03,EE47, 12,15.1,-42.2, 28,1007,XX
AL,23,2020092000, 03,EE18, 12,15.2,-42.9, 30,1008,XX
AL,23,2020092000, 03,EE19, 12,15.8,-42.5, 32,1006,XX
AL,23,2020092000, 03,EE18, 18,15.6,-44.1, 28,1007,XX
AL,23,2020092000, 03,EE19, 18,16.2,-43.4, 29,1005,XX
AL,23,2020092000, 03,EE49, 18,16.3,-43.2, 31,1005,XX
AL,23,2020092000, 03,EE18, 24,16.0,-45.2, 24,1009,XX
AL,23,2020092000, 03,EE49, 24,16.7,-44.2, 32,1006,XX
AL,23,2020092000, 03,EE19, 24,16.9,-44.1, 30,1007,XX
AL,23,2020092000, 03,EE18, 30,16.7,-46.2, 30,1006,XX
AL,23,2020092000, 03,EE49, 30,17.0,-44.9, 31,1003,XX
AL,23,2020092000, 03,EE49, 36,17.3,-45.8, 26,1007,XX
AL,23,2020092000, 03,EE49, 42,17.6,-46.2, 25,1005,XX
