basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,28,2020102912, 03,EE12,  0,35.6,-82.9, 27, 995,XX
AL,28,2020102912, 03,EE02,  0,35.7,-83.0, 30, 994,XX
AL,28,2020102912, 03,EE26,  0,35.7,-83.0, 26, 995,XX
AL,28,2020102912, 03,EE29,  0,35.8,-84.4, 29, 996,XX
AL,28,2020102912, 03,EE20,  0,35.9,-83.6, 34, 990,XX
AL,28,2020102912, 03,EE28,  0,35.9,-83.2, 27, 992,XX
AL,28,2020102912, 03,EE09,  0,35.9,-83.2, 25, 993,XX
AL,28,2020102912, 03,EE16,  0,35.9,-83.2, 29, 994,XX
AL,28,2020102912, 03,ECMF,  0,35.9,-83.2, 26, 995,XX
AL,28,2020102912, 03,EE27,  0,35.9,-83.2, 28, 996,XX
AL,28,2020102912, 03,EE08,  0,36.0,-83.3, 31, 992,XX
AL,28,2020102912, 03,EE36,  0,36.0,-83.3, 29, 993,XX
AL,28,2020102912, 03,EE05,  0,36.0,-83.2, 28, 994,XX
AL,28,2020102912, 03,EE47,  0,36.0,-83.3, 25, 996,XX
AL,28,2020102912, 03,EE41,  0,36.0,-83.3, 27, 997,XX
AL,28,2020102912, 03,EE03,  0,36.1,-82.6, 29, 994,XX
AL,28,2020102912, 03,EE33,  0,36.2,-82.5, 29, 995,XX
AL,28,2020102912, 03,EE45,  0,36.3,-82.6, 28, 993,XX
AL,28,2020102912, 03,EE06,  0,36.3,-82.2, 26, 994,XX
AL,28,2020102912, 03,EE49,  0,36.4,-82.7, 29, 994,XX
AL,28,2020102912, 03,EE01,  6,37.3,-78.0, 35, 992,XX
AL,28,2020102912, 03,EE43,  6,37.4,-78.7, 33, 989,XX
AL,28,2020102912, 03,EE20,  6,37.4,-78.4, 33, 991,XX
AL,28,2020102912, 03,EE28,  6,37.4,-78.4, 34, 992,XX
AL,28,2020102912, 03,EE29,  6,37.4,-78.0, 32, 993,XX
AL,28,2020102912, 03,EE17,  6,37.4,-78.4, 33, 994,XX
AL,28,2020102912, 03,EE13,  6,37.6,-78.4, 36, 991,XX
AL,28,2020102912, 03,ECMF,  6,37.6,-78.0, 36, 992,XX
AL,28,2020102912, 03,EE09,  6,37.6,-78.4, 34, 993,XX
AL,28,2020102912, 03,EE04,  6,37.7,-78.5, 35, 990,XX
AL,28,2020102912, 03,EE15,  6,37.7,-78.1, 34, 991,XX
AL,28,2020102912, 03,EE00,  6,37.7,-78.1, 34, 992,XX
AL,28,2020102912, 03,EE02,  6,37.8,-78.5, 37, 985,XX
AL,28,2020102912, 03,EE37,  6,37.8,-78.2, 37, 989,XX
AL,28,2020102912, 03,EE03,  6,37.8,-77.8, 37, 991,XX
AL,28,2020102912, 03,EE07,  6,37.8,-78.5, 31, 992,XX
AL,28,2020102912, 03,EE45,  6,37.8,-78.3, 32, 993,XX
AL,28,2020102912, 03,EE40,  6,37.8,-78.5, 32, 994,XX
AL,28,2020102912, 03,EE26,  6,38.0,-78.2, 38, 982,XX
AL,28,2020102912, 03,EE19,  6,38.0,-78.0, 35, 988,XX
AL,28,2020102912, 03,EE46,  6,38.0,-78.0, 34, 990,XX
AL,28,2020102912, 03,EE36,  6,38.0,-78.0, 36, 991,XX
AL,28,2020102912, 03,EE41,  6,38.0,-78.7, 30, 994,XX
AL,28,2020102912, 03,EE25,  6,38.1,-78.2, 33, 989,XX
AL,28,2020102912, 03,EE08,  6,38.1,-77.8, 37, 990,XX
AL,28,2020102912, 03,EE20, 12,39.0,-72.9, 42, 991,XX
AL,28,2020102912, 03,EE04, 12,39.2,-72.8, 42, 991,XX
AL,28,2020102912, 03,EE16, 12,39.4,-72.9, 46, 989,XX
AL,28,2020102912, 03,EE03, 12,39.4,-72.8, 42, 991,XX
AL,28,2020102912, 03,EE02, 12,39.5,-72.5, 55, 984,XX
AL,28,2020102912, 03,EE26, 12,39.5,-72.6, 47, 987,XX
AL,28,2020102912, 03,EE30, 12,39.5,-73.5, 50, 989,XX
AL,28,2020102912, 03,EE33, 18,40.2,-65.2, 43, 993,XX
AL,28,2020102912, 03,EE30, 18,40.5,-65.9, 47, 990,XX
AL,28,2020102912, 03,EE02, 18,40.8,-65.9, 44, 988,XX
AL,28,2020102912, 03,EE06, 24,38.4,-69.2, 53, 989,XX
AL,28,2020102912, 03,EE45, 24,38.7,-72.2, 46, 989,XX
AL,28,2020102912, 03,EE35, 24,38.7,-72.2, 45, 991,XX
AL,28,2020102912, 03,EE15, 30,39.5,-68.4, 46, 985,XX
