basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,01,2020052000, 03,EE09,  0,36.1,-67.0, 63,1000,XX
AL,01,2020052000, 03,EE49,  0,36.1,-67.1, 55, 998,XX
AL,01,2020052000, 03,EE06,  0,36.3,-66.8, 66,1000,XX
AL,01,2020052000, 03,EE38,  6,35.0,-65.4, 49,1004,XX
AL,01,2020052000, 03,EE06,  6,35.2,-65.9, 46,1003,XX
AL,01,2020052000, 03,EE49,  6,35.3,-66.0, 45,1002,XX
AL,01,2020052000, 03,EE34,  6,35.4,-65.3, 48,1005,XX
AL,01,2020052000, 03,EE28,  6,35.6,-65.4, 47,1003,XX
AL,01,2020052000, 03,EE14,  6,35.7,-65.0, 49,1003,XX
AL,01,2020052000, 03,EE09, 12,35.0,-64.6, 48,1006,XX
AL,01,2020052000, 03,EE28, 12,35.2,-65.6, 48,1006,XX
