basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,22,2020092212, 03,EE31,  0,28.3,-96.4, 28,1007,XX
AL,22,2020092212, 03,EE13,  0,28.6,-96.7, 32,1003,XX
AL,22,2020092212, 03,ECMF,  0,28.7,-96.9, 23,1005,XX
AL,22,2020092212, 03,EE02,  0,28.8,-96.9, 25,1005,XX
AL,22,2020092212, 03,EE16,  0,29.0,-97.1, 23,1004,XX
AL,22,2020092212, 03,EE06,  0,29.1,-96.5, 25,1004,XX
AL,22,2020092212, 03,EE39,  0,29.4,-96.7, 26,1006,XX
AL,22,2020092212, 03,EE36,  6,28.3,-96.1, 27,1008,XX
AL,22,2020092212, 03,EE03,  6,28.4,-96.0, 26,1007,XX
AL,22,2020092212, 03,EE01,  6,28.6,-96.0, 30,1007,XX
AL,22,2020092212, 03,ECMF,  6,28.7,-96.2, 34,1007,XX
AL,22,2020092212, 03,EE05,  6,28.8,-96.4, 30,1006,XX
AL,22,2020092212, 03,EE06,  6,29.0,-96.2, 25,1006,XX
AL,22,2020092212, 03,EE42,  6,29.1,-96.2, 25,1004,XX
AL,22,2020092212, 03,EE16, 12,28.4,-96.1, 26,1006,XX
AL,22,2020092212, 03,EE12, 12,28.5,-95.7, 28,1006,XX
AL,22,2020092212, 03,EE30, 12,28.6,-95.5, 26,1005,XX
AL,22,2020092212, 03,EE01, 12,28.7,-95.1, 26,1005,XX
AL,22,2020092212, 03,EE02, 12,28.8,-95.5, 25,1005,XX
AL,22,2020092212, 03,EE04, 12,29.0,-95.4, 24,1005,XX
AL,22,2020092212, 03,ECMF, 12,29.1,-95.5, 32,1005,XX
AL,22,2020092212, 03,EE31, 12,29.3,-95.3, 30,1002,XX
AL,22,2020092212, 03,EE11, 12,29.4,-96.1, 28,1003,XX
AL,22,2020092212, 03,EE15, 12,29.5,-95.5, 23,1004,XX
AL,22,2020092212, 03,EE24, 18,28.3,-95.5, 26,1007,XX
AL,22,2020092212, 03,EE05, 18,28.6,-95.7, 29,1007,XX
AL,22,2020092212, 03,EE06, 18,28.7,-95.3, 23,1007,XX
AL,22,2020092212, 03,EE01, 18,28.8,-95.0, 26,1007,XX
AL,22,2020092212, 03,EE02, 18,29.0,-95.1, 28,1007,XX
AL,22,2020092212, 03,EE00, 18,29.1,-95.5, 23,1007,XX
AL,22,2020092212, 03,ECMF, 18,29.2,-95.4, 24,1007,XX
AL,22,2020092212, 03,EE19, 18,29.3,-95.3, 27,1006,XX
AL,22,2020092212, 03,EE10, 18,29.4,-95.3, 26,1005,XX
AL,22,2020092212, 03,EE03, 18,29.5,-95.0, 23,1007,XX
AL,22,2020092212, 03,EE42, 18,29.7,-95.1, 26,1005,XX
AL,22,2020092212, 03,EE46, 18,29.8,-95.8, 28,1005,XX
AL,22,2020092212, 03,EE20, 18,30.0,-95.0, 25,1007,XX
AL,22,2020092212, 03,EE08, 24,28.6,-94.4, 23,1006,XX
AL,22,2020092212, 03,EE16, 24,28.7,-95.4, 21,1007,XX
AL,22,2020092212, 03,EE05, 24,29.0,-95.3, 21,1006,XX
AL,22,2020092212, 03,EE37, 24,29.1,-94.5, 23,1006,XX
AL,22,2020092212, 03,EE38, 24,29.3,-95.1, 22,1005,XX
AL,22,2020092212, 03,EE00, 24,29.4,-94.5, 23,1006,XX
AL,22,2020092212, 03,EE09, 24,29.5,-94.8, 20,1005,XX
AL,22,2020092212, 03,ECMF, 24,29.6,-94.8, 24,1006,XX
AL,22,2020092212, 03,EE01, 24,29.7,-94.0, 25,1004,XX
AL,22,2020092212, 03,EE11, 24,29.8,-95.3, 23,1005,XX
AL,22,2020092212, 03,EE23, 24,30.0,-94.5, 26,1003,XX
AL,22,2020092212, 03,EE10, 24,30.1,-94.7, 24,1003,XX
AL,22,2020092212, 03,EE03, 24,30.2,-94.3, 24,1005,XX
AL,22,2020092212, 03,EE20, 24,30.6,-94.3, 22,1006,XX
AL,22,2020092212, 03,EE41, 30,28.1,-95.7, 22,1007,XX
AL,22,2020092212, 03,EE16, 30,28.7,-94.7, 20,1008,XX
AL,22,2020092212, 03,EE08, 30,29.0,-93.1, 24,1007,XX
AL,22,2020092212, 03,EE14, 30,29.1,-94.1, 28,1005,XX
AL,22,2020092212, 03,EE05, 30,29.3,-95.0, 20,1006,XX
AL,22,2020092212, 03,EE37, 30,29.4,-93.6, 28,1006,XX
AL,22,2020092212, 03,EE47, 30,29.5,-94.6, 24,1006,XX
AL,22,2020092212, 03,EE09, 30,29.6,-94.4, 20,1005,XX
AL,22,2020092212, 03,EE12, 30,29.7,-94.0, 26,1006,XX
AL,22,2020092212, 03,ECMF, 30,29.8,-94.0, 28,1006,XX
AL,22,2020092212, 03,EE02, 30,30.0,-93.4, 28,1005,XX
AL,22,2020092212, 03,EE13, 30,30.1,-93.4, 30,1001,XX
AL,22,2020092212, 03,EE10, 30,30.2,-94.3, 22,1005,XX
AL,22,2020092212, 03,EE23, 30,30.4,-93.8, 24,1005,XX
AL,22,2020092212, 03,EE33, 30,30.7,-94.1, 21,1004,XX
AL,22,2020092212, 03,EE31, 30,30.8,-93.1, 27,1002,XX
AL,22,2020092212, 03,EE40, 30,31.1,-93.8, 24,1006,XX
AL,22,2020092212, 03,EE03, 30,31.4,-92.9, 24,1005,XX
AL,22,2020092212, 03,EE41, 36,28.0,-95.3, 23,1006,XX
AL,22,2020092212, 03,EE05, 36,29.3,-94.4, 24,1005,XX
AL,22,2020092212, 03,EE16, 36,29.4,-94.0, 25,1006,XX
AL,22,2020092212, 03,EE09, 36,29.5,-94.0, 25,1004,XX
AL,22,2020092212, 03,EE27, 36,29.7,-93.8, 22,1004,XX
AL,22,2020092212, 03,EE21, 36,30.0,-93.3, 24,1005,XX
AL,22,2020092212, 03,EE06, 36,30.1,-93.1, 28,1002,XX
AL,22,2020092212, 03,EE13, 36,30.4,-92.3, 26,1002,XX
AL,22,2020092212, 03,EE19, 36,30.5,-93.3, 22,1006,XX
AL,22,2020092212, 03,EE08, 36,30.7,-92.2, 25,1004,XX
AL,22,2020092212, 03,EE12, 36,30.8,-93.1, 27,1004,XX
AL,22,2020092212, 03,EE34, 36,30.9,-92.4, 25,1004,XX
AL,22,2020092212, 03,EE48, 36,31.1,-91.7, 30, 996,XX
AL,22,2020092212, 03,EE00, 36,31.2,-92.7, 23,1005,XX
AL,22,2020092212, 03,ECMF, 36,31.3,-92.1, 28,1004,XX
AL,22,2020092212, 03,EE40, 36,31.4,-93.3, 26,1004,XX
AL,22,2020092212, 03,EE02, 36,31.5,-91.7, 26,1003,XX
AL,22,2020092212, 03,EE01, 36,31.8,-92.0, 25,1003,XX
AL,22,2020092212, 03,EE03, 36,32.1,-92.0, 22,1003,XX
AL,22,2020092212, 03,EE05, 42,29.5,-94.0, 21,1006,XX
AL,22,2020092212, 03,EE46, 42,29.8,-94.0, 19,1006,XX
AL,22,2020092212, 03,EE27, 42,30.0,-93.3, 22,1005,XX
AL,22,2020092212, 03,EE14, 42,30.2,-92.6, 25,1003,XX
AL,22,2020092212, 03,EE38, 42,30.5,-92.9, 21,1005,XX
AL,22,2020092212, 03,EE15, 42,30.7,-93.0, 21,1006,XX
AL,22,2020092212, 03,EE13, 42,30.8,-91.6, 22,1005,XX
AL,22,2020092212, 03,EE22, 42,30.9,-92.4, 23,1004,XX
AL,22,2020092212, 03,EE11, 42,31.1,-93.6, 25,1003,XX
AL,22,2020092212, 03,EE24, 42,31.2,-91.6, 30,1007,XX
AL,22,2020092212, 03,EE21, 42,31.4,-92.2, 23,1005,XX
AL,22,2020092212, 03,EE12, 42,31.5,-92.2, 25,1001,XX
AL,22,2020092212, 03,EE08, 42,31.6,-91.2, 26,1003,XX
AL,22,2020092212, 03,ECMF, 42,31.9,-91.9, 25,1000,XX
AL,22,2020092212, 03,EE48, 42,32.1,-90.9, 25,1001,XX
AL,22,2020092212, 03,EE34, 42,32.2,-91.0, 23,1002,XX
AL,22,2020092212, 03,EE10, 42,32.4,-92.3, 23,1000,XX
AL,22,2020092212, 03,EE01, 42,32.6,-91.6, 26,1001,XX
AL,22,2020092212, 03,EE02, 42,32.6,-90.5, 27, 999,XX
AL,22,2020092212, 03,EE29, 42,32.8,-90.8, 24,1001,XX
AL,22,2020092212, 03,EE31, 42,32.9,-90.8, 22,1001,XX
AL,22,2020092212, 03,EE03, 42,33.3,-90.8, 23,1004,XX
AL,22,2020092212, 03,EE43, 42,33.6,-90.9, 26,1001,XX
AL,22,2020092212, 03,EE16, 48,30.5,-93.0, 19,1005,XX
AL,22,2020092212, 03,EE14, 48,31.2,-91.7, 20,1004,XX
AL,22,2020092212, 03,EE11, 48,31.9,-92.9, 20,1004,XX
AL,22,2020092212, 03,EE32, 48,32.4,-92.2, 23,1006,XX
AL,22,2020092212, 03,EE37, 48,32.8,-89.9, 28,1005,XX
AL,22,2020092212, 03,ECMF, 48,33.0,-90.6, 21,1003,XX
AL,22,2020092212, 03,EE00, 48,33.1,-90.5, 22,1003,XX
AL,22,2020092212, 03,EE39, 48,33.2,-91.2, 21,1002,XX
AL,22,2020092212, 03,EE10, 48,33.3,-91.2, 22,1003,XX
AL,22,2020092212, 03,EE35, 48,33.5,-89.6, 20,1005,XX
AL,22,2020092212, 03,EE41, 54,28.8,-94.1, 19,1007,XX
AL,22,2020092212, 03,EE27, 54,31.5,-91.0, 19,1005,XX
AL,22,2020092212, 03,EE21, 54,33.6,-89.8, 23,1007,XX
