basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,03,2020060612, 03,EE06,  0,23.4,-90.5, 42, 993,XX
AL,03,2020060612, 03,EE12,  0,23.4,-89.8, 42, 994,XX
AL,03,2020060612, 03,EE09,  0,23.4,-89.8, 41, 995,XX
AL,03,2020060612, 03,EE45,  0,23.5,-89.8, 56, 989,XX
AL,03,2020060612, 03,EE25,  0,23.5,-89.9, 48, 991,XX
AL,03,2020060612, 03,EE02,  0,23.5,-89.8, 48, 992,XX
AL,03,2020060612, 03,EE11,  0,23.5,-89.6, 44, 993,XX
AL,03,2020060612, 03,ECMF,  0,23.5,-89.8, 43, 994,XX
AL,03,2020060612, 03,EE18,  0,23.5,-89.8, 43, 995,XX
AL,03,2020060612, 03,EE31,  0,23.6,-90.5, 55, 990,XX
AL,03,2020060612, 03,EE20,  0,23.6,-91.0, 47, 992,XX
AL,03,2020060612, 03,EE01,  0,23.6,-89.6, 41, 993,XX
AL,03,2020060612, 03,EE07,  0,23.6,-89.6, 41, 994,XX
AL,03,2020060612, 03,EE47,  0,23.8,-91.0, 48, 992,XX
AL,03,2020060612, 03,EE39,  0,23.8,-90.6, 40, 994,XX
AL,03,2020060612, 03,EE15,  0,23.9,-90.5, 44, 993,XX
AL,03,2020060612, 03,EE37,  0,24.3,-90.0, 49, 993,XX
AL,03,2020060612, 03,EE03,102,47.1,-88.8, 31, 983,XX
AL,03,2020060612, 03,EE15,102,48.4,-89.8, 35, 989,XX
AL,03,2020060612, 03,EE05,120,50.5,-82.5, 36, 990,XX
AL,03,2020060612, 03,EE05,114,49.8,-83.9, 38, 981,XX
AL,03,2020060612, 03,EE10,102,48.4,-90.3, 39, 972,XX
AL,03,2020060612, 03,EE21,102,47.3,-89.8, 41, 966,XX
AL,03,2020060612, 03,EE06,102,49.2,-93.4, 43, 974,XX
AL,03,2020060612, 03,EE05,108,49.5,-85.7, 45, 971,XX
AL,03,2020060612, 03,EE05,102,49.0,-86.9, 49, 964,XX
AL,03,2020060612, 03,EE26,  6,23.8,-89.8, 44, 995,XX
AL,03,2020060612, 03,EE47,  6,24.2,-89.3, 46, 992,XX
AL,03,2020060612, 03,EE04,  6,24.2,-89.6, 43, 993,XX
AL,03,2020060612, 03,EE13,  6,24.2,-89.5, 42, 994,XX
AL,03,2020060612, 03,EE17,  6,24.3,-90.0, 39, 993,XX
AL,03,2020060612, 03,EE16,  6,24.3,-90.2, 41, 994,XX
AL,03,2020060612, 03,EE27,  6,24.3,-89.8, 41, 995,XX
AL,03,2020060612, 03,EE31,  6,24.5,-90.2, 43, 990,XX
AL,03,2020060612, 03,EE25,  6,24.5,-90.0, 39, 992,XX
AL,03,2020060612, 03,ECMF,  6,24.5,-90.2, 45, 994,XX
AL,03,2020060612, 03,EE14,  6,24.5,-89.8, 41, 995,XX
AL,03,2020060612, 03,EE45,  6,24.6,-90.0, 44, 989,XX
AL,03,2020060612, 03,EE20,  6,24.6,-89.5, 54, 992,XX
AL,03,2020060612, 03,EE10,  6,24.6,-89.9, 43, 993,XX
AL,03,2020060612, 03,EE00,  6,24.6,-90.0, 40, 994,XX
AL,03,2020060612, 03,EE37,  6,24.8,-90.5, 48, 990,XX
AL,03,2020060612, 03,EE01,  6,24.8,-89.8, 41, 993,XX
AL,03,2020060612, 03,EE06,  6,24.8,-89.6, 49, 994,XX
AL,03,2020060612, 03,EE07,  6,24.8,-90.0, 45, 995,XX
AL,03,2020060612, 03,EE11,  6,24.9,-89.8, 43, 993,XX
AL,03,2020060612, 03,EE35,  6,24.9,-89.8, 41, 994,XX
AL,03,2020060612, 03,EE36,  6,25.0,-89.9, 51, 991,XX
AL,03,2020060612, 03,EE19,  6,25.0,-90.1, 41, 995,XX
AL,03,2020060612, 03,EE18,  6,25.2,-90.1, 41, 996,XX
AL,03,2020060612, 03,EE28,  6,25.3,-90.0, 38, 996,XX
AL,03,2020060612, 03,EE19, 12,25.3,-90.6, 40, 994,XX
AL,03,2020060612, 03,EE45, 12,25.7,-89.9, 47, 987,XX
AL,03,2020060612, 03,EE01, 12,25.7,-89.6, 44, 991,XX
AL,03,2020060612, 03,EE16, 12,25.7,-89.6, 43, 993,XX
AL,03,2020060612, 03,EE13, 12,25.8,-90.0, 40, 991,XX
AL,03,2020060612, 03,EE11, 12,25.9,-90.0, 40, 991,XX
AL,03,2020060612, 03,EE02, 12,25.9,-90.5, 42, 992,XX
AL,03,2020060612, 03,EE28, 12,25.9,-90.3, 44, 993,XX
