basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,26,2020100612, 03,EE30,120,35.5,-90.1, 15, 996,XX
AL,26,2020100612, 03,EE16,108,35.6,-85.7, 16, 995,XX
AL,26,2020100612, 03,EE16,114,35.7,-84.3, 17, 996,XX
AL,26,2020100612, 03,EE31,  0,17.7,-82.0, 64, 985,XX
AL,26,2020100612, 03,EE30,  0,17.7,-82.2, 59, 988,XX
AL,26,2020100612, 03,EE33,  0,17.7,-82.2, 67, 989,XX
AL,26,2020100612, 03,EE47,  0,17.7,-82.2, 56, 990,XX
AL,26,2020100612, 03,EE39,  0,17.7,-82.2, 52, 991,XX
AL,26,2020100612, 03,ECMF,  0,17.8,-82.2, 50, 985,XX
AL,26,2020100612, 03,EE18,  0,17.9,-82.0, 62, 982,XX
AL,26,2020100612, 03,EE15,  0,17.9,-82.0, 63, 983,XX
AL,26,2020100612, 03,EE25,  0,17.9,-82.2, 68, 984,XX
AL,26,2020100612, 03,EE07,  0,17.9,-82.0, 57, 985,XX
AL,26,2020100612, 03,EE04,  0,17.9,-82.2, 59, 986,XX
AL,26,2020100612, 03,EE00,  0,17.9,-82.2, 50, 987,XX
AL,26,2020100612, 03,EE02,  0,17.9,-82.2, 43, 988,XX
AL,26,2020100612, 03,EE08,  0,17.9,-82.2, 52, 989,XX
AL,26,2020100612, 03,EE12,  0,17.9,-82.2, 44, 990,XX
AL,26,2020100612, 03,EE00,132,35.0,-90.0, 18, 999,XX
AL,26,2020100612, 03,EE27,  0,18.0,-82.2, 61, 983,XX
AL,26,2020100612, 03,EE00,120,32.8,-91.6, 19, 999,XX
AL,26,2020100612, 03,EE01,108,38.8,-82.7, 20, 999,XX
AL,26,2020100612, 03,ECMF,114,31.6,-92.3, 21, 999,XX
AL,26,2020100612, 03,EE00,108,31.1,-92.6, 22, 994,XX
AL,26,2020100612, 03,EE05,102,32.4,-91.5, 23, 992,XX
AL,26,2020100612, 03,EE02,126,32.9,-92.0, 24, 995,XX
AL,26,2020100612, 03,EE06,132,33.3,-91.2, 25, 991,XX
AL,26,2020100612, 03,EE22,102,31.5,-90.8, 26, 993,XX
AL,26,2020100612, 03,EE02,114,31.6,-92.9, 27, 986,XX
AL,26,2020100612, 03,ECMF,108,31.3,-92.4, 28, 994,XX
AL,26,2020100612, 03,ECMF,102,30.9,-92.9, 29, 992,XX
AL,26,2020100612, 03,EE10,120,32.2,-92.7, 30, 985,XX
AL,26,2020100612, 03,EE10,126,33.9,-91.2, 31, 984,XX
AL,26,2020100612, 03,EE06,114,30.5,-93.4, 32, 990,XX
AL,26,2020100612, 03,EE10,114,30.8,-93.6, 34, 982,XX
AL,26,2020100612, 03,EE19,108,28.3,-95.5, 35, 998,XX
AL,26,2020100612, 03,EE19,102,28.1,-95.4, 36, 997,XX
AL,26,2020100612, 03,EE27,114,29.7,-93.3, 37, 983,XX
AL,26,2020100612, 03,EE32,114,30.1,-93.8, 38, 988,XX
AL,26,2020100612, 03,EE39,108,28.3,-95.1, 39, 993,XX
AL,26,2020100612, 03,EE06,108,30.1,-93.7, 40, 984,XX
AL,26,2020100612, 03,EE25,114,30.2,-94.3, 41, 990,XX
AL,26,2020100612, 03,EE02,102,30.8,-93.3, 42, 979,XX
AL,26,2020100612, 03,EE14,102,30.2,-93.7, 43, 985,XX
AL,26,2020100612, 03,EE32,108,29.8,-93.6, 45, 977,XX
AL,26,2020100612, 03,EE06,102,29.8,-93.8, 46, 979,XX
AL,26,2020100612, 03,EE13,114,29.4,-95.3, 49, 975,XX
AL,26,2020100612, 03,EE20,138,30.5,-93.7, 50, 978,XX
AL,26,2020100612, 03,EE20,132,29.7,-94.1, 51, 975,XX
AL,26,2020100612, 03,EE07,132,29.5,-93.4, 52, 968,XX
AL,26,2020100612, 03,EE07,126,28.8,-93.7, 54, 969,XX
AL,26,2020100612, 03,EE27,102,29.1,-93.6, 55, 968,XX
AL,26,2020100612, 03,EE35,102,27.3,-95.7, 56, 973,XX
AL,26,2020100612, 03,EE10,102,29.1,-94.1, 57, 968,XX
AL,26,2020100612, 03,EE15,114,30.0,-94.0, 58, 967,XX
AL,26,2020100612, 03,EE42,144,28.8,-93.0, 59, 968,XX
AL,26,2020100612, 03,EE07,120,28.4,-93.7, 60, 964,XX
AL,26,2020100612, 03,EE07,114,28.1,-94.1, 61, 961,XX
AL,26,2020100612, 03,EE20,102,28.3,-95.0, 62, 964,XX
AL,26,2020100612, 03,EE07,102,27.9,-94.3, 63, 961,XX
AL,26,2020100612, 03,EE07,108,28.1,-94.0, 65, 959,XX
AL,26,2020100612, 03,EE15,102,28.3,-94.7, 68, 954,XX
AL,26,2020100612, 03,EE47,  6,18.0,-82.9, 40, 990,XX
AL,26,2020100612, 03,EE25,  6,18.2,-83.6, 56, 977,XX
AL,26,2020100612, 03,EE36,  6,18.2,-83.2, 52, 984,XX
AL,26,2020100612, 03,EE33,  6,18.2,-83.2, 46, 988,XX
AL,26,2020100612, 03,EE32,  6,18.3,-83.2, 59, 979,XX
AL,26,2020100612, 03,EE31,  6,18.3,-82.9, 50, 983,XX
AL,26,2020100612, 03,EE44,  6,18.3,-83.2, 51, 986,XX
AL,26,2020100612, 03,EE39,  6,18.3,-82.9, 42, 992,XX
AL,26,2020100612, 03,EE15,  6,18.4,-83.3, 57, 978,XX
AL,26,2020100612, 03,EE07,  6,18.4,-83.4, 56, 979,XX
AL,26,2020100612, 03,EE01,  6,18.4,-83.3, 56, 980,XX
AL,26,2020100612, 03,EE10,  6,18.4,-83.3, 53, 982,XX
AL,26,2020100612, 03,EE42,  6,18.4,-83.3, 52, 983,XX
AL,26,2020100612, 03,EE06,  6,18.4,-83.2, 52, 985,XX
AL,26,2020100612, 03,EE35,  6,18.4,-83.2, 47, 987,XX
AL,26,2020100612, 03,EE08,  6,18.4,-83.3, 49, 988,XX
