basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,27,2020102512, 03,EE03,  0,42.9,-52.1, 53, 968,XX
AL,27,2020102512, 03,EE11,120,61.6,-29.3, 43, 965,XX
AL,27,2020102512, 03,EE11,  0,43.0,-52.1, 65, 962,XX
AL,27,2020102512, 03,EE24,  0,43.0,-51.9, 62, 963,XX
AL,27,2020102512, 03,EE12,  0,43.0,-52.1, 59, 964,XX
AL,27,2020102512, 03,EE05,  0,43.0,-51.9, 56, 965,XX
AL,27,2020102512, 03,EE00,  0,43.0,-51.9, 55, 966,XX
AL,27,2020102512, 03,EE14,  0,43.0,-51.9, 57, 967,XX
AL,27,2020102512, 03,EE06,  0,43.0,-51.9, 55, 968,XX
AL,27,2020102512, 03,EE01,  0,43.0,-51.9, 53, 969,XX
AL,27,2020102512, 03,EE17,  0,43.0,-51.9, 52, 970,XX
AL,27,2020102512, 03,ECMF,  0,43.1,-51.9, 57, 966,XX
AL,27,2020102512, 03,EE43,  0,43.2,-52.1, 62, 961,XX
AL,27,2020102512, 03,EE35,  0,43.2,-52.1, 63, 962,XX
AL,27,2020102512, 03,EE09,  0,43.2,-52.1, 59, 965,XX
AL,27,2020102512, 03,EE22,  0,43.2,-51.9, 52, 971,XX
AL,27,2020102512, 03,EE10,  0,43.3,-51.9, 59, 964,XX
AL,27,2020102512, 03,EE02,  0,43.3,-52.1, 51, 971,XX
AL,27,2020102512, 03,EE11,108,59.6,-32.8, 47, 963,XX
AL,27,2020102512, 03,EE11,102,59.9,-33.9, 48, 960,XX
AL,27,2020102512, 03,EE03,  6,44.4,-47.3, 57, 970,XX
AL,27,2020102512, 03,EE36,  6,44.4,-47.6, 53, 972,XX
AL,27,2020102512, 03,EE21,  6,44.6,-47.6, 56, 969,XX
AL,27,2020102512, 03,EE11,  6,44.7,-47.3, 61, 964,XX
AL,27,2020102512, 03,EE35,  6,44.7,-47.3, 59, 965,XX
AL,27,2020102512, 03,EE12,  6,44.7,-47.4, 58, 967,XX
AL,27,2020102512, 03,EE05,  6,44.7,-47.3, 54, 968,XX
AL,27,2020102512, 03,EE37,  6,44.9,-47.2, 59, 963,XX
AL,27,2020102512, 03,EE30,  6,44.9,-47.4, 55, 964,XX
AL,27,2020102512, 03,EE43,  6,44.9,-47.2, 61, 965,XX
AL,27,2020102512, 03,EE47,  6,44.9,-47.4, 55, 967,XX
AL,27,2020102512, 03,EE08,  6,44.9,-47.6, 54, 968,XX
AL,27,2020102512, 03,EE32,  6,44.9,-47.2, 53, 969,XX
AL,27,2020102512, 03,EE14,  6,44.9,-47.4, 52, 970,XX
AL,27,2020102512, 03,EE17,  6,44.9,-47.4, 50, 971,XX
AL,27,2020102512, 03,EE34,  6,45.0,-47.3, 58, 965,XX
AL,27,2020102512, 03,EE04,  6,45.0,-47.6, 53, 966,XX
AL,27,2020102512, 03,ECMF,  6,45.0,-47.4, 52, 967,XX
AL,27,2020102512, 03,EE00,  6,45.0,-47.4, 53, 968,XX
AL,27,2020102512, 03,EE10,  6,45.1,-47.4, 57, 963,XX
AL,27,2020102512, 03,EE24,  6,45.1,-47.4, 56, 965,XX
AL,27,2020102512, 03,EE09,  6,45.1,-47.4, 51, 969,XX
AL,27,2020102512, 03,EE33,  6,45.1,-47.4, 52, 971,XX
AL,27,2020102512, 03,EE02,  6,45.1,-47.7, 51, 972,XX
AL,27,2020102512, 03,EE46,  6,45.3,-47.3, 53, 967,XX
AL,27,2020102512, 03,EE27,  6,45.3,-47.3, 55, 968,XX
AL,27,2020102512, 03,EE01,  6,45.4,-47.2, 50, 968,XX
AL,27,2020102512, 03,EE22,  6,45.6,-47.6, 52, 970,XX
AL,27,2020102512, 03,EE11, 12,46.7,-41.7, 53, 968,XX
AL,27,2020102512, 03,EE04, 12,46.7,-41.8, 53, 969,XX
AL,27,2020102512, 03,EE26, 12,46.7,-42.1, 52, 971,XX
AL,27,2020102512, 03,EE12, 12,46.7,-41.8, 50, 972,XX
AL,27,2020102512, 03,EE30, 12,46.8,-41.7, 56, 965,XX
AL,27,2020102512, 03,EE38, 12,46.8,-41.8, 51, 967,XX
AL,27,2020102512, 03,EE03, 12,46.8,-41.7, 51, 969,XX
AL,27,2020102512, 03,EE00, 12,46.8,-41.7, 52, 970,XX
AL,27,2020102512, 03,EE05, 12,46.8,-41.8, 50, 971,XX
AL,27,2020102512, 03,EE42, 12,46.8,-41.7, 51, 973,XX
AL,27,2020102512, 03,EE02, 12,46.8,-41.8, 48, 974,XX
AL,27,2020102512, 03,ECMF, 12,46.9,-41.7, 50, 970,XX
AL,27,2020102512, 03,EE24, 12,47.0,-41.8, 52, 967,XX
AL,27,2020102512, 03,EE06, 12,47.0,-41.8, 56, 968,XX
AL,27,2020102512, 03,EE08, 12,47.0,-41.8, 51, 969,XX
AL,27,2020102512, 03,EE22, 12,47.0,-41.8, 50, 970,XX
AL,27,2020102512, 03,EE16, 12,47.0,-42.0, 50, 971,XX
AL,27,2020102512, 03,EE17, 12,47.0,-41.8, 49, 972,XX
AL,27,2020102512, 03,EE09, 12,47.0,-42.1, 52, 973,XX
AL,27,2020102512, 03,EE10, 12,47.1,-41.7, 56, 964,XX
AL,27,2020102512, 03,EE32, 12,47.1,-42.0, 51, 968,XX
AL,27,2020102512, 03,EE27, 12,47.1,-41.7, 50, 969,XX
AL,27,2020102512, 03,EE14, 12,47.1,-41.7, 54, 970,XX
AL,27,2020102512, 03,EE36, 12,47.1,-41.8, 49, 973,XX
AL,27,2020102512, 03,EE46, 12,47.3,-41.5, 52, 968,XX
AL,27,2020102512, 03,EE44, 12,47.3,-41.8, 49, 969,XX
AL,27,2020102512, 03,EE01, 12,47.4,-42.0, 50, 968,XX
AL,27,2020102512, 03,EE18, 18,48.7,-35.5, 51, 967,XX
AL,27,2020102512, 03,EE21, 18,48.8,-35.5, 49, 970,XX
AL,27,2020102512, 03,EE41, 18,48.9,-35.3, 51, 966,XX
AL,27,2020102512, 03,EE03, 18,48.9,-35.6, 48, 967,XX
AL,27,2020102512, 03,EE11, 18,48.9,-35.3, 51, 968,XX
AL,27,2020102512, 03,EE23, 18,48.9,-35.3, 51, 969,XX
AL,27,2020102512, 03,EE12, 18,48.9,-35.6, 53, 971,XX
AL,27,2020102512, 03,EE09, 18,48.9,-36.0, 48, 973,XX
AL,27,2020102512, 03,EE30, 18,49.1,-35.3, 54, 962,XX
AL,27,2020102512, 03,EE35, 18,49.1,-35.1, 51, 967,XX
AL,27,2020102512, 03,EE28, 18,49.1,-35.2, 48, 969,XX
AL,27,2020102512, 03,EE10, 18,49.2,-35.3, 56, 962,XX
AL,27,2020102512, 03,EE48, 18,49.2,-35.5, 50, 965,XX
AL,27,2020102512, 03,ECMF, 18,49.2,-35.5, 51, 967,XX
AL,27,2020102512, 03,EE05, 18,49.2,-35.9, 52, 968,XX
AL,27,2020102512, 03,EE16, 18,49.2,-35.6, 49, 969,XX
AL,27,2020102512, 03,EE39, 18,49.2,-35.9, 54, 970,XX
AL,27,2020102512, 03,EE37, 18,49.4,-35.5, 54, 958,XX
AL,27,2020102512, 03,EE49, 18,49.4,-35.3, 52, 961,XX
AL,27,2020102512, 03,EE32, 18,49.4,-35.8, 54, 964,XX
AL,27,2020102512, 03,EE38, 18,49.4,-35.3, 52, 965,XX
AL,27,2020102512, 03,EE24, 18,49.4,-35.6, 50, 966,XX
AL,27,2020102512, 03,EE00, 18,49.4,-35.6, 50, 967,XX
AL,27,2020102512, 03,EE29, 18,49.4,-36.0, 51, 968,XX
AL,27,2020102512, 03,EE34, 18,49.5,-35.5, 52, 964,XX
AL,27,2020102512, 03,EE43, 18,49.5,-35.5, 51, 965,XX
AL,27,2020102512, 03,EE14, 18,49.5,-35.6, 50, 967,XX
AL,27,2020102512, 03,EE27, 18,49.5,-35.2, 51, 968,XX
AL,27,2020102512, 03,EE33, 18,49.5,-35.8, 50, 969,XX
AL,27,2020102512, 03,EE06, 18,49.6,-35.9, 52, 962,XX
AL,27,2020102512, 03,EE25, 18,49.6,-35.6, 51, 965,XX
AL,27,2020102512, 03,EE08, 18,49.6,-36.0, 51, 966,XX
AL,27,2020102512, 03,EE02, 18,49.6,-35.3, 49, 968,XX
AL,27,2020102512, 03,EE44, 18,49.8,-35.8, 53, 964,XX
AL,27,2020102512, 03,EE01, 18,49.8,-35.5, 50, 966,XX
AL,27,2020102512, 03,EE36, 18,49.8,-36.3, 53, 969,XX
AL,27,2020102512, 03,EE18, 24,50.5,-28.5, 51, 969,XX
AL,27,2020102512, 03,EE45, 24,50.8,-28.5, 51, 966,XX
AL,27,2020102512, 03,EE41, 24,51.3,-28.7, 58, 964,XX
AL,27,2020102512, 03,EE10, 24,51.5,-28.6, 59, 958,XX
AL,27,2020102512, 03,EE03, 24,51.5,-29.4, 55, 963,XX
AL,27,2020102512, 03,EE30, 24,51.8,-29.2, 57, 957,XX
AL,27,2020102512, 03,EE05, 24,51.8,-30.0, 55, 963,XX
AL,27,2020102512, 03,EE35, 24,51.8,-29.0, 58, 965,XX
AL,27,2020102512, 03,EE47, 24,51.9,-29.6, 54, 965,XX
AL,27,2020102512, 03,EE42, 24,51.9,-29.6, 55, 966,XX
AL,27,2020102512, 03,EE26, 24,51.9,-31.0, 50, 967,XX
AL,27,2020102512, 03,EE49, 24,52.0,-29.0, 57, 957,XX
AL,27,2020102512, 03,EE48, 24,52.0,-29.7, 56, 962,XX
AL,27,2020102512, 03,EE37, 24,52.2,-29.5, 62, 951,XX
AL,27,2020102512, 03,EE43, 24,52.2,-29.7, 53, 961,XX
AL,27,2020102512, 03,EE14, 24,52.2,-29.2, 50, 962,XX
AL,27,2020102512, 03,EE32, 24,52.3,-30.1, 64, 957,XX
AL,27,2020102512, 03,EE04, 24,52.3,-30.4, 54, 967,XX
AL,27,2020102512, 03,EE24, 24,52.5,-30.3, 56, 963,XX
AL,27,2020102512, 03,EE06, 24,52.6,-30.0, 55, 956,XX
AL,27,2020102512, 03,EE25, 24,52.6,-30.4, 58, 958,XX
AL,27,2020102512, 03,EE34, 24,52.7,-30.6, 52, 960,XX
AL,27,2020102512, 03,EE38, 24,52.7,-30.8, 56, 961,XX
AL,27,2020102512, 03,EE00, 24,52.7,-30.8, 54, 963,XX
AL,27,2020102512, 03,EE40, 24,52.7,-30.7, 55, 965,XX
AL,27,2020102512, 03,EE20, 24,52.9,-30.7, 57, 962,XX
AL,27,2020102512, 03,EE10, 30,54.3,-23.8, 60, 955,XX
AL,27,2020102512, 03,EE41, 30,54.6,-24.7, 65, 954,XX
AL,27,2020102512, 03,EE03, 30,54.8,-26.8, 55, 957,XX
AL,27,2020102512, 03,EE05, 30,55.0,-26.9, 65, 951,XX
AL,27,2020102512, 03,EE04, 30,55.0,-25.9, 58, 959,XX
AL,27,2020102512, 03,EE30, 30,55.1,-26.5, 60, 945,XX
AL,27,2020102512, 03,EE35, 30,55.1,-25.4, 61, 958,XX
AL,27,2020102512, 03,EE37, 30,55.5,-28.2, 73, 929,XX
AL,27,2020102512, 03,EE49, 30,55.5,-26.5, 62, 944,XX
AL,27,2020102512, 03,EE38, 30,55.5,-26.6, 58, 947,XX
AL,27,2020102512, 03,EE24, 30,55.6,-27.1, 56, 952,XX
AL,27,2020102512, 03,EE32, 30,55.7,-28.3, 62, 941,XX
AL,27,2020102512, 03,EE43, 30,55.7,-26.9, 54, 951,XX
AL,27,2020102512, 03,EE42, 30,55.7,-26.9, 57, 957,XX
AL,27,2020102512, 03,EE00, 30,55.8,-27.3, 55, 953,XX
AL,27,2020102512, 03,EE06, 30,56.2,-28.9, 62, 937,XX
AL,27,2020102512, 03,EE25, 30,56.2,-28.7, 60, 941,XX
AL,27,2020102512, 03,EE02, 36,55.4,-31.7, 68, 930,XX
AL,27,2020102512, 03,EE22, 36,55.6,-31.6, 60, 936,XX
AL,27,2020102512, 03,EE01, 36,55.7,-30.6, 55, 934,XX
AL,27,2020102512, 03,EE37, 36,55.8,-30.7, 78, 917,XX
AL,27,2020102512, 03,EE06, 36,56.8,-33.0, 81, 926,XX
AL,27,2020102512, 03,EE25, 36,56.8,-32.3, 65, 929,XX
AL,27,2020102512, 03,EE30, 36,57.0,-30.1, 64, 929,XX
AL,27,2020102512, 03,EE34, 36,57.0,-31.7, 64, 933,XX
AL,27,2020102512, 03,EE10, 36,57.1,-24.0, 66, 946,XX
AL,27,2020102512, 03,EE32, 36,57.2,-31.1, 67, 926,XX
AL,27,2020102512, 03,EE49, 36,57.7,-30.8, 82, 926,XX
AL,27,2020102512, 03,EE05, 36,57.7,-28.0, 60, 933,XX
AL,27,2020102512, 03,EE41, 36,57.7,-27.3, 65, 935,XX
AL,27,2020102512, 03,EE03, 36,57.7,-26.6, 58, 944,XX
AL,27,2020102512, 03,EE48, 36,57.8,-29.0, 58, 942,XX
AL,27,2020102512, 03,EE04, 36,57.8,-25.1, 58, 949,XX
AL,27,2020102512, 03,EE24, 36,57.9,-29.6, 56, 939,XX
AL,27,2020102512, 03,EE43, 36,58.2,-29.7, 56, 936,XX
AL,27,2020102512, 03,EE35, 36,58.2,-26.3, 75, 944,XX
AL,27,2020102512, 03,EE00, 36,58.4,-29.6, 61, 940,XX
AL,27,2020102512, 03,EE27, 36,58.4,-29.9, 60, 942,XX
AL,27,2020102512, 03,EE28, 42,55.3,-26.9, 68, 937,XX
AL,27,2020102512, 03,EE08, 42,55.4,-28.2, 60, 939,XX
AL,27,2020102512, 03,EE11, 42,55.4,-26.8, 60, 940,XX
AL,27,2020102512, 03,EE16, 42,55.5,-26.3, 64, 933,XX
AL,27,2020102512, 03,ECMF, 42,55.7,-26.9, 59, 936,XX
AL,27,2020102512, 03,EE23, 42,55.7,-26.9, 62, 939,XX
AL,27,2020102512, 03,EE46, 42,55.8,-26.8, 68, 927,XX
AL,27,2020102512, 03,EE44, 42,55.9,-27.8, 65, 932,XX
AL,27,2020102512, 03,EE17, 42,56.0,-26.8, 57, 936,XX
AL,27,2020102512, 03,EE36, 42,56.0,-27.9, 55, 939,XX
AL,27,2020102512, 03,EE12, 42,56.0,-27.0, 62, 940,XX
AL,27,2020102512, 03,EE24, 42,56.7,-31.7, 60, 939,XX
AL,27,2020102512, 03,EE05, 42,56.8,-29.7, 67, 930,XX
AL,27,2020102512, 03,EE43, 42,56.8,-30.8, 64, 935,XX
AL,27,2020102512, 03,EE41, 42,57.1,-31.1, 68, 931,XX
AL,27,2020102512, 03,EE03, 42,57.8,-31.0, 58, 940,XX
AL,27,2020102512, 03,EE10, 42,57.9,-29.9, 61, 942,XX
AL,27,2020102512, 03,EE35, 42,58.2,-31.4, 66, 941,XX
AL,27,2020102512, 03,EE41, 48,55.1,-27.2, 66, 934,XX
AL,27,2020102512, 03,EE24, 48,55.1,-26.2, 60, 939,XX
AL,27,2020102512, 03,EE03, 48,55.5,-28.6, 59, 943,XX
AL,27,2020102512, 03,EE28, 48,56.1,-23.5, 56, 940,XX
AL,27,2020102512, 03,EE43, 48,56.2,-25.5, 56, 935,XX
AL,27,2020102512, 03,EE08, 48,56.2,-25.1, 59, 940,XX
AL,27,2020102512, 03,EE35, 48,56.2,-30.3, 61, 944,XX
AL,27,2020102512, 03,EE46, 48,56.3,-24.8, 62, 931,XX
AL,27,2020102512, 03,EE44, 48,56.4,-24.5, 50, 936,XX
AL,27,2020102512, 03,EE29, 48,56.4,-24.8, 55, 938,XX
AL,27,2020102512, 03,EE26, 48,56.4,-24.1, 57, 940,XX
AL,27,2020102512, 03,ECMF, 48,56.5,-24.8, 59, 937,XX
AL,27,2020102512, 03,EE33, 48,56.8,-25.2, 56, 935,XX
AL,27,2020102512, 03,EE16, 48,57.0,-24.9, 68, 931,XX
AL,27,2020102512, 03,EE36, 48,57.0,-25.2, 53, 940,XX
AL,27,2020102512, 03,EE11, 48,57.0,-24.8, 54, 941,XX
AL,27,2020102512, 03,EE23, 48,57.0,-25.6, 53, 942,XX
AL,27,2020102512, 03,EE12, 48,57.1,-26.1, 54, 941,XX
AL,27,2020102512, 03,EE17, 48,57.4,-24.9, 55, 939,XX
AL,27,2020102512, 03,EE03, 54,55.7,-22.5, 49, 947,XX
AL,27,2020102512, 03,EE41, 54,56.1,-22.8, 51, 939,XX
AL,27,2020102512, 03,EE28, 54,56.2,-22.3, 52, 942,XX
AL,27,2020102512, 03,EE08, 54,56.2,-24.1, 57, 943,XX
AL,27,2020102512, 03,EE24, 54,56.4,-22.7, 56, 940,XX
AL,27,2020102512, 03,EE16, 54,56.5,-23.0, 59, 932,XX
AL,27,2020102512, 03,EE46, 54,56.6,-23.5, 55, 936,XX
AL,27,2020102512, 03,EE44, 54,56.7,-22.0, 49, 941,XX
AL,27,2020102512, 03,ECMF, 54,56.8,-23.3, 57, 941,XX
AL,27,2020102512, 03,EE26, 54,56.8,-22.5, 51, 943,XX
AL,27,2020102512, 03,EE43, 54,57.0,-24.1, 51, 938,XX
AL,27,2020102512, 03,EE29, 54,57.0,-23.0, 51, 940,XX
AL,27,2020102512, 03,EE12, 54,57.1,-24.2, 51, 945,XX
AL,27,2020102512, 03,EE33, 54,57.2,-23.3, 59, 938,XX
AL,27,2020102512, 03,EE36, 54,57.2,-24.0, 49, 943,XX
AL,27,2020102512, 03,EE11, 54,57.4,-25.5, 51, 943,XX
AL,27,2020102512, 03,EE35, 54,57.5,-24.5, 54, 943,XX
AL,27,2020102512, 03,EE17, 54,58.1,-25.4, 63, 940,XX
AL,27,2020102512, 03,EE41, 60,56.2,-23.0, 51, 945,XX
AL,27,2020102512, 03,EE08, 60,56.4,-21.1, 52, 948,XX
AL,27,2020102512, 03,EE46, 60,56.7,-22.1, 52, 942,XX
AL,27,2020102512, 03,EE24, 60,56.7,-22.4, 52, 943,XX
AL,27,2020102512, 03,EE16, 60,57.0,-22.0, 57, 935,XX
AL,27,2020102512, 03,EE28, 60,57.0,-20.4, 49, 945,XX
AL,27,2020102512, 03,EE35, 60,57.1,-24.7, 48, 948,XX
AL,27,2020102512, 03,EE03, 60,57.1,-21.6, 50, 949,XX
AL,27,2020102512, 03,EE23, 60,57.1,-22.4, 48, 950,XX
AL,27,2020102512, 03,EE44, 60,57.2,-20.2, 47, 945,XX
AL,27,2020102512, 03,ECMF, 60,57.2,-22.1, 50, 946,XX
AL,27,2020102512, 03,EE11, 60,57.2,-23.5, 47, 947,XX
AL,27,2020102512, 03,EE43, 60,57.4,-21.7, 51, 943,XX
AL,27,2020102512, 03,EE26, 60,57.4,-20.6, 52, 947,XX
AL,27,2020102512, 03,EE29, 60,57.5,-22.3, 49, 944,XX
AL,27,2020102512, 03,EE17, 60,57.5,-24.7, 57, 947,XX
AL,27,2020102512, 03,EE33, 60,57.7,-23.1, 58, 941,XX
AL,27,2020102512, 03,EE36, 60,57.7,-22.7, 49, 947,XX
AL,27,2020102512, 03,EE12, 60,58.2,-24.2, 53, 949,XX
