basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,29,2020110112, 03,EE47,  0,14.4,-77.3, 39,1003,XX
AL,29,2020110112, 03,EE41,  0,14.4,-77.3, 41, 999,XX
AL,29,2020110112, 03,ECMF,  0,14.5,-77.3, 35,1002,XX
AL,29,2020110112, 03,EE31,144,19.1,-87.0, 29, 999,XX
AL,29,2020110112, 03,EE22,126,12.5,-95.0, 30, 999,XX
AL,29,2020110112, 03,EE13,138,13.0,-93.0, 31, 998,XX
AL,29,2020110112, 03,EE22,114,12.2,-94.4, 32, 999,XX
AL,29,2020110112, 03,EE09,126,16.7,-87.0, 33, 999,XX
AL,29,2020110112, 03,EE17,126,18.6,-87.8, 34, 995,XX
AL,29,2020110112, 03,EE15,144,19.0,-84.6, 35, 993,XX
AL,29,2020110112, 03,EE09,144,18.3,-84.8, 36, 995,XX
AL,29,2020110112, 03,EE09,132,17.3,-85.8, 37, 997,XX
AL,29,2020110112, 03,EE14,108,10.6,-93.1, 38, 992,XX
AL,29,2020110112, 03,EE14,102,10.7,-92.3, 39, 994,XX
AL,29,2020110112, 03,EE05,102,16.9,-84.7, 40, 988,XX
AL,29,2020110112, 03,EE05,108,17.0,-85.0, 41, 985,XX
AL,29,2020110112, 03,EE05,120,17.9,-84.8, 42, 981,XX
AL,29,2020110112, 03,EE05,114,17.5,-84.8, 43, 984,XX
AL,29,2020110112, 03,EE18,126,12.4,-93.4, 44, 991,XX
AL,29,2020110112, 03,EE32,108,17.2,-85.4, 46, 990,XX
AL,29,2020110112, 03,EE05,132,19.0,-84.6, 47, 976,XX
AL,29,2020110112, 03,EE05,126,18.6,-84.8, 48, 979,XX
AL,29,2020110112, 03,EE05,144,20.0,-84.0, 49, 969,XX
AL,29,2020110112, 03,EE32,132,18.8,-85.5, 50, 982,XX
AL,29,2020110112, 03,EE05,138,19.8,-84.3, 51, 972,XX
AL,29,2020110112, 03,EE32,144,19.7,-84.4, 52, 975,XX
AL,29,2020110112, 03,EE12,  6,13.9,-78.2, 32,1003,XX
AL,29,2020110112, 03,EE41,  6,13.9,-77.8, 37, 998,XX
AL,29,2020110112, 03,EE32,  6,14.0,-77.7, 32, 997,XX
AL,29,2020110112, 03,EE48,  6,14.0,-77.8, 33, 999,XX
AL,29,2020110112, 03,EE09,  6,14.1,-78.1, 32,1003,XX
AL,29,2020110112, 03,EE04,  6,14.2,-78.5, 36,1001,XX
AL,29,2020110112, 03,EE03,  6,14.2,-78.1, 33, 999,XX
AL,29,2020110112, 03,EE00,  6,14.4,-78.2, 32,1001,XX
AL,29,2020110112, 03,ECMF,  6,14.4,-78.2, 38, 999,XX
AL,29,2020110112, 03,EE08,  6,14.5,-78.4, 30,1002,XX
AL,29,2020110112, 03,EE45,  6,14.5,-78.5, 37, 999,XX
AL,29,2020110112, 03,EE10,  6,14.6,-78.4, 36,1001,XX
AL,29,2020110112, 03,EE28,  6,14.6,-77.8, 35, 999,XX
AL,29,2020110112, 03,EE33,  6,14.8,-78.7, 35,1001,XX
AL,29,2020110112, 03,EE38,  6,15.1,-78.2, 44, 999,XX
AL,29,2020110112, 03,EE35, 12,13.9,-79.5, 34,1001,XX
AL,29,2020110112, 03,EE36, 12,14.1,-79.1, 33,1001,XX
AL,29,2020110112, 03,EE27, 12,14.1,-79.2, 36, 999,XX
AL,29,2020110112, 03,EE09, 12,14.2,-79.4, 32,1002,XX
AL,29,2020110112, 03,EE43, 12,14.2,-79.8, 34, 998,XX
AL,29,2020110112, 03,EE18, 12,14.2,-79.6, 35, 999,XX
AL,29,2020110112, 03,EE04, 12,14.4,-79.6, 30,1000,XX
AL,29,2020110112, 03,EE03, 12,14.4,-79.2, 35, 998,XX
AL,29,2020110112, 03,EE11, 12,14.4,-79.5, 37, 999,XX
AL,29,2020110112, 03,EE00, 12,14.5,-79.4, 33,1001,XX
