basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,06,2020071100, 03,EE01,  0,39.9,-74.9, 28,1002,XX
AL,06,2020071100, 03,EE45,  0,40.0,-74.6, 29,1001,XX
AL,06,2020071100, 03,EE02,  0,40.1,-74.6, 28,1003,XX
AL,06,2020071100, 03,EE00,  0,40.2,-74.4, 29,1001,XX
AL,06,2020071100, 03,ECMF,  0,40.3,-74.4, 29,1001,XX
AL,06,2020071100, 03,EE08,  0,40.4,-74.6, 31,1001,XX
AL,06,2020071100, 03,EE11,  0,40.4,-74.7, 27, 999,XX
AL,06,2020071100, 03,EE21,  0,40.5,-74.4, 32,1000,XX
AL,06,2020071100, 03,EE03,  6,41.3,-74.6, 28,1001,XX
AL,06,2020071100, 03,EE21,  6,41.3,-74.9, 26, 999,XX
AL,06,2020071100, 03,ECMF,  6,41.4,-74.4, 26,1002,XX
AL,06,2020071100, 03,EE00,  6,41.5,-74.4, 26,1002,XX
AL,06,2020071100, 03,EE01,  6,41.6,-74.0, 28,1001,XX
AL,06,2020071100, 03,EE13,  6,41.8,-74.2, 28,1001,XX
AL,06,2020071100, 03,EE07, 12,42.9,-73.6, 21,1002,XX
AL,06,2020071100, 03,EE21, 12,42.9,-73.9, 21, 999,XX
AL,06,2020071100, 03,EE03, 12,43.0,-73.6, 20,1001,XX
AL,06,2020071100, 03,ECMF, 12,43.2,-73.7, 21,1001,XX
AL,06,2020071100, 03,EE30, 12,43.2,-73.7, 23, 999,XX
AL,06,2020071100, 03,EE06, 12,43.3,-73.7, 21,1001,XX
AL,06,2020071100, 03,EE04, 12,43.5,-73.6, 19,1001,XX
AL,06,2020071100, 03,EE05, 12,43.6,-73.6, 19,1001,XX
AL,06,2020071100, 03,EE12, 12,43.7,-73.5, 24,1001,XX
AL,06,2020071100, 03,EE02, 12,44.3,-75.6, 24,1002,XX
AL,06,2020071100, 03,EE33, 18,45.0,-73.5, 23, 999,XX
AL,06,2020071100, 03,EE42, 18,45.1,-73.6, 20, 998,XX
AL,06,2020071100, 03,EE45, 18,45.1,-73.3, 24, 999,XX
AL,06,2020071100, 03,EE11, 18,45.3,-74.2, 27,1000,XX
AL,06,2020071100, 03,EE28, 18,45.3,-73.3, 22, 997,XX
AL,06,2020071100, 03,EE09, 18,45.3,-73.2, 24, 998,XX
AL,06,2020071100, 03,EE19, 18,45.3,-74.0, 21, 999,XX
AL,06,2020071100, 03,EE44, 18,45.4,-73.9, 25,1000,XX
AL,06,2020071100, 03,EE21, 18,45.4,-73.2, 22, 996,XX
AL,06,2020071100, 03,EE14, 18,45.4,-73.7, 24, 997,XX
AL,06,2020071100, 03,ECMF, 18,45.4,-73.5, 22, 998,XX
AL,06,2020071100, 03,EE00, 18,45.4,-73.5, 23, 999,XX
AL,06,2020071100, 03,EE02, 18,45.5,-74.2, 20, 998,XX
AL,06,2020071100, 03,EE41, 18,45.6,-73.7, 23, 996,XX
AL,06,2020071100, 03,EE01, 18,45.6,-73.7, 24, 997,XX
AL,06,2020071100, 03,EE22, 18,45.6,-73.2, 24, 998,XX
AL,06,2020071100, 03,EE03, 18,45.6,-72.9, 23, 999,XX
AL,06,2020071100, 03,EE04, 18,45.7,-73.6, 23, 998,XX
AL,06,2020071100, 03,EE15, 18,45.7,-72.9, 21, 999,XX
AL,06,2020071100, 03,EE36, 18,45.8,-73.2, 23, 997,XX
AL,06,2020071100, 03,EE06, 18,45.8,-73.2, 20, 998,XX
AL,06,2020071100, 03,EE13, 18,45.8,-73.3, 21, 999,XX
AL,06,2020071100, 03,EE20, 18,46.0,-72.8, 21, 997,XX
AL,06,2020071100, 03,EE12, 18,46.0,-73.0, 23, 998,XX
AL,06,2020071100, 03,EE18, 18,46.1,-72.8, 25, 998,XX
AL,06,2020071100, 03,EE10, 18,46.3,-72.9, 26, 999,XX
AL,06,2020071100, 03,EE34, 24,46.5,-72.2, 25, 996,XX
AL,06,2020071100, 03,EE09, 24,47.0,-72.0, 23, 997,XX
AL,06,2020071100, 03,EE49, 24,47.0,-70.6, 22, 998,XX
AL,06,2020071100, 03,EE01, 24,47.3,-73.7, 19, 993,XX
AL,06,2020071100, 03,EE18, 24,47.3,-73.2, 23, 996,XX
AL,06,2020071100, 03,EE32, 24,47.3,-72.9, 22, 998,XX
AL,06,2020071100, 03,EE21, 24,47.4,-72.5, 22, 992,XX
AL,06,2020071100, 03,EE41, 24,47.4,-73.2, 21, 994,XX
AL,06,2020071100, 03,EE46, 24,47.4,-74.4, 19, 995,XX
AL,06,2020071100, 03,EE19, 24,47.4,-72.8, 22, 997,XX
AL,06,2020071100, 03,EE17, 24,47.4,-72.2, 22, 998,XX
AL,06,2020071100, 03,EE26, 24,47.5,-72.8, 20, 995,XX
AL,06,2020071100, 03,EE00, 24,47.5,-72.6, 21, 997,XX
AL,06,2020071100, 03,EE14, 24,47.7,-72.2, 21, 995,XX
AL,06,2020071100, 03,EE39, 24,47.7,-72.3, 18, 996,XX
AL,06,2020071100, 03,EE13, 24,47.7,-73.2, 17, 997,XX
AL,06,2020071100, 03,EE02, 24,47.8,-72.7, 18, 996,XX
AL,06,2020071100, 03,ECMF, 24,47.8,-72.8, 18, 997,XX
