basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,25,2020100500, 03,EE20,  0,22.4,-87.7, 31, 999,XX
AL,25,2020100500, 03,EE01,  0,22.5,-87.7, 49, 994,XX
AL,25,2020100500, 03,EE09,  0,22.5,-87.7, 38, 996,XX
AL,25,2020100500, 03,ECMF,  0,22.5,-87.5, 35, 997,XX
AL,25,2020100500, 03,EE03,  0,22.5,-87.5, 44, 998,XX
AL,25,2020100500, 03,EE17,  0,22.5,-87.5, 35, 999,XX
AL,25,2020100500, 03,EE15,  0,22.7,-87.7, 42, 996,XX
AL,25,2020100500, 03,EE14,  0,22.7,-87.5, 41, 997,XX
AL,25,2020100500, 03,EE10,  0,22.7,-87.5, 47, 998,XX
AL,25,2020100500, 03,EE18,  0,22.8,-87.8, 48, 994,XX
AL,25,2020100500, 03,EE46,  0,22.8,-87.4, 51, 998,XX
AL,25,2020100500, 03,EE17,  6,22.5,-87.9, 33,1001,XX
AL,25,2020100500, 03,EE41,  6,22.5,-87.5, 36, 998,XX
AL,25,2020100500, 03,EE03,  6,22.5,-87.2, 31, 999,XX
AL,25,2020100500, 03,EE21,  6,22.7,-87.8, 31,1001,XX
AL,25,2020100500, 03,EE01,  6,22.7,-87.5, 35, 996,XX
AL,25,2020100500, 03,EE15,  6,22.7,-88.1, 37, 997,XX
AL,25,2020100500, 03,EE09,  6,22.7,-87.7, 33, 998,XX
AL,25,2020100500, 03,EE44,  6,22.7,-87.7, 34, 999,XX
AL,25,2020100500, 03,EE08,  6,22.8,-87.5, 35,1000,XX
AL,25,2020100500, 03,EE18,  6,22.8,-87.5, 36, 996,XX
AL,25,2020100500, 03,EE13,  6,22.8,-87.4, 34, 998,XX
AL,25,2020100500, 03,ECMF,  6,22.8,-87.7, 35, 999,XX
AL,25,2020100500, 03,EE34,  6,22.9,-87.8, 31,1000,XX
AL,25,2020100500, 03,EE10,  6,22.9,-87.7, 35, 998,XX
AL,25,2020100500, 03,EE00,  6,22.9,-87.7, 34, 999,XX
AL,25,2020100500, 03,EE04,  6,23.0,-87.7, 39, 998,XX
AL,25,2020100500, 03,EE28,  6,23.1,-87.4, 34,1000,XX
AL,25,2020100500, 03,EE25,  6,23.1,-87.7, 37, 998,XX
AL,25,2020100500, 03,EE35,  6,23.1,-87.8, 37, 999,XX
AL,25,2020100500, 03,EE11,  6,23.2,-87.8, 38, 998,XX
AL,25,2020100500, 03,EE42,  6,23.4,-87.4, 42, 997,XX
AL,25,2020100500, 03,EE06,  6,23.4,-87.7, 34, 999,XX
AL,25,2020100500, 03,EE17, 12,21.9,-88.2, 32,1001,XX
AL,25,2020100500, 03,EE21, 12,22.2,-88.2, 34,1002,XX
AL,25,2020100500, 03,EE15, 12,22.2,-88.6, 32, 999,XX
AL,25,2020100500, 03,EE20, 12,22.4,-88.4, 36,1001,XX
AL,25,2020100500, 03,EE03, 12,22.5,-87.5, 33,1000,XX
AL,25,2020100500, 03,EE43, 12,22.5,-87.8, 33, 999,XX
AL,25,2020100500, 03,ECMF, 12,22.6,-88.0, 35,1000,XX
AL,25,2020100500, 03,EE00, 12,22.7,-88.1, 33,1000,XX
AL,25,2020100500, 03,EE09, 12,22.7,-88.1, 38, 997,XX
AL,25,2020100500, 03,EE01, 12,22.7,-87.8, 34, 998,XX
AL,25,2020100500, 03,EE11, 12,22.7,-88.4, 36, 999,XX
AL,25,2020100500, 03,EE06, 12,22.8,-88.5, 37,1000,XX
AL,25,2020100500, 03,EE16, 12,22.8,-87.9, 38, 999,XX
AL,25,2020100500, 03,EE19, 12,22.9,-88.2, 34,1001,XX
AL,25,2020100500, 03,EE18, 12,22.9,-87.9, 39, 998,XX
AL,25,2020100500, 03,EE14, 12,22.9,-88.4, 36, 999,XX
AL,25,2020100500, 03,EE42, 12,23.0,-87.7, 41, 997,XX
AL,25,2020100500, 03,EE04, 12,23.1,-88.1, 37, 999,XX
AL,25,2020100500, 03,EE46, 12,23.2,-87.8, 34, 999,XX
AL,25,2020100500, 03,EE17, 18,21.4,-88.8, 31,1003,XX
AL,25,2020100500, 03,EE35, 18,21.5,-88.8, 35,1001,XX
AL,25,2020100500, 03,EE27, 18,21.7,-88.8, 33,1002,XX
AL,25,2020100500, 03,EE15, 18,21.8,-89.2, 32,1001,XX
AL,25,2020100500, 03,EE34, 18,21.9,-88.8, 36,1003,XX
AL,25,2020100500, 03,ECMF, 18,22.1,-88.6, 34,1001,XX
AL,25,2020100500, 03,EE09, 18,22.1,-88.4, 39, 999,XX
AL,25,2020100500, 03,EE00, 18,22.2,-88.6, 34,1002,XX
AL,25,2020100500, 03,EE14, 18,22.4,-89.1, 37,1001,XX
AL,25,2020100500, 03,EE13, 18,22.5,-88.9, 33,1001,XX
AL,25,2020100500, 03,EE18, 18,22.7,-88.5, 34,1000,XX
AL,25,2020100500, 03,EE42, 18,22.7,-87.9, 35, 999,XX
AL,25,2020100500, 03,EE04, 18,22.8,-88.9, 40, 999,XX
AL,25,2020100500, 03,EE28, 18,22.9,-88.4, 34,1002,XX
AL,25,2020100500, 03,EE46, 18,23.1,-88.4, 38,1000,XX
AL,25,2020100500, 03,EE17, 24,21.0,-89.2, 30,1002,XX
AL,25,2020100500, 03,EE21, 24,21.4,-88.6, 31,1003,XX
AL,25,2020100500, 03,ECMF, 24,21.5,-88.7, 33,1000,XX
AL,25,2020100500, 03,EE00, 24,21.7,-88.8, 32,1001,XX
AL,25,2020100500, 03,EE31, 24,21.7,-89.1, 33, 999,XX
AL,25,2020100500, 03,EE06, 24,21.8,-88.9, 34,1002,XX
AL,25,2020100500, 03,EE26, 24,21.9,-88.8, 33,1000,XX
AL,25,2020100500, 03,EE09, 24,21.9,-88.6, 35, 999,XX
AL,25,2020100500, 03,EE03, 24,22.1,-88.2, 30,1001,XX
AL,25,2020100500, 03,EE10, 24,22.2,-88.6, 33,1000,XX
AL,25,2020100500, 03,EE42, 24,22.4,-88.2, 32, 999,XX
AL,25,2020100500, 03,EE04, 24,22.5,-88.9, 36, 997,XX
AL,25,2020100500, 03,EE18, 24,22.5,-88.8, 33, 999,XX
AL,25,2020100500, 03,EE25, 24,22.7,-88.5, 32,1000,XX
AL,25,2020100500, 03,EE46, 24,22.7,-88.6, 35, 999,XX
AL,25,2020100500, 03,EE27, 30,20.1,-88.9, 29,1005,XX
AL,25,2020100500, 03,EE17, 30,20.4,-89.5, 28,1004,XX
AL,25,2020100500, 03,EE40, 30,20.7,-89.1, 30,1004,XX
AL,25,2020100500, 03,EE30, 30,20.8,-88.9, 29,1002,XX
AL,25,2020100500, 03,EE14, 30,21.0,-89.5, 31,1003,XX
AL,25,2020100500, 03,ECMF, 30,21.1,-88.8, 30,1003,XX
AL,25,2020100500, 03,EE13, 30,21.2,-89.8, 35,1001,XX
AL,25,2020100500, 03,EE00, 30,21.4,-89.1, 27,1003,XX
AL,25,2020100500, 03,EE06, 30,21.5,-89.2, 28,1003,XX
AL,25,2020100500, 03,EE11, 30,21.7,-88.9, 34,1002,XX
AL,25,2020100500, 03,EE04, 30,21.7,-89.2, 36, 999,XX
AL,25,2020100500, 03,EE46, 30,21.8,-88.6, 39, 996,XX
AL,25,2020100500, 03,EE08, 30,21.8,-89.3, 35, 998,XX
AL,25,2020100500, 03,EE09, 30,21.9,-89.3, 31,1000,XX
AL,25,2020100500, 03,EE03, 30,22.1,-88.8, 30,1002,XX
AL,25,2020100500, 03,EE16, 30,22.2,-89.3, 30,1001,XX
AL,25,2020100500, 03,EE18, 30,22.4,-89.3, 27,1001,XX
AL,25,2020100500, 03,EE25, 30,22.4,-89.1, 35, 999,XX
AL,25,2020100500, 03,EE42, 30,22.7,-88.8, 33,1000,XX
AL,25,2020100500, 03,EE36, 30,23.0,-89.0, 29,1003,XX
AL,25,2020100500, 03,EE17, 36,19.7,-89.6, 29,1005,XX
AL,25,2020100500, 03,EE50, 36,20.1,-89.1, 35,1003,XX
AL,25,2020100500, 03,EE40, 36,20.3,-89.2, 30,1004,XX
AL,25,2020100500, 03,EE44, 36,20.4,-89.3, 29,1004,XX
AL,25,2020100500, 03,EE29, 36,20.5,-89.5, 34,1002,XX
AL,25,2020100500, 03,EE14, 36,20.7,-89.5, 29,1003,XX
AL,25,2020100500, 03,EE01, 36,20.8,-88.9, 28,1003,XX
AL,25,2020100500, 03,EE19, 36,21.0,-89.2, 27,1004,XX
AL,25,2020100500, 03,EE22, 36,21.1,-89.8, 30,1003,XX
AL,25,2020100500, 03,EE20, 36,21.1,-90.3, 39, 998,XX
AL,25,2020100500, 03,EE33, 36,21.2,-89.8, 31,1003,XX
AL,25,2020100500, 03,EE00, 36,21.4,-89.5, 29,1003,XX
AL,25,2020100500, 03,EE26, 36,21.5,-88.9, 28,1003,XX
AL,25,2020100500, 03,EE09, 36,21.5,-90.0, 33, 999,XX
AL,25,2020100500, 03,ECMF, 36,21.6,-89.1, 30,1003,XX
