basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,12,2020082100, 03,EE19,  0,23.6,-113.3, 52, 983,XX
EP,12,2020082100, 03,ECMF,  0,23.7,-113.4, 47, 984,XX
EP,12,2020082100, 03,EE03,  0,23.8,-113.4, 53, 980,XX
EP,12,2020082100, 03,EE01,  0,23.8,-113.4, 52, 981,XX
EP,12,2020082100, 03,EE10,  0,23.8,-113.4, 55, 982,XX
EP,12,2020082100, 03,EE04,  0,23.8,-113.4, 49, 983,XX
EP,12,2020082100, 03,EE07,  0,23.8,-113.4, 49, 984,XX
EP,12,2020082100, 03,EE00,  0,23.8,-113.4, 45, 985,XX
EP,12,2020082100, 03,EE05,  0,23.8,-113.4, 56, 986,XX
EP,12,2020082100, 03,EE24,  0,23.8,-113.4, 42, 987,XX
EP,12,2020082100, 03,EE02,  0,23.8,-113.3, 44, 988,XX
EP,12,2020082100, 03,EE29,  0,23.8,-113.4, 42, 989,XX
EP,12,2020082100, 03,EE09,  0,23.9,-113.3, 47, 983,XX
EP,12,2020082100, 03,EE42,  0,23.9,-113.3, 43, 985,XX
EP,12,2020082100, 03,EE10,  6,23.6,-114.1, 43, 988,XX
EP,12,2020082100, 03,EE11,  6,23.6,-114.1, 40, 990,XX
EP,12,2020082100, 03,EE05,  6,23.6,-113.8, 39, 991,XX
EP,12,2020082100, 03,EE06,  6,23.6,-114.2, 40, 992,XX
EP,12,2020082100, 03,EE24,  6,23.6,-113.8, 37, 993,XX
EP,12,2020082100, 03,EE29,  6,23.6,-113.8, 36, 994,XX
EP,12,2020082100, 03,EE31,  6,23.8,-114.1, 43, 988,XX
EP,12,2020082100, 03,EE04,  6,23.8,-114.1, 39, 989,XX
EP,12,2020082100, 03,EE37,  6,23.8,-114.1, 40, 990,XX
EP,12,2020082100, 03,EE14,  6,23.8,-114.1, 41, 992,XX
EP,12,2020082100, 03,EE03,  6,23.9,-113.7, 43, 987,XX
EP,12,2020082100, 03,EE01,  6,23.9,-114.1, 42, 988,XX
EP,12,2020082100, 03,EE07,  6,23.9,-114.1, 41, 989,XX
EP,12,2020082100, 03,ECMF,  6,23.9,-114.0, 40, 990,XX
