basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,07,2020072500, 03,EE26,  0,9.7,-57.3, 21,1011,XX
AL,07,2020072500, 03,EE30,  0,10.1,-56.2, 36,1008,XX
AL,07,2020072500, 03,ECMF,  0,10.2,-56.2, 21,1010,XX
AL,07,2020072500, 03,EE17,  0,10.3,-56.4, 33,1007,XX
AL,07,2020072500, 03,EE09,  0,10.4,-56.2, 25,1010,XX
AL,07,2020072500, 03,EE10,  0,10.6,-56.0, 30,1009,XX
AL,07,2020072500, 03,EE44,  0,10.7,-56.0, 22,1010,XX
AL,07,2020072500, 03,EE09, 18,8.5,-62.6, 29,1010,XX
AL,07,2020072500, 03,EE09,  6,10.1,-57.8, 26,1009,XX
AL,07,2020072500, 03,EE18,  6,10.3,-57.8, 25,1009,XX
AL,07,2020072500, 03,ECMF,  6,10.4,-57.8, 31,1007,XX
AL,07,2020072500, 03,EE10,  6,10.6,-57.8, 31,1007,XX
AL,07,2020072500, 03,EE27,  6,10.7,-58.3, 31,1007,XX
AL,07,2020072500, 03,EE09, 12,10.4,-59.7, 27,1009,XX
AL,07,2020072500, 03,EE30, 12,10.7,-59.3, 31,1008,XX
AL,07,2020072500, 03,EE18, 12,10.8,-59.7, 26,1011,XX
AL,07,2020072500, 03,ECMF, 12,11.0,-59.8, 41,1006,XX
AL,07,2020072500, 03,EE27, 12,11.3,-60.1, 30,1009,XX
AL,07,2020072500, 03,EE10, 12,11.4,-59.8, 32,1009,XX
AL,07,2020072500, 03,EE30, 18,11.3,-61.1, 33,1009,XX
AL,07,2020072500, 03,EE18, 18,11.4,-61.2, 28,1011,XX
AL,07,2020072500, 03,EE17, 18,11.5,-61.4, 30,1008,XX
AL,07,2020072500, 03,ECMF, 18,11.7,-61.8, 34,1008,XX
AL,07,2020072500, 03,EE27, 18,11.8,-62.1, 27,1009,XX
AL,07,2020072500, 03,EE10, 18,12.0,-61.8, 29,1009,XX
AL,07,2020072500, 03,EE30, 24,11.7,-62.8, 27,1009,XX
AL,07,2020072500, 03,ECMF, 24,12.0,-63.9, 29,1009,XX
AL,07,2020072500, 03,EE26, 24,12.2,-63.8, 35,1007,XX
AL,07,2020072500, 03,EE10, 24,12.4,-63.8, 27,1010,XX
AL,07,2020072500, 03,EE46, 30,10.7,-64.8, 24,1011,XX
AL,07,2020072500, 03,EE30, 30,12.0,-64.6, 25,1011,XX
AL,07,2020072500, 03,ECMF, 30,12.2,-66.1, 28,1011,XX
AL,07,2020072500, 03,EE26, 30,12.5,-65.9, 31,1009,XX
AL,07,2020072500, 03,EE44, 30,12.7,-65.7, 25,1012,XX
AL,07,2020072500, 03,EE46, 36,11.4,-67.8, 24,1012,XX
AL,07,2020072500, 03,EE47, 36,12.4,-68.3, 27,1011,XX
AL,07,2020072500, 03,EE17, 36,12.8,-66.8, 27,1011,XX
AL,07,2020072500, 03,EE26, 36,13.1,-67.8, 34,1008,XX
AL,07,2020072500, 03,EE26, 42,13.8,-69.8, 33,1010,XX
AL,07,2020072500, 03,EE46, 48,10.7,-71.3, 24,1008,XX
AL,07,2020072500, 03,EE26, 48,13.5,-71.9, 29,1009,XX
AL,07,2020072500, 03,EE47, 54,11.0,-71.3, 23,1009,XX
AL,07,2020072500, 03,EE26, 54,13.4,-74.3, 29,1010,XX
AL,07,2020072500, 03,EE47, 72,12.4,-74.4, 23,1009,XX
AL,07,2020072500, 03,EE47, 84,10.7,-76.5, 19,1010,XX
