basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,08,2020072412, 03,EE17,  0,26.7,-93.6, 32,1001,XX
AL,08,2020072412, 03,EE25,  0,26.9,-93.0, 32,1000,XX
AL,08,2020072412, 03,EE40,  0,26.9,-93.4, 43, 997,XX
AL,08,2020072412, 03,EE00,  0,27.0,-92.9, 33,1002,XX
AL,08,2020072412, 03,EE07,  0,27.0,-92.7, 45, 999,XX
AL,08,2020072412, 03,ECMF,  0,27.1,-92.9, 35,1002,XX
AL,08,2020072412, 03,EE01,  0,27.2,-93.0, 35,1001,XX
AL,08,2020072412, 03,EE04,  6,26.9,-94.0, 30,1002,XX
AL,08,2020072412, 03,EE03,  6,27.0,-93.8, 31,1002,XX
AL,08,2020072412, 03,EE48,  6,27.0,-93.4, 43, 995,XX
AL,08,2020072412, 03,EE25,  6,27.0,-93.7, 33, 999,XX
AL,08,2020072412, 03,EE02,  6,27.2,-93.8, 31,1002,XX
AL,08,2020072412, 03,EE40,  6,27.2,-94.1, 35, 997,XX
AL,08,2020072412, 03,EE47,  6,27.2,-93.4, 36, 999,XX
AL,08,2020072412, 03,EE00,  6,27.3,-93.8, 30,1003,XX
AL,08,2020072412, 03,EE07,  6,27.3,-93.8, 37, 999,XX
AL,08,2020072412, 03,ECMF,  6,27.4,-93.7, 31,1002,XX
AL,08,2020072412, 03,EE08,  6,27.6,-93.8, 37,1001,XX
AL,08,2020072412, 03,EE28,  6,27.7,-93.7, 31,1006,XX
AL,08,2020072412, 03,EE06, 12,27.0,-95.0, 30, 998,XX
AL,08,2020072412, 03,EE02, 12,27.2,-94.8, 33,1000,XX
AL,08,2020072412, 03,EE25, 12,27.2,-94.5, 35, 993,XX
AL,08,2020072412, 03,EE07, 12,27.2,-94.8, 40, 995,XX
AL,08,2020072412, 03,EE04, 12,27.2,-94.8, 33, 999,XX
AL,08,2020072412, 03,EE11, 12,27.3,-95.3, 28,1002,XX
AL,08,2020072412, 03,EE40, 12,27.3,-95.3, 38, 995,XX
AL,08,2020072412, 03,EE23, 12,27.3,-94.7, 31, 999,XX
AL,08,2020072412, 03,EE00, 12,27.4,-94.8, 30,1000,XX
AL,08,2020072412, 03,ECMF, 12,27.4,-94.9, 33, 995,XX
