basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,31,2020111812, 03,EE12,  0,12.4,-90.2, 29,1007,XX
AL,31,2020111812, 03,EE08,  0,12.5,-90.0, 31,1007,XX
AL,31,2020111812, 03,EE25,  0,12.7,-88.4, 28,1008,XX
AL,31,2020111812, 03,EE09,  0,12.8,-89.5, 27,1008,XX
AL,31,2020111812, 03,EE16,  0,13.0,-89.8, 29,1008,XX
AL,31,2020111812, 03,EE27,  0,13.1,-90.2, 32,1006,XX
AL,31,2020111812, 03,EE21,  0,13.5,-91.3, 34,1007,XX
AL,31,2020111812, 03,EE01, 24,8.5,-96.1, 33,1009,XX
AL,31,2020111812, 03,EE01, 30,7.6,-96.2, 31,1010,XX
AL,31,2020111812, 03,EE01, 36,6.9,-98.2, 25,1007,XX
AL,31,2020111812, 03,EE36, 42,5.9,-100.5, 26,1011,XX
AL,31,2020111812, 03,EE02, 42,6.6,-101.0, 26,1010,XX
AL,31,2020111812, 03,EE23, 42,9.4,-97.9, 32,1010,XX
AL,31,2020111812, 03,EE02, 48,7.7,-103.2, 25,1008,XX
AL,31,2020111812, 03,EE23, 48,9.0,-100.5, 27,1009,XX
AL,31,2020111812, 03,EE23, 54,7.2,-99.9, 23,1011,XX
AL,31,2020111812, 03,EE02, 54,7.5,-102.6, 24,1010,XX
AL,31,2020111812, 03,EE02, 60,7.9,-104.1, 23,1007,XX
AL,31,2020111812, 03,EE25,  6,12.5,-88.5, 28,1005,XX
AL,31,2020111812, 03,EE08,  6,12.7,-88.8, 26,1008,XX
AL,31,2020111812, 03,EE27,  6,12.8,-92.7, 38,1007,XX
AL,31,2020111812, 03,EE16,  6,13.4,-92.6, 35,1008,XX
AL,31,2020111812, 03,EE09,  6,13.5,-90.0, 28,1008,XX
AL,31,2020111812, 03,EE17,  6,13.6,-91.6, 34,1008,XX
AL,31,2020111812, 03,EE12,  6,13.9,-91.2, 34,1008,XX
AL,31,2020111812, 03,EE01,  6,14.1,-92.7, 34,1007,XX
AL,31,2020111812, 03,EE44,  6,15.1,-92.7, 33,1007,XX
AL,31,2020111812, 03,EE02,  6,15.3,-93.1, 39,1007,XX
AL,31,2020111812, 03,EE02, 66,8.9,-103.3, 27,1010,XX
AL,31,2020111812, 03,EE21, 12,12.0,-94.7, 38,1006,XX
AL,31,2020111812, 03,EE19, 12,12.5,-93.3, 36,1007,XX
AL,31,2020111812, 03,EE25, 12,12.8,-88.6, 27,1004,XX
AL,31,2020111812, 03,EE02, 12,13.0,-94.7, 42,1006,XX
AL,31,2020111812, 03,EE08, 12,13.1,-88.9, 25,1008,XX
AL,31,2020111812, 03,EE36, 12,13.2,-94.4, 40,1006,XX
AL,31,2020111812, 03,EE44, 12,13.9,-94.7, 37,1007,XX
AL,31,2020111812, 03,EE02, 18,10.8,-96.2, 38,1009,XX
AL,31,2020111812, 03,EE01, 18,11.4,-95.8, 37,1010,XX
AL,31,2020111812, 03,EE23, 18,12.4,-91.0, 38,1010,XX
AL,31,2020111812, 03,EE30, 18,12.7,-90.3, 30,1007,XX
AL,31,2020111812, 03,EE25, 18,13.2,-89.5, 27,1007,XX
AL,31,2020111812, 03,EE30, 24,12.5,-91.9, 35,1006,XX
AL,31,2020111812, 03,EE48, 24,13.5,-91.5, 35,1010,XX
AL,31,2020111812, 03,EE23, 36,10.3,-95.7, 34,1008,XX
AL,31,2020111812, 03,EE48, 42,14.7,-93.3, 31,1012,XX
AL,31,2020111812, 03,EE02, 78,10.4,-106.9, 25,1010,XX
AL,31,2020111812, 03,EE02, 90,11.3,-110.3, 21,1010,XX
AL,31,2020111812, 03,EE02, 96,11.5,-112.1, 23,1007,XX
AL,31,2020111812, 03,EE02,138,9.9,-120.0, 20,1010,XX
AL,31,2020111812, 03,EE02,144,11.4,-123.1, 22,1008,XX
AL,31,2020111812, 03,EE02,114,9.7,-114.9, 23,1010,XX
