basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,09,2020080200, 03,EE06,138,55.8,-61.9, 19, 995,XX
AL,09,2020080200, 03,EE06,132,56.4,-60.8, 21, 995,XX
AL,09,2020080200, 03,EE06,126,55.1,-60.1, 22, 995,XX
AL,09,2020080200, 03,EE29,132,54.6,-50.7, 23, 999,XX
AL,09,2020080200, 03,EE37,126,55.0,-53.5, 24, 995,XX
AL,09,2020080200, 03,EE06,120,53.4,-60.0, 25, 999,XX
AL,09,2020080200, 03,EE10,  0,25.0,-78.8, 55, 992,XX
AL,09,2020080200, 03,EE22,  0,25.1,-78.8, 52, 996,XX
AL,09,2020080200, 03,EE03,  0,25.2,-78.7, 67, 982,XX
AL,09,2020080200, 03,EE36,  0,25.2,-78.7, 66, 985,XX
AL,09,2020080200, 03,EE28,  0,25.2,-78.7, 62, 988,XX
AL,09,2020080200, 03,EE04,  0,25.2,-78.7, 61, 989,XX
AL,09,2020080200, 03,EE01,  0,25.2,-78.5, 58, 990,XX
AL,09,2020080200, 03,ECMF,  0,25.2,-78.7, 55, 992,XX
AL,09,2020080200, 03,EE00,  0,25.2,-78.7, 48, 993,XX
AL,09,2020080200, 03,EE12,  0,25.2,-78.7, 45, 994,XX
AL,09,2020080200, 03,EE16,  0,25.2,-78.7, 45, 995,XX
AL,09,2020080200, 03,EE15,  0,25.2,-78.9, 48, 996,XX
AL,09,2020080200, 03,EE06,  0,25.2,-78.7, 49, 997,XX
AL,09,2020080200, 03,EE25,  0,25.2,-78.7, 40, 999,XX
AL,09,2020080200, 03,EE24,  0,25.3,-78.8, 68, 983,XX
AL,09,2020080200, 03,EE43,  0,25.3,-78.7, 61, 986,XX
AL,09,2020080200, 03,EE31,  0,25.3,-78.8, 63, 987,XX
AL,09,2020080200, 03,EE46,  0,25.3,-78.7, 56, 988,XX
AL,09,2020080200, 03,EE08,  0,25.3,-78.7, 54, 989,XX
AL,09,2020080200, 03,EE20,  0,25.3,-78.8, 52, 992,XX
AL,09,2020080200, 03,EE35,  0,25.3,-78.8, 52, 994,XX
AL,09,2020080200, 03,EE28,120,55.5,-66.1, 26, 992,XX
AL,09,2020080200, 03,EE06,114,51.2,-61.8, 27, 999,XX
AL,09,2020080200, 03,EE08,120,54.0,-63.8, 28, 994,XX
AL,09,2020080200, 03,EE34,114,53.9,-66.3, 29, 992,XX
AL,09,2020080200, 03,EE00,114,52.9,-63.2, 30, 995,XX
AL,09,2020080200, 03,EE17,126,54.1,-58.8, 31, 990,XX
AL,09,2020080200, 03,EE06,108,49.6,-63.8, 32, 997,XX
AL,09,2020080200, 03,EE37,102,50.2,-62.5, 33, 992,XX
AL,09,2020080200, 03,EE17,108,51.6,-60.4, 34, 997,XX
AL,09,2020080200, 03,EE01,102,49.8,-60.9, 36, 998,XX
AL,09,2020080200, 03,EE29,108,49.6,-60.0, 38, 997,XX
AL,09,2020080200, 03,EE29,102,48.4,-62.5, 39, 994,XX
AL,09,2020080200, 03,EE36,102,49.2,-62.5, 41, 998,XX
AL,09,2020080200, 03,EE37,  6,25.6,-79.1, 38,1000,XX
AL,09,2020080200, 03,EE09,  6,25.6,-79.1, 38, 999,XX
AL,09,2020080200, 03,EE25,  6,25.7,-78.8, 39,1002,XX
AL,09,2020080200, 03,EE24,  6,25.7,-79.1, 53, 987,XX
AL,09,2020080200, 03,EE36,  6,25.7,-78.9, 46, 993,XX
AL,09,2020080200, 03,EE05,  6,25.7,-78.9, 48, 994,XX
AL,09,2020080200, 03,EE04,  6,25.7,-78.9, 43, 995,XX
AL,09,2020080200, 03,EE42,  6,25.7,-79.1, 40, 996,XX
AL,09,2020080200, 03,EE10,  6,25.7,-78.8, 43, 997,XX
AL,09,2020080200, 03,EE41,  6,25.7,-79.1, 43, 998,XX
AL,09,2020080200, 03,EE15,  6,25.9,-79.4, 37,1000,XX
AL,09,2020080200, 03,EE01,  6,25.9,-78.9, 48, 990,XX
AL,09,2020080200, 03,ECMF,  6,25.9,-79.0, 52, 992,XX
AL,09,2020080200, 03,EE11,  6,25.9,-79.2, 50, 993,XX
AL,09,2020080200, 03,EE23,  6,25.9,-79.1, 46, 994,XX
AL,09,2020080200, 03,EE13,  6,25.9,-79.2, 46, 996,XX
AL,09,2020080200, 03,EE00,  6,25.9,-79.1, 43, 997,XX
AL,09,2020080200, 03,EE07,  6,25.9,-78.8, 38, 999,XX
AL,09,2020080200, 03,EE06,  6,26.0,-78.8, 39,1000,XX
AL,09,2020080200, 03,EE03,  6,26.0,-78.8, 48, 990,XX
AL,09,2020080200, 03,EE30,  6,26.0,-78.8, 47, 991,XX
AL,09,2020080200, 03,EE08,  6,26.0,-78.9, 50, 992,XX
AL,09,2020080200, 03,EE43,  6,26.0,-79.1, 47, 993,XX
AL,09,2020080200, 03,EE16,  6,26.0,-79.1, 40, 999,XX
AL,09,2020080200, 03,EE33,  6,26.2,-78.9, 43, 995,XX
AL,09,2020080200, 03,EE22, 12,26.3,-79.6, 40,1000,XX
AL,09,2020080200, 03,EE24, 12,26.3,-79.5, 52, 990,XX
AL,09,2020080200, 03,EE19, 12,26.3,-79.5, 42, 997,XX
AL,09,2020080200, 03,EE12, 12,26.3,-79.5, 42, 999,XX
AL,09,2020080200, 03,EE39, 12,26.4,-79.4, 40,1000,XX
AL,09,2020080200, 03,EE43, 12,26.4,-79.2, 57, 983,XX
AL,09,2020080200, 03,EE29, 12,26.4,-78.8, 50, 988,XX
AL,09,2020080200, 03,EE46, 12,26.4,-79.6, 50, 992,XX
AL,09,2020080200, 03,EE14, 12,26.4,-80.1, 48, 994,XX
AL,09,2020080200, 03,EE40, 12,26.4,-79.6, 40, 999,XX
AL,09,2020080200, 03,EE37, 12,26.6,-79.2, 37,1001,XX
AL,09,2020080200, 03,EE01, 12,26.6,-79.1, 52, 990,XX
AL,09,2020080200, 03,EE11, 12,26.6,-79.9, 47, 994,XX
AL,09,2020080200, 03,EE35, 12,26.6,-79.6, 49, 996,XX
AL,09,2020080200, 03,EE05, 12,26.6,-79.5, 43, 997,XX
AL,09,2020080200, 03,EE09, 12,26.6,-79.2, 43, 998,XX
AL,09,2020080200, 03,EE41, 12,26.6,-79.8, 39, 999,XX
