basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,13,2020082200, 03,EE11,  0,16.0,-62.9, 32,1008,XX
AL,13,2020082200, 03,EE42,  0,16.7,-63.3, 31,1009,XX
AL,13,2020082200, 03,ECMF,  0,16.9,-63.3, 30,1009,XX
AL,13,2020082200, 03,EE39,  0,17.0,-63.2, 33,1008,XX
AL,13,2020082200, 03,EE46,  0,17.2,-63.5, 28,1008,XX
AL,13,2020082200, 03,EE09,  0,17.3,-63.8, 30,1008,XX
AL,13,2020082200, 03,EE20,  0,17.4,-63.8, 30,1009,XX
AL,13,2020082200, 03,EE18,  0,17.5,-63.6, 30,1009,XX
AL,13,2020082200, 03,EE28,  0,17.6,-63.5, 31,1007,XX
AL,13,2020082200, 03,EE10,  0,17.9,-63.2, 33,1008,XX
AL,13,2020082200, 03,EE06,  0,18.0,-62.9, 30,1009,XX
AL,13,2020082200, 03,EE16,  0,18.2,-63.3, 30,1009,XX
AL,13,2020082200, 03,EE07,  0,18.3,-63.2, 29,1008,XX
AL,13,2020082200, 03,EE33,  0,18.9,-62.1, 35,1009,XX
AL,13,2020082200, 03,EE35,144,34.6,-96.1, 19, 996,XX
AL,13,2020082200, 03,ECMF,144,37.7,-90.2, 22, 998,XX
AL,13,2020082200, 03,EE02,144,35.7,-97.6, 23, 998,XX
AL,13,2020082200, 03,EE18,144,37.0,-94.4, 25, 989,XX
AL,13,2020082200, 03,EE25,132,33.9,-91.0, 26, 998,XX
AL,13,2020082200, 03,EE14,132,30.5,-97.6, 27, 999,XX
AL,13,2020082200, 03,EE05,132,24.1,-100.5, 28, 999,XX
AL,13,2020082200, 03,ECMF,138,36.3,-91.5, 29, 998,XX
AL,13,2020082200, 03,EE02,138,33.9,-97.2, 30, 994,XX
AL,13,2020082200, 03,EE13,144,28.7,-99.0, 31, 992,XX
AL,13,2020082200, 03,EE06,132,21.7,-99.5, 32, 988,XX
AL,13,2020082200, 03,ECMF,132,34.9,-92.4, 33, 994,XX
AL,13,2020082200, 03,EE02,132,32.1,-96.9, 35, 991,XX
AL,13,2020082200, 03,EE18,132,34.3,-96.0, 36, 980,XX
AL,13,2020082200, 03,ECMF,114,29.6,-92.9, 37, 998,XX
AL,13,2020082200, 03,EE05,126,24.1,-98.6, 38, 990,XX
AL,13,2020082200, 03,EE10,138,27.3,-100.5, 39, 988,XX
AL,13,2020082200, 03,EE04,114,26.4,-93.7, 40, 999,XX
AL,13,2020082200, 03,EE04,102,25.2,-90.9, 41, 999,XX
AL,13,2020082200, 03,EE11,108,22.4,-95.3, 42, 994,XX
AL,13,2020082200, 03,EE10,108,24.8,-93.7, 43, 988,XX
AL,13,2020082200, 03,EE10,126,26.2,-98.2, 44, 984,XX
AL,13,2020082200, 03,EE02,120,28.5,-95.8, 45, 996,XX
AL,13,2020082200, 03,EE36,114,27.0,-94.5, 46, 986,XX
AL,13,2020082200, 03,EE02,114,27.4,-94.7, 47, 996,XX
AL,13,2020082200, 03,EE02,108,26.4,-93.3, 48, 995,XX
AL,13,2020082200, 03,EE02,102,25.5,-91.7, 49, 995,XX
AL,13,2020082200, 03,EE22,108,25.5,-91.9, 50, 988,XX
AL,13,2020082200, 03,EE06,108,21.7,-94.0, 51, 978,XX
AL,13,2020082200, 03,EE06,102,21.8,-92.4, 52, 983,XX
AL,13,2020082200, 03,EE15,138,32.5,-97.1, 53, 969,XX
AL,13,2020082200, 03,EE03,102,23.6,-90.9, 54, 975,XX
AL,13,2020082200, 03,EE03,108,23.9,-92.4, 56, 969,XX
AL,13,2020082200, 03,EE06,114,21.8,-95.4, 57, 974,XX
AL,13,2020082200, 03,EE22,126,27.7,-95.7, 58, 982,XX
AL,13,2020082200, 03,EE39,126,26.7,-96.4, 59, 976,XX
AL,13,2020082200, 03,EE39,114,25.5,-94.1, 60, 979,XX
AL,13,2020082200, 03,EE03,114,24.3,-93.8, 61, 964,XX
AL,13,2020082200, 03,EE45,108,26.0,-92.6, 63, 974,XX
AL,13,2020082200, 03,EE18,108,27.7,-94.4, 66, 968,XX
AL,13,2020082200, 03,EE03,120,24.6,-95.3, 67, 957,XX
AL,13,2020082200, 03,EE45,120,27.6,-95.3, 69, 966,XX
AL,13,2020082200, 03,EE03,126,24.8,-96.4, 72, 951,XX
AL,13,2020082200, 03,EE03,132,25.2,-97.5, 73, 947,XX
AL,13,2020082200, 03,EE15,114,26.7,-93.7, 75, 954,XX
AL,13,2020082200, 03,EE06,126,22.1,-97.9, 77, 965,XX
AL,13,2020082200, 03,EE15,108,26.0,-92.2, 78, 957,XX
AL,13,2020082200, 03,EE15,126,29.3,-95.8, 84, 942,XX
AL,13,2020082200, 03,EE15,120,28.0,-94.8, 86, 949,XX
AL,13,2020082200, 03,EE05,  6,17.0,-64.6, 32,1007,XX
AL,13,2020082200, 03,EE48,  6,17.1,-64.8, 30,1008,XX
AL,13,2020082200, 03,EE18,  6,17.2,-64.0, 30,1007,XX
AL,13,2020082200, 03,EE00,  6,17.3,-64.6, 30,1008,XX
AL,13,2020082200, 03,ECMF,  6,17.5,-64.4, 32,1008,XX
AL,13,2020082200, 03,EE08,  6,17.6,-63.9, 32,1007,XX
AL,13,2020082200, 03,EE09,  6,17.7,-64.2, 31,1008,XX
AL,13,2020082200, 03,EE26,  6,17.8,-64.5, 31,1009,XX
AL,13,2020082200, 03,EE06,  6,17.9,-63.9, 31,1007,XX
AL,13,2020082200, 03,EE13,  6,18.0,-64.6, 30,1008,XX
AL,13,2020082200, 03,EE07,  6,18.2,-65.0, 31,1009,XX
AL,13,2020082200, 03,EE24,  6,18.3,-64.2, 30,1008,XX
AL,13,2020082200, 03,EE27,  6,18.4,-65.6, 30,1008,XX
AL,13,2020082200, 03,EE48, 12,17.2,-66.3, 33,1009,XX
AL,13,2020082200, 03,EE06, 12,17.6,-66.0, 31,1008,XX
AL,13,2020082200, 03,EE03, 12,17.9,-65.2, 36,1002,XX
AL,13,2020082200, 03,EE13, 12,18.0,-65.3, 31,1008,XX
AL,13,2020082200, 03,EE34, 12,18.1,-65.3, 35,1009,XX
AL,13,2020082200, 03,EE05, 12,18.2,-64.7, 35,1006,XX
AL,13,2020082200, 03,EE02, 12,18.3,-64.6, 35,1005,XX
