basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,14,2020082500, 03,EE20,120,33.5,-93.4, 19, 997,XX
AL,14,2020082500, 03,EE47,108,37.3,-79.4, 21, 995,XX
AL,14,2020082500, 03,EE14,120,36.1,-83.7, 22, 993,XX
AL,14,2020082500, 03,EE14,114,36.3,-87.0, 23, 994,XX
AL,14,2020082500, 03,EE25,102,35.3,-92.9, 24, 995,XX
AL,14,2020082500, 03,ECMF,120,37.0,-80.8, 25, 994,XX
AL,14,2020082500, 03,ECMF,108,36.3,-88.3, 26, 991,XX
AL,14,2020082500, 03,EE14,102,35.9,-91.5, 27, 993,XX
AL,14,2020082500, 03,EE14,126,35.7,-80.8, 28, 994,XX
AL,14,2020082500, 03,EE30,  0,28.4,-89.6, 29,1007,XX
AL,14,2020082500, 03,EE10,  0,28.6,-89.6, 28,1008,XX
AL,14,2020082500, 03,ECMF,  0,28.7,-89.6, 26,1007,XX
AL,14,2020082500, 03,EE20,  0,28.8,-90.0, 26,1007,XX
AL,14,2020082500, 03,ECMF,114,36.6,-84.8, 29, 993,XX
AL,14,2020082500, 03,EE38,  0,29.1,-89.1, 38,1007,XX
AL,14,2020082500, 03,ECMF,102,36.4,-90.8, 30, 988,XX
AL,14,2020082500, 03,EE14,132,35.7,-77.8, 31, 995,XX
AL,14,2020082500, 03,EE07,114,38.1,-81.0, 32, 986,XX
AL,14,2020082500, 03,ECMF,126,37.2,-77.4, 33, 990,XX
AL,14,2020082500, 03,EE14,144,35.7,-72.0, 36, 994,XX
AL,14,2020082500, 03,EE14,138,35.4,-74.9, 38, 994,XX
AL,14,2020082500, 03,EE07,120,38.3,-76.7, 39, 986,XX
AL,14,2020082500, 03,EE25,144,33.3,-78.8, 40, 995,XX
AL,14,2020082500, 03,EE42,132,37.4,-71.5, 42, 986,XX
AL,14,2020082500, 03,EE47,144,50.3,-55.7, 45, 972,XX
AL,14,2020082500, 03,ECMF,132,37.5,-73.7, 46, 987,XX
AL,14,2020082500, 03,ECMF,138,38.6,-70.2, 47, 983,XX
AL,14,2020082500, 03,EE41,132,39.7,-69.7, 48, 981,XX
AL,14,2020082500, 03,EE42,126,36.1,-74.7, 49, 989,XX
AL,14,2020082500, 03,EE07,126,39.1,-72.3, 50, 983,XX
AL,14,2020082500, 03,EE07,132,40.9,-67.1, 51, 979,XX
AL,14,2020082500, 03,EE07,138,44.4,-62.9, 56, 972,XX
AL,14,2020082500, 03,ECMF,144,40.0,-66.7, 57, 978,XX
AL,14,2020082500, 03,EE41,138,42.3,-65.7, 61, 973,XX
AL,14,2020082500, 03,EE14,  6,27.9,-90.8, 23,1009,XX
AL,14,2020082500, 03,EE10,  6,28.0,-91.0, 27,1009,XX
AL,14,2020082500, 03,EE07,  6,28.3,-90.5, 24,1008,XX
AL,14,2020082500, 03,EE28,  6,28.4,-90.2, 24,1008,XX
AL,14,2020082500, 03,EE11,  6,28.6,-90.2, 27,1008,XX
AL,14,2020082500, 03,EE38,  6,29.0,-90.0, 24,1008,XX
AL,14,2020082500, 03,EE15,  6,29.5,-89.6, 28,1009,XX
AL,14,2020082500, 03,EE10, 12,27.9,-92.0, 24,1009,XX
AL,14,2020082500, 03,EE41, 12,28.1,-91.0, 25,1008,XX
