basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,16,2020090312, 03,EE30,  0,15.5,-93.4, 20,1007,XX
AL,16,2020090312, 03,EE15,  0,15.9,-94.1, 19,1008,XX
AL,16,2020090312, 03,EE48,  0,16.0,-89.1, 22,1005,XX
AL,16,2020090312, 03,EE24,  0,16.2,-89.1, 20,1004,XX
AL,16,2020090312, 03,EE04,  0,16.4,-89.2, 21,1006,XX
AL,16,2020090312, 03,EE06,  0,16.5,-89.6, 23,1005,XX
AL,16,2020090312, 03,ECMF,  0,16.6,-89.4, 19,1005,XX
AL,16,2020090312, 03,EE07,  0,16.7,-89.5, 18,1005,XX
AL,16,2020090312, 03,EE23,  0,16.9,-89.3, 21,1004,XX
AL,16,2020090312, 03,EE09,  0,17.0,-89.2, 23,1005,XX
AL,16,2020090312, 03,EE30,108,18.0,-112.0, 24, 998,XX
AL,16,2020090312, 03,EE17,120,20.4,-113.8, 25, 997,XX
AL,16,2020090312, 03,EE05,138,18.4,-116.3, 26, 999,XX
AL,16,2020090312, 03,EE17,108,20.0,-112.7, 27, 998,XX
AL,16,2020090312, 03,EE17,126,20.5,-114.1, 28, 998,XX
AL,16,2020090312, 03,EE05,132,18.3,-116.5, 29, 997,XX
AL,16,2020090312, 03,EE05,120,18.2,-116.8, 30, 998,XX
AL,16,2020090312, 03,EE03,102,19.1,-114.8, 31, 998,XX
AL,16,2020090312, 03,EE03,114,19.3,-116.1, 32, 996,XX
AL,16,2020090312, 03,EE03,132,19.3,-116.8, 33, 991,XX
AL,16,2020090312, 03,EE03,126,19.3,-116.5, 34, 995,XX
AL,16,2020090312, 03,EE03,144,19.7,-117.0, 35, 992,XX
AL,16,2020090312, 03,EE03,120,19.1,-116.2, 38, 993,XX
AL,16,2020090312, 03,EE01,  6,16.0,-90.9, 24,1005,XX
AL,16,2020090312, 03,ECMF,  6,16.2,-90.6, 21,1005,XX
AL,16,2020090312, 03,EE00,  6,16.3,-90.6, 20,1006,XX
AL,16,2020090312, 03,EE21,  6,16.4,-91.1, 21,1006,XX
AL,16,2020090312, 03,EE03,  6,16.5,-90.6, 24,1006,XX
AL,16,2020090312, 03,EE05,  6,16.6,-90.8, 20,1006,XX
AL,16,2020090312, 03,EE30, 12,15.6,-94.0, 25,1004,XX
AL,16,2020090312, 03,EE05, 12,15.8,-94.0, 26,1003,XX
AL,16,2020090312, 03,ECMF, 12,15.9,-94.3, 25,1004,XX
AL,16,2020090312, 03,EE00, 12,16.0,-94.4, 21,1004,XX
AL,16,2020090312, 03,EE09, 12,16.5,-90.9, 25,1006,XX
AL,16,2020090312, 03,EE36, 12,16.6,-90.5, 22,1007,XX
AL,16,2020090312, 03,EE41, 12,18.2,-93.0, 23,1007,XX
AL,16,2020090312, 03,EE03, 18,14.5,-93.8, 24,1006,XX
AL,16,2020090312, 03,EE06, 18,14.6,-94.1, 27,1007,XX
AL,16,2020090312, 03,EE01, 18,14.8,-93.6, 26,1007,XX
AL,16,2020090312, 03,EE04, 18,14.9,-93.6, 26,1008,XX
AL,16,2020090312, 03,EE10, 18,15.0,-93.5, 25,1006,XX
AL,16,2020090312, 03,EE00, 18,15.1,-94.1, 26,1007,XX
AL,16,2020090312, 03,EE12, 18,15.3,-93.3, 25,1005,XX
AL,16,2020090312, 03,EE24, 18,15.9,-94.1, 25,1007,XX
AL,16,2020090312, 03,EE09, 18,16.0,-94.4, 24,1008,XX
AL,16,2020090312, 03,EE16, 18,18.9,-92.0, 24,1010,XX
AL,16,2020090312, 03,EE38, 24,14.1,-93.8, 24,1006,XX
